Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,rap,75,53.719298245614034,62514.17543859649
rap,trap,75,59.75609756097561,68312.34146341463
hip hop,rap,69,56.714285714285715,53798.54761904762
pop,pop,69,53.84905660377358,105243.7924528302
pop,rap,68,53.4,67791.57777777778
melodic rap,rap,63,50.51219512195122,60725.46341463415
reggaeton,urbano latino,58,76.75,14075.5
reggaeton,trap latino,52,76.75,14075.5
trap latino,urbano latino,52,76.75,14075.5
pop,trap,37,53.035714285714285,69693.64285714286
atl hip hop,rap,35,53.85,70920.7
pop rap,rap,35,63.69565217391305,21516.521739130436
hip hop,trap,34,62.30434782608695,53878.34782608696
hip hop,pop,33,48.8,45027.72
melodic rap,trap,31,53.625,69925.08333333333
reggaeton,reggaeton,29,76.75,14075.5
urbano latino,urbano latino,29,76.75,14075.5
hip hop,melodic rap,25,52.76190476190476,54284.619047619046
edm,pop,23,57.166666666666664,75557.55555555556
rap,southern hip hop,23,55.94117647058823,51269.64705882353
trap latino,trap latino,23,76.75,14075.5
pop,pop rap,21,54.333333333333336,30760.0
pop rap,trap,21,61.06666666666667,23681.533333333333
dfw rap,rap,20,41.470588235294116,98760.94117647059
atl trap,rap,19,59.61538461538461,79234.30769230769
electropop,pop,19,44.8235294117647,78026.4705882353
hip hop,pop rap,19,66.16666666666667,23306.583333333332
melodic rap,pop,19,55.31578947368421,76486.78947368421
trap,trap,19,57.266666666666666,30360.4
gangster rap,rap,18,64.07142857142857,100982.57142857143
pop,pop dance,18,49.38461538461539,43244.0
pop,reggaeton,18,58.81818181818182,43495.27272727273
pop,trap latino,18,58.81818181818182,43495.27272727273
pop,urbano latino,18,58.81818181818182,43495.27272727273
hip hop,hip hop,18,70.78571428571429,67044.92857142857
atl hip hop,melodic rap,17,49.57142857142857,73004.28571428571
rap,slap house,16,59.166666666666664,47205.666666666664
dance pop,pop,16,57.42857142857143,126809.35714285714
atl hip hop,trap,16,47.55555555555556,27983.777777777777
atl hip hop,hip hop,15,60.54545454545455,47563.90909090909
dfw rap,trap,15,48.23076923076923,115655.46153846153
atl hip hop,pop,15,47.84615384615385,75341.30769230769
rap,reggaeton,14,59.0,50100.1
rap,urbano latino,14,59.0,50100.1
melodic rap,melodic rap,14,50.285714285714285,84708.64285714286
gangster rap,hip hop,13,69.45454545454545,72670.0
pop,southern hip hop,13,50.5,17749.0
rap,uk pop,13,65.55555555555556,61244.0
reggaeton,reggaeton colombiano,13,77.66666666666667,18416.666666666668
reggaeton colombiano,trap latino,13,77.66666666666667,18416.666666666668
reggaeton colombiano,urbano latino,13,77.66666666666667,18416.666666666668
atl trap,hip hop,12,61.0,51406.5
rap,trap latino,12,57.55555555555556,55410.0
r&b,rap,12,44.666666666666664,44841.666666666664
melodic rap,slap house,11,55.0,59846.666666666664
dfw rap,hip hop,11,39.90909090909091,60117.63636363636
southern hip hop,trap,11,51.375,40738.625
hip hop,southern hip hop,11,60.75,77114.0
pop,r&b,11,57.666666666666664,48598.666666666664
rap,singer-songwriter pop,11,64.14285714285714,57460.57142857143
slap house,trap,10,69.25,50061.875
melodic rap,pop rap,10,61.2,19953.5
north carolina hip hop,rap,10,57.8,69682.2
pop,uk pop,10,58.22222222222222,154083.11111111112
latin hip hop,reggaeton,10,75.0,17000.666666666668
latin hip hop,urbano latino,10,75.0,17000.666666666668
atl hip hop,slap house,9,69.14285714285714,55741.142857142855
pop,puerto rican pop,9,65.0,39337.666666666664
canadian pop,rap,9,52.77777777777778,89054.33333333333
modern rock,pop rap,9,67.0,28635.75
latin hip hop,trap latino,9,75.0,17000.666666666668
pop rap,reggaeton,8,55.857142857142854,67008.42857142857
