Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1480,56.0,6812672.020408163
trap latino,urbano latino,1407,56.026737967914436,6869779.395721925
reggaeton,trap latino,1266,55.741573033707866,6863938.820224719
urbano latino,urbano latino,821,56.16923076923077,6808177.948717949
reggaeton,reggaeton,676,54.965714285714284,6812795.937142857
trap latino,trap latino,606,55.29333333333334,7251940.86
trap argentino,urbano latino,233,48.45,6833229.266666667
reggaeton flow,urbano latino,217,55.91111111111111,7450106.0
trap argentino,trap latino,204,47.526315789473685,6747229.403508772
latin hip hop,urbano latino,197,53.696969696969695,7851016.015151516
reggaeton,reggaeton flow,195,56.2,7522483.266666667
reggaeton flow,trap latino,195,55.76190476190476,7632660.023809524
latin hip hop,reggaeton,194,53.696969696969695,7851016.015151516
reggaeton colombiano,urbano latino,172,58.75,7513507.625
reggaeton,reggaeton colombiano,168,57.86486486486486,7580441.391891892
latin hip hop,trap latino,168,52.66101694915254,8111838.186440678
argentine hip hop,trap argentino,164,37.57692307692308,4655507.442307692
reggaeton,trap argentino,157,53.24324324324324,8232938.108108108
latin pop,urbano latino,138,56.75,7141595.952380952
latin pop,reggaeton,136,55.835443037974684,6931758.481012658
reggaeton colombiano,trap latino,134,59.67796610169491,7687159.627118644
argentine hip hop,urbano latino,113,47.575,6144701.375
trap argentino,trap argentino,109,37.68627450980392,4641035.450980392
puerto rican pop,urbano latino,105,58.59183673469388,7805812.020408163
argentine hip hop,trap latino,103,46.08108108108108,5956388.513513514
puerto rican pop,reggaeton,103,57.851063829787236,7672457.14893617
panamanian pop,urbano latino,100,57.74074074074074,10707265.925925925
colombian pop,urbano latino,94,61.73684210526316,7921690.868421053
rap latina,urbano latino,94,52.75,6346294.638888889
puerto rican pop,trap latino,94,59.170731707317074,8898219.951219512
r&b en espanol,urbano latino,90,61.55,12511059.3
latin pop,trap latino,90,58.6140350877193,7493127.228070175
colombian pop,reggaeton,86,61.68421052631579,8024570.7894736845
panamanian pop,reggaeton,82,57.23076923076923,11118364.653846154
panamanian pop,trap latino,78,57.88461538461539,11107279.192307692
rap latina,reggaeton,78,51.67857142857143,5887276.178571428
rap latina,trap latino,77,50.483870967741936,6713721.935483871
r&b en espanol,trap latino,72,61.55,12511059.3
r&b en espanol,reggaeton,71,61.55,12511059.3
cumbia villera,cumbia villera,70,62.6,8490266.4
argentine hip hop,reggaeton,69,51.13636363636363,7489876.818181818
colombian pop,trap latino,64,63.07692307692308,8566720.153846154
pop reggaeton,urbano latino,60,61.214285714285715,13119621.642857144
argentine hip hop,argentine hip hop,58,37.24242424242424,5823245.96969697
pop reggaeton,reggaeton,52,61.214285714285715,13119621.642857144
pop,reggaeton,52,60.06666666666667,6154637.2
trap argentino,trap triste,50,34.21739130434783,4941019.0869565215
pop,urbano latino,50,60.1,6475935.3
pop reggaeton,trap latino,47,61.214285714285715,13119621.642857144
cuarteto,cumbia villera,45,52.0,81440.5
trap boricua,trap latino,42,46.583333333333336,1756368.5833333333
trap boricua,urbano latino,42,46.18181818181818,1896261.7272727273
pop,trap latino,42,62.111111111111114,6935184.185185186
latin pop,reggaeton colombiano,42,51.794871794871796,8081248.205128205
pop,pop,40,62.3,2809325.2666666666
