Source,Target,Weight,Avg_Popularity,Avg_Streams
german hip hop,german hip hop,481,34.15611814345991,246094.96624472574
german hip hop,hamburg hip hop,161,41.666666666666664,409461.4259259259
rap,trap,131,65.42647058823529,161137.5294117647
rap,rap,126,67.18072289156626,155603.18072289156
hip hop,rap,117,70.61904761904762,140260.61904761905
pop,pop,72,67.46875,274792.25
melodic rap,rap,72,60.94285714285714,232871.22857142857
dance pop,pop,69,66.31111111111112,306844.31111111114
german pop,german pop,69,37.0,201273.8
german drill,german hip hop,60,36.411764705882355,230069.32352941178
atl hip hop,rap,60,68.08571428571429,203360.05714285714
german hip hop,german pop,55,38.142857142857146,147471.42857142858
pop,rap,55,64.70731707317073,332961.7073170732
hip hop,trap,54,71.4,155499.425
pop rap,rap,53,70.89655172413794,144936.8275862069
german alternative rap,german hip hop,50,28.40740740740741,254023.25925925927
frauenrap,german hip hop,45,21.916666666666668,304869.3333333333
deep german hip hop,german hip hop,44,40.2,194288.65
pop,pop dance,44,66.74193548387096,347056.03225806454
german hip hop,german underground rap,44,28.2,37184.333333333336
german hip hop,german trap,40,23.5,95937.45454545454
melodic rap,trap,39,55.76923076923077,254525.65384615384
german cloud rap,german hip hop,38,14.75,148253.70833333334
edm,pop,37,64.5925925925926,356912.48148148146
hamburg hip hop,hamburg hip hop,35,46.38095238095238,339455.14285714284
albanian hip hop,german hip hop,35,28.74074074074074,227926.11111111112
canadian pop,rap,35,66.89655172413794,155514.44827586206
brooklyn drill,rap,35,59.59090909090909,127808.54545454546
hip hop,hip hop,33,73.2258064516129,143434.0
german hip hop,german r&b,33,32.80952380952381,89739.38095238095
german pop,german singer-songwriter,33,40.75,235846.5
canadian hip hop,rap,29,71.04347826086956,263244.39130434784
dance pop,dance pop,29,68.04,290768.64
edm,pop dance,29,63.0625,324180.25
hip hop,pop,28,57.18181818181818,373169.63636363635
atl hip hop,hip hop,28,72.55,156330.1
rap,toronto rap,28,71.63636363636364,274870.2727272727
pop rap,trap,28,72.375,243185.5625
atl hip hop,trap,28,70.52941176470588,288528.70588235295
rap,southern hip hop,28,68.15789473684211,98980.52631578948
dance pop,pop dance,28,67.55555555555556,546514.0555555555
hip hop,pop rap,27,72.4,68507.9
trap,trap,26,69.31818181818181,331060.0909090909
pop,pop rap,26,68.36363636363636,177347.22727272726
brooklyn drill,trap,24,58.05555555555556,136662.0
gangster rap,rap,23,70.33333333333333,141015.0
chicago rap,rap,23,57.27777777777778,68595.5
canadian hip hop,trap,22,73.58823529411765,295693.5882352941
canadian pop,trap,22,72.38888888888889,133251.22222222222
canadian pop,hip hop,22,73.35,162598.45
pop,trap,22,70.14285714285714,294035.64285714284
pop dance,uk pop,22,69.07142857142857,799384.1428571428
german hip hop,kosovan pop,21,12.333333333333334,198453.0
toronto rap,trap,21,74.5625,313707.25
pop dance,pop dance,21,66.0,751363.5789473684
dance pop,edm,21,65.93333333333334,369619.73333333334
deep german hip hop,hamburg hip hop,20,41.53846153846154,242597.46153846153
atl trap,rap,20,73.25,193133.91666666666
r&b,rap,20,67.6875,109794.0
albanian pop,german hip hop,19,18.5,153848.44444444444
melodic rap,melodic rap,19,53.78947368421053,208726.94736842104
canadian hip hop,hip hop,19,70.55555555555556,153220.16666666666
hip hop,toronto rap,19,70.55555555555556,153220.16666666666
big room,dance pop,19,63.0,322540.0
big room,pop dance,19,56.72727272727273,262484.8181818182
dance pop,rap,19,71.15384615384616,614857.1538461539
hip hop,melodic rap,18,71.0,247490.07692307694
atl hip hop,melodic rap,18,65.8,313760.5333333333
pop rap,pop rap,17,77.55555555555556,401212.1111111111
pop dance,uk dance,17,75.0,1470546.3333333333
big room,pop,16,66.46153846153847,264407.92307692306
german dance,pop dance,16,63.416666666666664,627160.5833333334
big room,edm,16,52.75,146333.875
electro house,pop,16,56.1,96534.3
melodic rap,pop,16,52.92857142857143,186175.35714285713
dance pop,pop rap,16,64.9,233612.4
dance pop,uk pop,16,70.27272727272727,758240.9090909091
edm,uk pop,16,67.27272727272727,425418.63636363635
german hip hop,new school turkce rap,15,33.8,10304.2
atl hip hop,pop rap,15,72.55555555555556,339798.3333333333
melodic rap,pop rap,15,69.66666666666667,329321.77777777775
pop,uk pop,15,69.53846153846153,488793.3076923077
movie tunes,movie tunes,15,78.0,10727.0
dance pop,hip hop,14,43.416666666666664,521437.4166666667
gangster rap,hip hop,14,73.4,196429.2
hip hop,southern hip hop,14,70.38461538461539,139483.61538461538
north carolina hip hop,rap,14,73.33333333333333,333154.3333333333
electro house,pop dance,14,57.6,20644.1
pop,progressive electro house,14,60.375,262974.125
pop,uk dance,14,71.91666666666667,290454.6666666667
albanian pop,kosovan pop,13,8.5,152455.41666666666
german hip hop,swedish hip hop,13,41.0,564614.7777777778
atl hip hop,canadian hip hop,13,74.54545454545455,424756.1818181818
atl hip hop,canadian pop,13,73.45454545454545,180516.9090909091
atl trap,hip hop,13,73.7,219939.1
turbo folk,turbo folk,13,41.0,150511.33333333334
chicago rap,trap,13,47.916666666666664,25385.583333333332
german underground rap,hamburg hip hop,13,40.714285714285715,50342.57142857143
dutch house,pop dance,13,54.22222222222222,14256.444444444445
edm,edm,13,57.45454545454545,194492.54545454544
edm,electro house,13,52.666666666666664,22524.777777777777
edm,progressive electro house,13,53.625,17954.375
pop dance,progressive electro house,13,58.111111111111114,18276.222222222223
dance pop,trap,13,72.83333333333333,622734.5
albanian hip hop,frauenrap,12,13.25,190587.25
atl hip hop,toronto rap,12,76.2,466484.3
pop rap,seattle hip hop,12,80.33333333333333,853692.6666666666
canadian pop,pop,12,64.36363636363636,320571.0
brooklyn drill,melodic rap,12,55.44444444444444,201731.11111111112
dirty south rap,rap,12,71.66666666666667,78787.33333333333
albanian hip hop,albanian pop,12,28.555555555555557,86095.66666666667
dance pop,r&b,12,76.11111111111111,374750.6666666667
pop,r&b,12,72.5,684517.0
albanian pop,german pop,12,32.5,217587.5
uk dance,uk pop,12,73.8,1070749.5
albanian pop,frauenrap,11,9.181818181818182,156827.9090909091
albanian hip hop,kosovan pop,11,10.272727272727273,201080.36363636365
dance pop,neo soul,11,3.3333333333333335,152525.83333333334
neo soul,pop,11,3.3333333333333335,152525.83333333334
australian dance,dance pop,11,62.3,315796.3
pop dance,scandipop,11,65.3,894906.6
frauenrap,german pop,11,22.11111111111111,161778.33333333334
pop,trap queen,11,70.7,285120.1
canadian pop,pop rap,11,71.18181818181819,74024.81818181818
dutch house,edm,11,50.285714285714285,14525.714285714286
