Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,184,52.120879120879124,3571647.4945054944
hip hop,rap,181,50.88235294117647,3218718.3921568627
rap,rap,151,50.76470588235294,3244478.098039216
pop,rap,147,47.02803738317757,3817106.2056074766
pop,pop,142,49.80172413793103,5465683.482758621
pop rap,rap,96,57.38,4144375.76
hip hop,trap,95,55.45283018867924,3332207.283018868
hip hop,pop,78,47.983333333333334,4000855.966666667
edm,pop,77,50.25423728813559,5055122.305084745
pop,pop dance,77,46.527272727272724,4117649.1818181816
atl hip hop,rap,75,49.369565217391305,3312028.4565217393
pop,trap,73,47.57142857142857,4327174.107142857
rap,southern hip hop,66,53.85294117647059,3141373.0588235296
dance pop,pop,64,56.48837209302326,3810333.8372093025
melodic rap,rap,63,53.214285714285715,3712455.761904762
pop,pop rap,53,57.07692307692308,4276107.384615385
hip hop,hip hop,53,51.80555555555556,1930555.5277777778
hip hop,pop rap,53,52.57692307692308,2834200.423076923
r&b,rap,52,43.2,3241379.725
trap,trap,51,57.32432432432432,3025650.4324324327
pop rap,trap,51,60.84,4252349.92
melodic rap,trap,48,51.729729729729726,4857146.945945946
atl hip hop,hip hop,42,52.464285714285715,3538739.464285714
hip hop,southern hip hop,42,48.3,1378403.1
hip hop,r&b,40,44.32258064516129,2628206.9677419355
electro house,pop,39,43.03225806451613,4247509.9677419355
hip hop,melodic rap,39,54.09090909090909,4433147.363636363
pop,r&b,36,47.7,5346435.3
atl hip hop,trap,36,55.26086956521739,3555558.0434782607
atl hip hop,pop,34,44.241379310344826,4846984.344827586
southern hip hop,trap,34,55.94117647058823,2899608.117647059
canadian pop,rap,29,46.45454545454545,3444143.4545454546
pop,southern hip hop,29,53.0,4805464.105263158
pop,uk pop,29,53.09090909090909,5249491.863636363
dance pop,rap,28,59.68421052631579,3945830.4210526315
hip pop,rap,27,46.77777777777778,1374753.111111111
melodic rap,pop,27,52.04,5318514.56
pop rap,southern hip hop,27,52.53846153846154,728286.4615384615
edm,pop dance,27,46.38461538461539,3929438.076923077
miami hip hop,rap,27,69.65,3893674.2
pop,uk dance,26,61.27272727272727,6241342.636363637
hip hop,hip pop,25,47.22222222222222,1063606.611111111
atl hip hop,pop rap,23,53.07142857142857,4988084.714285715
electropop,pop,23,48.0,6412459.055555556
emo rap,rap,21,35.111111111111114,3286574.388888889
canadian pop,pop,21,43.05555555555556,2583006.9444444445
pop rap,pop rap,21,53.84615384615385,2766383.4615384615
canadian pop,hip hop,20,43.411764705882355,3090536.7647058824
melodic rap,pop rap,20,63.1875,6674980.5
dance pop,trap,20,57.0,3596289.230769231
hip pop,pop,19,41.55555555555556,1816969.1666666667
atl hip hop,melodic rap,19,51.421052631578945,3825889.6315789474
queens hip hop,rap,19,41.166666666666664,1529901.5833333333
edm,rap,19,58.0625,4289919.5
pop,queens hip hop,18,40.470588235294116,1905951.8235294118
conscious hip hop,rap,18,52.666666666666664,4905738.083333333
hip hop,urban contemporary,18,51.666666666666664,1156155.0666666667
chicago rap,rap,18,48.642857142857146,3634100.1428571427
miami hip hop,trap,18,68.46666666666667,3782544.933333333
pop rap,r&b,18,56.0,3309480.230769231
canadian hip hop,rap,17,44.86666666666667,4924874.0
