Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,192,49.13,331561.73
hip hop,rap,164,48.864583333333336,349737.6458333333
pop,pop,156,49.77037037037037,752250.5703703704
dutch hip hop,dutch rap pop,146,33.38,398346.56
dutch hip hop,dutch hip hop,145,32.57971014492754,318932.8695652174
rap,rap,143,47.44117647058823,326172.17647058825
pop,rap,133,46.13,442397.88
french hip hop,pop urbaine,132,30.272727272727273,144213.22727272726
pop,pop dance,120,45.50588235294118,551588.0705882353
edm,pop,118,49.372093023255815,743809.2674418605
dance pop,pop,96,51.42028985507246,530186.6086956522
hip hop,trap,92,55.94230769230769,346058.07692307694
melodic rap,rap,82,47.9622641509434,308758.2641509434
french hip hop,french hip hop,81,31.78723404255319,159404.12765957447
pop rap,rap,81,54.58,408721.22
atl hip hop,rap,80,46.924528301886795,308304.71698113205
french hip hop,rap francais,80,29.785714285714285,112042.03571428571
pop,trap,74,46.5,403185.45
french hip hop,rap conscient,74,30.76923076923077,155176.0
reggaeton,urbano latino,74,62.0,787919.8181818182
hip hop,pop,73,46.660714285714285,391112.98214285716
pop urbaine,rap francais,72,33.5,126172.86363636363
melodic rap,trap,71,45.86,368412.52
edm,pop dance,66,41.32258064516129,495075.93548387097
trap,trap,64,50.92,225761.02
trap latino,urbano latino,63,56.75,1017065.875
reggaeton,trap latino,62,61.1,835364.3
pop urbaine,pop urbaine,57,32.37931034482759,164287.75862068965
pop,pop rap,55,56.04761904761905,421936.28571428574
electro house,pop,54,42.76190476190476,649094.0
pop urbaine,rap conscient,53,28.03125,146774.90625
hip hop,hip hop,49,49.52777777777778,201962.13888888888
hip hop,pop rap,49,53.18518518518518,283788.3703703704
pop rap,trap,49,58.5,333346.7
pop,uk pop,49,47.078947368421055,645445.5789473684
rap,southern hip hop,48,54.31428571428572,264454.4857142857
dutch rap pop,dutch rap pop,45,36.4,442306.12
atl hip hop,hip hop,43,52.166666666666664,308424.6
atl hip hop,trap,42,49.806451612903224,233184.8064516129
pop,uk dance,42,53.97222222222222,908822.8333333334
hip hop,melodic rap,40,51.90909090909091,472820.3939393939
r&b,rap,38,36.67741935483871,311486.4516129032
dance pop,pop dance,37,52.096774193548384,461313.51612903224
reggaeton,reggaeton,37,62.0,787919.8181818182
urbano latino,urbano latino,37,58.333333333333336,938889.1111111111
dance pop,edm,36,55.25806451612903,675816.0645161291
pop dance,pop dance,35,42.592592592592595,480472.44444444444
miami hip hop,rap,35,63.46153846153846,369198.3076923077
electro house,pop dance,34,38.30769230769231,593925.0
dance pop,rap,34,58.0,484378.2083333333
atl hip hop,pop,33,46.3448275862069,521669.8965517241
edm,electro house,33,37.81481481481482,619412.7407407408
pop,r&b,32,47.285714285714285,539685.8571428572
emo rap,rap,32,33.88,353188.36
hip hop,southern hip hop,32,52.833333333333336,104660.38888888889
edm,edm,31,41.333333333333336,526773.7037037037
hip hop,r&b,31,39.40909090909091,254272.0
french hip hop,r&b francais,30,28.41176470588235,200246.17647058822
pop,southern hip hop,30,54.69565217391305,308137.0
southern hip hop,trap,29,56.0,177776.2380952381
dutch house,edm,28,35.69565217391305,644074.3913043478
pop dance,uk pop,28,49.28,539724.84
edm,rap,28,48.32,545425.8
rap conscient,rap francais,27,27.166666666666668,77788.11111111111
edm,progressive electro house,27,42.04761904761905,520072.4761904762
trap latino,trap latino,27,63.666666666666664,1338504.6666666667
big room,pop,26,56.142857142857146,837910.1428571428
atl hip hop,melodic rap,26,43.73076923076923,333814.23076923075
edm,uk pop,26,56.27272727272727,867682.6818181818
electropop,pop,26,47.95238095238095,542705.4285714285
dance pop,trap,26,56.55555555555556,429800.05555555556
big room,edm,25,42.10526315789474,619840.6315789474
big room,pop dance,25,42.10526315789474,619840.6315789474
emo rap,trap,25,35.388888888888886,232898.38888888888
canadian pop,rap,25,45.888888888888886,471204.1111111111
dutch house,pop dance,25,38.2,714185.35
melodic rap,pop,25,51.04,505988.16
pop,progressive electro house,25,55.89473684210526,1283389.7894736843
pop urbaine,r&b francais,24,27.142857142857142,189682.7142857143
pop dance,progressive electro house,24,46.473684210526315,548030.7894736842
dance pop,pop rap,24,59.22222222222222,213988.66666666666
rap francais,rap francais,23,23.4,46689.0
melodic rap,pop rap,23,57.89473684210526,538068.8947368421
miami hip hop,trap,23,61.1578947368421,372953.3157894737
dance pop,uk pop,22,48.0625,870709.75
pop,reggaeton,22,56.86666666666667,720493.9333333333
pop dance,rap,22,46.89473684210526,699332.2631578947
edm,trap,22,43.5,260572.15
french hip hop,french pop,21,25.5,579333.8333333334
hip hop,miami hip hop,21,61.35294117647059,396403.9411764706
pop,urbano latino,21,56.86666666666667,720493.9333333333
latin pop,reggaeton,20,49.0,188054.61538461538
latin pop,urbano latino,20,49.0,188054.61538461538
