Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,211,62.95918367346939,52652.65306122449
rap,rap,185,64.78151260504201,55737.966386554624
hip hop,rap,176,67.74725274725274,52491.63736263736
bulgarian pop,chalga,122,29.04255319148936,134195.97872340426
bulgarian pop,bulgarian pop,95,26.34426229508197,120034.0655737705
melodic rap,rap,95,58.6,75222.93333333333
atl hip hop,rap,92,64.875,67363.25
hip hop,trap,85,67.27777777777777,67007.14814814815
pop rap,rap,78,67.54761904761905,48030.59523809524
bulgarian pop,bulgarian trap,64,16.074074074074073,48607.444444444445
melodic rap,trap,56,55.705882352941174,59095.82352941176
bulgarian hip hop,bulgarian pop,53,22.16216216216216,77118.13513513513
trap,trap,50,61.97222222222222,73267.41666666667
chalga,chalga,50,32.96969696969697,170323.27272727274
atl hip hop,trap,49,64.8,72533.26666666666
atl trap,rap,49,67.29629629629629,75466.22222222222
pop,rap,49,60.4,70381.57142857143
hip hop,hip hop,46,71.6590909090909,51463.15909090909
pop,pop,45,66.82051282051282,79696.17948717948
pop rap,trap,42,64.95652173913044,62203.17391304348
chicago rap,rap,42,57.851851851851855,17892.25925925926
brooklyn drill,rap,42,60.74074074074074,61495.96296296296
atl hip hop,hip hop,41,70.3103448275862,90992.89655172414
gangster rap,rap,40,66.5925925925926,56464.0
bulgarian hip hop,bulgarian trap,35,16.782608695652176,51632.608695652176
canadian hip hop,rap,34,71.03846153846153,110710.84615384616
canadian pop,rap,34,67.51724137931035,73293.93103448275
hip hop,pop rap,33,71.62962962962963,41952.7037037037
rap,toronto rap,33,71.56,114311.12
rap,southern hip hop,33,66.17391304347827,39749.30434782609
atl hip hop,melodic rap,32,61.25,62981.083333333336
chicago rap,trap,30,53.86363636363637,9653.5
bulgarian trap,bulgarian trap,28,12.19047619047619,57775.95238095238
bulgarian hip hop,bulgarian hip hop,27,24.142857142857142,17670.714285714286
atl trap,trap,27,64.61111111111111,59159.88888888889
hip hop,melodic rap,27,63.75,91781.35
brooklyn drill,trap,27,58.85,69944.5
atl trap,hip hop,26,71.88888888888889,110684.33333333333
dance pop,pop,26,68.9375,115266.6875
hip hop,pop,24,46.25,70881.2
melodic rap,pop rap,24,63.06666666666667,89554.46666666666
canadian hip hop,trap,24,73.38888888888889,131972.55555555556
