Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,387,72.89333333333333,304160.7733333333
trap latino,urbano latino,381,72.17333333333333,339999.93333333335
reggaeton,trap latino,317,73.23529411764706,304480.7205882353
urbano latino,urbano latino,232,72.12987012987013,334403.5064935065
reggaeton,reggaeton,170,72.23333333333333,292872.7833333333
trap latino,trap latino,155,72.9,356412.48333333334
reggaeton flow,urbano latino,89,73.8,306707.13333333336
reggaeton,reggaeton flow,79,73.8,306707.13333333336
reggaeton colombiano,urbano latino,78,70.96774193548387,251756.64516129033
reggaeton flow,trap latino,73,74.3076923076923,334733.23076923075
trap argentino,urbano latino,73,66.47619047619048,358704.3333333333
trap argentino,trap latino,61,66.25,373917.25
reggaeton,reggaeton colombiano,60,70.17857142857143,258758.0357142857
reggaeton colombiano,trap latino,58,70.03846153846153,250124.34615384616
reggaeton,trap argentino,38,71.3076923076923,298354.76923076925
latin pop,urbano latino,35,64.3103448275862,205142.0
latin pop,reggaeton,34,63.16,221094.48
latin hip hop,urbano latino,30,74.7,305996.4
latin pop,trap latino,29,66.34782608695652,226700.34782608695
puerto rican pop,urbano latino,28,73.38461538461539,340895.23076923075
latin hip hop,reggaeton,26,74.7,305996.4
argentine hip hop,urbano latino,25,63.666666666666664,341902.25
argentine hip hop,trap argentino,25,61.5,401561.3
trap argentino,trap triste,25,64.28571428571429,295600.5714285714
latin hip hop,trap latino,25,74.7,305996.4
puerto rican pop,trap latino,25,73.58333333333333,318497.9166666667
trap argentino,trap argentino,23,61.416666666666664,355039.4166666667
puerto rican pop,reggaeton,23,71.8,224440.9
argentine hip hop,trap latino,22,63.0,368034.63636363635
panamanian pop,urbano latino,22,72.25,404725.0
panamanian pop,trap latino,21,72.25,404725.0
panamanian pop,reggaeton,19,72.25,404725.0
trap triste,urbano latino,18,64.25,285428.75
trap latino,trap triste,17,65.85714285714286,325824.85714285716
latin pop,mexican pop,16,60.0,89472.88888888889
r&b en espanol,urbano latino,15,75.25,365571.25
colombian pop,urbano latino,15,71.15384615384616,150750.84615384616
reggaeton flow,trap argentino,14,70.33333333333333,324623.3333333333
r&b en espanol,reggaeton,13,75.25,365571.25
colombian pop,reggaeton,13,69.63636363636364,159787.72727272726
latin pop,latin pop,13,56.81818181818182,86501.45454545454
reggaeton colombiano,reggaeton colombiano,13,72.0,188600.5
r&b en espanol,trap latino,12,75.25,365571.25
reggaeton flow,reggaeton flow,12,72.125,295411.0
argentine hip hop,trap triste,12,63.5,280801.0
pop argentino,urbano latino,12,61.5,319215.75
colombian pop,trap latino,12,70.8,170591.8
latin pop,reggaeton colombiano,12,58.666666666666664,152976.66666666666
reggaeton colombiano,reggaeton flow,11,70.0,185323.83333333334
colombian pop,latin pop,11,53.45454545454545,39458.36363636364
latin viral pop,reggaeton,10,57.142857142857146,204487.57142857142
pop argentino,trap argentino,9,68.75,300003.75
pop argentino,trap latino,9,72.0,393229.8
rap latina,reggaeton,9,70.5,331580.5
argentine hip hop,reggaeton,9,71.4,135041.0
r&b en espanol,reggaeton flow,8,72.66666666666667,363156.0
trap triste,trap triste,8,59.25,24828.5
latin pop,latin viral pop,8,50.0,68095.6
latin pop,pop argentino,8,61.875,299294.0
rap latina,trap latino,8,74.6,356780.4
rap latina,urbano latino,8,74.6,356780.4
mexican pop,reggaeton,7,54.714285714285715,86656.28571428571
latin viral pop,urbano latino,7,58.142857142857146,208491.57142857142
pop,pop,7,70.85714285714286,164896.0
puerto rican pop,reggaeton flow,7,79.4,432112.0
pop argentino,reggaeton,7,61.142857142857146,266677.0
pop,reggaeton,7,73.0,196432.0
pop,trap latino,7,73.0,196432.0
pop,urbano latino,7,73.0,196432.0
reggaeton,trap boricua,7,67.25,286471.5
trap boricua,urbano latino,7,67.25,286471.5
latin hip hop,reggaeton colombiano,7,67.5,195406.0
pop reggaeton,reggaeton,6,77.2,475694.4
pop reggaeton,trap latino,6,77.2,475694.4
pop reggaeton,urbano latino,6,77.2,475694.4
panamanian pop,reggaeton flow,6,66.66666666666667,483812.3333333333
cumbia 420,urbano latino,6,55.75,131533.0
pop argentino,trap triste,6,68.75,300003.75
mexican pop,urbano latino,6,53.166666666666664,96696.0
latin arena pop,latin pop,6,71.0,100812.75
latin pop,musica mexicana,6,66.4,90989.8
latin hip hop,reggaeton flow,6,74.66666666666667,417520.3333333333
trap boricua,trap latino,6,72.0,381076.6666666667
latin pop,spanish pop,6,71.75,81018.75
musica mexicana,ranchera,6,67.0,19779.5
argentine hip hop,argentine hip hop,5,61.8,231713.2
colombian pop,mexican pop,5,57.8,39852.4
latin viral pop,trap latino,5,57.2,239882.8
pop,rap,5,52.8,206826.0
latin pop,ranchera,5,66.4,90989.8
mexican pop,musica mexicana,5,64.5,31974.5
puerto rican pop,reggaeton colombiano,5,69.75,110066.75
pop venezolano,urbano latino,5,48.5,228842.0
rap canario,urbano espanol,5,76.0,245805.0
reggaeton colombiano,trap argentino,4,70.0,191464.5
cumbia 420,trap latino,4,55.75,131533.0
argentine hip hop,pop argentino,4,74.5,550981.0
cumbia 420,reggaeton,4,46.0,57420.0
mexican pop,reggaeton colombiano,4,49.5,80037.25
cumbia pop,cumbia villera,4,65.33333333333333,2911.6666666666665
latin pop,reggaeton flow,4,70.66666666666667,110024.33333333333
reggaeton,spanish pop,4,72.66666666666667,199467.0
