Source,Target,Weight,Avg_Popularity,Avg_Streams
sertanejo,sertanejo universitario,103,32.63076923076923,14658738.830769232
pop,pop,93,52.2875,4210344.675
funk carioca,funk carioca,79,29.214285714285715,15266179.67857143
arrocha,sertanejo universitario,79,31.421875,14513926.5
sertanejo universitario,sertanejo universitario,74,32.77777777777778,14401330.236111112
pop,rap,70,42.51851851851852,4215532.148148148
funk carioca,sertanejo universitario,63,37.04255319148936,13592115.638297873
edm,pop,57,53.75609756097561,5031206.682926829
arrocha,sertanejo,55,31.829787234042552,15237651.10638298
funk carioca,funk paulista,55,21.24137931034483,18138928.44827586
pop nacional,sertanejo universitario,53,33.75,15017245.208333334
dance pop,pop,52,55.84848484848485,3323824.515151515
brazilian hip hop,pop rap brasileiro,50,60.8,18626041.4
pop,pop dance,48,50.73529411764706,2899943.7352941176
brazilian hip hop,brazilian hip hop,44,54.857142857142854,10560200.785714285
hip hop,pop,40,38.63333333333333,3577615.1
hip hop,rap,40,46.285714285714285,3632001.8928571427
funk carioca,pop nacional,39,33.766666666666666,11698709.666666666
pop,trap,38,40.74193548387097,4282777.129032258
brazilian hip hop,trap brasileiro,37,44.45454545454545,4663828.454545454
sertanejo,sertanejo,36,34.333333333333336,14375332.527777778
sertanejo pop,sertanejo universitario,34,36.121212121212125,12022370.848484848
funk carioca,funk ostentacao,34,26.857142857142858,18079256.285714287
funk carioca,funk pop,33,33.416666666666664,14653064.166666666
funk carioca,funk rj,32,37.904761904761905,14360873.904761905
rap,rap,31,50.148148148148145,3707120.1481481483
rap,trap,30,51.47826086956522,4167638.782608696
agronejo,sertanejo universitario,30,28.074074074074073,12937349.25925926
arrocha,funk carioca,29,31.076923076923077,10298162.846153846
electro house,pop,27,40.473684210526315,5080519.578947368
pop,pop rap,27,49.9,2221237.25
pop,reggaeton,26,52.10526315789474,5842131.157894737
pop,urbano latino,25,52.10526315789474,5842131.157894737
brazilian hip hop,rap baiano,25,66.57142857142857,10045535.714285715
brazilian hip hop,trap baiano,25,66.57142857142857,10045535.714285715
funk carioca,sertanejo,25,40.904761904761905,12944217.19047619
funk pop,sertanejo universitario,25,34.45454545454545,22839937.045454547
brazilian hip hop,funk carioca,24,46.4,8670306.3
pop rap,rap,24,57.8235294117647,2689722.411764706
pop nacional,sertanejo,24,34.0,17084624.772727273
agronejo,sertanejo,23,29.714285714285715,13430227.857142856
sertanejo,sertanejo pop,23,34.04545454545455,9704331.909090908
arrocha,pop nacional,23,30.5,23886304.272727273
brazilian hip hop,pop nacional,23,44.18181818181818,11004982.454545455
funk carioca,trap brasileiro,22,47.0,6084710.5
