Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,423,59.613861386138616,2075036.608910891
rap,rap,337,61.46666666666667,2173471.0177777777
hip hop,rap,318,62.38953488372093,2110831.273255814
hip hop,trap,186,60.78225806451613,2136618.5161290322
melodic rap,rap,184,57.0873786407767,2285718.019417476
pop rap,rap,173,60.723404255319146,1676032.585106383
atl hip hop,rap,171,62.345794392523366,2247526.4018691587
trap,trap,132,57.78846153846154,1805014.9326923077
melodic rap,trap,120,54.6625,2347930.4375
atl hip hop,trap,114,61.26027397260274,1863230.2876712328
pop rap,trap,109,59.206896551724135,1807111.3620689656
chicago rap,rap,104,56.88059701492537,1378607.1492537314
atl trap,rap,100,61.142857142857146,1877783.7777777778
pop,rap,91,62.18840579710145,3354604.84057971
pop,pop,90,66.5,2998281.923076923
rap,southern hip hop,87,61.228070175438596,1565062.4736842106
hip hop,pop rap,84,63.351851851851855,1685760.8703703703
atl hip hop,hip hop,80,63.87096774193548,2539422.6774193547
hip hop,hip hop,77,67.07352941176471,2842022.544117647
chicago rap,trap,75,53.763636363636365,972649.4727272728
atl trap,trap,73,59.59615384615385,1269114.0961538462
r&b,rap,73,60.787234042553195,1721382.170212766
hip hop,melodic rap,63,57.51020408163265,2230558.5306122447
gangster rap,rap,62,61.31818181818182,1850668.5227272727
dance pop,pop,60,68.41025641025641,2602272.9487179485
atl trap,hip hop,57,61.88636363636363,2516226.477272727
atl hip hop,melodic rap,57,61.395348837209305,2516262.7209302327
chicago drill,rap,55,56.416666666666664,1225931.9444444445
drill,rap,55,56.416666666666664,1225931.9444444445
melodic rap,pop rap,55,55.86486486486486,2018783.6486486488
hip hop,pop,54,49.023809523809526,2852485.119047619
canadian pop,rap,51,67.44186046511628,4419819.76744186
brooklyn drill,rap,50,58.57575757575758,2878398.5454545454
southern hip hop,trap,47,58.93939393939394,1355372.6666666667
hip hop,southern hip hop,46,60.34285714285714,1603339.4285714286
atl hip hop,pop rap,45,62.233333333333334,2067253.1666666667
pop,trap,45,67.90625,3309548.59375
chicago drill,trap,44,56.09090909090909,876947.2424242424
drill,trap,44,56.09090909090909,876947.2424242424
canadian hip hop,rap,44,68.5,5483099.333333333
hip hop,r&b,43,60.5,1264158.3214285714
rap,toronto rap,42,69.17647058823529,5747101.05882353
melodic rap,melodic rap,40,52.35,2297364.925
gangster rap,hip hop,38,62.46666666666667,2315516.2333333334
atl trap,pop rap,37,57.583333333333336,1203427.25
atl hip hop,atl trap,35,58.95454545454545,1290618.5909090908
atl trap,melodic rap,35,58.0,703681.1111111111
pop,pop dance,35,65.95238095238095,1775456.0476190476
miami hip hop,rap,34,54.5,1239088.4
pop,pop rap,34,65.68,2286365.52
atl hip hop,chicago rap,33,60.666666666666664,805656.0666666667
canadian hip hop,trap,33,68.48148148148148,5948914.62962963
chicago rap,hip hop,33,57.333333333333336,2403432.296296296
r&b,trap,33,54.24,1028909.36
pop rap,pop rap,33,61.904761904761905,1461353.619047619
edm,pop,33,66.47826086956522,2067163.4347826086
canadian pop,trap,32,68.64285714285714,4795660.428571428
philly rap,rap,32,51.18181818181818,746314.9090909091
canadian pop,hip hop,31,72.96428571428571,4684751.821428572
dance pop,rap,31,67.6842105263158,4598927.105263158
toronto rap,trap,30,69.95833333333333,6598481.541666667
gangster rap,trap,29,58.64,2172162.4
chicago rap,melodic rap,29,49.45,1096929.45
brooklyn drill,trap,29,58.18181818181818,3494541.9545454546
pop rap,r&b,29,55.473684210526315,1421412.4736842106
dance pop,hip hop,28,31.5,3507417.5454545454
atl hip hop,atl hip hop,28,61.63636363636363,1412403.9545454546
canadian hip hop,hip hop,28,70.65384615384616,5188350.076923077
pop rap,southern hip hop,28,59.35294117647059,881511.5294117647
north carolina hip hop,rap,27,63.63157894736842,3902247.052631579
hip hop,toronto rap,27,71.24,5385204.16
pop,r&b,27,60.78260869565217,4069216.8695652173
atl hip hop,chicago drill,26,60.69565217391305,847376.0
atl hip hop,drill,26,60.69565217391305,847376.0
atl trap,chicago rap,26,59.88,806017.84
