Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,297,42.8141592920354,227019.66371681416
hip hop,rap,227,42.82608695652174,240438.45217391304
german hip hop,german hip hop,211,20.527272727272727,93345.81818181818
rap,rap,187,41.84070796460177,246811.77876106196
hip hop,trap,187,44.29347826086956,166699.28260869565
pop,rap,158,35.068627450980394,427101.45098039217
german hip hop,hamburg hip hop,148,26.452380952380953,142907.5
atl hip hop,rap,139,41.7,196271.5875
melodic rap,rap,130,41.482142857142854,339693.51785714284
pop,pop,126,39.03157894736842,797474.1368421053
trap,trap,111,45.94736842105263,170165.07894736843
pop rap,rap,110,44.21311475409836,313456.131147541
atl hip hop,trap,108,44.36065573770492,118135.72131147541
atl hip hop,hip hop,96,43.51428571428571,109407.21428571429
rap,southern hip hop,94,45.45283018867924,211129.64150943398
pop,pop dance,94,33.34285714285714,605742.9571428571
hip hop,pop,93,37.111111111111114,410643.2361111111
melodic rap,trap,91,42.7,330200.64
pop,trap,89,39.38235294117647,462308.6323529412
pop rap,trap,88,45.51063829787234,259517.914893617
edm,pop,87,38.94117647058823,653708.8382352941
hip hop,pop rap,81,40.28260869565217,131222.0
hip hop,melodic rap,79,42.520833333333336,336395.7291666667
southern hip hop,trap,79,46.666666666666664,194144.23076923078
french hip hop,pop urbaine,75,8.451612903225806,97068.7741935484
reggaeton,urbano latino,74,38.80952380952381,291931.71428571426
pop,pop rap,71,41.26923076923077,430489.4038461539
dance pop,pop,71,43.65217391304348,630210.2608695652
hip hop,hip hop,67,42.62,148256.94
hip hop,southern hip hop,66,44.911764705882355,61598.76470588235
trap latino,urbano latino,61,38.473684210526315,318160.84210526315
slap house,trap,59,40.54545454545455,93913.24242424243
r&b,rap,58,39.292682926829265,256737.92682926828
reggaeton,trap latino,55,39.05263157894737,276213.63157894736
atl hip hop,pop,51,33.073170731707314,563635.9268292683
hip hop,r&b,47,40.71875,160006.34375
atl hip hop,melodic rap,46,41.22222222222222,231064.75
deep german hip hop,german hip hop,46,25.333333333333332,136475.61904761905
melodic rap,slap house,45,41.875,104896.58333333333
edm,pop dance,45,30.95,300515.8
dance pop,rap,44,50.5,526043.7333333333
rap,slap house,43,41.457142857142856,93082.4
electro house,pop,42,44.142857142857146,332872.02857142856
r&b,trap,42,42.35,33351.75
french hip hop,french hip hop,42,9.8125,98157.40625
hamburg hip hop,hamburg hip hop,41,25.73913043478261,136068.60869565216
pop,r&b,41,40.36666666666667,503850.73333333334
pop,southern hip hop,41,40.53125,369850.34375
urbano latino,urbano latino,40,38.473684210526315,318160.84210526315
french hip hop,rap francais,40,10.238095238095237,44831.09523809524
pop rap,southern hip hop,39,47.04545454545455,30343.454545454544
pop urbaine,rap francais,37,10.75,46861.2
gangster rap,rap,35,42.95454545454545,89047.63636363637
atl hip hop,pop rap,34,43.23076923076923,213921.84615384616
pop urbaine,pop urbaine,34,7.038461538461538,105976.73076923077
reggaeton,reggaeton,34,39.05263157894737,276213.63157894736
dance pop,trap,34,51.24,567171.84
edm,rap,33,45.84,363730.52
atl hip hop,slap house,32,40.964285714285715,106074.60714285714
dance pop,pop rap,31,46.47826086956522,409459.3043478261
dance pop,hip hop,30,52.18181818181818,487565.45454545453
atl hip hop,southern hip hop,29,46.30434782608695,62611.82608695652
