Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1196,29.947916666666668,4264793.71875
reggaeton,trap latino,1074,30.782122905027933,4213272.463687151
trap latino,urbano latino,1072,30.337209302325583,4203976.366279069
reggaeton,reggaeton,599,29.57837837837838,4258070.162162162
urbano latino,urbano latino,597,29.35195530726257,4205854.407821229
trap latino,trap latino,491,28.3125,3574463.8203125
latin hip hop,reggaeton,292,30.97029702970297,4306753.6435643565
latin hip hop,urbano latino,291,30.278350515463917,4226137.175257732
reggaeton flow,urbano latino,277,31.96153846153846,3223217.4615384615
reggaeton,reggaeton flow,276,31.96153846153846,3223217.4615384615
reggaeton flow,trap latino,270,33.326530612244895,3363056.163265306
latin hip hop,trap latino,238,28.975,4039470.5375
puerto rican pop,reggaeton,111,30.49056603773585,5869233.377358491
puerto rican pop,urbano latino,107,30.82,5874730.36
latin pop,urbano latino,95,37.916666666666664,5203408.958333333
latin pop,reggaeton,94,37.40845070422535,5271666.690140845
reggaeton,reggaeton colombiano,83,30.66,4716126.3
reggaeton colombiano,urbano latino,83,29.833333333333332,5092125.625
puerto rican pop,trap latino,80,26.285714285714285,5630190.2
pop,rap,73,20.829787234042552,1295824.3617021276
pop,pop,67,37.389830508474574,2467792.7118644067
reggaeton colombiano,trap latino,63,31.37837837837838,4071109.108108108
latin pop,trap latino,60,38.93617021276596,5505373.85106383
dance pop,pop,54,39.96969696969697,2461870.303030303
latin hip hop,reggaeton flow,53,33.03846153846154,3843545.846153846
pop,pop dance,48,28.914285714285715,2047196.5428571429
pop,urbano latino,46,29.666666666666668,3728469.0606060605
pop,reggaeton,45,29.181818181818183,3617586.5454545454
edm,pop,45,34.82857142857143,2097406.285714286
hip hop,pop,45,26.181818181818183,1362897.7575757576
dance pop,urbano latino,40,37.96551724137931,4204032.24137931
colombian pop,latin pop,38,30.071428571428573,4615554.964285715
dance pop,reggaeton,38,36.67857142857143,4214440.285714285
reggaeton flow,reggaeton flow,37,37.08695652173913,3546590.1739130435
pop,trap,37,26.40740740740741,1382025.148148148
latin hip hop,latin pop,36,38.121212121212125,4954111.96969697
latin hip hop,puerto rican pop,35,22.275862068965516,5950031.482758621
latin hip hop,latin hip hop,34,22.692307692307693,2603901.846153846
latin pop,latin pop,34,37.90625,4922620.0
colombian pop,reggaeton,34,35.111111111111114,4666442.074074074
rap dominicano,trap latino,34,19.545454545454547,825563.5454545454
hip hop,rap,33,37.588235294117645,1526633.8235294118
rap dominicano,urbano latino,33,19.545454545454547,825563.5454545454
colombian pop,urbano latino,32,36.08,4929861.72
rap dominicano,reggaeton,32,19.545454545454547,825563.5454545454
pop,trap latino,31,25.40909090909091,4053279.590909091
dance pop,rap,30,39.23076923076923,2007890.6923076923
rap,trap,30,35.0,1505132.3125
pop,pop rap,30,42.23809523809524,1979778.857142857
rap,reggaeton,29,25.6,724946.2
rap,urbano latino,28,23.285714285714285,758622.0714285715
rap,trap latino,27,20.076923076923077,741131.9230769231
atl hip hop,pop,27,21.59090909090909,1074746.8636363635
rap,rap,27,33.0,1080368.8235294118
dance pop,trap latino,27,31.95,3868079.05
dembow,trap latino,27,35.333333333333336,534200.6666666666
dembow,urbano latino,27,35.333333333333336,534200.6666666666
latin pop,reggaeton colombiano,26,38.04545454545455,6048074.136363637
latin hip hop,reggaeton colombiano,26,32.95238095238095,3718871.3333333335
dembow,reggaeton,26,35.333333333333336,534200.6666666666
pop rap,rap,25,58.333333333333336,2023299.888888889
electro house,pop,22,26.944444444444443,1592042.0
dance pop,pop dance,20,26.22222222222222,1972312.888888889
reggaeton,trap,19,25.076923076923077,802855.5384615385
trap,urbano latino,19,25.076923076923077,802855.5384615385
puerto rican pop,reggaeton flow,19,26.166666666666668,4332370.0
latin pop,pop,19,32.111111111111114,3425019.1666666665
hip hop,trap,19,32.0,1131683.0
trap dominicano,trap latino,19,40.4,1126064.8
trap dominicano,urbano latino,19,40.4,1126064.8
edm,pop dance,19,40.8,1630846.2
trap,trap latino,18,21.75,787594.0
colombian pop,reggaeton colombiano,18,33.5,5411982.214285715
pop,reggaeton colombiano,18,36.8,4562516.266666667
dance pop,edm,18,32.470588235294116,1711032.0
pop,r&b,18,38.142857142857146,1522437.0
reggaeton,trap dominicano,18,40.4,1126064.8
dance pop,trap,17,39.54545454545455,2238849.090909091
dance pop,dance pop,17,34.1764705882353,1925249.6470588236
hip hop,melodic rap,17,27.307692307692307,1123091.076923077
melodic rap,rap,17,27.307692307692307,1123091.076923077
electro latino,reggaeton,17,4.666666666666667,3884298.3333333335
melodic rap,pop,16,24.181818181818183,1307526.9090909092
edm,rap,16,29.4,1258558.2
electro house,rap,16,29.4,1258558.2
mexican pop,urbano latino,16,46.6875,4146197.3125
electro latino,urbano latino,16,5.25,4187472.375
dance pop,latin pop,15,38.857142857142854,3009970.4285714286
dance pop,reggaeton colombiano,15,35.75,5146829.75
dance pop,hip hop,15,41.22222222222222,2237763.111111111
atl hip hop,rap,15,24.181818181818183,1025738.4545454546
atl hip hop,reggaeton,14,14.555555555555555,816426.4444444445
atl hip hop,trap latino,14,14.555555555555555,816426.4444444445
atl hip hop,urbano latino,14,14.555555555555555,816426.4444444445
atl hip hop,dance pop,14,30.77777777777778,1288741.0
