Source,Target,Weight,Avg_Popularity,Avg_Streams
czech hip hop,czsk hip hop,162,12.646153846153846,36645.16923076923
pop,rap,160,33.885714285714286,178636.41904761904
pop,pop,138,39.3177570093458,345382.7757009346
hip hop,rap,108,44.549019607843135,161768.72549019608
rap,trap,106,45.40425531914894,164470.87234042553
pop,pop dance,101,33.223684210526315,278611.69736842107
edm,pop,97,38.733333333333334,293475.96
hip hop,pop,96,35.54054054054054,163068.64864864864
czsk hip hop,czsk hip hop,90,12.56140350877193,38097.57894736842
pop,trap,90,37.608695652173914,203619.30434782608
rap,rap,86,45.679245283018865,157271.01886792452
czech hip hop,czech hip hop,83,12.946428571428571,40347.267857142855
pop,pop rap,75,40.92857142857143,185330.94642857142
pop rap,rap,75,47.945945945945944,165339.67567567568
dance pop,pop,73,44.714285714285715,263751.32653061225
hip hop,trap,65,48.774193548387096,136922.96774193548
edm,pop dance,52,27.083333333333332,120413.58333333333
atl hip hop,rap,49,41.03703703703704,168038.25925925927
pop rap,trap,49,47.82142857142857,149464.7142857143
atl hip hop,pop,48,30.31578947368421,259578.34210526315
electro house,pop,47,41.94736842105263,150087.2105263158
hip hop,pop rap,47,47.30434782608695,102885.78260869565
dance pop,rap,45,47.03225806451613,207069.61290322582
pop,r&b,44,41.54545454545455,192961.48484848486
pop,southern hip hop,44,40.1764705882353,181750.20588235295
melodic rap,rap,39,43.608695652173914,252463.21739130435
atl hip hop,hip hop,34,43.2,93989.15
rap,southern hip hop,34,52.21052631578947,172915.47368421053
r&b,rap,33,40.75,131064.39285714286
trap,trap,33,50.041666666666664,154223.08333333334
dance pop,trap,33,48.2,231412.08
hip hop,hip hop,33,47.92,110402.4
dance pop,pop rap,32,43.708333333333336,178711.54166666666
atl hip hop,trap,31,43.0,96217.4
edm,rap,30,46.625,158739.16666666666
dance pop,edm,30,40.74074074074074,263999.55555555556
dance pop,pop dance,30,36.88461538461539,255415.0
czech drill,czsk hip hop,29,10.91304347826087,69792.04347826086
pop dance,pop dance,29,28.26086956521739,125075.91304347826
dance pop,hip hop,29,51.285714285714285,200649.04761904763
czech drill,czech hip hop,28,11.952380952380953,74835.90476190476
melodic rap,pop,28,42.23529411764706,329951.0588235294
pop,uk dance,27,54.72727272727273,291727.9090909091
pop,uk pop,27,39.19230769230769,290927.76923076925
hip hop,r&b,27,43.13636363636363,82973.63636363637
hip hop,melodic rap,26,42.4375,289180.625
pop dance,uk pop,26,38.708333333333336,253519.91666666666
southern hip hop,trap,26,52.333333333333336,180817.58333333334
electro house,pop dance,26,23.4,90847.9
melodic rap,trap,25,44.44444444444444,278267.1111111111
hip hop,southern hip hop,25,49.57142857142857,53831.07142857143
edm,edm,24,31.95,121618.15
electropop,pop,23,37.78947368421053,335674.36842105264
edm,electro house,23,27.57894736842105,71836.36842105263
electro house,rap,23,51.5,192059.27777777778
canadian pop,rap,23,56.76923076923077,104571.76923076923
edm,trap,22,48.95,165812.75
atl hip hop,pop rap,22,43.4,122331.06666666667
reggaeton,urbano latino,22,42.2,7333.4
pop,progressive house,21,53.27777777777778,300272.55555555556
pop,progressive electro house,21,47.77777777777778,183571.11111111112
melodic rap,pop rap,20,47.76923076923077,249576.15384615384
edm,progressive electro house,20,32.294117647058826,72771.0
pop dance,progressive electro house,20,29.0,72783.0
pop rap,pop rap,20,50.416666666666664,185781.16666666666
trap latino,urbano latino,20,31.75,7780.75
edm,uk pop,19,43.11764705882353,301135.9411764706
dance pop,southern hip hop,19,53.0,194340.2
canadian pop,pop,18,22.0,303886.70588235295
dutch house,pop dance,17,24.066666666666666,75497.13333333333
art pop,rap,16,26.6,46662.1
house,pop,16,54.76923076923077,143596.76923076922
edm,pop rap,16,34.0,144178.75
alt z,pop dance,16,44.0,148017.2
dutch house,edm,16,25.785714285714285,80795.64285714286
atl hip hop,dance pop,16,45.0,255364.66666666666
rap,urban contemporary,16,37.0,145250.0
electropop,pop dance,16,30.076923076923077,116440.69230769231
pop rap,southern hip hop,16,48.27272727272727,63680.545454545456
czsk hip hop,slovak hip hop,16,6.2727272727272725,12008.09090909091
reggaeton,trap latino,16,52.75,8361.25
edm,southern hip hop,15,43.42857142857143,145609.7857142857
pop dance,rap,15,31.454545454545453,149951.54545454544
metropopolis,pop,15,35.75,155459.125
pop,pop r&b,15,46.888888888888886,296088.55555555556
dance pop,uk pop,15,40.61538461538461,184853.46153846153
edm,hip hop,15,62.25,235346.58333333334
electro house,trap,15,56.214285714285715,211684.42857142858
house,rap,15,62.666666666666664,191988.0
progressive house,rap,15,62.666666666666664,191988.0
rap,uk dance,15,62.666666666666664,191988.0
hip hop,urban contemporary,15,37.0,105510.75
edm,electropop,15,27.25,90673.33333333333
alt z,pop,15,52.92857142857143,158372.7857142857
canadian pop,hip hop,15,54.72727272727273,123367.45454545454
dance pop,dance pop,14,51.285714285714285,199632.7857142857
art pop,pop,14,30.75,65806.75
uk dance,uk pop,14,27.46153846153846,210866.07692307694
alt z,edm,14,43.0,135500.41666666666
big room,edm,14,45.8,177399.8
big room,pop dance,14,45.8,177399.8
czsk hip hop,slovak trap,14,31.75,4448.5
dance pop,r&b,14,53.75,239842.16666666666
miami hip hop,rap,14,49.9,205683.8
east coast hip hop,rap,13,42.8,40946.5
gangster rap,rap,13,50.77777777777778,75104.55555555556
chicago rap,rap,13,41.57142857142857,187340.14285714287
canadian pop,trap,13,55.111111111111114,147546.44444444444
urbano latino,urbano latino,13,31.75,7780.75
rap,toronto rap,13,52.888888888888886,67597.77777777778
dutch house,pop,13,35.63636363636363,75719.09090909091
ohio hip hop,pop,12,24.916666666666668,76618.41666666667
pop,tropical house,12,42.7,455583.6
electro house,hip hop,12,61.3,278925.3
trap,uk dance,12,56.81818181818182,209089.63636363635
atl hip hop,melodic rap,12,39.3,258965.5
pop,urbano latino,12,33.4,248461.3
big room,pop,12,55.7,245310.1
pop rap,r&b,12,51.333333333333336,166218.33333333334
east coast hip hop,pop,11,29.545454545454547,22276.909090909092
detroit hip hop,pop,11,31.333333333333332,172374.0
hip hop,modern rock,11,49.666666666666664,107840.0
house,trap,11,62.5,229751.6
progressive house,trap,11,62.5,229751.6
hip hop,uk dance,11,57.0,246628.11111111112
pop,reggaeton,11,33.4,248461.3
czsk emo rap,czsk hip hop,11,21.0,28825.0
electro house,pop rap,11,43.75,176547.25
chicago rap,hip hop,11,41.57142857142857,187340.14285714287
canadian pop,pop rap,11,48.0,181378.85714285713
czech hip hop,slovak hip hop,11,5.0,12777.625
gangster rap,pop,11,50.714285714285715,205668.14285714287
pop dance,pop rap,10,26.11111111111111,117290.0
pop dance,trap,10,32.22222222222222,112814.0
dance pop,electro house,10,49.8,236064.9
dance pop,uk dance,10,61.888888888888886,448927.3333333333
rap,slap house,10,59.42857142857143,92930.28571428571
latin pop,reggaeton,10,54.285714285714285,595109.8571428572
latin pop,urbano latino,10,54.285714285714285,595109.8571428572
electro house,progressive electro house,10,8.0,16599.285714285714
hip hop,house,10,64.125,277147.875
hip hop,progressive house,10,64.125,277147.875
gangster rap,hip hop,10,51.142857142857146,95754.14285714286
atl hip hop,southern hip hop,10,47.142857142857146,11363.42857142857
edm,r&b,10,44.8,171028.0
electro house,electropop,10,22.2,108147.9
moombahton,pop,10,19.625,218221.125
hip hop,miami hip hop,10,42.125,163314.625
new orleans rap,rap,10,55.8,372900.8
canadian pop,pop dance,10,26.77777777777778,458227.0
canadian hip hop,rap,10,60.0,17082.428571428572
czech pop,czsk hip hop,10,17.857142857142858,30683.0
r&b,trap,10,44.875,81312.25
boy band,pop dance,9,14.555555555555555,136827.11111111112
edm,post-teen pop,9,37.55555555555556,441583.0
dancehall,pop,9,35.57142857142857,261077.57142857142
pop dance,southern hip hop,9,31.125,71726.875
pop r&b,rap,9,33.5,96872.33333333333
nz pop,pop,9,23.666666666666668,100297.0
dfw rap,pop,9,23.666666666666668,100297.0
hip pop,pop,9,14.333333333333334,260336.55555555556
pop,queens hip hop,9,14.333333333333334,260336.55555555556
electro house,slap house,9,19.142857142857142,84699.14285714286
electro house,southern hip hop,9,53.333333333333336,187697.44444444444
pop,toronto rap,9,31.5,112731.375
contemporary country,pop,9,39.285714285714285,161422.2857142857
dance pop,melodic rap,9,36.166666666666664,338458.3333333333
pop,pop edm,9,32.857142857142854,162503.42857142858
miami hip hop,pop,9,60.0,227760.33333333334
pop rap,uk dance,9,51.166666666666664,408473.3333333333
pop,urban contemporary,9,47.375,127706.0
miami hip hop,pop rap,9,41.285714285714285,183818.7142857143
miami hip hop,trap,9,45.142857142857146,193126.7142857143
atl trap,pop,9,37.0,286851.0
hip hop,rock,9,66.14285714285714,135535.0
reggaeton,reggaeton,9,52.75,8361.25
electronic trap,pop,9,11.5,196854.16666666666
pop,swedish tropical house,8,14.25,58996.5
dance pop,progressive house,8,55.0,469162.0
slap house,trap,8,56.0,96439.16666666667
rage rap,rap,8,36.0,33294.0
canadian contemporary r&b,pop,8,26.25,342699.25
brostep,pop,8,39.0,293673.0
melodic rap,southern hip hop,8,56.0,298115.2
pop,uk funky,8,50.857142857142854,496530.71428571426
pop dance,singer-songwriter pop,8,52.57142857142857,114624.0
edm,slap house,8,22.333333333333332,98596.0
modern rock,rap,8,49.0,128848.6
atl hip hop,edm,8,62.625,194514.5
pop dance,swedish pop,8,32.25,117057.5
pop rap,uk pop,8,28.625,73235.5
pop dance,tropical house,8,40.166666666666664,157175.83333333334
atl trap,rap,8,46.2,5312.6
modern alternative rock,pop,8,38.5,256761.33333333334
czech hip hop,czsk emo rap,8,18.6,29354.8
indie pop rap,rap,8,43.333333333333336,116194.33333333333
edm,pop edm,8,23.75,167775.0
pop dance,pop edm,8,23.75,167775.0
electro house,r&b,8,51.25,213272.75
alt z,electro house,8,34.875,66704.5
modern rock,trap,8,66.0,207392.33333333334
hip pop,rap,8,37.0,148936.8
modern rock,pop rap,8,73.0,281910.6666666667
reggaeton flow,urbano latino,8,74.0,21769.0
art pop,hip hop,7,27.857142857142858,23675.714285714286
art pop,trap,7,27.857142857142858,23675.714285714286
boy band,pop,7,8.142857142857142,69032.57142857143
pop dance,post-teen pop,7,36.57142857142857,460963.5714285714
metropopolis,rap,7,32.5,107862.5
rap,uk hip hop,7,35.57142857142857,40588.0
pop,swedish pop,7,39.42857142857143,391255.28571428574
edm,singer-songwriter pop,7,54.333333333333336,128672.33333333333
pop,singer-songwriter pop,7,54.0,139798.7142857143
australian dance,pop,7,48.57142857142857,183197.42857142858
edm,metropopolis,7,25.4,197445.6
edm,swedish pop,7,15.5,138241.66666666666
pop dance,slap house,7,8.2,110407.8
electropop,rap,7,46.5,80461.0
atl hip hop,electro house,7,62.42857142857143,221814.7142857143
southern hip hop,uk dance,7,51.285714285714285,209598.85714285713
r&b,slap house,7,47.57142857142857,17512.571428571428
pop rap,talent show,7,18.142857142857142,89770.57142857143
latin pop,pop,7,28.0,331716.14285714284
deep house,edm,7,46.6,151309.4
edm,tropical house,7,44.2,188192.4
deep house,pop dance,7,46.6,151309.4
gangster rap,pop rap,7,59.166666666666664,28913.0
gangster rap,trap,7,60.4,5658.8
country,pop,7,41.4,225091.0
country road,pop,7,41.4,225091.0
house,r&b,7,49.0,170709.42857142858
alt z,electropop,7,48.57142857142857,98304.42857142857
house,pop rap,7,57.25,296581.0
pop rap,progressive house,7,57.25,296581.0
pop,slap house,7,52.8,111106.4
chicago rap,pop rap,7,33.4,254783.8
conscious hip hop,rap,7,46.333333333333336,410974.3333333333
conscious hip hop,pop,7,50.0,276844.14285714284
hip hop,new orleans rap,7,53.25,463220.0
atl hip hop,canadian pop,7,51.333333333333336,219663.0
canadian pop,edm,7,34.42857142857143,588626.7142857143
dance pop,gangster rap,7,48.0,286794.6
electropop,progressive electro house,7,38.42857142857143,45465.28571428572
rap,rock,7,68.33333333333333,157658.0
trap latino,trap latino,7,63.5,13413.5
pop,trap latino,7,33.166666666666664,331083.0
toronto rap,trap,7,62.0,18936.6
hip hop,toronto rap,7,59.857142857142854,16871.0
cloud rap,emo rap,7,2.5,19777.5
gangster rap,r&b,7,42.666666666666664,26408.833333333332
edm,progressive house,7,49.333333333333336,79139.33333333333
pop dance,progressive house,7,49.333333333333336,79139.33333333333
dance pop,urbano latino,7,57.833333333333336,183124.83333333334
afrobeats,pop,7,22.8,59607.0
r&b,southern hip hop,7,45.142857142857146,92571.42857142857
rap,underground hip hop,7,45.25,9630.0
art pop,east coast hip hop,6,22.666666666666668,5861.833333333333
dance pop,dancehall,6,28.5,94249.5
dancehall,uk pop,6,28.5,94249.5
electropop,r&b,6,27.166666666666668,20315.166666666668
rage rap,trap,6,30.666666666666668,36436.333333333336
dfw rap,rap,6,26.5,389904.3333333333
nz pop,rap,6,23.666666666666668,100297.0
tropical house,uk pop,6,25.833333333333332,261866.33333333334
rap,uk pop,6,56.0,111634.16666666667
puerto rican pop,reggaeton,6,36.0,528754.6666666666
latin pop,trap latino,6,26.0,1054994.6666666667
dutch edm,edm,6,37.833333333333336,42080.333333333336
dutch edm,pop dance,6,37.833333333333336,42080.333333333336
dutch house,electro house,6,0.0,27632.0
dutch house,progressive electro house,6,0.0,27667.0
indie pop rap,pop,6,48.666666666666664,106828.0
oakland hip hop,pop,6,48.666666666666664,106828.0
atl hip hop,house,6,66.0,185198.66666666666
house,southern hip hop,6,59.833333333333336,244120.33333333334
atl hip hop,progressive house,6,66.0,185198.66666666666
progressive house,southern hip hop,6,59.833333333333336,244120.33333333334
atl hip hop,uk dance,6,66.0,185198.66666666666
barbadian pop,hip hop,6,29.666666666666668,178568.16666666666
