Source,Target,Weight,Avg_Popularity,Avg_Streams
german hip hop,german hip hop,642,33.54177215189873,3858635.2784810127
german drill,german hip hop,157,34.10843373493976,2717444.8313253014
german hip hop,hamburg hip hop,145,36.101694915254235,4851502.237288136
rap,trap,132,63.666666666666664,4682318.633333334
german cloud rap,german hip hop,112,30.5,1868732.25
german alternative rap,german hip hop,102,30.15909090909091,1081764.6818181819
rap,rap,102,65.69014084507042,5714695.014084507
hip hop,rap,89,67.74545454545455,5400708.709090909
melodic rap,rap,74,62.266666666666666,5561740.822222223
german pop,german pop,65,48.18181818181818,3888827.0
albanian hip hop,german hip hop,64,30.770833333333332,3906625.8958333335
atl hip hop,rap,61,65.91891891891892,3344730.054054054
pop,pop,61,62.73684210526316,3371582.49122807
german hip hop,german trap,56,30.8,1233960.5142857144
pop,rap,56,59.02040816326531,3245530.5918367347
dance pop,pop,56,63.12820512820513,1877963.5384615385
german hip hop,german pop,55,40.369565217391305,6539793.695652174
hip hop,trap,52,65.89473684210526,5493878.7105263155
frauenrap,german hip hop,51,38.61764705882353,9970127.676470589
pop rap,rap,51,67.53846153846153,5697474.461538462
german hip hop,german underground rap,47,22.0,360497.1923076923
melodic rap,trap,45,59.8125,5049044.46875
deep german hip hop,german hip hop,42,35.583333333333336,1867101.4583333333
trap,trap,40,64.86666666666666,6136747.1
pop rap,trap,36,69.1,4476887.05
atl hip hop,trap,34,64.04761904761905,3652693.1904761903
reggaeton,urbano latino,32,72.2,2192538.2
atl hip hop,hip hop,31,68.8,2754788.64
german hip hop,german r&b,31,39.473684210526315,2592361.4210526315
german pop,german singer-songwriter,30,64.0,11418447.0
canadian hip hop,rap,28,69.42105263157895,8265945.736842105
pop,reggaeton,28,63.833333333333336,4269451.777777778
rap,toronto rap,27,72.83333333333333,8715610.833333334
hip hop,melodic rap,27,69.04545454545455,7126343.545454546
edm,pop,27,62.5,2032759.3333333333
hamburg hip hop,hamburg hip hop,26,40.9,2751902.55
pop,urbano latino,26,63.833333333333336,4269451.777777778
hip hop,pop,26,67.25,2446069.2916666665
reggaeton,trap latino,26,72.2,2192538.2
rap,southern hip hop,25,63.9,1837068.2
pop,pop dance,25,59.76190476190476,1854329.5714285714
pop,pop rap,25,65.52380952380952,2086473.0476190476
german alternative rap,german cloud rap,23,30.05,363837.25
german cloud rap,hamburg hip hop,23,43.7,2907470.2
pop,trap,23,64.45,2441729.75
hip hop,hip hop,22,63.59090909090909,5367759.454545454
german hip hop,turkish hip hop,22,31.727272727272727,3063389.727272727
german hip hop,tekk,21,41.75,1669787.3333333333
pop,trap latino,21,65.73333333333333,4972648.933333334
german hip hop,swedish hip hop,21,34.86666666666667,4203886.866666666
reggaeton,reggaeton,21,72.2,2192538.2
canadian hip hop,trap,20,70.92857142857143,8571814.92857143
canadian pop,rap,20,73.16666666666667,6898110.611111111
toronto rap,trap,20,70.92857142857143,8571814.92857143
dance pop,reggaeton,20,59.166666666666664,4209203.166666667
trap latino,urbano latino,20,72.2,2192538.2
german alternative rap,german drill,19,38.285714285714285,1658559.357142857
pop dance,uk dance,19,63.666666666666664,21512318.444444444
melodic rap,pop rap,19,70.76923076923077,6791909.0
hip hop,pop rap,19,65.71428571428571,6244597.428571428
pop,r&b,19,64.0625,895049.3125
dance pop,dance pop,19,70.0,289492.92307692306
german alternative rap,german trap,18,28.058823529411764,1291012.5294117648
german cloud rap,german drill,18,30.272727272727273,489134.9090909091
dance pop,urbano latino,18,59.166666666666664,4209203.166666667
melodic rap,pop,18,48.111111111111114,3526825.611111111
latin pop,reggaeton,18,57.333333333333336,727494.6666666666
german hip hop,kosovan pop,17,30.785714285714285,10429196.214285715
dance pop,rap,17,63.76923076923077,1428769.1538461538
atl trap,rap,17,65.38461538461539,3251766.6153846155
pop dance,pop dance,16,59.142857142857146,14043240.42857143
gangster rap,rap,16,63.84615384615385,2227594.4615384615
brooklyn drill,rap,16,69.9,7168803.6
pop,urban contemporary,16,61.54545454545455,762648.3636363636
german hip hop,jamaican dancehall,15,36.63636363636363,2977551.909090909
pop dance,uk pop,15,58.92307692307692,8525778.076923076
canadian pop,pop,15,63.92307692307692,4612099.230769231
r&b,rap,15,69.58333333333333,4097086.75
dance pop,trap latino,14,62.0,4982734.3
atl hip hop,melodic rap,14,64.53846153846153,3783417.4615384615
melodic rap,melodic rap,14,53.5,3578998.5714285714
canadian trap,rap,14,61.42857142857143,10584937.0
edm,rap,14,46.083333333333336,3914745.1666666665
southern hip hop,trap,14,65.41666666666667,230093.41666666666
dance pop,urban contemporary,14,71.77777777777777,362676.77777777775
german alternative rap,german alternative rap,13,42.46153846153846,1646597.6153846155
canadian hip hop,hip hop,13,72.66666666666667,9296089.75
hip hop,toronto rap,13,72.66666666666667,9296089.75
pop dance,slap house,13,55.07692307692308,15296305.076923076
pop,reggaeton colombiano,13,64.41666666666667,4102542.8333333335
rap,slap house,13,66.81818181818181,2499323.0
pop rap,pop rap,13,70.0909090909091,2986864.727272727
pop dance,rap,13,46.5,2254082.7
albanian pop,german hip hop,13,29.846153846153847,3676653.6923076925
dance pop,r&b,13,71.2,374663.3
north carolina hip hop,rap,13,69.0,14445349.75
pop,uk pop,13,60.25,3225681.1666666665
german pop,german pop rock,13,52.5,3901349.0
edm,reggaeton,13,65.2,1902723.2
pop dance,reggaeton,13,65.2,1902723.2
latin pop,urbano latino,13,60.5,1027774.0
atl hip hop,canadian hip hop,12,71.18181818181819,7024702.636363637
canadian pop,trap,12,72.2,6498939.2
atl hip hop,toronto rap,12,71.18181818181819,7024702.636363637
german hip hop,romanian pop,12,28.7,14409003.4
atl trap,hip hop,12,69.2,3373460.1
urbano latino,urbano latino,12,72.2,2192538.2
electro house,pop,12,58.2,1421019.8
edm,pop dance,12,58.75,3269536.5
dance pop,pop rap,12,70.66666666666667,351428.1666666667
german pop,german r&b,12,43.0,3862157.0
german drill,hamburg hip hop,12,39.0,2325281.0
reggaeton,reggaeton colombiano,12,65.0,1878567.5
deep german hip hop,hamburg hip hop,11,41.333333333333336,3658913.5555555555
canadian pop,hip hop,11,72.0909090909091,8647280.181818182
hip hop,southern hip hop,11,60.63636363636363,3138396.909090909
pop rap,reggaeton,11,58.63636363636363,4915510.818181818
pop rap,urbano latino,11,58.63636363636363,4915510.818181818
chicago rap,pop,11,43.5,5360149.3
german dance,pop dance,11,50.90909090909091,18126441.90909091
christlicher rap,german hip hop,11,35.72727272727273,4874977.818181818
german hip hop,german singer-songwriter,11,47.285714285714285,10830875.714285715
chicago rap,rap,11,43.7,4795150.2
gangster rap,hip hop,11,66.22222222222223,804291.5555555555
brooklyn drill,trap,11,68.5,6487058.125
detroit hip hop,hip hop,11,62.0,716158.5
german pop,hamburg hip hop,11,34.875,463571.75
albanian pop,german pop,11,64.0,11418447.0
german pop,singer-songwriter pop,11,64.0,11418447.0
german pop,uk pop,11,64.0,11418447.0
belgian pop,german pop,11,64.0,11418447.0
belgian rock,german pop,11,64.0,11418447.0
belgian singer-songwriter,german pop,11,64.0,11418447.0
classic progressive house,german pop,11,64.0,11418447.0
german pop,swedish electronic,11,64.0,11418447.0
german pop,trance,11,64.0,11418447.0
german drill,german drill,11,28.0,793884.5
mexican pop,reggaeton,11,55.0,97016.0
german alternative rap,tekk,10,42.5,1838102.6
