Source,Target,Weight,Avg_Popularity,Avg_Streams
danish hip hop,danish pop,313,35.889830508474574,1614163.279661017
danish hip hop,danish hip hop,174,35.473214285714285,1574431.7857142857
danish pop,danish pop,155,36.47959183673469,1770752.2551020407
rap,trap,131,59.279411764705884,735118.1029411765
rap,rap,121,55.58620689655172,683086.9655172414
pop,pop,117,55.166666666666664,841912.3229166666
hip hop,rap,116,56.871428571428574,563404.1
pop,rap,110,51.89333333333333,696894.1466666666
melodic rap,rap,83,53.0,822707.0576923077
pop,pop dance,78,49.8,362384.0363636364
edm,pop,77,54.293103448275865,539140.2068965518
pop rap,rap,72,61.340425531914896,451840.170212766
atl hip hop,rap,58,57.029411764705884,718757.5588235294
hip hop,pop,57,47.044444444444444,514291.6
hip hop,trap,57,61.395348837209305,597800.2790697674
pop,trap,54,50.90909090909091,753996.0909090909
dance pop,pop,52,59.04761904761905,737860.6666666666
melodic rap,trap,47,54.38235294117647,834541.7352941176
pop,uk pop,43,50.86486486486486,856917.5945945946
pop,pop rap,41,49.411764705882355,465665.5
pop rap,trap,39,61.714285714285715,498085.71428571426
hip hop,melodic rap,38,54.233333333333334,734518.0333333333
trap,trap,37,58.354838709677416,419175.32258064515
rap,southern hip hop,34,57.44444444444444,495447.0
edm,pop dance,33,50.86666666666667,192752.86666666667
atl hip hop,trap,31,54.526315789473685,552867.1052631579
electro house,pop,31,49.11538461538461,340723.1538461539
hip hop,pop rap,31,59.84615384615385,318871.3076923077
atl hip hop,hip hop,30,63.08695652173913,459733.39130434784
pop,r&b,30,50.25925925925926,681268.1851851852
melodic rap,pop,29,56.06896551724138,943231.3448275862
dfw rap,rap,28,43.59090909090909,1069622.5454545454
pop dance,uk pop,28,47.69230769230769,488832.1538461539
r&b,rap,28,49.04,207640.88
rap,slap house,27,52.2,489890.1
pop,uk dance,26,51.333333333333336,799242.8571428572
pop,reggaeton,26,63.06666666666667,494857.6666666667
hip hop,hip hop,26,60.96153846153846,456216.03846153844
pop,trap latino,25,63.875,483744.625
pop,urbano latino,25,63.13333333333333,484469.6666666667
pop dance,pop dance,23,54.23529411764706,718898.1176470588
pop dance,uk dance,23,42.8,1074162.6
dance pop,pop dance,23,54.55,376204.6
edm,uk pop,23,48.82608695652174,602174.6521739131
atl hip hop,pop,23,51.7,598367.3
melodic rap,pop rap,23,58.8421052631579,526195.0
dance pop,edm,22,56.19047619047619,440018.14285714284
miami hip hop,rap,22,62.69230769230769,362536.92307692306
canadian pop,rap,21,42.76470588235294,601887.7058823529
canadian pop,pop,21,51.55555555555556,990867.7222222222
house,pop,20,53.875,844949.5625
electropop,pop,20,42.23529411764706,995546.4117647059
pop,southern hip hop,20,45.4,285388.0
hip hop,r&b,20,50.05263157894737,184432.94736842104
pop,slap house,19,45.625,453231.1875
dfw rap,trap,19,52.0,1378798.8125
atl hip hop,pop rap,19,57.214285714285715,434888.14285714284
atl hip hop,melodic rap,19,49.05555555555556,849690.2777777778
rap,uk pop,19,64.85714285714286,1202209.857142857
