Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1177,30.023668639053255,349644.65088757395
trap latino,urbano latino,1099,30.645569620253166,358064.56329113926
reggaeton,trap latino,1093,30.83125,349185.875
urbano latino,urbano latino,591,29.82716049382716,352271.84567901236
reggaeton,reggaeton,586,29.836363636363636,343188.0181818182
trap latino,trap latino,516,29.024,333334.744
reggaeton flow,urbano latino,298,32.59016393442623,321554.01639344264
reggaeton,reggaeton flow,296,32.59016393442623,321554.01639344264
reggaeton flow,trap latino,293,33.13333333333333,318755.51666666666
latin hip hop,urbano latino,259,30.57831325301205,363837.0963855422
latin hip hop,reggaeton,258,30.55294117647059,364934.24705882353
latin hip hop,trap latino,225,30.211267605633804,369730.7042253521
puerto rican pop,reggaeton,100,27.613636363636363,439487.2272727273
puerto rican pop,urbano latino,98,28.46511627906977,453257.06976744183
pop,rap,93,26.271186440677965,111268.03389830509
puerto rican pop,trap latino,82,23.0625,421135.21875
merengue,merengue,78,0.0,2519.0
reggaeton colombiano,urbano latino,70,32.10526315789474,367697.86842105264
latin pop,urbano latino,70,40.43396226415094,337636.2641509434
reggaeton,reggaeton colombiano,68,32.4054054054054,354144.2972972973
pop,pop,66,37.224137931034484,205459.9827586207
latin pop,reggaeton,66,39.36734693877551,354063.5306122449
merengue,salsa,60,0.0,2519.0
rap dominicano,trap latino,59,20.115384615384617,196746.65384615384
dembow,trap latino,58,24.4,143396.2
latin hip hop,reggaeton flow,57,32.0,375601.3333333333
dembow,urbano latino,57,25.416666666666668,139399.33333333334
rap dominicano,urbano latino,57,20.92,195043.68
dembow,reggaeton,56,25.416666666666668,139399.33333333334
hip hop,pop,56,29.658536585365855,118044.14634146342
rap dominicano,reggaeton,56,20.92,195043.68
reggaeton colombiano,trap latino,55,34.206896551724135,325950.7931034483
hip hop,rap,54,39.148148148148145,139860.77777777778
pop,trap,51,30.486486486486488,124260.48648648648
rap,rap,48,38.0,128762.21428571429
rap,trap,48,38.48,142223.24
dembow,rap dominicano,44,18.904761904761905,113154.90476190476
latin pop,trap latino,43,42.516129032258064,401347.4516129032
edm,pop,42,36.029411764705884,171925.82352941178
pop,urbano latino,42,31.642857142857142,216907.4642857143
pop,pop dance,40,26.344827586206897,179875.7931034483
pop,reggaeton,40,30.074074074074073,209457.03703703705
dance pop,pop,39,39.56,181546.4
reggaeton flow,reggaeton flow,37,37.26086956521739,357124.2173913043
atl hip hop,pop,37,26.20689655172414,120005.44827586207
dance pop,urbano latino,36,37.04,221249.2
merengue,merengue tipico,36,0.0,2519.0
merengue,tropical,36,0.0,2519.0
pop rap,rap,35,55.214285714285715,202242.85714285713
dance pop,reggaeton,34,35.5,213048.375
dance pop,rap,33,41.4,139710.86666666667
latin hip hop,puerto rican pop,31,21.53846153846154,508360.6538461539
pop,trap latino,31,28.904761904761905,196079.85714285713
dembow,dembow,29,18.1875,75374.6875
pop,pop rap,29,40.25,157228.65
atl hip hop,rap,27,33.5,117807.22222222222
latin pop,latin pop,27,38.592592592592595,212250.14814814815
rap,urbano latino,26,25.0,50543.846153846156
hip hop,trap,26,36.93333333333333,122371.73333333334
latin hip hop,latin pop,26,42.166666666666664,322541.8333333333
rap,reggaeton,25,20.75,54478.916666666664
rap,trap latino,25,18.833333333333332,39665.916666666664
puerto rican pop,reggaeton flow,25,26.294117647058822,284135.1176470588
colombian pop,latin pop,25,31.63157894736842,250675.8947368421
melodic rap,rap,24,34.470588235294116,159246.70588235295
dance pop,trap latino,24,30.41176470588235,166183.58823529413
dembow,reggaeton flow,24,29.181818181818183,161472.72727272726
rap dominicano,reggaeton flow,23,26.75,175867.0
hip hop,melodic rap,22,31.3125,148211.8125
latin hip hop,latin hip hop,22,20.0,231937.0625
latin hip hop,reggaeton colombiano,22,34.411764705882355,280865.0
dance pop,trap,21,44.357142857142854,141465.2142857143
electro house,pop,20,27.764705882352942,81329.29411764706
edm,rap,20,36.92307692307692,79407.53846153847
electro house,rap,20,36.92307692307692,79407.53846153847
colombian pop,reggaeton,20,36.4375,274893.8125
