Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,402,73.14473684210526,738374.3684210526
trap latino,urbano latino,397,72.32467532467533,760834.974025974
reggaeton,trap latino,334,73.01428571428572,739483.9142857143
urbano latino,urbano latino,239,72.27848101265823,747460.493670886
reggaeton,reggaeton,177,72.51666666666667,700557.0333333333
trap latino,trap latino,164,72.7741935483871,791990.1774193548
reggaeton flow,urbano latino,98,73.94444444444444,548578.7222222222
reggaeton,reggaeton flow,89,73.94444444444444,548578.7222222222
reggaeton flow,trap latino,82,74.375,588083.1875
reggaeton colombiano,urbano latino,75,70.28571428571429,630145.5714285715
reggaeton colombiano,trap latino,56,69.8,620764.4
reggaeton,reggaeton colombiano,55,69.66666666666667,683703.4583333334
trap argentino,urbano latino,55,67.3125,715959.5
trap argentino,trap latino,45,67.3125,715959.5
latin hip hop,urbano latino,40,74.9375,589344.6875
latin hip hop,reggaeton,36,74.9375,589344.6875
reggaeton,trap argentino,35,71.36363636363636,692803.9090909091
latin hip hop,trap latino,32,75.21428571428571,663206.5714285715
puerto rican pop,urbano latino,28,73.76923076923077,677840.3846153846
latin pop,urbano latino,27,70.84210526315789,556985.1052631579
latin pop,reggaeton,25,69.82352941176471,612839.8235294118
puerto rican pop,trap latino,24,73.27272727272727,659901.0909090909
panamanian pop,urbano latino,22,72.25,893561.25
puerto rican pop,reggaeton,22,71.22222222222223,449259.55555555556
panamanian pop,trap latino,21,72.25,893561.25
latin pop,trap latino,20,72.35714285714286,694091.2142857143
panamanian pop,reggaeton,19,72.25,893561.25
colombian pop,urbano latino,19,69.57142857142857,411120.21428571426
r&b en espanol,urbano latino,17,73.0,585620.8333333334
argentine hip hop,urbano latino,17,64.5,610947.875
colombian pop,reggaeton,16,68.91666666666667,453956.0833333333
colombian pop,latin pop,15,61.1,186637.0
argentine hip hop,trap latino,15,64.5,610947.875
reggaeton flow,trap argentino,14,70.33333333333333,587068.5
r&b en espanol,trap latino,14,73.0,585620.8333333334
r&b en espanol,reggaeton,14,71.6,682565.4
colombian pop,trap latino,14,69.9090909090909,479775.1818181818
reggaeton flow,reggaeton flow,13,73.11111111111111,500296.77777777775
reggaeton colombiano,reggaeton colombiano,13,66.5,482042.75
reggaeton colombiano,reggaeton flow,11,70.0,261935.16666666666
argentine hip hop,trap argentino,11,62.57142857142857,694944.4285714285
latin hip hop,reggaeton flow,10,74.66666666666667,520725.5
latin pop,reggaeton colombiano,10,66.14285714285714,351470.85714285716
trap argentino,trap argentino,10,62.5,614338.5
trap boricua,trap latino,10,68.33333333333333,439459.1666666667
trap boricua,urbano latino,10,68.33333333333333,439459.1666666667
trap latino,trap triste,9,68.28571428571429,402705.14285714284
trap triste,urbano latino,9,68.28571428571429,402705.14285714284
pop reggaeton,trap latino,8,74.5,1291922.6666666667
pop reggaeton,urbano latino,8,74.5,1291922.6666666667
r&b en espanol,reggaeton flow,8,72.66666666666667,666407.3333333334
latin pop,latin pop,8,66.66666666666667,242269.33333333334
argentine hip hop,reggaeton,8,71.5,275792.75
rap,reggaeton,7,50.2,422693.6
rap,trap latino,7,50.2,422693.6
rap,urbano latino,7,50.2,422693.6
puerto rican pop,reggaeton flow,7,79.4,851909.0
colombian pop,reggaeton colombiano,7,65.25,301820.0
latin hip hop,reggaeton colombiano,7,67.5,391380.0
rap latina,reggaeton,7,75.5,815951.75
rap latina,trap latino,7,75.5,815951.75
rap latina,urbano latino,7,75.5,815951.75
reggaeton,trap boricua,7,67.25,596381.75
pop reggaeton,reggaeton,6,77.2,1520241.2
panamanian pop,reggaeton flow,6,66.66666666666667,904873.6666666666
colombian pop,mexican pop,6,69.33333333333333,238541.16666666666
pop,pop,6,69.66666666666667,208609.66666666666
pop,reggaeton,6,72.75,485441.75
pop,trap latino,6,72.75,485441.75
pop,urbano latino,6,72.75,485441.75
pop,rap,5,65.6,355676.8
colombian pop,colombian pop,5,67.0,287343.0
puerto rican pop,reggaeton colombiano,5,69.75,97205.5
pop argentino,urbano latino,5,74.33333333333333,747804.0
rap canario,urbano espanol,5,76.0,541484.0
latin pop,reggaeton flow,4,70.66666666666667,156630.66666666666
latin pop,r&b en espanol,4,58.666666666666664,115878.33333333333
latin pop,mexican pop,4,65.5,235048.75
trap argentino,trap triste,4,71.0,659628.6666666666
hip hop,pop,4,61.0,340755.75
pop argentino,reggaeton,4,74.5,398526.5
pop argentino,trap latino,4,77.5,1105441.0
latin pop,pop argentino,4,74.5,379489.0
r&b en espanol,trap argentino,3,72.66666666666667,666407.3333333334
panamanian pop,reggaeton colombiano,3,66.66666666666667,654177.3333333334
reggaeton colombiano,trap argentino,3,69.66666666666667,349715.3333333333
