Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,98,54.294117647058826,37015.490196078434
rap,rap,86,52.04761904761905,34866.28571428572
pop,rap,84,51.21818181818182,41661.472727272725
hip hop,rap,83,53.60377358490566,23021.33962264151
pop,pop,78,51.029411764705884,60604.91176470588
melodic rap,rap,57,49.973684210526315,47029.5
pop rap,rap,51,57.09375,18715.625
edm,pop,47,51.432432432432435,34093.08108108108
pop,trap,44,47.72727272727273,49024.969696969696
hip hop,trap,43,57.483870967741936,27498.290322580644
atl hip hop,rap,43,50.17391304347826,31875.0
hip hop,pop,43,47.470588235294116,26139.676470588234
pop,pop dance,42,46.67741935483871,30021.774193548386
melodic rap,trap,32,49.53846153846154,44510.46153846154
rap,southern hip hop,32,49.76,16450.32
pop rap,trap,30,54.75,21847.35
hip hop,melodic rap,27,52.75,32629.958333333332
pop,pop rap,27,48.81818181818182,35244.181818181816
trap,trap,26,51.1578947368421,15059.684210526315
dance pop,pop,25,58.47826086956522,68859.47826086957
electro house,pop,25,46.3,18160.9
atl hip hop,trap,24,44.833333333333336,13034.833333333334
pop,uk pop,23,52.68181818181818,63767.22727272727
rap,slap house,22,46.94444444444444,22803.555555555555
hip hop,pop rap,22,53.35294117647059,13564.764705882353
pop,reggaeton,22,59.25,38121.416666666664
atl hip hop,hip hop,21,57.86666666666667,20993.2
dfw rap,rap,21,37.77777777777778,62156.555555555555
melodic rap,pop,21,52.095238095238095,71093.52380952382
pop dance,uk dance,21,46.125,85227.125
edm,pop dance,21,50.5,17552.333333333332
pop,trap latino,21,60.53846153846154,35382.0
pop,urbano latino,21,59.333333333333336,37902.083333333336
estonian hip hop,estonian pop,19,25.8125,221844.6875
atl hip hop,pop,19,43.53333333333333,30921.333333333332
pop dance,uk pop,18,42.86666666666667,46010.066666666666
pop,r&b,18,48.375,38260.75
gangster rap,rap,17,55.714285714285715,47973.42857142857
pop dance,pop dance,17,51.0,47369.53333333333
electropop,pop,17,39.1875,64179.875
hip hop,hip hop,17,57.11764705882353,27889.29411764706
r&b,rap,17,43.8,7099.8
dfw rap,trap,16,48.714285714285715,70751.07142857143
edm,uk pop,16,45.75,40234.4375
estonian pop,estonian pop,16,16.285714285714285,57620.142857142855
pop,southern hip hop,16,44.75,7327.166666666667
pop,swedish pop,15,52.583333333333336,13179.583333333334
atl hip hop,pop rap,15,44.5,4730.9
canadian pop,rap,15,45.61538461538461,19210.384615384617
hip hop,southern hip hop,15,50.57142857142857,20499.0
rap,uk pop,15,64.81818181818181,75540.0
edm,swedish pop,14,48.72727272727273,9381.636363636364
pop dance,swedish pop,14,48.72727272727273,9381.636363636364
gangster rap,hip hop,14,60.083333333333336,26323.0
atl trap,rap,14,53.44444444444444,60195.88888888889
slap house,trap,14,51.583333333333336,22479.25
house,pop,14,55.7,38572.4
dance pop,edm,14,54.285714285714285,33379.07142857143
dance pop,pop dance,14,51.61538461538461,35861.692307692305
rap,trap latino,14,62.0,40855.22222222222
melodic rap,pop rap,14,55.30769230769231,28669.53846153846
pop,uk dance,13,57.5,38181.5
electro house,pop dance,13,45.81818181818182,5347.636363636364
rap,reggaeton,13,59.5,40605.0
rap,urbano latino,13,59.5,40605.0
moombahton,pop,13,39.875,21024.375
pop,slap house,13,41.5,36615.3
southern hip hop,trap,13,44.3,14870.5
rap,singer-songwriter pop,13,63.55555555555556,58180.666666666664
edm,electro house,12,43.0,5779.2
edm,reggaeton,12,49.0,30605.666666666668
edm,urbano latino,12,49.0,30605.666666666668
pop dance,reggaeton,12,49.0,30605.666666666668
pop dance,urbano latino,12,49.0,30605.666666666668
