Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,76,67.47222222222223,75011.58333333333
hip hop,rap,73,69.84782608695652,87845.71739130435
rap,rap,69,68.625,102957.5
egyptian hip hop,egyptian trap,54,15.928571428571429,224696.75
melodic rap,rap,42,64.56521739130434,121279.82608695653
pop,pop,39,66.2051282051282,78411.10256410256
atl hip hop,rap,38,70.36,64150.56
hip hop,trap,35,69.29629629629629,68927.25925925926
egyptian hip hop,egyptian hip hop,33,15.379310344827585,218595.89655172414
pop,rap,32,58.142857142857146,64422.5
pop rap,rap,30,70.4375,101284.625
mahraganat,mahraganat,28,25.291666666666668,203041.83333333334
melodic rap,trap,27,64.375,97735.9375
atl hip hop,hip hop,24,69.95,48266.45
egyptian trap,egyptian trap,23,21.238095238095237,219298.7142857143
canadian hip hop,rap,22,73.8,90219.0
rap,toronto rap,22,73.8,90219.0
hip hop,hip hop,21,67.42857142857143,80602.19047619047
trap,trap,21,66.76923076923077,105983.23076923077
hip hop,melodic rap,18,74.0,149955.42857142858
pop rap,trap,18,68.5,81877.0
atl hip hop,trap,17,66.9090909090909,64281.181818181816
canadian hip hop,trap,16,72.45454545454545,97257.81818181818
canadian pop,rap,16,74.8,77581.8
toronto rap,trap,16,72.45454545454545,97257.81818181818
k-pop,pop,16,54.92857142857143,28133.14285714286
gangster rap,rap,15,66.33333333333333,26075.5
rap,slap house,15,67.0,73541.15384615384
detroit hip hop,hip hop,15,61.125,9050.125
melodic rap,pop,14,52.214285714285715,45577.42857142857
pop,trap,14,68.84615384615384,67965.23076923077
egyptian hip hop,egyptian pop,13,13.333333333333334,196108.16666666666
slap house,trap,13,66.72727272727273,26668.545454545456
hip hop,pop,13,67.91666666666667,66384.66666666667
dance pop,pop,13,67.83333333333333,71610.16666666667
gangster rap,hip hop,12,67.1,29809.9
atl trap,rap,12,69.0,62006.666666666664
melodic rap,pop rap,12,69.0,81755.875
canadian pop,pop,12,71.9,95065.0
atl hip hop,canadian hip hop,11,71.9,76680.5
canadian hip hop,hip hop,11,73.9,96225.9
rap,southern hip hop,11,64.8,37142.5
atl hip hop,toronto rap,11,71.9,76680.5
hip hop,toronto rap,11,73.9,96225.9
melodic rap,slap house,11,62.2,110026.9
canadian trap,rap,11,70.6,106378.4
egyptian pop,egyptian trap,11,14.545454545454545,209593.27272727274
atl trap,hip hop,11,69.0,62006.666666666664
detroit hip hop,rap,11,64.77777777777777,109116.33333333333
egyptian pop,mahraganat,11,22.25,169129.5
hip hop,pop rap,11,70.11111111111111,134066.33333333334
k-pop girl group,pop,11,70.25,36253.75
chicago rap,pop,10,41.22222222222222,39076.444444444445
mahraganat,shaabi,10,25.444444444444443,180048.0
reggaeton,trap latino,10,80.0,9781.333333333334
reggaeton,urbano latino,10,80.0,9781.333333333334
trap latino,urbano latino,10,80.0,9781.333333333334
