Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,650,27.511627906976745,6383762.449612403
reggaeton,trap latino,542,28.584745762711865,6079887.762711864
trap latino,urbano latino,542,27.241071428571427,6182170.357142857
latin pop,spanish pop,384,16.22222222222222,4364028.388888889
latin arena pop,spanish pop,365,25.9,3638088.6
reggaeton,reggaeton,325,27.227642276422763,6334093.325203252
urbano latino,urbano latino,325,26.279661016949152,6346557.313559322
pop flamenco,spanish pop,304,28.444444444444443,1330123.111111111
spanish pop,spanish pop,281,26.636363636363637,1210937.4545454546
latin arena pop,latin pop,232,29.545454545454547,4946719.0
trap latino,trap latino,230,24.69736842105263,4574991.263157895
latin pop,pop flamenco,214,15.777777777777779,3455787.6666666665
latin arena pop,pop flamenco,200,13.2,1388620.6
mexican pop,spanish pop,170,19.2,2093855.2
latin hip hop,reggaeton,162,26.83582089552239,6196265.940298508
latin hip hop,urbano latino,161,26.26984126984127,6234377.603174604
spanish pop,spanish pop rock,150,13.2,1388620.6
latin pop,latin pop,138,34.22222222222222,7224232.694444444
reggaeton flow,urbano latino,122,25.0,3912805.2608695654
colombian pop,spanish pop,121,16.066666666666666,4814200.866666666
reggaeton,reggaeton flow,120,25.0,3912805.2608695654
latin hip hop,trap latino,117,25.666666666666668,5752377.019607843
reggaeton flow,trap latino,114,25.0,3912805.2608695654
latin arena pop,latin arena pop,107,29.0,3846858.0
pop,rap,105,27.03030303030303,2484749.1515151514
latin pop,mexican pop,103,41.46153846153846,5709133.076923077
rumba,spanish pop,101,21.833333333333332,1204530.8333333333
colombian pop,latin pop,100,27.647058823529413,7142677.647058823
flamenco,spanish pop,100,13.2,1388620.6
latin pop,spanish pop rock,97,9.428571428571429,1872865.142857143
latin arena pop,mexican pop,96,23.5,1170253.3333333333
pop,pop,94,35.16883116883117,4826670.220779221
latin arena pop,spanish pop rock,91,11.0,2153907.6666666665
mexican pop,pop flamenco,90,13.2,1388620.6
latin pop,reggaeton,87,33.1044776119403,9215832.179104477
pop flamenco,spanish pop rock,85,13.2,1388620.6
latin pop,urbano latino,85,34.215384615384615,9731905.6
pop flamenco,pop flamenco,75,13.2,1388620.6
puerto rican pop,reggaeton,74,28.7,9290593.5
colombian pop,latin arena pop,73,15.75,3641039.875
puerto rican pop,urbano latino,71,26.89189189189189,9543691.081081081
flamenco,latin arena pop,70,13.2,1388620.6
flamenco,latin pop,70,13.2,1388620.6
latin arena pop,rumba,70,13.2,1388620.6
latin pop,rumba,70,13.2,1388620.6
reggaeton,reggaeton colombiano,67,24.209302325581394,6680135.348837209
reggaeton colombiano,urbano latino,67,22.926829268292682,7394363.12195122
dance pop,pop,65,36.19512195121951,4469556.951219512
colombian pop,pop flamenco,64,17.11111111111111,3865201.4444444445
hip hop,pop,62,31.717391304347824,2526746.7608695654
latin pop,pop,58,28.258064516129032,4370532.741935484
edm,pop,58,40.21739130434783,3807695.934782609
dance pop,spanish pop,57,14.285714285714286,1325624.4285714286
pop,spanish pop,57,22.571428571428573,1142135.7142857143
pop,pop dance,57,31.813953488372093,3661215.0
rock en espanol,spanish pop,56,11.0,1436477.3333333333
pop argentino,spanish pop,56,11.0,1188285.5
puerto rican pop,spanish pop,56,21.333333333333332,4474931.5
pop,trap,56,33.95,2834558.05
argentine telepop,spanish pop,55,13.2,1388620.6
folklore argentino,spanish pop,55,13.2,1388620.6
europop,spanish pop,55,13.2,1388620.6
italian adult pop,spanish pop,55,13.2,1388620.6
cantautor,spanish pop,54,28.75,1138331.75
latin pop,trap latino,52,33.642857142857146,9832038.69047619
dance pop,latin pop,51,30.08,5127868.84
flamenco,pop flamenco,50,13.2,1388620.6
pop flamenco,rumba,50,13.2,1388620.6
carnaval cadiz,spanish pop,50,13.2,1388620.6
puerto rican pop,trap latino,49,20.916666666666668,9795361.208333334
mexican pop,spanish pop rock,47,16.714285714285715,2253745.285714286
pop,reggaeton,46,30.057142857142857,5376999.657142857
pop,urbano latino,46,30.41176470588235,6031366.529411765
reggaeton colombiano,trap latino,46,22.3,5325167.833333333
hip hop,rap,45,35.80952380952381,4044996.5714285714
rap,trap,41,36.904761904761905,3598194.5714285714
dance pop,rap,40,38.714285714285715,3657878.6666666665
rap,rap,39,33.0,2803723.2608695654
latin pop,puerto rican pop,39,26.928571428571427,5845024.571428572
atl hip hop,pop,38,27.535714285714285,2563280.6428571427
latin arena pop,pop,37,22.571428571428573,1142135.7142857143
dance pop,urbano latino,37,36.7037037037037,9332366.0
pop,pop rap,37,43.65384615384615,4122688.6153846155
latin arena pop,pop argentino,36,11.0,1188285.5
latin pop,pop argentino,36,11.0,1188285.5
cantautor,latin arena pop,36,20.333333333333332,1167913.8333333333
cantautor,latin pop,36,11.0,3488079.3333333335
dance pop,latin arena pop,36,16.666666666666668,1161410.0
latin arena pop,puerto rican pop,36,21.333333333333332,4474931.5
dance pop,reggaeton,36,35.22222222222222,8669478.444444444
argentine telepop,latin arena pop,35,13.2,1388620.6
argentine telepop,latin pop,35,13.2,1388620.6
folklore argentino,latin arena pop,35,13.2,1388620.6
folklore argentino,latin pop,35,13.2,1388620.6
