Source,Target,Weight,Avg_Popularity,Avg_Streams
finnish dance pop,finnish hip hop,253,28.363636363636363,804583.5252525252
finnish dance pop,finnish pop,227,30.107692307692307,954103.3538461538
finnish hip hop,finnish pop,212,29.73949579831933,981187.0168067227
finnish hip hop,finnish hip hop,176,25.40449438202247,686901.5056179776
finnish pop,finnish pop,146,30.543478260869566,861791.2934782609
rap,trap,145,52.527027027027025,549380.3783783783
pop,pop,139,50.398305084745765,874301.6186440678
hip hop,rap,125,50.054054054054056,560700.2027027027
rap,rap,111,50.81818181818182,567241.7532467532
finnish dance pop,finnish dance pop,109,29.556962025316455,862792.3291139241
pop,rap,106,48.40506329113924,657483.8860759494
pop,pop dance,103,46.11267605633803,716565.7183098592
dance pop,pop,99,54.625,718093.15625
edm,pop,96,49.62686567164179,967811.7611940298
finnish pop,suomi rock,81,27.5,828055.5666666667
finnish hip hop,suomi rock,72,28.20967741935484,777317.9838709678
finnish pop,iskelma,70,28.877551020408163,881921.3265306122
hip hop,trap,70,58.48717948717949,440956.1282051282
finnish hip hop,iskelma,65,30.076923076923077,908932.9038461539
finnish dance pop,suomi rock,65,28.181818181818183,951575.9090909091
finnish hip hop,finnish trap,64,19.486486486486488,545461.027027027
pop rap,rap,64,58.095238095238095,592166.8333333334
finnish dance pop,iskelma,62,29.345454545454544,991196.2727272727
hip hop,pop,60,46.916666666666664,669544.75
melodic rap,rap,58,53.026315789473685,584471.2105263158
pop,trap,56,50.68888888888889,656555.7333333333
electro house,pop,53,44.05,690469.825
atl hip hop,rap,52,52.8,583424.3428571429
melodic rap,trap,51,49.71052631578947,661925.6578947369
pop,pop rap,46,57.69444444444444,703648.2222222222
trap,trap,45,56.90909090909091,410112.36363636365
rap,southern hip hop,42,57.37931034482759,300994.4482758621
pop,uk pop,42,45.06060606060606,848850.7878787878
edm,pop dance,41,57.0,748862.8888888889
pop rap,trap,40,63.07692307692308,459444.53846153844
dance pop,pop dance,38,52.3,660748.9333333333
hip hop,pop rap,37,56.80952380952381,521664.5714285714
finnish dance pop,finnish trap,36,24.28,816441.88
hip hop,hip hop,36,53.04,320432.76
pop,uk dance,34,52.7,1041012.3
dance pop,edm,32,60.375,1056759.4583333333
hip hop,melodic rap,32,52.642857142857146,673894.6071428572
dance pop,rap,31,59.095238095238095,538393.0
finnish pop,finnish trap,30,25.88,1083282.36
atl hip hop,hip hop,30,57.27272727272727,434003.0
big room,pop,28,59.05263157894737,1306547.7894736843
atl hip hop,pop,27,49.25,702590.7916666666
emo rap,rap,27,39.31818181818182,583827.6363636364
hip hop,southern hip hop,27,52.0,120860.30769230769
iskelma,suomi rock,27,26.0,552824.4761904762
miami hip hop,rap,27,66.52380952380952,538075.0952380953
r&b,rap,26,39.95,473385.2
atl hip hop,trap,26,57.473684210526315,452017.5263157895
pop,southern hip hop,25,60.0,458583.63157894736
southern hip hop,trap,25,61.8235294117647,160642.17647058822
suomi rock,suomi rock,25,28.391304347826086,722557.4782608695
hip hop,r&b,23,40.0625,307417.6875
dance pop,dance pop,23,64.57142857142857,699567.4285714285
pop,progressive electro house,23,54.294117647058826,1317730.8235294118
pop,r&b,23,51.526315789473685,581216.3684210526
pop dance,uk pop,23,45.8,638145.25
electropop,pop,23,49.88235294117647,532843.5294117647
dance pop,pop rap,23,62.64705882352941,464532.70588235295
pop dance,pop dance,22,54.4375,809670.5625
emo rap,trap,22,42.0,342789.23529411765
melodic rap,pop rap,21,60.89473684210526,558657.7368421053
edm,uk pop,21,53.88235294117647,1027505.5882352941
dance pop,trap,20,60.42857142857143,556989.7857142857
miami hip hop,trap,20,65.29411764705883,487646.8823529412
moombahton,pop,19,30.923076923076923,377684.6923076923
hip pop,pop,19,43.411764705882355,276444.23529411765
finnish hip hop,suomirap,19,15.11111111111111,21898.222222222223
electro house,pop dance,19,57.9375,617820.0625
latin pop,pop,19,42.53846153846154,995782.7692307692
pop,queens hip hop,18,42.375,293198.0625
edm,edm,18,55.714285714285715,901283.2142857143
canadian pop,rap,18,46.6,505824.6
melodic rap,pop,18,57.0,658700.6666666666
edm,rap,18,59.0,624220.4285714285
pop,reggaeton,18,56.54545454545455,1697082.4545454546
atl hip hop,melodic rap,17,50.35294117647059,759041.4705882353
dutch house,pop,17,56.54545454545455,828565.3636363636
pop rap,southern hip hop,17,56.916666666666664,63074.5
pop,urbano latino,17,56.54545454545455,1697082.4545454546
metropopolis,pop,17,51.45454545454545,576137.1818181818
big room,pop dance,16,53.27272727272727,1147398.4545454546
edm,electro house,16,58.142857142857146,689799.1428571428
hip hop,miami hip hop,16,68.0,561071.9285714285
rap,slap house,16,55.8,609035.2
slap house,trap,16,52.125,318701.0
big room,edm,15,53.8,1205172.2
canadian pop,hip hop,15,44.285714285714285,444991.0714285714
pop rap,pop rap,15,61.53846153846154,171898.0
pop dance,rap,15,60.27272727272727,770311.6363636364
pop,pop r&b,15,58.46153846153846,986411.0769230769
dance pop,uk pop,15,51.45454545454545,1240759.1818181819
pop dance,pop rap,15,53.76923076923077,646208.9230769231
dance pop,hip hop,15,60.72727272727273,310168.7272727273
dfw rap,trap,14,39.285714285714285,1139349.0714285714
conscious hip hop,rap,14,55.3,479316.2
pop,uk funky,14,52.083333333333336,1335670.6666666667
atl hip hop,pop rap,14,55.09090909090909,543372.8181818182
dance pop,southern hip hop,14,66.8,339383.2
edm,pop rap,14,55.416666666666664,341876.8333333333
australian pop,pop,13,36.53846153846154,849141.6923076923
pop,progressive house,13,64.08333333333333,1610217.4166666667
dfw rap,rap,13,45.0,983336.75
pop,swedish pop,13,52.76923076923077,721175.6923076923
big room,dance pop,13,61.375,902825.125
dutch house,edm,13,56.54545454545455,828565.3636363636
dutch house,pop dance,13,56.54545454545455,828565.3636363636
edm,progressive electro house,13,56.45454545454545,828565.5454545454
pop dance,progressive electro house,13,56.45454545454545,828565.5454545454
gangster rap,rap,13,46.2,136352.4
rap,uk pop,13,52.09090909090909,621072.6363636364
dance pop,latin pop,13,54.0,1031004.25
dance pop,reggaeton,13,63.77777777777778,1237181.7777777778
melodic rap,southern hip hop,12,59.75,573819.3333333334
rap,trap soul,12,45.1,505137.4
emo rap,melodic rap,12,46.0,396511.9090909091
canadian hip hop,rap,12,43.18181818181818,964357.4545454546
rap,toronto rap,12,43.18181818181818,650210.7272727273
house,pop,12,56.36363636363637,1220842.0909090908
pop,trap latino,12,65.625,1891068.875
miami hip hop,pop rap,12,71.36363636363636,426044.1818181818
dance pop,urbano latino,12,63.77777777777778,1237181.7777777778
canadian pop,pop,12,42.4,524403.8
australian dance,pop,11,37.45454545454545,932965.0
conscious hip hop,pop,11,43.18181818181818,631227.5454545454
rap,west coast rap,11,49.7,369771.3
dance pop,electro house,11,66.6,1199912.2
alt z,pop,11,40.77777777777778,261492.88888888888
finnish hip hop,finnish indie,11,26.22222222222222,737824.4444444445
finnish trap,suomi rock,11,25.181818181818183,998596.8181818182
rap,trap latino,11,63.25,1318672.25
chicago rap,rap,11,40.0,578554.1111111111
uk dance,uk pop,11,50.4,1395883.6
edm,trap,11,57.111111111111114,142245.22222222222
australian dance,edm,10,28.0,869402.3333333334
australian pop,edm,10,28.0,869402.3333333334
australian dance,pop dance,10,28.0,869402.3333333334
australian pop,pop dance,10,28.0,869402.3333333334
indie poptimism,pop,10,27.5,868418.5
dfw rap,hip hop,10,30.6,1267119.0
pop,post-teen pop,10,59.111111111111114,1579830.3333333333
gangster rap,hip hop,10,42.125,162413.75
contemporary country,pop,10,42.0,658670.8888888889
art pop,pop,10,58.25,539092.25
canadian pop,trap,10,52.111111111111114,543242.1111111111
iskelma,iskelma,10,27.25,858609.25
hip pop,rap,10,40.625,289458.625
pop,pop edm,10,51.57142857142857,750472.2857142857
electro house,rap,10,61.55555555555556,573856.2222222222
r&b,trap,10,57.5,95921.66666666667
melodic rap,miami hip hop,10,64.11111111111111,548576.5555555555
melodic rap,melodic rap,9,41.44444444444444,559412.7777777778
dutch edm,pop dance,9,49.285714285714285,1574303.857142857
pop,west coast rap,9,30.22222222222222,521742.1111111111
finnish indie,suomi rock,9,26.666666666666668,736626.1111111111
canadian hip hop,trap,9,50.125,425546.5
toronto rap,trap,9,50.125,425546.5
emo rap,hip hop,9,52.875,461095.125
queens hip hop,rap,9,37.714285714285715,329532.0
miami hip hop,pop,9,71.33333333333333,260001.0
alt z,pop dance,9,49.44444444444444,276408.55555555556
pop,puerto rican pop,9,40.0,1412826.8
dance pop,uk dance,9,60.375,840307.875
candy pop,pop,9,54.2,379634.6
dance pop,metropopolis,9,41.833333333333336,221501.33333333334
