Source,Target,Weight,Avg_Popularity,Avg_Streams
french hip hop,pop urbaine,512,37.88381742738589,4221134.091286307
french hip hop,rap francais,308,37.92655367231639,3641134.84180791
pop urbaine,rap francais,297,37.86470588235294,3794279.535294118
french hip hop,french hip hop,271,38.55603448275862,4406872.254310345
pop urbaine,pop urbaine,250,37.04694835680751,4390361.7136150235
pop urbaine,r&b francais,165,36.319327731092436,4499174.924369748
french hip hop,r&b francais,163,36.9,4615141.216666667
french hip hop,rap conscient,110,41.32911392405063,4905020.037974684
rap francais,rap francais,95,34.72727272727273,2845187.350649351
pop urbaine,rap conscient,88,39.6,4805270.353846154
r&b francais,rap francais,77,34.58730158730159,2625491.26984127
rap,trap,75,54.973684210526315,1137087.9473684211
pop,pop,71,48.0,3384401.2264150945
hip hop,rap,70,50.64102564102564,493751.8717948718
rap,rap,70,50.3469387755102,923093.1428571428
french hip hop,rap marseille,65,35.86538461538461,2568733.519230769
pop,rap,63,47.725,2357236.4
pop urbaine,rap marseille,62,35.64705882352941,2562138.9411764704
edm,pop,60,50.4,3159013.05
pop,pop dance,56,44.628571428571426,3052417.8571428573
rap conscient,rap francais,54,42.714285714285715,4035818.4285714286
r&b francais,r&b francais,46,32.28947368421053,1360784.0
chanson,french pop,46,35.333333333333336,2388563.6666666665
atl hip hop,rap,43,51.89473684210526,1011032.5789473684
melodic rap,rap,40,48.76923076923077,1381137.3461538462
hip hop,trap,37,58.5,631958.4583333334
pop rap,rap,35,54.18181818181818,621835.5909090909
hip hop,pop,33,41.333333333333336,1564423.5833333333
dance pop,pop,32,61.19047619047619,4574244.380952381
pop,reggaeton,32,61.6875,6371336.5625
pop,urbano latino,32,61.6875,6371336.5625
electro house,pop,31,44.904761904761905,2665481.1428571427
belgian hip hop,french hip hop,31,43.785714285714285,4459311.892857143
french pop,french pop,30,33.6,3294413.8
rap francais,rap marseille,30,34.96,2359712.64
pop,trap,29,45.72727272727273,2828998.727272727
pop,trap latino,29,61.6,6472929.066666666
french hip hop,french pop,27,35.916666666666664,4423460.125
reggaeton,urbano latino,26,60.625,4556059.875
french hip hop,rap belge,25,42.81818181818182,3636663.6818181816
edm,pop dance,25,48.833333333333336,2812496.25
pop,pop rap,25,47.55555555555556,2964184.388888889
reggaeton,trap latino,25,60.625,4556059.875
trap latino,urbano latino,25,60.625,4556059.875
atl hip hop,trap,24,47.666666666666664,465213.6666666667
belgian hip hop,pop urbaine,23,39.55,3217380.4
r&b francais,rap conscient,23,36.9,7347117.95
pop urbaine,rap belge,22,40.526315789473685,3379470.736842105
french pop,pop urbaine,22,33.31578947368421,2767658.0
atl hip hop,hip hop,21,56.69230769230769,533189.2307692308
french pop,variete francaise,21,40.0,2814453.5
rap,slap house,20,56.06666666666667,500650.8
hip hop,pop rap,20,54.125,305849.0625
pop rap,trap,20,50.46153846153846,777770.7692307692
melodic rap,trap,19,48.125,1956089.6875
pop dance,uk dance,19,52.57142857142857,4595625.0
french hip hop,rap algerien,19,34.57142857142857,2200158.5
pop urbaine,rap algerien,19,34.57142857142857,2200158.5
trap,trap,19,51.666666666666664,1007560.8333333334
chanson,chanson,19,49.333333333333336,3402391.0
gangster rap,rap,18,52.57142857142857,1217967.5714285714
french pop,r&b francais,18,31.846153846153847,2512613.0
dance pop,pop dance,18,55.25,3728539.0
hip hop,hip hop,18,54.388888888888886,581099.5555555555
moombahton,pop,17,33.9,2847116.0
hip hop,melodic rap,17,46.714285714285715,668943.0
house,pop,17,57.36363636363637,2133195.8181818184
dance pop,edm,17,57.529411764705884,3645961.117647059
pop dance,pop dance,17,53.53846153846154,4151361.769230769
french hip hop,old school rap francais,17,52.9375,8929204.9375
chanson,variete francaise,17,48.5,5085396.5
cloud rap francais,french hip hop,16,39.75,1451476.625
