Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,57,47.125,1072809.0833333333
rap,rap,40,55.333333333333336,1229545.3666666667
atl hip hop,rap,40,40.10526315789474,907561.7894736842
hip hop,rap,38,65.27272727272727,1408575.5454545454
melodic rap,rap,34,38.64705882352941,991217.1176470588
atl hip hop,trap,33,27.714285714285715,740334.0714285715
melodic rap,trap,29,32.6,1084662.5333333334
trap,trap,22,27.714285714285715,740334.0714285715
pop,pop,22,69.45,2283348.4
gangster rap,rap,21,69.78571428571429,1488473.4285714286
atl hip hop,melodic rap,20,29.727272727272727,996087.4545454546
hip hop,trap,20,53.857142857142854,1242590.2857142857
movie tunes,movie tunes,20,73.0,10957444.75
gangster rap,hip hop,18,75.15384615384616,1578016.7692307692
dance pop,pop,18,70.07692307692308,2735141.6923076925
pop,pop dance,18,64.14285714285714,4132686.0714285714
pop dance,uk pop,17,66.66666666666667,3992305.9166666665
pop,rap,17,68.0,2221722.8235294116
pop dance,uk dance,17,73.84615384615384,3297149.923076923
uk hip hop,uk hip hop,17,59.3,3859666.2
dance pop,uk pop,16,67.5,3486429.0
atl hip hop,hip hop,14,47.2,1378465.6
uk drill,uk hip hop,14,56.6,2086935.6
hip hop,melodic rap,13,45.55555555555556,1033303.6666666666
rap,southern hip hop,13,49.888888888888886,1164755.3333333333
edm,pop,13,59.9,4045506.0
pop,uk pop,13,66.33333333333333,2570521.8333333335
hip hop,hip hop,13,78.92307692307692,1317686.7692307692
melodic drill,uk hip hop,13,63.75,3926743.5
atl hip hop,atl hip hop,12,20.875,1173646.375
atl trap,rap,12,41.55555555555556,1589301.888888889
hip hop,pop,12,58.5,2017123.0
uk dance,uk pop,11,74.75,4406389.875
edm,uk pop,10,64.22222222222223,3183331.3333333335
pop rap,rap,10,68.85714285714286,1309262.4285714286
london rap,uk hip hop,10,58.75,3100937.0
dance pop,pop dance,10,77.85714285714286,4148363.1428571427
southern hip hop,trap,9,38.833333333333336,1389107.5
hollywood,movie tunes,9,73.0,10957444.75
g funk,hip hop,9,82.16666666666667,1145250.5
g funk,rap,9,82.16666666666667,1145250.5
hip hop,west coast rap,9,82.16666666666667,1145250.5
rap,west coast rap,9,82.16666666666667,1145250.5
uk dance,uk dance,9,75.55555555555556,3741223.222222222
canadian pop,rap,9,68.125,1966212.0
melodic rap,southern hip hop,8,33.0,1653400.2
atl hip hop,atl trap,8,27.5,1467593.3333333333
atl trap,trap,8,27.5,1467593.3333333333
melodic rap,melodic rap,8,41.625,1829959.875
pop,trap,8,74.75,1914716.5
pop,uk dance,8,71.14285714285714,3335473.1428571427
edm,pop dance,8,74.57142857142857,3426250.1428571427
pop dance,pop dance,8,77.125,4518983.375
atl hip hop,southern hip hop,7,33.0,1653400.2
gangster rap,trap,7,49.8,1663301.6
g funk,gangster rap,7,84.5,1033108.0
gangster rap,west coast rap,7,84.5,1033108.0
hip hop,pop rap,7,67.33333333333333,1497181.8333333333
r&b,rap,7,56.0,754877.1428571428
canadian hip hop,rap,7,81.2,1985304.2
rap,toronto rap,7,81.2,1985304.2
pop,pop rap,7,60.857142857142854,806769.5714285715
london rap,uk drill,7,55.0,2193815.0
dance pop,uk dance,7,77.66666666666667,3963391.3333333335
atl hip hop,gangster rap,6,41.25,2065477.75
g funk,west coast rap,6,84.33333333333333,1253259.6666666667
chicago rap,trap,6,56.833333333333336,651103.1666666666
canadian hip hop,trap,6,79.75,1329684.5
toronto rap,trap,6,79.75,1329684.5
chicago rap,rap,6,63.0,984709.0
edm,uk dance,6,73.83333333333333,3120926.1666666665
house,uk dance,6,80.6,4165328.0
atl trap,hip hop,5,61.0,3158865.5
atl trap,melodic rap,5,17.2,1733320.0
gangster rap,gangster rap,5,84.4,837405.8
dance pop,hip hop,5,49.2,2639347.0
hip hop,neo soul,5,33.0,1386609.0
canadian pop,pop,5,66.6,2273765.4
hip hop,southern hip hop,5,72.6,470951.4
atl hip hop,canadian hip hop,5,79.75,1329684.5
canadian pop,trap,5,77.75,1496187.5
atl hip hop,toronto rap,5,79.75,1329684.5
pop rap,trap,5,54.0,148197.66666666666
dance pop,rap,5,80.8,3408031.8
grime,uk hip hop,5,63.0,5405175.0
manchester hip hop,uk hip hop,5,63.333333333333336,4727300.666666667
brooklyn drill,uk hip hop,5,57.5,2382060.5
trap,uk hip hop,5,56.5,2418845.0
house,pop dance,5,76.0,3677211.0
pop rap,pop rap,5,56.666666666666664,616990.0
charva,uk hip hop,5,51.0,416755.0
modern salsa,movie tunes,5,78.0,21500962.0
movie tunes,salsa colombiana,5,78.0,21500962.0
gangster rap,southern hip hop,4,62.25,1998024.5
detroit hip hop,g funk,4,81.25,871094.25
detroit hip hop,gangster rap,4,81.25,871094.25
detroit hip hop,hip hop,4,81.25,871094.25
detroit hip hop,rap,4,80.5,355770.25
detroit hip hop,west coast rap,4,81.25,871094.25
melodic drill,uk drill,4,59.333333333333336,2859252.6666666665
gangster rap,pop rap,4,84.66666666666667,1165625.6666666667
dance pop,neo soul,4,1.0,1508790.5
neo soul,pop,4,1.0,1508790.5
canadian contemporary r&b,pop,4,83.0,2526873.75
chicago rap,r&b,4,58.0,992364.25
hip hop,r&b,4,58.0,992364.25
hip hop,urban contemporary,4,78.0,490977.0
rap,urban contemporary,4,78.0,490977.0
atl hip hop,canadian pop,4,80.33333333333333,1712330.6666666667
canadian pop,hip hop,4,76.0,1675902.0
chicago rap,hip hop,4,75.75,1406572.5
afrobeats,nigerian pop,4,65.5,198966.5
canadian pop,melodic rap,4,60.25,1116771.75
scouse rap,uk hip hop,4,24.0,940985.5
afroswing,uk hip hop,4,65.5,4042719.5
new york drill,uk hip hop,4,67.0,4342118.0
dance pop,dance pop,4,80.75,3658139.25
dance pop,edm,4,79.0,4371326.666666667
dance pop,uk contemporary r&b,4,80.33333333333333,3617916.6666666665
pop dance,uk contemporary r&b,4,80.33333333333333,3617916.6666666665
drill francais,trap italiana,4,72.0,63669.0
french hip hop,trap italiana,4,72.0,63669.0
pop urbaine,trap italiana,4,72.0,63669.0
rap francais,trap italiana,4,72.0,63669.0
pop rap,seattle hip hop,4,86.0,1588123.0
atl trap,southern hip hop,3,55.0,2645833.6666666665
gangster rap,melodic rap,3,28.666666666666668,2707650.3333333335
dance pop,gauze pop,3,38.333333333333336,1575483.0
edm,gauze pop,3,38.333333333333336,1575483.0
gauze pop,pop,3,38.333333333333336,1575483.0
gauze pop,pop dance,3,38.333333333333336,1575483.0
indie poptimism,pop,3,74.66666666666667,2009122.6666666667
indie poptimism,post-teen pop,3,74.66666666666667,2009122.6666666667
pop,post-teen pop,3,74.66666666666667,2009122.6666666667
aussietronica,solo wave,3,67.66666666666667,4923904.666666667
hip pop,rap,3,66.33333333333333,284729.6666666667
queens hip hop,rap,3,71.33333333333333,284931.0
queens hip hop,trap,3,71.33333333333333,284931.0
pop house,uk dance,3,69.33333333333333,3847561.0
uk drill,uk drill,3,59.333333333333336,2859252.6666666665
bedroom pop,rap,3,57.0,248546.33333333334
g funk,g funk,3,84.33333333333333,1253259.6666666667
west coast rap,west coast rap,3,84.33333333333333,1253259.6666666667
london rap,melodic drill,3,69.5,2985120.0
chicago rap,southern hip hop,3,66.66666666666667,720400.0
canadian pop,pop rap,3,63.666666666666664,810087.6666666666
canadian contemporary r&b,rap,3,72.33333333333333,1898458.3333333333
pop,rock,3,54.0,4953818.666666667
rock,uk pop,3,54.0,4953818.666666667
girl group,pop,3,74.0,3282910.5
pop,talent show,3,74.0,3282910.5
aussie drill,uk hip hop,3,54.0,2942858.5
chicago rap,neo soul,3,54.333333333333336,1305154.6666666667
neo soul,rap,3,54.333333333333336,1305154.6666666667
melodic rap,pop rap,3,66.0,124466.0
