Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,353,42.32608695652174,42669134.45652174
hip hop,rap,285,42.6015037593985,41569048.5112782
rap,rap,232,41.66433566433567,42206185.9020979
hip hop,trap,221,43.943396226415096,33239305.688679244
atl hip hop,rap,183,40.43157894736842,40599489.042105265
pop,rap,180,34.63333333333333,70428579.96666667
reggaeton,urbano latino,161,33.09756097560975,93108419.73170732
melodic rap,rap,153,42.220588235294116,57506196.941176474
atl hip hop,trap,141,41.95890410958904,29475816.90410959
pop rap,rap,135,43.52173913043478,55985911.31884058
atl hip hop,hip hop,130,41.24418604651163,25051193.976744186
trap,trap,128,44.01136363636363,35278148.76136363
trap latino,urbano latino,127,35.61764705882353,96849388.8235294
pop,pop,125,38.302083333333336,132816324.58333333
reggaeton,trap latino,122,36.68571428571428,97097728.65714286
rap,southern hip hop,119,44.121212121212125,36117308.75757576
melodic rap,trap,111,41.46551724137931,59505687.56896552
hip hop,pop,108,36.023809523809526,67993107.65476191
hip hop,pop rap,104,40.370370370370374,28763157.185185187
pop,trap,101,37.924050632911396,77275754.9113924
pop rap,trap,99,43.78,54644333.16
hip hop,hip hop,92,43.111111111111114,30727068.26984127
southern hip hop,trap,90,45.15909090909091,36109529.22727273
hip hop,southern hip hop,86,43.266666666666666,19674783.17777778
hip hop,melodic rap,85,42.294117647058826,58981838.52941176
urbano latino,urbano latino,83,32.729729729729726,95112350.45945945
reggaeton,reggaeton,78,33.78947368421053,95386796.05263157
pop,pop rap,76,38.94827586206897,68008271.98275863
edm,pop,74,41.166666666666664,116055034.15
dance pop,pop,73,41.97872340425532,98901331.19148937
pop,pop dance,70,35.527272727272724,112867722.27272727
r&b,rap,69,38.638297872340424,38008497.4893617
slap house,trap,62,39.6,16982968.85714286
atl hip hop,pop,58,32.5,97093547.17391305
atl hip hop,melodic rap,56,42.23809523809524,44007955.52380952
hip hop,r&b,56,40.05,24893565.075
atl hip hop,pop rap,50,38.81818181818182,51568349.90909091
pop,southern hip hop,50,38.925,59071508.925
rap,slap house,48,40.513513513513516,19055504.675675675
miami hip hop,rap,48,43.2,61608794.16
trap latino,trap latino,48,33.1578947368421,70437379.05263157
dance pop,rap,47,47.42424242424242,81107397.93939394
pop rap,southern hip hop,46,48.416666666666664,11236614.625
melodic rap,slap house,45,42.12,17932235.64
r&b,trap,45,38.26086956521739,10156742.043478262
atl hip hop,southern hip hop,44,40.806451612903224,20125250.612903226
gangster rap,rap,43,44.52,13656948.8
atl hip hop,atl hip hop,42,44.58064516129032,19605858.51612903
pop,r&b,41,39.54838709677419,79728274.25806452
latin pop,urbano latino,41,42.48275862068966,139265519.5172414
latin pop,reggaeton,40,41.357142857142854,143810761.85714287
dirty south rap,rap,35,38.73684210526316,35231329.05263158
canadian pop,rap,35,55.36,48504319.64
latin hip hop,urbano latino,34,30.4375,102252048.5
atl hip hop,slap house,33,38.86206896551724,19720253.344827585
melodic rap,melodic rap,33,39.74193548387097,25951038.096774194
miami hip hop,trap,33,41.75,53583737.3
electro house,pop,33,46.25925925925926,73441599.5925926
latin hip hop,reggaeton,33,31.72222222222222,96978965.8888889
