Source,Target,Weight,Avg_Popularity,Avg_Streams
greek hip hop,greek trap,358,33.75,739407.11875
greek trap,greek trap,281,33.78977272727273,730337.6988636364
greek drill,greek trap,194,30.5531914893617,585865.8652482269
rap,trap,156,62.07692307692308,158276.38461538462
rap,rap,149,64.4639175257732,164300.60824742267
hip hop,rap,146,67.67532467532467,148084.62337662338
greek hip hop,greek hip hop,123,37.58536585365854,940613.756097561
greek drill,greek hip hop,113,32.644444444444446,763332.1777777778
melodic rap,rap,77,58.83783783783784,202874.27027027027
atl hip hop,rap,72,63.30434782608695,184996.0652173913
greek drill,greek drill,72,33.46774193548387,646439.4354838709
hip hop,trap,66,67.4888888888889,188504.77777777778
pop rap,rap,60,69.91176470588235,142094.4705882353
greek trap,greek underground rap,54,27.555555555555557,103286.33333333333
greek hip hop,greek underground rap,53,26.181818181818183,53526.09090909091
melodic rap,trap,41,55.96296296296296,202129.44444444444
brooklyn drill,rap,41,60.96153846153846,197698.96153846153
pop,rap,41,59.392857142857146,254047.32142857142
hip hop,hip hop,39,70.0,158927.8918918919
atl trap,rap,38,69.80952380952381,207967.7619047619
pop,pop,38,67.375,231372.4375
atl hip hop,hip hop,37,67.92592592592592,206757.8148148148
greek underground rap,greek underground rap,36,33.04545454545455,34536.545454545456
canadian hip hop,rap,33,71.36,305635.68
canadian pop,rap,33,67.67857142857143,210017.60714285713
rap,toronto rap,32,71.91666666666667,317172.8333333333
chicago rap,rap,32,55.77272727272727,42772.318181818184
atl hip hop,trap,31,64.63636363636364,234319.36363636365
gangster rap,rap,30,66.9047619047619,145948.33333333334
trap,trap,29,64.76,257435.96
pop rap,trap,28,69.66666666666667,206486.0
hip hop,melodic rap,26,67.10526315789474,189469.05263157896
hip hop,pop rap,26,72.5909090909091,111618.68181818182
rap,southern hip hop,26,65.94736842105263,124763.94736842105
brooklyn drill,trap,25,59.05263157894737,225066.57894736843
canadian hip hop,trap,24,73.38888888888889,328181.5
atl hip hop,melodic rap,23,60.73684210526316,205482.84210526315
canadian hip hop,hip hop,23,70.61904761904762,233157.47619047618
hip hop,toronto rap,23,70.61904761904762,233157.47619047618
toronto rap,trap,23,74.29411764705883,345795.4705882353
atl trap,hip hop,22,72.5,265112.625
canadian pop,hip hop,22,72.61904761904762,214480.80952380953
canadian pop,trap,22,71.77777777777777,220284.5
chicago rap,trap,21,50.94444444444444,28616.61111111111
melodic rap,pop rap,19,68.58333333333333,248793.83333333334
north carolina hip hop,rap,19,70.08333333333333,269765.25
dance pop,pop,19,73.25,367215.0
hip hop,pop,18,51.42857142857143,356936.21428571426
greek drill,greek underground rap,18,29.266666666666666,259731.93333333332
r&b,rap,18,66.41666666666667,132168.33333333334
gangster rap,hip hop,17,70.76923076923077,177132.84615384616
atl trap,trap,17,67.3076923076923,211403.92307692306
dutch house,greek drill,15,33.0,1092677.7857142857
atl hip hop,pop rap,15,69.45454545454545,191357.36363636365
rap,slap house,15,67.41666666666667,271776.0833333333
melodic rap,melodic rap,15,52.86666666666667,178486.13333333333
chicago rap,hip hop,15,63.4,43550.73333333333
atl trap,melodic rap,14,63.4,27651.5
hip hop,southern hip hop,14,66.53846153846153,161799.3076923077
pop,trap,14,66.9,347783.1
miami hip hop,rap,13,61.75,113472.75
canadian hip hop,pop rap,13,72.0,255793.0
pop rap,toronto rap,13,72.0,255793.0
atl hip hop,canadian hip hop,13,74.54545454545455,456832.7272727273
atl hip hop,canadian pop,13,72.45454545454545,312392.2727272727
brooklyn drill,melodic rap,13,57.6,271134.2
greek hip hop,greek pop,13,41.25,1336092.25
greek pop,laiko,13,40.75,377129.875
pop,trap queen,13,63.36363636363637,145984.18181818182
atl hip hop,toronto rap,12,76.2,499641.6
nyc rap,rap,12,51.9,159307.0
brooklyn drill,hip hop,12,63.45454545454545,249178.0
pop,pop dance,12,68.625,334160.25
