Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,394,75.15714285714286,653333.8857142857
trap latino,urbano latino,376,74.26760563380282,671431.7183098592
reggaeton,trap latino,326,75.125,658039.234375
urbano latino,urbano latino,227,74.16438356164383,656016.3698630137
reggaeton,reggaeton,176,74.30357142857143,638716.4285714285
trap latino,trap latino,156,73.75,678445.3
reggaeton flow,urbano latino,94,74.94117647058823,455343.4705882353
reggaeton,reggaeton flow,86,74.94117647058823,455343.4705882353
reggaeton flow,trap latino,79,75.53333333333333,501553.06666666665
reggaeton colombiano,urbano latino,60,72.625,534490.4583333334
trap argentino,urbano latino,50,67.42857142857143,574840.5714285715
reggaeton,reggaeton colombiano,43,72.04761904761905,557605.0952380953
reggaeton colombiano,trap latino,42,72.0,564610.0
trap argentino,trap latino,42,67.42857142857143,574840.5714285715
latin hip hop,urbano latino,38,76.4375,530469.875
latin hip hop,reggaeton,34,76.4375,530469.875
reggaeton,trap argentino,32,72.44444444444444,604457.4444444445
latin hip hop,trap latino,30,76.53333333333333,563827.1333333333
musica mexicana,nueva musica mexicana,30,73.38888888888889,395354.1111111111
puerto rican pop,urbano latino,27,75.61538461538461,614480.3076923077
panamanian pop,urbano latino,22,72.25,750602.5
puerto rican pop,trap latino,22,75.2,647673.5
musica mexicana,norteno,22,73.26666666666667,405191.3333333333
norteno,nueva musica mexicana,22,74.13333333333334,426997.4
panamanian pop,trap latino,21,72.25,750602.5
puerto rican pop,reggaeton,21,73.375,527898.625
nueva musica mexicana,sierreno,20,74.78571428571429,413127.71428571426
panamanian pop,reggaeton,19,72.25,750602.5
musica mexicana,sierreno,19,74.14285714285714,338619.35714285716
musica mexicana,musica mexicana,17,72.3529411764706,399851.17647058825
r&b en espanol,urbano latino,15,75.25,630297.5
reggaeton flow,trap argentino,14,70.33333333333333,458899.3333333333
norteno,sierreno,14,74.54545454545455,371281.2727272727
nueva musica mexicana,nueva musica mexicana,14,74.07142857142857,399814.14285714284
reggaeton flow,reggaeton flow,13,73.88888888888889,446075.0
r&b en espanol,reggaeton,13,75.25,630297.5
banda,musica mexicana,13,73.36363636363636,478195.54545454547
corrido,nueva musica mexicana,13,74.63636363636364,444050.63636363635
latin pop,urbano latino,13,75.0,691648.0
r&b en espanol,trap latino,12,75.25,630297.5
corrido,musica mexicana,12,75.27272727272727,396945.0
latin pop,reggaeton,12,74.45454545454545,748890.9090909091
argentine hip hop,trap latino,12,63.833333333333336,613166.3333333334
argentine hip hop,urbano latino,12,63.833333333333336,613166.3333333334
banda,nueva musica mexicana,11,74.54545454545455,507931.0909090909
corrido,sierreno,11,76.1,427108.8
latin pop,trap latino,11,75.9,808223.3
reggaeton colombiano,reggaeton colombiano,11,69.0,464432.0
corrido,norteno,10,75.77777777777777,423969.3333333333
colombian pop,urbano latino,9,75.0,282214.125
trap argentino,trap argentino,9,63.57142857142857,526660.1428571428
argentine hip hop,trap argentino,9,63.833333333333336,613166.3333333334
mexican hip hop,nueva musica mexicana,9,55.875,501916.5
r&b en espanol,reggaeton flow,8,72.66666666666667,493361.3333333333
banda,norteno,8,75.0,421535.125
banda,sierreno,8,75.0,421535.125
colombian pop,reggaeton,8,74.14285714285714,313676.71428571426
latin pop,musica mexicana,8,66.14285714285714,263700.71428571426
reggaeton colombiano,reggaeton flow,7,69.8,297948.4
rap,reggaeton,7,50.2,319517.4
rap,trap latino,7,50.2,319517.4
rap,urbano latino,7,50.2,319517.4
puerto rican pop,reggaeton flow,7,80.8,807666.6
latin hip hop,reggaeton flow,7,77.75,581310.25
norteno,norteno,7,74.57142857142857,385928.4285714286
sierreno,sierreno,7,76.85714285714286,497774.28571428574
sad sierreno,sierreno,7,77.83333333333333,537344.5
colombian pop,trap latino,7,76.5,340028.3333333333
mexican hip hop,mexican hip hop,7,47.0,427137.0
reggaeton,trap boricua,7,72.25,532939.0
trap boricua,trap latino,7,72.25,532939.0
trap boricua,urbano latino,7,72.25,532939.0
musica mexicana,ranchera,7,67.6,521494.0
pop reggaeton,reggaeton,6,77.2,1062784.4
pop reggaeton,trap latino,6,77.2,1062784.4
pop reggaeton,urbano latino,6,77.2,1062784.4
panamanian pop,reggaeton flow,6,66.66666666666667,649372.3333333334
nueva musica mexicana,sad sierreno,6,77.83333333333333,537344.5
pop,rap,6,67.5,188086.0
latin pop,ranchera,6,65.16666666666667,203319.5
mexican pop,musica mexicana,6,63.4,120470.2
pop,pop,6,69.66666666666667,168979.33333333334
rap latina,reggaeton,6,78.0,814991.6666666666
rap latina,trap latino,6,78.0,814991.6666666666
rap latina,urbano latino,6,78.0,814991.6666666666
musica mexicana,sad sierreno,5,77.6,553740.6
norteno,sad sierreno,5,77.6,553740.6
hip hop,rap,5,60.0,32668.0
trap latino,trap triste,5,71.0,505726.75
trap triste,urbano latino,5,71.0,505726.75
mexican pop,ranchera,5,63.4,120470.2
pop,reggaeton,5,75.66666666666667,651427.3333333334
pop,trap latino,5,75.66666666666667,651427.3333333334
pop,urbano latino,5,75.66666666666667,651427.3333333334
pop argentino,trap latino,5,70.66666666666667,562510.3333333334
pop argentino,urbano latino,5,70.66666666666667,562510.3333333334
rap canario,urbano espanol,5,76.0,251775.0
argentine hip hop,reggaeton,5,76.5,539485.0
corridos tumbados,sierreno,5,75.5,218245.75
latin hip hop,reggaeton colombiano,5,64.0,586539.0
mariachi,musica mexicana,5,69.5,572678.75
rap,rap,4,66.75,27163.0
g funk,gangster rap,4,85.0,46016.5
g funk,hip hop,4,85.0,46016.5
g funk,rap,4,85.0,46016.5
g funk,west coast rap,4,85.0,46016.5
gangster rap,hip hop,4,85.0,46016.5
gangster rap,rap,4,85.0,46016.5
gangster rap,west coast rap,4,85.0,46016.5
hip hop,west coast rap,4,85.0,46016.5
rap,west coast rap,4,85.0,46016.5
trap argentino,trap triste,4,71.0,528073.6666666666
gruperas inmortales,latin pop,4,61.0,122036.5
gruperas inmortales,mexican pop,4,61.0,122036.5
latin pop,nu-cumbia,4,61.0,122036.5
mexican pop,nu-cumbia,4,61.0,122036.5
latin pop,tropical,4,61.0,122036.5
mexican pop,tropical,4,61.0,122036.5
latin pop,nueva musica mexicana,4,69.75,418628.5
nueva musica mexicana,urbano latino,4,52.75,402471.0
musica mexicana,reggaeton,4,68.66666666666667,520103.0
musica mexicana,reggaeton colombiano,4,68.66666666666667,520103.0
musica mexicana,urbano latino,4,68.66666666666667,520103.0
latin arena pop,musica mexicana,4,62.666666666666664,146071.66666666666
corridos tumbados,nueva musica mexicana,4,73.0,113337.0
nueva musica mexicana,ranchera,4,67.66666666666667,388644.0
r&b en espanol,trap argentino,3,72.66666666666667,493361.3333333333
panamanian pop,reggaeton colombiano,3,66.66666666666667,455058.6666666667
panamanian pop,trap argentino,3,66.66666666666667,649372.3333333334
hip hop,reggaeton,3,31.666666666666668,116161.0
hip hop,trap latino,3,31.666666666666668,116161.0
hip hop,urbano latino,3,31.666666666666668,116161.0
reggaeton,toronto rap,3,15.5,21859.5
toronto rap,trap latino,3,15.5,21859.5
toronto rap,urbano latino,3,15.5,21859.5
hip hop,pop,3,52.666666666666664,286426.3333333333
mexican hip hop,musica mexicana,3,70.66666666666667,626549.0
dance pop,pop,3,80.66666666666667,107032.0
dance pop,reggaeton,3,68.0,616605.0
reggaeton,uk pop,3,68.0,616605.0
dance pop,trap latino,3,68.0,616605.0
trap latino,uk pop,3,68.0,616605.0
dance pop,urbano latino,3,68.0,616605.0
uk pop,urbano latino,3,68.0,616605.0
nueva musica mexicana,reggaeton,3,68.66666666666667,520103.0
nueva musica mexicana,reggaeton colombiano,3,68.66666666666667,520103.0
nueva musica mexicana,trap latino,3,46.333333333333336,327965.3333333333
musica mexicana,trap latino,3,67.0,467160.5
latin hip hop,puerto rican pop,3,81.33333333333333,524797.0
rap canario,rap canario,3,76.0,251775.0
r&b,reggaeton,3,45.0,479252.0
r&b,trap latino,3,45.0,479252.0
r&b,urbano latino,3,45.0,479252.0
latin arena pop,ranchera,3,62.666666666666664,146071.66666666666
corridos tumbados,musica mexicana,3,73.0,113337.0
bachata,reggaeton,3,80.33333333333333,804386.6666666666
bachata,trap latino,3,80.33333333333333,804386.6666666666
bachata,urbano latino,3,80.33333333333333,804386.6666666666
reggaeton,tropical,3,74.33333333333333,898057.0
trap latino,tropical,3,74.33333333333333,898057.0
tropical,urbano latino,3,74.33333333333333,898057.0
banda,ranchera,3,69.0,629290.0
norteno,ranchera,3,69.0,629290.0
mariachi,nueva musica mexicana,3,71.5,424588.5
pop argentino,trap argentino,3,77.0,788333.0
mariachi,ranchera,3,65.5,359800.0
reggaeton colombiano,trap argentino,2,65.5,368155.0
canadian hip hop,reggaeton,2,15.5,21859.5
canadian pop,reggaeton,2,15.5,21859.5
canadian hip hop,trap latino,2,15.5,21859.5
canadian pop,trap latino,2,15.5,21859.5
canadian hip hop,urbano latino,2,15.5,21859.5
canadian pop,urbano latino,2,15.5,21859.5
mexican hip hop,urbano mexicano,2,64.5,247155.0
urbano mexicano,urbano mexicano,2,64.5,247155.0
latin hip hop,panamanian pop,2,74.0,772177.0
colombian pop,reggaeton flow,2,70.5,108771.5
latin pop,reggaeton flow,2,70.5,108771.5
g funk,g funk,2,85.0,46016.5
g funk,pop rap,2,85.0,46016.5
gangster rap,gangster rap,2,85.0,46016.5
gangster rap,pop rap,2,85.0,46016.5
hip hop,hip hop,2,85.0,46016.5
hip hop,pop rap,2,85.0,46016.5
pop rap,rap,2,85.0,46016.5
pop rap,west coast rap,2,85.0,46016.5
west coast rap,west coast rap,2,85.0,46016.5
hip hop,modern rock,2,45.0,426552.5
modern rock,rap,2,45.0,426552.5
modern rock,underground hip hop,2,45.0,426552.5
pop,underground hip hop,2,45.0,426552.5
hip hop,rock,2,45.0,426552.5
rap,rock,2,45.0,426552.5
rock,underground hip hop,2,45.0,426552.5
modern rock,speedrun,2,45.0,426552.5
modern rock,video game music,2,45.0,426552.5
pop,speedrun,2,45.0,426552.5
pop,video game music,2,45.0,426552.5
rock,speedrun,2,45.0,426552.5
rock,video game music,2,45.0,426552.5
hip hop,speedrun,2,45.0,426552.5
hip hop,video game music,2,45.0,426552.5
rap,speedrun,2,45.0,426552.5
rap,video game music,2,45.0,426552.5
speedrun,underground hip hop,2,45.0,426552.5
underground hip hop,video game music,2,45.0,426552.5
puerto rican pop,spanish pop,2,83.0,909015.0
reggaeton,spanish pop,2,83.0,909015.0
spanish pop,trap latino,2,83.0,909015.0
spanish pop,urbano latino,2,83.0,909015.0
gruperas inmortales,latin alternative,2,64.5,82068.0
latin alternative,musica mexicana,2,64.5,82068.0
musica mexicana,rock en espanol,2,71.5,135381.5
latin alternative,nu-cumbia,2,64.5,82068.0
latin alternative,ranchera,2,64.5,82068.0
ranchera,rock en espanol,2,71.5,135381.5
latin alternative,tropical,2,64.5,82068.0
brostep,reggaeton,2,76.5,392178.0
edm,reggaeton,2,76.5,392178.0
pop dance,reggaeton,2,76.5,392178.0
brostep,reggaeton colombiano,2,76.5,392178.0
edm,reggaeton colombiano,2,76.5,392178.0
pop dance,reggaeton colombiano,2,76.5,392178.0
brostep,trap latino,2,76.5,392178.0
edm,trap latino,2,76.5,392178.0
pop dance,trap latino,2,76.5,392178.0
brostep,urbano latino,2,76.5,392178.0
edm,urbano latino,2,76.5,392178.0
pop dance,urbano latino,2,76.5,392178.0
dembow,reggaeton,2,71.0,577115.0
dembow,urbano latino,2,71.0,577115.0
rap dominicano,reggaeton,2,71.0,577115.0
rap dominicano,urbano latino,2,71.0,577115.0
mariachi,mexican hip hop,2,69.5,617900.5
mexican hip hop,ranchera,2,69.5,617900.5
mariachi,urbano mexicano,2,58.0,94953.0
musica mexicana,urbano mexicano,2,58.0,94953.0
nueva musica mexicana,urbano mexicano,2,58.0,94953.0
ranchera,urbano mexicano,2,58.0,94953.0
pop,uk pop,2,79.0,40349.5
pop,reggaeton colombiano,2,72.0,456588.0
pop reggaeton,reggaeton colombiano,2,71.0,479465.0
pop argentino,reggaeton,2,67.5,449599.0
latin pop,mariachi,2,73.5,365885.5
ranchera,reggaeton,2,67.0,467160.5
ranchera,reggaeton colombiano,2,67.0,467160.5
ranchera,trap latino,2,67.0,467160.5
ranchera,urbano latino,2,67.0,467160.5
puerto rican pop,reggaeton colombiano,2,73.5,350015.5
pop venezolano,trap latino,2,45.5,419415.5
pop venezolano,urbano latino,2,45.5,419415.5
mexican rock,musica mexicana,2,66.0,60891.5
mexican rock,ranchera,2,66.0,60891.5
melodic rap,rap,2,87.0,10648.0
trap latino,urbano espanol,2,76.0,251775.0
urbano espanol,urbano latino,2,76.0,251775.0
rap canario,spanish hip hop,2,76.0,251775.0
rap canario,trap latino,2,76.0,251775.0
rap canario,urbano latino,2,76.0,251775.0
rap latina,reggaeton colombiano,2,80.0,932696.0
latin pop,reggaeton colombiano,2,71.0,782372.5
latin viral pop,trap latino,2,72.5,630981.0
latin viral pop,urbano latino,2,72.5,630981.0
gruperas inmortales,latin arena pop,2,57.5,162005.0
latin arena pop,nu-cumbia,2,57.5,162005.0
latin arena pop,tropical,2,57.5,162005.0
puerto rican pop,trap boricua,2,72.5,783870.5
trap argentino,trap boricua,2,74.0,579583.0
puerto rican pop,trap argentino,2,74.0,579583.0
latin alternative,reggaeton,2,84.0,3055627.0
latin rock,reggaeton,2,84.0,3055627.0
reggaeton,rock en espanol,2,84.0,3055627.0
latin alternative,trap latino,2,84.0,3055627.0
latin rock,trap latino,2,84.0,3055627.0
rock en espanol,trap latino,2,84.0,3055627.0
latin alternative,urbano latino,2,84.0,3055627.0
latin rock,urbano latino,2,84.0,3055627.0
rock en espanol,urbano latino,2,84.0,3055627.0
canadian contemporary r&b,pop,2,46.0,41155.5
canadian pop,pop,2,46.0,41155.5
corridos tumbados,norteno,2,71.5,145967.5
latin arena pop,nueva musica mexicana,2,66.5,215480.0
mexican pop,nueva musica mexicana,2,66.5,215480.0
canadian pop,rap,2,39.0,6072.5
rap,toronto rap,2,10.0,5971.0
latin hip hop,mexican hip hop,2,38.5,274862.0
bachata,puerto rican pop,2,80.0,261675.5
bachata dominicana,reggaeton,2,81.5,1188708.0
bachata dominicana,trap latino,2,81.5,1188708.0
bachata dominicana,urbano latino,2,81.5,1188708.0
latin pop,puerto rican pop,2,80.0,261675.5
latin pop,norteno,2,66.0,471371.5
norteno,reggaeton,2,66.0,471371.5
norteno,reggaeton colombiano,2,66.0,471371.5
norteno,urbano latino,2,66.0,471371.5
colombian hip hop,nueva musica mexicana,2,68.0,501302.5
gruperas inmortales,musica mexicana,2,59.0,344886.5
musica mexicana,nu-cumbia,2,59.0,344886.5
musica mexicana,tropical,2,59.0,344886.5
colombian hip hop,musica mexicana,2,60.0,316755.0
corrido,corrido,2,76.0,221264.0
corrido,sad sierreno,2,79.5,290524.0
corridos tumbados,sad sierreno,2,79.5,290524.0
corrido,corridos tumbados,2,76.0,48076.0
dance pop,rap,2,80.0,129294.5
trap latino,venezuelan hip hop,2,75.0,185359.5
urbano latino,venezuelan hip hop,2,75.0,185359.5
banda,banda,2,73.5,66850.5
banda,corrido,2,78.0,260068.0
