Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,155,30.04854368932039,221009.16504854368
pop,pop,128,34.1958762886598,511264.0
hip hop,pop,91,31.37142857142857,200535.1857142857
pop,trap,84,33.34375,262119.234375
edm,pop,70,40.888888888888886,481149.462962963
hip hop,rap,70,45.766666666666666,236796.76666666666
pop,pop dance,68,33.25,450823.67307692306
pop,pop rap,66,39.795918367346935,237912.6530612245
rap,trap,62,45.392857142857146,251599.4642857143
dance pop,pop,61,41.325,355512.675
rap,rap,59,43.4,229030.6857142857
pop rap,rap,53,51.22727272727273,254936.13636363635
atl hip hop,pop,44,28.606060606060606,360136.1818181818
pop,r&b,41,39.225806451612904,219025.5483870968
dance pop,rap,40,47.107142857142854,265342.46428571426
pop,southern hip hop,40,38.3,237070.9
hip hop,trap,38,49.8235294117647,223000.0588235294
hip hop,pop rap,34,46.30769230769231,152407.0
electro house,pop,32,47.04,274018.92
pop rap,trap,32,47.35294117647059,222394.17647058822
atl hip hop,rap,28,36.4,306914.8
melodic rap,pop,27,40.375,447753.5625
edm,rap,27,51.5,221806.5
dance pop,trap,27,52.85,346407.2
edm,pop dance,26,32.09090909090909,168725.0909090909
dance pop,pop rap,24,45.388888888888886,238113.72222222222
hollywood,movie tunes,24,58.2,32251.7
movie tunes,show tunes,24,64.66666666666667,24242.777777777777
melodic rap,rap,24,41.88235294117647,354674.8823529412
electro house,rap,24,54.0,234977.38888888888
dance pop,hip hop,23,55.11764705882353,282475.4117647059
r&b,rap,21,39.05882352941177,182019.23529411765
dance pop,edm,20,48.55555555555556,342399.3888888889
pop,uk dance,20,57.86666666666667,538495.8666666667
movie tunes,movie tunes,19,59.6,24850.4
dance pop,pop dance,19,39.0625,369150.4375
pop,uk pop,19,39.666666666666664,500045.3888888889
hip hop,hip hop,19,52.07692307692308,139234.84615384616
hollywood,show tunes,18,64.625,23262.875
atl hip hop,hip hop,18,40.625,270469.75
hip hop,melodic rap,18,40.666666666666664,395102.5833333333
edm,trap,18,52.875,241800.25
pop,progressive house,17,60.357142857142854,440459.0714285714
canadian pop,pop,17,23.375,460916.3125
house,rap,17,62.214285714285715,203965.2857142857
progressive house,rap,17,62.214285714285715,203965.2857142857
rap,uk dance,17,62.214285714285715,203965.2857142857
canadian pop,rap,17,55.125,220141.875
pop dance,uk pop,17,40.13333333333333,347201.6666666667
electropop,pop,17,43.5,734440.0714285715
pop rap,pop rap,17,49.0,190044.88888888888
hip hop,r&b,16,42.916666666666664,106242.58333333333
rap,southern hip hop,16,53.1,234358.2
pop,pop r&b,15,40.22222222222222,355619.22222222225
edm,hip hop,15,60.90909090909091,298663.7272727273
cantopop,cantopop,15,26.666666666666668,266357.6
trap,trap,15,49.46153846153846,254001.15384615384
atl hip hop,dance pop,15,51.18181818181818,364215.45454545453
electro house,trap,15,56.285714285714285,261590.5
pop dance,pop dance,15,32.09090909090909,168725.0909090909
art pop,pop,14,30.75,78556.125
metropopolis,pop,14,34.0,194924.2857142857
electro house,hip hop,14,60.90909090909091,298663.7272727273
melodic rap,pop rap,14,50.4,350274.6
dance pop,southern hip hop,14,56.72727272727273,280116.7272727273
edm,uk pop,13,47.09090909090909,408491.2727272727
alt z,pop,13,51.166666666666664,248053.0
