Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1840,61.975903614457835,346617.0361445783
trap latino,urbano latino,1724,61.43568464730291,346805.643153527
reggaeton,trap latino,1574,61.61276595744681,357684.98723404255
urbano latino,urbano latino,1006,61.48780487804878,344625.325203252
reggaeton,reggaeton,848,61.08695652173913,352933.7043478261
trap latino,trap latino,734,62.54314720812183,388204.6294416244
latin hip hop,urbano latino,298,60.785714285714285,256388.07142857142
latin hip hop,reggaeton,290,60.785714285714285,256388.07142857142
reggaeton flow,urbano latino,269,59.656716417910445,321936.9104477612
latin hip hop,trap latino,259,61.640449438202246,274435.80898876407
reggaeton,reggaeton flow,251,59.96923076923077,330992.6461538462
reggaeton flow,trap latino,237,60.492063492063494,328236.34920634923
reggaeton colombiano,urbano latino,205,64.72602739726027,362858.6712328767
reggaeton,reggaeton colombiano,194,64.5945945945946,347559.4054054054
reggaeton colombiano,trap latino,164,64.98387096774194,392360.0483870968
puerto rican pop,urbano latino,146,65.39285714285714,291349.85714285716
trap argentino,urbano latino,142,63.54838709677419,386085.87096774194
puerto rican pop,reggaeton,138,64.54716981132076,288930.1320754717
puerto rican pop,trap latino,127,65.74509803921569,313274.5294117647
latin pop,urbano latino,126,64.81538461538462,219064.4
latin pop,reggaeton,120,64.171875,208082.265625
panamanian pop,urbano latino,118,61.142857142857146,392449.5238095238
trap argentino,trap latino,115,63.275862068965516,410085.0344827586
reggaeton,trap argentino,107,67.89655172413794,401911.6206896552
latin pop,mexican pop,102,66.88888888888889,44911.166666666664
panamanian pop,reggaeton,101,61.142857142857146,392449.5238095238
latin pop,trap latino,100,64.8076923076923,227071.67307692306
r&b en espanol,urbano latino,99,66.0,493145.3703703704
colombian pop,urbano latino,99,66.93939393939394,267712.1818181818
panamanian pop,trap latino,97,61.65853658536585,401988.0731707317
colombian pop,reggaeton,90,66.94117647058823,240393.29411764705
r&b en espanol,trap latino,83,66.0,493145.3703703704
r&b en espanol,reggaeton,80,65.73076923076923,510234.57692307694
colombian pop,trap latino,74,67.26923076923077,280272.6538461539
rap latina,urbano latino,71,65.34782608695652,213822.30434782608
rap latina,trap latino,63,64.9090909090909,195792.4090909091
rap latina,reggaeton,57,64.21052631578948,220126.8947368421
pop reggaeton,urbano latino,55,66.8,654595.8666666667
pop,reggaeton,55,66.0,352965.0
pop,urbano latino,55,66.0,352965.0
latin pop,latin pop,52,67.21428571428571,66599.17857142857
latin hip hop,reggaeton flow,50,59.06666666666667,218124.4
pop reggaeton,reggaeton,48,66.8,654595.8666666667
pop,trap latino,47,66.84,388510.36
pop reggaeton,trap latino,45,66.8,654595.8666666667
pop,pop,42,68.825,78189.8
latin arena pop,latin pop,39,67.46666666666667,16737.066666666666
mexican pop,mexican pop,36,66.25,2420.25
latin arena pop,mexican pop,36,66.25,2420.25
rap dominicano,urbano latino,35,59.23076923076923,109335.30769230769
rap dominicano,trap latino,34,59.23076923076923,109335.30769230769
rap dominicano,reggaeton,33,59.23076923076923,109335.30769230769
argentine hip hop,urbano latino,32,62.57142857142857,218061.7142857143
dembow,trap latino,31,58.583333333333336,117950.75
dembow,urbano latino,31,58.583333333333336,117950.75
latin hip hop,puerto rican pop,30,64.8695652173913,150590.86956521738
dembow,reggaeton,30,58.583333333333336,117950.75
latin pop,reggaeton colombiano,30,65.21739130434783,168485.91304347827
latin hip hop,reggaeton colombiano,27,60.888888888888886,243025.11111111112
