Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,190,54.67816091954023,126720.7816091954
rap,rap,172,53.457142857142856,127288.1619047619
hip hop,rap,166,53.02439024390244,120761.48780487805
pop,pop,161,53.291044776119406,254578.78358208956
pop,rap,125,49.93975903614458,206858.8674698795
edm,pop,122,53.75268817204301,201986.50537634408
pop,pop dance,121,50.72527472527472,182079.6043956044
melodic rap,rap,108,54.34375,144987.90625
pop rap,rap,108,52.540983606557376,72921.67213114754
atl hip hop,rap,81,54.46341463414634,135740.9512195122
hip hop,trap,80,55.86,98086.46
dance pop,pop,70,57.78947368421053,239547.75438596492
melodic rap,trap,67,56.76086956521739,146944.28260869565
pop rap,trap,64,50.525,67213.525
pop,trap,63,43.32,216098.06
hip hop,pop,60,43.891304347826086,155544.5652173913
electro house,pop,57,47.81818181818182,142912.47727272726
trap,trap,57,54.87179487179487,65486.820512820515
rap,southern hip hop,53,48.5,90880.69444444444
atl hip hop,trap,49,51.0,73233.08333333333
pop,uk pop,49,55.523809523809526,240437.7619047619
pop,pop rap,48,46.92307692307692,161160.92307692306
hip hop,melodic rap,47,55.513513513513516,134878.02702702704
hip hop,pop rap,47,47.6875,73088.6875
pop,reggaeton,46,61.592592592592595,240727.1851851852
pop,urbano latino,44,61.629629629629626,237094.77777777778
pop,trap latino,41,64.3076923076923,248683.0
rap,underground hip hop,41,35.0,2184.6666666666665
edm,pop dance,40,51.7,178721.2
pop dance,uk pop,40,52.108108108108105,200497.75675675675
dance pop,edm,37,54.42857142857143,198231.25714285715
hip hop,hip hop,37,51.5,125240.2
dance pop,pop dance,36,53.411764705882355,186126.5294117647
atl hip hop,hip hop,34,55.65217391304348,75198.39130434782
pop,uk dance,34,57.0,282330.2413793103
edm,uk pop,33,52.84375,202708.6875
melodic rap,pop rap,33,56.333333333333336,57776.81481481482
hungarian hip hop,hungarian pop,32,24.863636363636363,172402.86363636365
reggaeton,urbano latino,32,70.9,177211.6
reggaeton,trap latino,31,70.9,177211.6
melodic rap,pop,29,51.58620689655172,253051.6896551724
atl hip hop,melodic rap,29,53.40909090909091,181252.63636363635
pop,r&b,29,51.88461538461539,131538.23076923078
trap latino,urbano latino,29,69.0,219920.5
miami hip hop,rap,29,53.86666666666667,51407.933333333334
moombahton,pop,28,41.625,139254.5
dfw rap,rap,28,43.59090909090909,291008.2272727273
rap,slap house,28,51.904761904761905,124669.04761904762
hip hop,underground hip hop,28,34.5,2141.5
atl hip hop,pop rap,27,47.7,58906.05
pop dance,pop dance,26,50.86363636363637,241505.54545454544
cali rap,rap,26,42.6,90232.5
southern hip hop,trap,26,48.2,81278.86666666667
atl hip hop,pop,26,45.59090909090909,202828.22727272726
electropop,pop,25,35.47826086956522,243682.73913043478
r&b,rap,25,48.09090909090909,60232.454545454544
hip hop,southern hip hop,24,47.05,115435.65
hungarian pop,hungarian pop,24,34.666666666666664,394302.4666666667
rap,trap latino,23,52.125,268397.5
atl trap,rap,23,59.46153846153846,178970.76923076922
house,pop,23,57.36842105263158,232435.1052631579
edm,rap,23,47.411764705882355,305390.35294117645
rap,reggaeton,22,50.13333333333333,270937.26666666666
rap,urbano latino,22,50.13333333333333,270937.26666666666
gangster rap,rap,22,56.0,223188.22222222222
pop dance,uk dance,22,47.55555555555556,449307.22222222225
uk dance,uk pop,22,56.35,261689.45
pop,swedish pop,21,55.611111111111114,176307.61111111112
melodic rap,melodic rap,21,57.73684210526316,190106.7894736842
edm,electro house,21,46.94117647058823,142422.9411764706
electro house,pop dance,21,46.94117647058823,136412.82352941178
pop,southern hip hop,21,35.05882352941177,80048.35294117648
underground hip hop,underground hip hop,21,34.5,2141.5
rap,uk pop,21,64.5,288337.25
canadian pop,pop,20,50.75,388849.125
pop,slap house,19,42.25,186136.75
dfw rap,trap,19,52.0,350364.875
edm,edm,19,48.23529411764706,141964.5294117647
pop rap,pop rap,19,45.53333333333333,50403.666666666664
pop dance,rap,19,46.733333333333334,338500.6
pop,progressive electro house,19,56.77777777777778,250733.61111111112
indie poptimism,pop,18,46.05882352941177,133569.0588235294
edm,swedish pop,18,50.8,173389.8
pop dance,swedish pop,18,50.8,173389.8
dfw rap,hip hop,17,42.86666666666667,209592.46666666667
dance pop,electro house,17,48.411764705882355,144016.29411764705
cali rap,trap,17,41.333333333333336,99993.33333333333
dance pop,uk pop,17,64.375,176412.0625
edm,reggaeton,17,55.72727272727273,386697.0
edm,urbano latino,17,55.72727272727273,386697.0
pop dance,reggaeton,17,55.72727272727273,386697.0
pop dance,urbano latino,17,55.72727272727273,386697.0
hip hop,r&b,17,48.9375,64200.6875
reggaeton,reggaeton,17,70.9,177211.6
canadian pop,rap,17,43.93333333333333,126810.13333333333
miami hip hop,trap,17,55.27272727272727,54599.0
cali rap,hip hop,16,41.333333333333336,99993.33333333333
melodic rap,southern hip hop,16,56.642857142857146,61912.78571428572
contemporary country,pop,16,61.23076923076923,165275.23076923078
australian pop,pop,15,40.0,132727.26666666666
hungarian hip hop,magyar trap,15,13.909090909090908,111696.36363636363
gangster rap,hip hop,15,57.46153846153846,196324.3076923077
slap house,trap,15,60.916666666666664,90692.08333333333
pop rap,southern hip hop,15,30.666666666666668,54205.0
pop,singer-songwriter pop,15,62.45454545454545,244286.0909090909
edm,pop rap,15,44.92307692307692,269833.6923076923
pop dance,pop rap,15,44.857142857142854,308458.71428571426
conscious hip hop,rap,15,52.666666666666664,126164.0
rap,singer-songwriter pop,15,65.0,207692.45454545456
urbano latino,urbano latino,15,69.0,219920.5
pop,progressive house,15,57.53333333333333,192038.86666666667
big room,pop,15,60.15384615384615,294854.3076923077
trap,underground hip hop,15,35.0,2184.6666666666665
dance pop,reggaeton,15,57.6,215016.0
hungarian hip hop,hungarian hip hop,14,18.285714285714285,95903.28571428571
pop rap,reggaeton,14,53.916666666666664,195392.0
pop rap,urbano latino,14,53.916666666666664,195392.0
cali rap,pop rap,14,43.375,62853.5
pop,post-teen pop,14,65.36363636363636,322244.8181818182
edm,trap latino,14,54.6,423019.2
pop dance,trap latino,14,54.6,423019.2
pop,reggaeton colombiano,14,56.083333333333336,335072.9166666667
edm,trap,14,37.0,295183.54545454547
pop,tropical house,14,49.61538461538461,291678.3846153846
pop rap,underground hip hop,14,35.0,2184.6666666666665
trap latino,trap latino,14,69.42857142857143,203293.85714285713
dutch house,pop,14,46.083333333333336,99139.16666666667
dutch house,pop dance,14,55.2,138994.3
dance pop,rap,14,64.27272727272727,228243.9090909091
melodic rap,slap house,13,54.666666666666664,200266.83333333334
pop rap,trap latino,13,53.0,204860.0909090909
house,uk pop,13,55.61538461538461,220778.38461538462
alt z,pop,13,44.81818181818182,211106.0
dutch house,edm,13,53.111111111111114,135014.22222222222
big room,pop dance,13,54.9,208074.8
emo rap,rap,13,48.77777777777778,60559.0
emo rap,trap,13,52.0,64353.444444444445
hip hop,miami hip hop,13,52.111111111111114,60072.88888888889
dance pop,urbano latino,13,57.333333333333336,225539.66666666666
australian pop,edm,12,43.25,66487.25
australian pop,pop dance,12,43.25,66487.25
australian dance,pop,12,44.5,63221.5
hip hop,trap latino,12,47.8,243746.4
atl trap,hip hop,12,61.375,105059.75
edm,uk dance,12,44.833333333333336,338013.3333333333
electronic trap,rap,12,45.0,315130.25
pop,puerto rican pop,12,70.0,207585.5
pop dance,trap,12,33.55555555555556,348099.1111111111
atl hip hop,atl hip hop,12,51.125,40285.75
pop,pop soul,12,55.916666666666664,231097.5
north carolina hip hop,rap,12,44.666666666666664,127822.33333333333
canadian hip hop,rap,12,50.81818181818182,194516.27272727274
rap,toronto rap,12,55.9,213330.4
pop dance,progressive electro house,12,55.2,138994.3
dutch edm,pop,12,54.63636363636363,287186.63636363635
big room,edm,12,53.333333333333336,136471.44444444444
dance pop,dance pop,12,67.58333333333333,237517.75
edm,indie poptimism,11,41.63636363636363,40937.90909090909
indie poptimism,pop dance,11,41.63636363636363,40937.90909090909
australian dance,edm,11,41.36363636363637,62131.36363636364
australian dance,pop dance,11,41.36363636363637,62131.36363636364
reggaeton,trap,11,46.875,254386.875
trap,trap latino,11,50.77777777777778,251710.66666666666
trap,urbano latino,11,46.875,254386.875
atl hip hop,slap house,11,67.33333333333333,114297.22222222222
house,pop dance,11,47.857142857142854,325880.14285714284
house,uk dance,11,42.0,340166.0
electro house,uk pop,11,43.72727272727273,306065.7272727273
alt z,pop dance,11,46.3,222904.0
atl trap,trap,11,60.375,55985.625
pop,rock,11,46.6,303708.5
pop,pop r&b,11,71.3,426797.6
edm,progressive electro house,11,53.111111111111114,135014.22222222222
miami hip hop,underground hip hop,11,52.5,2155.5
cali rap,underground hip hop,11,69.0,2040.0
electro house,indie poptimism,10,39.3,40556.4
indie poptimism,moombahton,10,39.3,40556.4
australian dance,electro house,10,39.3,40556.4
australian pop,electro house,10,39.3,40556.4
australian dance,moombahton,10,39.3,40556.4
australian pop,moombahton,10,39.3,40556.4
australian dance,indie poptimism,10,39.3,40556.4
australian pop,indie poptimism,10,39.3,40556.4
hip hop,reggaeton,10,40.5,256148.75
hip hop,urbano latino,10,40.5,256148.75
edm,hip hop,10,37.888888888888886,227020.66666666666
atl trap,melodic rap,10,54.111111111111114,197013.0
atl hip hop,southern hip hop,10,37.285714285714285,85614.57142857143
philly rap,rap,10,56.166666666666664,113729.33333333333
queens hip hop,rap,10,51.5,110807.75
hip hop,uk pop,10,56.25,217637.75
reggaeton,reggaeton colombiano,10,67.6,277601.4
reggaeton colombiano,trap latino,10,67.6,277601.4
reggaeton colombiano,urbano latino,10,67.6,277601.4
oakland hip hop,rap,10,53.0,17157.833333333332
hungarian edm,hungarian pop,10,32.42857142857143,778366.2857142857
latin pop,pop,10,58.75,67704.125
