Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,132,30.04705882352941,1307419.0117647059
pop,pop,116,37.369565217391305,2817965.7717391304
pop,trap,81,37.28333333333333,1418118.6333333333
pop,pop dance,78,31.23728813559322,2255498.0508474577
rap,trap,78,44.93103448275862,1109630.4827586208
hip hop,pop,78,32.94827586206897,1111466.7413793104
edm,pop,72,38.375,2682720.035714286
pop,pop rap,71,41.254901960784316,1267631.137254902
hip hop,rap,69,43.93103448275862,1084839.1724137932
dance pop,pop,63,43.375,2081169.675
pop rap,rap,63,50.76,1014095.88
rap,rap,60,42.84848484848485,1018870.0
pop rap,trap,47,48.0,825725.8571428572
hip hop,trap,46,46.578947368421055,982296.5789473684
atl hip hop,pop,43,31.5625,1902979.28125
pop,southern hip hop,42,44.09375,983311.0
hip hop,pop rap,42,47.25,814848.4375
pop,r&b,41,44.0625,1085553.1875
dance pop,rap,41,47.61538461538461,1609552.0
edm,pop dance,36,24.25,672248.1875
melodic rap,rap,35,42.875,1700796.3125
electro house,pop,33,42.46153846153846,1406696.8076923077
dance pop,pop rap,32,47.69565217391305,1227250.043478261
dance pop,trap,32,54.166666666666664,1657322.4166666667
edm,rap,31,48.35,1166351.4
atl hip hop,rap,29,37.9375,1483249.9375
electro house,rap,28,50.5,1241922.388888889
dance pop,edm,27,46.68181818181818,1698450.6818181819
edm,trap,27,52.05,1064879.55
rap,southern hip hop,26,50.92307692307692,614676.6923076923
trap,trap,26,45.266666666666666,1076888.0666666667
dance pop,hip hop,26,55.94736842105263,1424564.0
dance pop,pop dance,25,39.05,1554045.8
melodic rap,trap,24,43.46153846153846,1857409.6923076923
electro house,trap,23,53.470588235294116,1194987.5882352942
edm,pop rap,23,47.0,943319.7142857143
southern hip hop,trap,22,46.666666666666664,365403.22222222225
melodic rap,pop,22,39.69230769230769,3211305.076923077
hip hop,melodic rap,21,39.0,1874735.75
r&b,rap,21,40.75,698863.125
pop dance,pop dance,20,24.25,672248.1875
edm,hip hop,20,56.53846153846154,1408413.1538461538
pop rap,pop rap,20,48.166666666666664,1026060.0
pop,uk pop,19,41.888888888888886,3008127.1666666665
electro house,pop dance,19,19.714285714285715,609561.1428571428
dance pop,southern hip hop,19,58.333333333333336,1165102.5333333334
edm,southern hip hop,19,48.57142857142857,1027889.8571428572
electro house,hip hop,19,56.53846153846154,1408413.1538461538
pop rap,southern hip hop,19,50.4,18259.7
hip hop,hip hop,19,47.38461538461539,959522.5384615385
pop dance,rap,19,35.09090909090909,686663.2727272727
pop,uk dance,18,57.92307692307692,3831853.3076923075
indonesian pop,indonesian pop,18,40.111111111111114,1401459.0
electropop,pop,18,38.666666666666664,2822461.933333333
electro house,pop rap,18,47.2,1221648.6
hip hop,southern hip hop,18,45.5,21081.0
pop dance,pop rap,18,38.666666666666664,341401.0
atl hip hop,hip hop,17,42.888888888888886,1630879.6666666667
pop dance,uk pop,17,37.733333333333334,2570202.533333333
edm,edm,17,29.6,478212.5333333333
edm,electro house,17,25.53846153846154,380851.76923076925
movie tunes,movie tunes,17,60.0,67962.33333333333
rap,urban contemporary,17,39.333333333333336,534875.5833333334
pop dance,trap,17,40.81818181818182,502231.45454545453
pop,progressive house,16,59.38461538461539,2855094.6153846155
hip hop,r&b,16,41.916666666666664,323464.9166666667
melodic rap,pop rap,16,47.77777777777778,1836911.0
atl hip hop,dance pop,16,49.166666666666664,1696431.0833333333
alt z,pop,16,53.13333333333333,1244252.8
atl hip hop,pop rap,16,39.44444444444444,1481308.2222222222
electro house,southern hip hop,15,49.81818181818182,1218877.8181818181
house,rap,15,61.72727272727273,1435827.5454545454
progressive house,rap,15,61.72727272727273,1435827.5454545454
rap,uk dance,15,61.72727272727273,1435827.5454545454
hip hop,urban contemporary,15,39.333333333333336,365713.4166666667
atl hip hop,trap,15,40.44444444444444,1460555.5555555555
pop,progressive electro house,14,46.46153846153846,1665280.7692307692
canadian pop,pop,14,18.23076923076923,2923712.4615384615
dance pop,r&b,14,57.0,1440981.25
pop dance,southern hip hop,14,40.333333333333336,347541.0
dance pop,dance pop,13,52.0,1056889.6153846155
alt z,edm,13,47.63636363636363,912888.5454545454
alt z,pop dance,13,47.333333333333336,925776.6666666666
edm,progressive electro house,13,32.27272727272727,423967.0
edm,uk pop,13,47.63636363636363,2493587.5454545454
edm,r&b,13,41.166666666666664,1028446.5
pop,urban contemporary,13,53.416666666666664,684048.25
pop rap,r&b,13,56.8,348943.9
miami hip hop,rap,13,55.0,1957106.5
boy band,pop dance,12,16.75,460146.5833333333
pop dance,progressive electro house,12,29.9,460354.9
hollywood,movie tunes,12,38.0,53430.666666666664
house,trap,12,61.72727272727273,1435827.5454545454
progressive house,trap,12,61.72727272727273,1435827.5454545454
