Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,34,45.64705882352941,111549.05882352941
hip hop,rap,32,64.3157894736842,162868.36842105264
pop,pop,28,73.26923076923077,271670.0
rap,rap,26,55.45454545454545,145588.18181818182
atl hip hop,rap,26,33.916666666666664,77966.0
atl hip hop,trap,22,21.625,95678.75
gangster rap,rap,21,70.21428571428571,215953.64285714287
dance pop,pop,21,70.6,363252.2
movie tunes,movie tunes,20,73.0,873293.25
pop,pop dance,20,65.625,614616.5625
melodic rap,rap,18,28.666666666666668,130060.88888888889
dance pop,uk pop,18,65.57142857142857,447754.14285714284
pop dance,uk pop,18,67.6923076923077,589195.0769230769
gangster rap,hip hop,18,75.61538461538461,231948.0
pop dance,uk dance,17,75.75,488327.6666666667
hip hop,trap,16,52.083333333333336,120546.33333333333
melodic rap,trap,16,21.875,143164.75
pop,rap,16,68.5,254098.625
atl hip hop,melodic rap,14,12.571428571428571,108620.28571428571
edm,pop,13,60.4,681828.7
pop,uk pop,13,66.33333333333333,383812.0833333333
hip hop,hip hop,13,74.76923076923077,171901.53846153847
trap,trap,12,21.625,95678.75
uk dance,uk pop,11,75.75,679807.125
atl hip hop,atl hip hop,10,14.666666666666666,125496.5
atl hip hop,hip hop,10,42.875,108848.75
edm,uk pop,10,64.22222222222223,472269.1111111111
hip hop,pop,10,62.5,249869.9
pop,uk dance,10,72.77777777777777,472547.22222222225
uk hip hop,uk hip hop,10,61.2,192742.4
uk drill,uk hip hop,10,60.333333333333336,20117.666666666668
dance pop,pop dance,10,77.85714285714286,613077.5714285715
hollywood,movie tunes,9,73.0,873293.25
g funk,hip hop,9,82.16666666666667,183592.0
g funk,rap,9,82.16666666666667,183592.0
hip hop,west coast rap,9,82.16666666666667,183592.0
rap,west coast rap,9,82.16666666666667,183592.0
pop dance,pop dance,9,77.44444444444444,608055.5555555555
uk dance,uk dance,9,76.44444444444444,488197.6666666667
rap,southern hip hop,8,50.333333333333336,194288.33333333334
atl trap,rap,8,38.166666666666664,146282.16666666666
canadian pop,rap,8,68.875,132332.75
hip hop,melodic rap,7,34.2,152330.8
gangster rap,trap,7,51.0,160543.2
g funk,gangster rap,7,84.5,251265.0
gangster rap,west coast rap,7,84.5,251265.0
hip hop,pop rap,7,67.33333333333333,245927.83333333334
pop rap,rap,7,67.33333333333333,245927.83333333334
pop,trap,7,76.0,201700.42857142858
london rap,uk hip hop,7,63.5,26919.5
dance pop,uk dance,7,77.66666666666667,596634.5
edm,pop dance,7,77.16666666666667,610598.5
atl hip hop,atl trap,6,21.5,184671.0
atl hip hop,gangster rap,6,42.75,183811.0
atl trap,trap,6,21.5,184671.0
g funk,west coast rap,6,84.33333333333333,234111.33333333334
melodic drill,uk hip hop,6,69.0,210123.0
pop,pop rap,6,66.83333333333333,109632.0
house,uk dance,6,80.6,614316.2
atl hip hop,southern hip hop,5,28.666666666666668,242641.0
melodic rap,southern hip hop,5,28.666666666666668,242641.0
southern hip hop,trap,5,28.666666666666668,242641.0
melodic rap,melodic rap,5,34.6,224499.0
gangster rap,gangster rap,5,84.4,214506.4
hip hop,r&b,5,63.4,85715.2
r&b,rap,5,63.4,85715.2
canadian pop,trap,5,79.25,51373.25
hip hop,neo soul,5,49.8,103285.8
german dance,uk dance,5,73.66666666666667,438311.0
dance pop,rap,5,80.8,402944.4
grime,uk hip hop,5,63.0,187988.0
london rap,uk drill,5,63.5,26919.5
dance pop,dance pop,5,81.6,550004.2
edm,uk dance,5,76.8,590371.0
pop rap,pop rap,5,56.666666666666664,158295.33333333334
modern salsa,movie tunes,5,78.0,1999275.0
movie tunes,salsa colombiana,5,78.0,1999275.0
atl trap,melodic rap,4,21.5,184671.0
detroit hip hop,g funk,4,81.25,175486.0
detroit hip hop,gangster rap,4,81.25,175486.0
detroit hip hop,hip hop,4,81.25,175486.0
detroit hip hop,west coast rap,4,81.25,175486.0
uk pop,uk pop,4,67.75,430269.25
gangster rap,pop rap,4,84.66666666666667,217240.0
chicago rap,r&b,4,58.0,99659.75
canadian hip hop,rap,4,83.5,88553.25
rap,toronto rap,4,83.5,88553.25
canadian hip hop,trap,4,82.33333333333333,42814.333333333336
toronto rap,trap,4,82.33333333333333,42814.333333333336
canadian pop,hip hop,4,77.5,98355.5
pop,rock,4,61.5,609472.75
neo soul,rap,4,62.0,87144.5
german dance,pop dance,4,76.0,590478.5
dance pop,hip hop,4,61.25,355348.5
manchester hip hop,uk hip hop,4,62.0,183635.5
brooklyn drill,uk hip hop,4,67.0,10681.0
new york drill,uk hip hop,4,67.0,10681.0
trap,uk hip hop,4,67.0,10681.0
dance pop,edm,4,79.0,757887.6666666666
dance pop,uk contemporary r&b,4,80.33333333333333,541493.0
pop dance,uk contemporary r&b,4,80.33333333333333,541493.0
house,pop dance,4,81.66666666666667,704551.3333333334
pop rap,seattle hip hop,4,86.0,399924.0
gangster rap,melodic rap,3,28.666666666666668,243385.33333333334
dance pop,gauze pop,3,38.333333333333336,195610.33333333334
edm,gauze pop,3,38.333333333333336,195610.33333333334
gauze pop,pop,3,38.333333333333336,195610.33333333334
