Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,191,65.23636363636363,230625.87272727274
hip hop,rap,144,66.91071428571429,243099.25
rap,rap,137,66.88235294117646,283216.3676470588
hip hop,trap,95,64.94444444444444,248495.16666666666
pop rap,rap,90,66.0,241978.91304347827
rap,southern hip hop,77,62.94736842105263,148491.68421052632
israeli mediterranean,israeli pop,75,26.821428571428573,849707.0
melodic rap,rap,71,65.26829268292683,256067.9512195122
pop rap,trap,69,68.66666666666667,257430.66666666666
trap,trap,67,65.73076923076923,255458.88461538462
atl hip hop,rap,62,67.6470588235294,182998.79411764705
southern hip hop,trap,59,61.44444444444444,36159.666666666664
pop,pop,56,69.25,271875.3958333333
israeli pop,israeli pop,51,27.677419354838708,922857.9032258064
hip hop,southern hip hop,49,57.45454545454545,224927.54545454544
gangster rap,rap,48,66.23076923076923,95569.23076923077
melodic rap,trap,47,63.9,213403.93333333332
hip hop,pop rap,46,60.166666666666664,263419.0833333333
pop,rap,42,61.285714285714285,248911.6
hip hop,hip hop,41,63.333333333333336,257027.88888888888
pop rap,southern hip hop,40,45.0,9933.0
atl hip hop,trap,39,63.35,158558.4
israeli hip hop,israeli trap,38,23.6,426023.1
israeli mediterranean,israeli mediterranean,37,27.4,550800.2
gangster rap,hip hop,34,64.18181818181819,45474.545454545456
israeli hip hop,israeli hip hop,34,24.3,535761.9
dirty south rap,rap,34,51.0,113406.0
atl hip hop,hip hop,33,66.78260869565217,177529.21739130435
gangster rap,trap,32,59.8,79569.2
classic israeli pop,israeli pop,29,28.25,301990.0625
hip hop,melodic rap,29,69.54545454545455,267035.6818181818
dirty south rap,trap,29,22.0,4568.0
canadian hip hop,rap,28,73.38888888888889,415417.94444444444
rap,toronto rap,28,73.38888888888889,415417.94444444444
israeli pop,mizrahi,27,20.125,764592.625
gangster rap,southern hip hop,26,42.5,6987.5
classic israeli pop,israeli rock,25,23.764705882352942,258762.4705882353
israeli mediterranean,mizrahi,25,23.09090909090909,518854.45454545453
israeli pop,israeli rock,24,28.38888888888889,264910.05555555556
israeli hip hop,israeli pop,24,28.133333333333333,732606.4666666667
dirty south rap,hip hop,24,51.0,113406.0
dirty south rap,pop rap,24,22.0,4568.0
dirty south rap,southern hip hop,24,22.0,4568.0
r&b,rap,23,62.916666666666664,137695.08333333334
gangster rap,pop rap,23,50.5,13941.5
canadian hip hop,trap,22,71.6,407536.13333333336
