Source,Target,Weight,Avg_Popularity,Avg_Streams
filmi,modern bollywood,964,58.48108108108108,4819040.475675676
desi pop,modern bollywood,937,58.72043010752688,4917346.424731183
desi pop,filmi,797,58.89071038251366,5031516.426229509
modern bollywood,modern bollywood,553,58.54651162790697,4930330.848837209
filmi,filmi,434,58.63030303030303,4818436.266666667
desi pop,desi pop,421,58.0,5043903.895027624
desi pop,punjabi pop,125,44.78787878787879,3149599.090909091
desi hip hop,desi pop,83,48.27272727272727,3972766.090909091
modern bollywood,punjabi pop,81,57.73529411764706,3688000.6764705884
desi hip hop,filmi,71,56.06666666666667,4323905.633333334
desi hip hop,modern bollywood,66,56.11538461538461,4966013.461538462
filmi,punjabi pop,64,57.92857142857143,3818864.964285714
pop,pop,60,58.07142857142857,3956374.5178571427
gujarati pop,modern bollywood,49,58.15,3641781.1
desi pop,desi trap,45,50.666666666666664,4786125.416666667
filmi,gujarati pop,43,58.15,3641781.1
rap,trap,43,70.47058823529412,3364065.470588235
modern bollywood,sufi,43,58.09090909090909,2453039.6363636362
desi trap,filmi,42,61.5,6167454.642857143
desi trap,modern bollywood,42,61.5,6167454.642857143
desi pop,gujarati pop,42,58.15,3641781.1
hare krishna,modern bollywood,41,57.44444444444444,3791913.8333333335
classic pakistani pop,modern bollywood,41,65.4,3193704.8
filmi,hare krishna,38,57.125,3811313.8125
rap,rap,38,73.0,3205890.52
punjabi pop,punjabi pop,37,42.32258064516129,3134819.9677419355
pop,rap,37,60.84848484848485,3439115.0606060605
desi pop,sufi,37,53.25,3542169.25
classic pakistani pop,desi pop,35,65.4,3193704.8
filmi,sufi,33,47.083333333333336,3538986.0
hip hop,rap,33,74.4,2244560.55
indian instrumental,modern bollywood,32,64.33333333333333,6861988.75
desi pop,hare krishna,32,58.875,4230415.75
classic pakistani pop,filmi,31,64.44444444444444,3541619.888888889
melodic rap,rap,29,67.8,3787727.0
filmi,indian instrumental,27,64.33333333333333,6861988.75
desi hip hop,desi hip hop,26,39.3,2391444.6
desi hip hop,desi trap,23,40.266666666666666,2022882.3333333333
desi pop,indian instrumental,22,63.095238095238095,6978141.333333333
