Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,302,47.22222222222222,48924.729166666664
rap,rap,206,47.6797385620915,47470.1568627451
hip hop,rap,186,47.11504424778761,60967.11504424779
atl hip hop,rap,168,46.91752577319588,37532.9587628866
melodic rap,rap,143,45.38709677419355,37280.17204301075
melodic rap,trap,127,43.7375,46661.25
atl hip hop,trap,115,48.74576271186441,28077.661016949154
hip hop,trap,113,50.23529411764706,53381.33823529412
trap,trap,112,46.57142857142857,30887.38961038961
pop,rap,82,48.03389830508475,93583.64406779662
hollywood,movie tunes,79,59.8,50255.1
pop rap,rap,77,52.870370370370374,70496.53703703704
pop,pop,69,54.220338983050844,106663.8813559322
atl hip hop,melodic rap,66,47.78846153846154,39767.46153846154
hollywood,hollywood,66,60.7,33571.7
atl hip hop,hip hop,62,45.88095238095238,41652.333333333336
rap,southern hip hop,61,49.212765957446805,38743.21276595745
icelandic pop,icelandic pop,55,9.224489795918368,164804.67346938775
hip hop,melodic rap,54,44.744680851063826,62658.765957446805
pop rap,trap,50,51.4054054054054,50861.05405405405
east coast hip hop,hardcore hip hop,50,56.0,1109.0
hip hop,hip hop,49,51.083333333333336,37669.166666666664
classic icelandic pop,icelandic pop,47,2.769230769230769,34396.11538461538
icelandic hip hop,icelandic hip hop,45,9.235294117647058,87785.61764705883
hip hop,pop,45,42.81578947368421,102650.44736842105
pop,trap,44,46.333333333333336,99896.36111111111
icelandic hip hop,icelandic pop,41,15.0,214997.73529411765
hip hop,pop rap,41,54.12,67062.92
atl hip hop,atl hip hop,39,49.064516129032256,8579.290322580646
atl trap,rap,38,49.34615384615385,11525.23076923077
southern hip hop,trap,37,48.464285714285715,24817.39285714286
miami hip hop,rap,34,59.38461538461539,77239.5
edm,pop,34,59.6,131013.48
emo rap,rap,33,30.72,73275.48
hip hop,southern hip hop,31,52.111111111111114,27046.11111111111
atl trap,trap,30,51.285714285714285,9981.42857142857
r&b,rap,30,39.958333333333336,75302.54166666667
pop,pop dance,29,58.38095238095238,81609.23809523809
dance pop,pop,29,58.18181818181818,99584.27272727272
classic icelandic pop,icelandic rock,28,1.125,19807.9375
chicago rap,rap,28,51.69565217391305,55816.739130434784
hollywood,show tunes,28,62.833333333333336,31680.833333333332
east coast hip hop,east coast hip hop,28,56.0,1109.0
melodic rap,melodic rap,27,41.925925925925924,23374.962962962964
emo rap,trap,26,29.36842105263158,47769.15789473684
atl hip hop,pop,26,45.608695652173914,98770.13043478261
melodic rap,pop rap,26,48.25,70893.625
atl hip hop,pop rap,26,50.095238095238095,45204.142857142855
classic icelandic pop,classic icelandic pop,25,0.9565217391304348,32891.13043478261
icelandic pop,icelandic rock,25,0.0,18941.928571428572
rap,slap house,25,48.88235294117647,46958.41176470588
melodic rap,southern hip hop,24,44.69565217391305,53256.391304347824
slap house,trap,24,44.42857142857143,31607.571428571428
gangster rap,rap,24,41.2,10298.85
miami hip hop,trap,24,55.75,72492.4
atl hip hop,atl trap,23,54.22222222222222,10869.777777777777
chicago rap,trap,23,59.63157894736842,56768.73684210526
pop,pop rap,23,61.89473684210526,97308.26315789473
east coast hip hop,hip hop,23,46.166666666666664,13289.166666666666
hollywood,pop,22,55.666666666666664,92834.66666666667
atl trap,melodic rap,22,50.64705882352941,11382.117647058823
movie tunes,movie tunes,22,59.333333333333336,51929.833333333336
canadian hip hop,rap,22,39.94736842105263,89508.1052631579
canadian pop,rap,22,43.333333333333336,89281.61111111111
hip hop,r&b,21,39.714285714285715,78529.0
movie tunes,show tunes,21,61.5,43722.333333333336
rap,toronto rap,21,41.55555555555556,81048.83333333333
hardcore hip hop,hardcore hip hop,21,56.0,1109.0
dance pop,hollywood,18,53.1,104004.2
canadian hip hop,trap,18,40.86666666666667,65747.86666666667
atl hip hop,southern hip hop,18,43.75,16681.25
emo rap,melodic rap,17,32.53333333333333,42796.666666666664
canadian pop,trap,17,47.357142857142854,88814.21428571429
toronto rap,trap,17,43.0,70307.14285714286
melodic rap,pop,17,54.9375,94517.6875
hip hop,miami hip hop,16,60.214285714285715,105899.78571428571
rap,trap latino,16,51.916666666666664,131035.75
gangster rap,trap,15,39.84615384615385,7368.2307692307695
canadian pop,hip hop,15,43.714285714285715,72106.85714285714
mississippi hip hop,trap,14,32.285714285714285,11185.142857142857
dfw rap,trap,14,39.285714285714285,154701.14285714287
conscious hip hop,rap,14,48.2,94174.2
melodic rap,slap house,14,42.166666666666664,60008.166666666664
east coast hip hop,rap,14,54.1,35074.6
pop,trap latino,14,60.4,149284.3
pop,reggaeton,14,56.44444444444444,147404.11111111112
pop,urbano latino,14,56.44444444444444,147404.11111111112
plugg,rap,14,32.38461538461539,2437.3076923076924
icelandic folk,icelandic pop,13,1.6666666666666667,20193.0
chicago rap,hip hop,13,60.15384615384615,41181.769230769234
dfw rap,rap,13,45.0,132091.25
atl hip hop,canadian hip hop,13,40.63636363636363,23290.909090909092
pop rap,southern hip hop,13,55.333333333333336,23553.11111111111
pop,pop r&b,13,61.45454545454545,101633.09090909091
dirty south rap,rap,13,56.54545454545455,21510.272727272728
electro house,pop,13,50.9,172850.4
melodic rap,miami hip hop,13,58.666666666666664,65621.41666666667
hardcore hip hop,hip hop,13,60.5,20981.0
atl hip hop,chicago rap,12,58.3,39913.6
atl hip hop,toronto rap,12,43.6,25428.2
pop,r&b,12,52.45454545454545,138684.63636363635
gangster rap,hip hop,12,41.6,15663.3
hip hop,toronto rap,12,41.083333333333336,44954.0
pop,uk dance,12,66.63636363636364,201694.72727272726
classic icelandic pop,icelandic folk,11,0.0,17523.727272727272
icelandic folk,icelandic rock,11,0.0,17523.727272727272
icelandic rock,icelandic rock,11,0.0,17523.727272727272
hip pop,pop,11,45.9,30439.9
hip pop,rap,11,39.625,22381.125
queens hip hop,rap,11,39.625,22381.125
atl trap,hip hop,11,49.72727272727273,11123.272727272728
florida drill,rap,11,55.25,69920.25
florida rap,rap,11,55.25,69920.25
atl hip hop,gangster rap,11,40.3,8406.9
electropop,pop,11,51.22222222222222,81510.0
atl hip hop,miami hip hop,11,53.2,82884.3
dirty south rap,trap,11,56.666666666666664,26032.0
pop,uk pop,11,59.72727272727273,176852.9090909091
hip hop,neo soul,11,50.2,32812.8
r&b,trap,11,42.42857142857143,10916.142857142857
rage rap,rap,11,58.666666666666664,8562.0
dfw rap,hip hop,10,30.6,172263.7
rap,west coast rap,10,46.0,75744.88888888889
pop,queens hip hop,10,44.333333333333336,33676.88888888889
atl hip hop,canadian pop,10,49.111111111111114,56847.666666666664
pop,southern hip hop,10,54.6,100379.9
hip hop,trap latino,10,51.44444444444444,73645.0
canadian hip hop,hip hop,10,49.3,39461.7
dance pop,rap,10,63.285714285714285,148040.2857142857
conscious hip hop,hip hop,10,55.42857142857143,71930.14285714286
hip hop,indie soul,10,45.75,40284.5
canadian pop,pop,10,40.55555555555556,65547.88888888889
big room,pop,10,65.88888888888889,73493.66666666667
plugg,trap,10,26.125,2229.5
art pop,hollywood,9,52.333333333333336,113481.33333333333
mississippi hip hop,rap,9,32.285714285714285,11185.142857142857
conscious hip hop,pop,9,37.77777777777778,114279.44444444444
atl hip hop,slap house,9,44.75,47136.625
rap,trap soul,9,38.57142857142857,106049.28571428571
pop rap,pop rap,9,55.333333333333336,51241.555555555555
east coast hip hop,trap,9,58.5,20682.0
contemporary country,pop,9,41.375,90611.75
miami hip hop,pop rap,9,60.666666666666664,98790.77777777778
neo soul,rap,9,50.2,32812.8
movie tunes,pop,9,65.66666666666667,30894.666666666668
edm,rap,9,65.42857142857143,93696.0
edm,pop dance,9,71.66666666666667,129939.66666666667
dance pop,edm,9,69.28571428571429,124825.71428571429
chicago rap,melodic rap,9,58.125,41596.625
atl hip hop,r&b,9,47.0,9677.25
chicago rap,southern hip hop,8,54.5,17137.125
florida drill,hip hop,8,54.142857142857146,79410.85714285714
florida rap,hip hop,8,54.142857142857146,79410.85714285714
icelandic electronic,icelandic pop,8,8.428571428571429,186838.7142857143
trap,trap latino,8,47.375,69624.375
hip hop,slap house,8,53.833333333333336,19578.5
pop,uk funky,8,62.42857142857143,121937.42857142857
indie soul,rap,8,45.75,40284.5
art pop,hip hop,8,50.0,43260.0
dirty south rap,hip hop,8,63.166666666666664,6614.333333333333
canadian trap,rap,8,34.666666666666664,118403.16666666667
icelandic electronic,icelandic hip hop,8,7.6,213324.4
pop dance,rap,8,70.16666666666667,108362.66666666667
pop,progressive electro house,8,55.57142857142857,182930.57142857142
czech hip hop,east coast hip hop,8,56.0,1109.0
czsk hip hop,east coast hip hop,8,56.0,1109.0
melodic rap,mississippi hip hop,7,32.285714285714285,11185.142857142857
atl hip hop,dfw rap,7,35.0,158288.2857142857
melodic rap,r&b,7,31.0,100486.71428571429
drill,rap,7,64.5,24841.75
emo rap,hip hop,7,49.142857142857146,102077.0
pop,puerto rican pop,7,44.2,93693.4
dance pop,trap,7,60.8,131541.8
gangster rap,melodic rap,7,32.42857142857143,1889.857142857143
florida drill,trap,7,54.142857142857146,79410.85714285714
florida rap,trap,7,54.142857142857146,79410.85714285714
pop,post-teen pop,7,59.666666666666664,148128.5
conscious hip hop,indie soul,7,45.75,40284.5
conscious hip hop,neo soul,7,45.75,40284.5
hip hop,indietronica,7,43.0,53341.666666666664
hip hop,uk alternative pop,7,43.0,53341.666666666664
new orleans rap,rap,7,51.714285714285715,12886.285714285714
dance pop,pop dance,7,66.0,28380.5
pop rap,r&b,7,66.6,68856.0
rap,reggaeton,7,50.6,245795.0
rap,urbano latino,7,50.6,245795.0
canadian pop,pop rap,7,48.0,83474.0
philly rap,rap,7,55.166666666666664,19120.0
czech hip hop,hardcore hip hop,7,56.0,1109.0
czsk hip hop,hardcore hip hop,7,56.0,1109.0
pop,west coast rap,6,24.666666666666668,127654.83333333333
emo rap,pop rap,6,42.333333333333336,57205.5
hip hop,hip pop,6,30.333333333333332,15442.0
hip hop,queens hip hop,6,30.333333333333332,15442.0
hip hop,south african hip hop,6,31.0,13367.75
rap,south african hip hop,6,31.0,13367.75
gangster rap,pop rap,6,49.666666666666664,15096.166666666666
drill,trap,6,64.5,24841.75
indie poptimism,pop,6,40.25,78739.75
latin pop,pop,6,40.0,59043.0
emo rap,miami hip hop,6,45.8,137676.2
atl hip hop,trap latino,6,43.166666666666664,89480.16666666667
canadian contemporary r&b,rap,6,34.4,71655.8
icelandic indie,icelandic pop,6,9.0,281113.3333333333
art pop,rap,6,50.0,43260.0
indietronica,rap,6,48.75,43979.5
hollywood,post-teen pop,6,68.5,36987.0
atl hip hop,dirty south rap,6,44.4,4216.0
moombahton,pop,6,35.0,25776.0
electro house,rap,6,63.2,82060.2
canadian hip hop,melodic rap,6,48.0,58604.333333333336
conscious hip hop,trap,6,52.75,118228.5
hip hop,west coast rap,6,64.0,47781.4
pluggnb,rap,6,70.16666666666667,2103.1666666666665
dance pop,movie tunes,6,60.0,18710.0
pop,reggaeton colombiano,6,58.8,171551.4
melodic rap,plugg,6,45.5,1921.3333333333333
east coast hip hop,pop rap,6,58.8,40791.2
edm,uk pop,6,73.4,256016.0
detroit hip hop,hip hop,6,66.0,89895.33333333333
atl hip hop,hip pop,5,38.4,6515.0
atl hip hop,queens hip hop,5,38.4,6515.0
hip pop,trap,5,36.4,6662.2
queens hip hop,trap,5,36.4,6662.2
atl trap,canadian hip hop,5,43.8,20206.6
atl trap,toronto rap,5,43.8,20206.6
dfw rap,pop rap,5,36.5,178261.0
pop r&b,trap,5,34.5,21538.5
electropop,pop r&b,5,71.2,128640.6
czech hip hop,pop,5,67.25,46172.5
czsk hip hop,pop,5,67.25,46172.5
etherpop,pop,5,72.33333333333333,102025.0
miami hip hop,pop,5,70.6,98264.2
atl hip hop,florida drill,5,51.8,107152.4
atl hip hop,florida rap,5,51.8,107152.4
hip hop,urban contemporary,5,35.0,39347.5
rap,urban contemporary,5,35.0,39347.5
rap,uk alternative pop,5,43.0,53341.666666666664
australian dance,pop,5,42.0,67544.2
australian pop,pop,5,42.0,67544.2
atl trap,pop rap,5,54.0,5124.8
rap,underground hip hop,5,46.8,17484.6
edm,edm,5,71.66666666666667,129939.66666666667
melodic rap,toronto rap,5,55.4,69941.6
brostep,pop,5,64.4,234990.6
trap,west coast rap,5,49.75,53470.75
canadian hip hop,pop rap,5,44.0,48074.2
pop rap,toronto rap,5,44.0,48074.2
atl hip hop,plugg,5,32.25,2315.25
melodic rap,rage rap,5,54.6,6259.2
canadian pop,melodic rap,5,66.0,71916.0
atl hip hop,east coast hip hop,5,56.666666666666664,15558.333333333334
detroit hip hop,rap,5,60.75,67723.75
icelandic hip hop,icelandic indie,5,14.0,203174.25
hip hop,plugg,5,13.6,3645.2
atl hip hop,emo rap,5,11.75,18657.0
pop,progressive house,5,73.2,269355.2
country,pop,5,30.5,57004.0
icelandic pop,sunnlensk tonlist,5,4.666666666666667,37563.333333333336
chicago rap,miami hip hop,5,68.6,158245.6
edm,trap,5,60.5,22289.5
electro house,trap,5,60.5,22289.5
indie pop rap,rap,5,70.33333333333333,157183.0
conscious hip hop,r&b,4,37.0,109002.75
r&b,west coast rap,4,37.0,109002.75
emo rap,southern hip hop,4,29.0,23082.5
emo rap,pop,4,18.5,112500.75
dfw rap,southern hip hop,4,36.5,178261.0
melodic rap,trap soul,4,38.5,174005.0
pop,trap soul,4,38.5,174005.0
dfw rap,melodic rap,4,61.0,110794.75
gangster rap,southern hip hop,4,43.5,17933.25
southern hip hop,southern hip hop,4,49.0,50972.75
pop rap,south african hip hop,4,33.5,20985.0
south african hip hop,southern hip hop,4,33.5,20985.0
south african hip hop,trap,4,33.5,20985.0
canadian hip hop,emo rap,4,0.0,114302.5
canadian trap,emo rap,4,0.0,114302.5
melodic rap,pop r&b,4,34.5,21538.5
pop r&b,rap,4,34.5,21538.5
contemporary country,dance pop,4,51.0,108956.75
chicago rap,emo rap,4,33.75,148774.75
atl hip hop,dance pop,4,59.5,154876.5
dance pop,melodic rap,4,59.5,154876.5
downtempo,hip hop,4,65.0,20939.0
electronica,hip hop,4,65.0,20939.0
downtempo,rap,4,65.0,20939.0
electronica,rap,4,65.0,20939.0
dance pop,pop rap,4,69.5,64625.25
dance pop,trap latino,4,76.33333333333333,65197.0
dirty south rap,melodic rap,4,50.5,48945.5
pop rap,trap latino,4,70.75,55947.75
miami hip hop,southern hip hop,4,68.5,71917.25
canadian pop,conscious hip hop,4,34.0,147874.25
canadian contemporary r&b,hip hop,4,29.25,89131.75
rap,uk pop,4,49.0,119876.75
escape room,hip hop,4,45.25,4925.25
escape room,rap,4,45.25,4925.25
art pop,conscious hip hop,4,43.0,53341.666666666664
conscious hip hop,indietronica,4,43.0,53341.666666666664
conscious hip hop,uk alternative pop,4,43.0,53341.666666666664
indie soul,neo soul,4,28.0,2786.5
movie tunes,post-teen pop,4,68.5,36987.0
canadian hip hop,pop,4,33.75,177260.5
australian dance,edm,4,32.75,69919.0
australian pop,edm,4,32.75,69919.0
australian dance,pop dance,4,32.75,69919.0
australian pop,pop dance,4,32.75,69919.0
canadian pop,pop r&b,4,36.5,21495.5
pop,swedish pop,4,57.75,19583.5
trap,underground hip hop,4,39.25,19678.5
edm,melodic rap,4,70.33333333333333,112812.0
melodic rap,pop dance,4,70.33333333333333,112812.0
edm,electro house,4,71.66666666666667,129939.66666666667
pop dance,pop dance,4,70.5,175036.5
house,pop,4,75.5,379959.75
hip hop,new orleans rap,4,60.25,17711.0
dance pop,dance pop,4,71.25,194538.75
