Source,Target,Weight,Avg_Popularity,Avg_Streams
italian hip hop,italian pop,151,19.770114942528735,1736152.551724138
italian hip hop,italian hip hop,123,18.733333333333334,1658621.711111111
italian adult pop,italian pop,113,33.464285714285715,2338518.2321428573
pop,rap,101,27.9,2149445.9
pop,pop,98,40.01234567901235,3873183.7283950616
italian pop,italian pop,95,27.242857142857144,2581578.0428571426
italian hip hop,trap italiana,89,18.433962264150942,1808070.1886792453
rap,trap,72,47.4375,1870459.21875
hip hop,rap,71,46.72727272727273,1975051.7272727273
italian adult pop,italian adult pop,63,35.470588235294116,2135433.901960784
edm,pop,62,41.06382978723404,3027930.829787234
hip hop,pop,62,31.541666666666668,2110646.4375
reggaeton,urbano latino,60,32.357142857142854,1299389.357142857
pop,pop dance,60,32.75,2959570.909090909
dance pop,pop,59,43.87179487179487,3474963.564102564
rap,rap,57,45.51428571428571,1693989.2
pop,trap,56,35.325,2555544.4
italian pop,trap italiana,54,19.394736842105264,1918658.3684210526
trap latino,urbano latino,45,34.84615384615385,1396933.5384615385
hip hop,trap,44,49.333333333333336,1250266.4285714286
pop rap,rap,43,58.65,2325811.2
reggaeton,trap latino,41,34.84615384615385,1237861.8461538462
italian hip hop,italian underground hip hop,40,21.333333333333332,1365698.962962963
atl hip hop,rap,39,43.391304347826086,1644181.391304348
pop,pop rap,39,50.107142857142854,3256789.785714286
melodic rap,rap,35,37.6,2123659.75
atl hip hop,pop,34,28.423076923076923,2872998.269230769
italian hip hop,rap genovese,32,30.5,2366392.625
pop rap,trap,32,55.1764705882353,1193391.9411764706
urbano latino,urbano latino,32,34.84615384615385,1396933.5384615385
italian hip hop,rap napoletano,28,15.25925925925926,1440139.4814814816
electro house,pop,28,48.095238095238095,1797403.5238095238
reggaeton,reggaeton,28,34.84615384615385,1237861.8461538462
dance pop,rap,27,46.94736842105263,3123231.4210526315
hip hop,pop rap,26,55.18181818181818,1194095.7272727273
pop,r&b,25,36.78947368421053,2879889.1578947366
pop,southern hip hop,25,39.27777777777778,2191432.4444444445
atl hip hop,hip hop,24,49.84615384615385,1363310.0
hip hop,melodic rap,24,36.0,2488494.6666666665
trap,trap,23,45.473684210526315,1067587.3157894737
italian pop,italian underground hip hop,22,23.9,1573050.45
melodic rap,trap,22,37.705882352941174,2152565.117647059
trap italiana,trap italiana,21,27.047619047619047,1806459.5714285714
pop,uk dance,21,52.5,3550348.0625
italian pop,rap napoletano,20,20.61111111111111,2957332.0555555555
atl hip hop,trap,20,44.07142857142857,1014714.5
hip hop,hip hop,20,56.07142857142857,1009557.5714285715
italian hip hop,rap maroc,19,17.416666666666668,2280516.0
pop,uk pop,19,39.111111111111114,3371467.888888889
edm,pop dance,19,36.57142857142857,1352877.142857143
rap genovese,trap italiana,18,33.411764705882355,1957894.2352941176
italian pop,trap latino,18,10.0,3149605.0
dance pop,edm,18,49.375,2626099.875
pop dance,uk pop,18,37.625,2319736.75
dance pop,trap,18,55.46153846153846,3686964.230769231
dance pop,pop dance,18,39.86666666666667,2561358.466666667
melodic rap,pop,18,34.72727272727273,3736933.909090909
latin pop,reggaeton,17,48.285714285714285,5607302.285714285
latin pop,urbano latino,17,48.285714285714285,5607302.285714285
italian hip hop,trap latino,16,10.0,3149605.0
r&b,rap,16,37.5,2366741.1428571427
melodic rap,pop rap,16,52.333333333333336,1655206.0833333333
canadian pop,rap,16,54.625,1480886.875
pop,progressive house,15,60.5,2915234.0
italian hip hop,rap siciliano,15,2.1666666666666665,299438.1666666667
rap,southern hip hop,15,60.75,1957027.3333333333
italian pop,rap maroc,14,14.4,2686232.8
edm,uk pop,14,43.166666666666664,2758285.0
miami hip hop,rap,14,49.6,2169999.5
dance pop,hip hop,14,60.81818181818182,3351991.727272727
edm,rap,14,52.36363636363637,2395118.727272727
electropop,pop,14,37.63636363636363,4767822.363636363
pop rap,pop rap,14,53.5,2081752.6666666667
atl hip hop,pop rap,14,54.0,1293210.5
trap latino,trap latino,14,38.25,536529.75
hip hop,r&b,13,40.63636363636363,1151326.0909090908
pop,urbano latino,13,36.90909090909091,3029173.0
electro house,rap,13,52.36363636363637,2396167.5454545454
canadian pop,pop,13,15.083333333333334,3187788.6666666665
dance pop,pop rap,13,55.27272727272727,4016352.4545454546
dance pop,dance pop,12,51.5,3214140.4166666665
dance pop,uk pop,12,36.4,3278657.8
pop,progressive electro house,12,52.9,1404621.6
miami hip hop,trap,12,46.125,1582493.0
pop,reggaeton,12,36.90909090909091,3029173.0
dance pop,urbano latino,12,55.0,3788221.4
puerto rican pop,reggaeton,12,23.2,4915543.9
latin pop,trap latino,12,41.55555555555556,5241424.888888889
italian adult pop,italian hip hop,12,14.166666666666666,2081731.8333333333
indie liguria,italian hip hop,12,22.444444444444443,4698221.444444444
latin hip hop,reggaeton,12,30.6,768251.4
latin hip hop,urbano latino,12,30.6,768251.4
slap house,trap,11,41.0,1046478.0
house,pop,11,51.0,1685831.375
atl hip hop,melodic rap,11,32.111111111111114,2160974.222222222
detroit hip hop,pop,11,31.333333333333332,1526424.5555555555
southern hip hop,trap,11,57.875,945716.875
dance pop,reggaeton,11,55.0,3788221.4
puerto rican pop,urbano latino,11,25.77777777777778,5458236.0
atl hip hop,dance pop,11,54.75,2787583.5
edm,trap,11,57.6,2158709.0
pop dance,pop dance,11,36.57142857142857,1352877.142857143
uk dance,uk pop,10,22.22222222222222,2271994.4444444445
electro house,trap,10,57.6,2159862.7
rap,urban contemporary,10,36.875,2055689.75
italian hip hop,rap sardegna,10,42.0,1119231.0
rap,toronto rap,10,51.857142857142854,796634.4285714285
canadian pop,hip hop,10,52.5,1971112.1666666667
reggaeton colombiano,urbano latino,10,30.8,1673950.2
rap,slap house,9,41.0,1046478.0
hip pop,pop,9,12.11111111111111,3362074.0
pop,queens hip hop,9,12.11111111111111,3362074.0
italian hip hop,rome indie,9,8.88888888888889,2754031.222222222
hip hop,modern rock,9,48.0,82607.75
