Source,Target,Weight,Avg_Popularity,Avg_Streams
j-rap,j-rap,35,36.25,1685891.1
pop,pop,28,66.11538461538461,2276976.1153846155
j-rap,japanese trap,22,32.166666666666664,2389690.8333333335
j-pop,j-rap,18,38.888888888888886,570842.7777777778
classic j-pop,j-rap,17,38.125,631982.5
pop,rap,14,61.69230769230769,1849319.5384615385
j-rap,japanese chill rap,11,43.5,1040573.0
dance pop,neo soul,10,4.0,1416162.8
neo soul,pop,10,4.0,1416162.8
dance pop,pop,10,71.0,1861990.2857142857
k-pop,pop,9,51.888888888888886,4822866.777777778
j-pop,j-pop,9,57.0,8728442.714285715
hip hop,pop,8,32.75,2175974.375
canadian pop,pop,8,74.42857142857143,830769.4285714285
j-rap,josei rap,8,45.25,500111.5
anime rock,j-pop,8,61.166666666666664,10097507.0
anime rap,j-division,8,39.0,38546.0
k-pop boy group,pop,7,56.0,5996388.285714285
j-rap,japanese r&b,7,39.75,273103.75
dance pop,hip hop,6,17.666666666666668,2836151.6666666665
japanese trap,japanese trap,6,14.5,4438128.0
houston rap,pop,6,49.6,1473628.8
pop,trap queen,6,49.6,1473628.8
j-pixie,j-pop,6,62.8,4264010.0
dance pop,escape room,5,4.0,1416162.8
escape room,pop,5,4.0,1416162.8
dance pop,indie soul,5,4.0,1416162.8
indie soul,pop,5,4.0,1416162.8
escape room,neo soul,5,4.0,1416162.8
hip hop,neo soul,5,4.0,1416162.8
indie soul,neo soul,5,4.0,1416162.8
neo soul,neo soul,5,4.0,1416162.8
classic j-pop,japanese chill rap,5,43.5,1040573.0
j-pop,japanese chill rap,5,43.5,1040573.0
anime,j-pop,5,62.0,4798663.25
pop,r&b,5,70.5,3947461.75
j-pop,j-poprock,4,61.333333333333336,1734459.6666666667
dance pop,rap,4,79.5,3911903.25
k-pop,rap,4,24.0,1281266.6666666667
canadian contemporary r&b,pop,4,83.0,3608082.75
canadian pop,rap,4,73.0,309766.0
edm,pop,4,56.25,182839.75
anime rap,anime rap,4,39.0,38546.0
j-division,j-division,4,39.0,38546.0
japanese teen pop,japanese teen pop,4,61.5,12528540.0
pop,post-teen pop,4,66.75,406440.25
permanent wave,pop,3,81.33333333333333,4288033.666666667
j-pop,josei rap,3,42.333333333333336,260693.33333333334
dance pop,r&b,3,65.66666666666667,1861833.3333333333
k-pop boy group,rap,3,24.0,1281266.6666666667
j-pop,japanese singer-songwriter,3,57.333333333333336,18009618.0
pop,trap,3,78.66666666666667,3436780.6666666665
pop,pop dance,3,46.666666666666664,234418.66666666666
pop,urban contemporary,3,32.0,90656.0
canadian pop,pop r&b,2,65.0,369481.0
pop,pop r&b,2,65.0,369481.0
k-pop,permanent wave,2,83.5,6361984.0
k-pop boy group,permanent wave,2,83.5,6361984.0
classic j-pop,josei rap,2,41.0,350177.5
bemani,j-pop,2,59.0,5429358.5
australian hip hop,canadian pop,2,61.5,13272474.0
australian hip hop,pop,2,61.5,13272474.0
anime,japanese soul,2,56.5,1971017.0
anime rock,japanese soul,2,56.5,1971017.0
j-pixie,japanese soul,2,56.5,1971017.0
j-pop,japanese soul,2,56.5,1971017.0
j-poprock,japanese soul,2,56.5,1971017.0
electropop,k-pop,2,42.5,9647728.0
etherpop,k-pop,2,42.5,9647728.0
indie poptimism,k-pop,2,42.5,9647728.0
electropop,k-pop boy group,2,42.5,9647728.0
etherpop,k-pop boy group,2,42.5,9647728.0
indie poptimism,k-pop boy group,2,42.5,9647728.0
electropop,pop,2,42.5,9647728.0
etherpop,pop,2,42.5,9647728.0
