Source,Target,Weight,Avg_Popularity,Avg_Streams
k-rap,k-rap,99,42.25,102739.125
k-rap,korean r&b,54,44.64,99560.88
k-rap,korean underground rap,33,41.22222222222222,85329.66666666667
k-pop,k-rap,23,50.57142857142857,105672.07142857143
pop,pop,20,68.05,99090.55
rap,trap,18,64.125,42542.125
pop,rap,18,62.705882352941174,98098.17647058824
k-rap,korean trap,17,45.42857142857143,65005.857142857145
movie tunes,movie tunes,15,78.0,124502.0
hip hop,pop,13,55.083333333333336,93426.33333333333
atl hip hop,rap,13,50.0,35713.333333333336
atl hip hop,trap,12,43.0,46389.5
k-pop,korean r&b,11,51.44444444444444,38400.11111111111
rap,rap,10,61.833333333333336,52025.166666666664
melodic rap,rap,10,57.666666666666664,84408.0
hip hop,trap,9,60.333333333333336,27588.5
hip hop,rap,9,59.2,29271.8
melodic rap,trap,9,57.666666666666664,84408.0
k-rap,korean drill,9,44.333333333333336,147131.0
atl hip hop,melodic rap,8,43.0,46389.5
k-pop,k-pop,8,51.5,62923.5
k-pop,pop,8,55.125,139301.5
korean r&b,korean underground rap,7,39.75,94484.0
dance pop,hip hop,7,50.166666666666664,96048.16666666667
rap,southern hip hop,7,59.2,29271.8
trap,trap,7,54.0,33931.0
korean old school hip hop,korean r&b,7,44.2,26272.6
k-rap,korean old school hip hop,7,39.333333333333336,5821.0
pop,trap,7,73.85714285714286,72362.71428571429
hip hop,pop rap,7,70.0,17860.0
dance pop,neo soul,6,23.666666666666668,101796.33333333333
neo soul,pop,6,23.666666666666668,101796.33333333333
gangster rap,rap,6,55.0,34336.25
atl hip hop,atl hip hop,6,43.0,46389.5
korean r&b,korean r&b,6,48.5,36137.333333333336
edm,pop,6,70.83333333333333,57002.666666666664
dance pop,rap,6,78.0,107155.0
pop,pop dance,6,69.33333333333333,33605.833333333336
southern hip hop,trap,5,54.0,33931.0
atl trap,rap,5,50.0,35713.333333333336
gangster rap,trap,5,52.333333333333336,39902.0
pop,pop rap,5,70.0,41494.75
k-rap,korean pop,5,47.8,15309.4
k-pop,korean pop,5,47.6,12834.8
dance pop,pop,5,79.2,66556.0
pop rap,rap,5,70.0,17860.0
pop rap,trap,5,73.5,17970.5
modern salsa,movie tunes,5,78.0,124502.0
movie tunes,salsa colombiana,5,78.0,124502.0
hollywood,movie tunes,5,78.0,124502.0
hip hop,neo soul,4,34.25,81140.25
gangster rap,hip hop,4,55.0,34336.25
atl hip hop,hip hop,4,43.0,46389.5
hip hop,melodic rap,4,43.0,46389.5
atl hip hop,southern hip hop,4,43.0,46389.5
melodic rap,southern hip hop,4,43.0,46389.5
atl hip hop,atl trap,4,43.0,46389.5
atl hip hop,gangster rap,4,43.0,46389.5
atl trap,trap,4,43.0,46389.5
k-pop,korean drill,4,42.666666666666664,152056.66666666666
canadian contemporary r&b,rap,4,72.25,93463.5
canadian pop,rap,4,54.25,93471.25
korean underground rap,korean underground rap,4,45.5,157608.5
melodic rap,pop,4,42.5,112596.0
canadian pop,pop,4,61.5,148874.75
pop rap,pop rap,4,73.5,17970.5
dance pop,escape room,3,23.666666666666668,101796.33333333333
escape room,pop,3,23.666666666666668,101796.33333333333
dance pop,indie soul,3,23.666666666666668,101796.33333333333
indie soul,pop,3,23.666666666666668,101796.33333333333
escape room,neo soul,3,23.666666666666668,101796.33333333333
indie soul,neo soul,3,23.666666666666668,101796.33333333333
neo soul,neo soul,3,23.666666666666668,101796.33333333333
gangster rap,southern hip hop,3,52.333333333333336,39902.0
melodic rap,melodic rap,3,57.666666666666664,84408.0
k-pop boy group,pop,3,57.333333333333336,214492.33333333334
pop,uk pop,3,77.0,41211.0
indie poptimism,pop,3,79.0,64027.333333333336
electropop,pop,3,83.5,84469.5
canadian contemporary r&b,pop,3,82.66666666666667,242938.66666666666
korean pop,korean r&b,3,57.333333333333336,4170.0
pop,progressive electro house,3,59.333333333333336,77746.66666666667
dance pop,trap,3,76.66666666666667,90300.0
dance pop,pop rap,3,72.0,46488.0
chicago rap,pop,3,23.333333333333332,19945.666666666668
hip hop,hip hop,3,70.0,17860.0
hip hop,southern hip hop,3,70.0,17860.0
pop rap,southern hip hop,3,73.5,17970.5
k-pop,korean trap,3,51.5,156406.5
korean drill,korean trap,3,41.5,143555.5
rap,uk pop,3,80.66666666666667,111186.66666666667
pop,tropical house,3,79.66666666666667,6851.333333333333
k-rap,video game music,3,63.0,66856.0
atl trap,hip hop,2,43.0,46389.5
atl trap,southern hip hop,2,43.0,46389.5
atl trap,melodic rap,2,43.0,46389.5
gangster rap,melodic rap,2,43.0,46389.5
hip hop,modern rock,2,45.0,185585.0
modern rock,rap,2,45.0,185585.0
modern rock,underground hip hop,2,45.0,185585.0
pop,underground hip hop,2,45.0,185585.0
hip hop,rock,2,45.0,185585.0
rap,rock,2,45.0,185585.0
rock,underground hip hop,2,45.0,185585.0
modern rock,speedrun,2,45.0,185585.0
modern rock,video game music,2,45.0,185585.0
pop,speedrun,2,45.0,185585.0
pop,video game music,2,45.0,185585.0
rock,speedrun,2,45.0,185585.0
rock,video game music,2,45.0,185585.0
hip hop,speedrun,2,45.0,185585.0
hip hop,video game music,2,45.0,185585.0
rap,speedrun,2,45.0,185585.0
rap,video game music,2,45.0,185585.0
speedrun,underground hip hop,2,45.0,185585.0
underground hip hop,video game music,2,45.0,185585.0
canadian contemporary r&b,hip hop,2,69.0,61571.5
canadian pop,hip hop,2,69.0,61571.5
australian electropop,pop,2,61.5,103319.0
pop,singer-songwriter pop,2,77.5,54927.5
etherpop,pop,2,83.5,84469.5
canadian pop,melodic rap,2,39.5,125371.0
pop,viral pop,2,37.0,11241.0
boy band,pop,2,80.5,78107.5
brostep,pop,2,84.5,122218.5
k-pop,korean old school hip hop,2,55.0,11090.0
canadian contemporary r&b,r&b,2,78.5,145399.5
pop,r&b,2,84.5,270229.5
reggaeton,urbano latino,2,82.0,12485.0
k-rap,pop,2,66.0,24235.5
korean r&b,korean trap,2,54.0,78349.0
korean drill,korean underground rap,2,43.5,98323.5
r&b,trap,2,71.0,14093.0
hip hop,r&b,2,71.0,14093.0
r&b,rap,2,71.0,14093.0
chicago rap,trap,2,64.5,18405.5
pop,post-teen pop,2,65.0,12330.0
houston rap,pop,2,79.0,68050.0
pop,trap queen,2,79.0,68050.0
pop rap,r&b,2,76.0,9014.0
pop rap,trap soul,2,76.0,9014.0
hip hop,westcoast flow,2,76.0,9014.0
pop rap,westcoast flow,2,76.0,9014.0
trap,westcoast flow,2,76.0,9014.0
korean old school hip hop,korean pop,2,41.5,23790.5
chicago rap,k-pop,2,4.0,39197.0
k-pop,melodic rap,2,4.0,39197.0
k-pop,rap,2,4.0,39197.0
canadian contemporary r&b,new orleans rap,1,70.0,41661.0
canadian pop,new orleans rap,1,70.0,41661.0
new orleans rap,pop,1,70.0,41661.0
canadian contemporary r&b,pop rap,1,70.0,41661.0
canadian pop,pop rap,1,70.0,41661.0
canadian contemporary r&b,trap,1,70.0,41661.0
canadian pop,trap,1,70.0,41661.0
dance pop,glam rock,1,73.0,203159.0
dance pop,mellow gold,1,73.0,203159.0
dance pop,piano rock,1,73.0,203159.0
dance pop,rock,1,73.0,203159.0
glam rock,pop,1,73.0,203159.0
mellow gold,pop,1,73.0,203159.0
piano rock,pop,1,73.0,203159.0
pop,rock,1,73.0,203159.0
glam rock,uk pop,1,73.0,203159.0
mellow gold,uk pop,1,73.0,203159.0
piano rock,uk pop,1,73.0,203159.0
rock,uk pop,1,73.0,203159.0
alternative dance,dance pop,1,73.0,203159.0
aussietronica,dance pop,1,73.0,203159.0
australian dance,dance pop,1,73.0,203159.0
australian electropop,dance pop,1,73.0,203159.0
alternative dance,pop,1,73.0,203159.0
aussietronica,pop,1,73.0,203159.0
australian dance,pop,1,73.0,203159.0
alternative dance,uk pop,1,73.0,203159.0
aussietronica,uk pop,1,73.0,203159.0
australian dance,uk pop,1,73.0,203159.0
australian electropop,uk pop,1,73.0,203159.0
alternative dance,glam rock,1,73.0,203159.0
aussietronica,glam rock,1,73.0,203159.0
