Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,156,64.14864864864865,40895.35135135135
rap,rap,139,65.5813953488372,41249.32558139535
hip hop,rap,132,68.21212121212122,35956.878787878784
melodic rap,rap,78,54.67567567567568,47924.45945945946
atl hip hop,rap,68,65.28571428571429,52374.666666666664
pop,pop,68,67.18333333333334,88089.61666666667
hip hop,trap,66,69.67391304347827,41501.0
melodic rap,trap,56,51.35294117647059,43843.08823529412
pop rap,rap,53,68.48275862068965,32426.58620689655
dance pop,pop,49,67.0625,89267.6875
pop,rap,48,60.794117647058826,94611.20588235294
pop,pop dance,41,65.20689655172414,86047.41379310345
trap,trap,40,62.1,51000.5
reggaeton,urbano latino,39,71.5,24159.333333333332
atl hip hop,trap,38,62.26923076923077,57684.692307692305
edm,pop,38,65.35714285714286,81841.39285714286
hip hop,hip hop,36,72.02941176470588,44523.64705882353
atl trap,rap,34,63.1,43298.25
rap,southern hip hop,33,67.875,30333.208333333332
trap latino,urbano latino,33,71.5,24159.333333333332
lithuanian pop,lithuanian pop,32,32.76923076923077,166823.8076923077
canadian pop,rap,32,66.62962962962963,54167.96296296296
brooklyn drill,rap,32,54.5,25104.0
reggaeton,trap latino,32,69.6,28528.6
atl hip hop,hip hop,31,71.52173913043478,52306.565217391304
atl hip hop,melodic rap,30,56.56,55853.36
pop rap,trap,28,67.23529411764706,37162.05882352941
canadian hip hop,rap,28,70.86363636363636,78621.31818181818
rap,toronto rap,27,71.47619047619048,82180.57142857143
chicago rap,rap,26,55.785714285714285,13344.357142857143
russian hip hop,russian trap,25,4.769230769230769,11289.384615384615
gangster rap,rap,25,67.70588235294117,49709.882352941175
hip hop,pop,24,49.10526315789474,113792.05263157895
canadian hip hop,trap,22,73.58823529411765,85369.82352941176
pop dance,uk dance,22,76.16666666666667,331646.25
hip hop,pop rap,22,70.27777777777777,25199.222222222223
pop dance,uk pop,22,68.0,174543.0625
lithuanian hip hop,lithuanian trap,21,34.333333333333336,117476.77777777778
canadian pop,trap,21,72.76470588235294,58045.294117647056
hip hop,melodic rap,21,61.8,41921.73333333333
toronto rap,trap,21,74.5625,90463.125
brooklyn drill,trap,21,57.0,33024.8
r&b,rap,21,67.0625,21143.5625
atl trap,trap,20,57.214285714285715,39512.857142857145
pop,trap,20,68.75,98685.83333333333
dance pop,pop dance,20,70.38461538461539,121223.38461538461
urbano latino,urbano latino,20,71.5,24159.333333333332
melodic rap,pop rap,19,66.25,44568.25
melodic rap,melodic rap,19,52.8421052631579,44322.26315789474
canadian pop,hip hop,19,73.66666666666667,56757.0
chicago rap,trap,19,52.416666666666664,6499.583333333333
reggaeton,reggaeton,19,69.6,28528.6
atl trap,melodic rap,18,52.166666666666664,14148.583333333334
canadian hip hop,hip hop,18,70.29411764705883,59383.294117647056
hip hop,toronto rap,18,70.29411764705883,59383.294117647056
russian hip hop,russian hip hop,17,10.2,10188.666666666666
lithuanian pop,lithuanian trap,17,33.45454545454545,118356.81818181818
lithuanian trap,lithuanian trap,17,33.77777777777778,113538.66666666667
atl trap,hip hop,17,73.38461538461539,60167.692307692305
hip hop,southern hip hop,17,68.75,43629.0625
uk dance,uk pop,17,75.21428571428571,190287.92857142858
dance pop,edm,17,69.5,68757.14285714286
pop,uk dance,17,71.66666666666667,66549.33333333333
atl hip hop,pop rap,16,68.25,50575.0
north carolina hip hop,rap,16,66.1,57807.1
lithuanian hip hop,lithuanian pop,16,30.416666666666668,109318.33333333333
pop dance,pop dance,16,72.14285714285714,231210.0
