Source,Target,Weight,Avg_Popularity,Avg_Streams
french hip hop,pop urbaine,120,43.38461538461539,4482.461538461538
pop urbaine,rap marseille,86,45.5,5569.25
french hip hop,rap marseille,74,45.5,5569.25
pop urbaine,rap francais,70,47.0,4275.25
pop urbaine,pop urbaine,67,43.38461538461539,4482.461538461538
french hip hop,rap francais,62,47.0,4275.25
rap,trap,58,65.25,10083.0
french hip hop,french hip hop,53,43.38461538461539,4482.461538461538
rap,rap,52,66.15151515151516,9724.424242424242
hip hop,rap,42,72.3913043478261,9049.695652173914
rap francais,rap marseille,42,45.5,5569.25
german hip hop,german hip hop,37,30.625,1777.375
melodic rap,rap,34,59.75,10314.0
rap marseille,rap marseille,30,49.5,9711.5
atl hip hop,rap,25,69.71428571428571,9074.57142857143
pop urbaine,r&b francais,24,28.9,5464.9
pop,pop,23,65.30434782608695,5393.130434782609
french hip hop,r&b francais,22,28.9,5464.9
pop,rap,21,59.63157894736842,4300.736842105263
hip hop,trap,21,71.375,10677.3125
german hip hop,hamburg hip hop,20,34.55555555555556,1490.6666666666667
pop rap,rap,20,71.44444444444444,11979.444444444445
melodic rap,trap,18,53.90909090909091,11912.09090909091
trap,trap,16,68.9,17374.3
rap francais,rap francais,16,36.666666666666664,4589.666666666667
brooklyn drill,rap,14,70.66666666666667,13853.666666666666
canadian hip hop,rap,14,74.4,9105.6
rap,toronto rap,14,74.4,9105.6
dance pop,pop,14,53.18181818181818,4924.636363636364
atl hip hop,trap,13,66.5,13199.875
pop rap,trap,13,68.6,15497.4
canadian pop,rap,12,72.5,4468.583333333333
r&b francais,rap francais,12,36.125,5771.5
pop,reggaeton,11,68.875,5295.375
pop,urbano latino,11,68.875,5295.375
atl hip hop,hip hop,11,70.66666666666667,7796.111111111111
hip hop,melodic rap,11,71.22222222222223,11817.444444444445
r&b francais,rap marseille,11,33.0,7065.333333333333
pop,trap latino,10,68.28571428571429,5903.0
brooklyn drill,trap,10,69.28571428571429,13632.42857142857
canadian hip hop,trap,10,74.57142857142857,10286.857142857143
hip hop,hip hop,10,73.9,5509.6
toronto rap,trap,10,74.57142857142857,10286.857142857143
canadian pop,pop,10,66.25,7501.75
reggaeton,trap latino,10,80.0,9770.0
reggaeton,urbano latino,10,80.0,9770.0
trap latino,urbano latino,10,80.0,9770.0
pop dance,uk dance,10,80.0,22054.333333333332
deep german hip hop,german hip hop,9,48.833333333333336,1410.0
chicago rap,pop,8,42.285714285714285,3305.714285714286
melodic rap,pop,8,46.25,2839.625
canadian hip hop,hip hop,8,77.14285714285714,6121.571428571428
hip hop,toronto rap,8,77.14285714285714,6121.571428571428
melodic rap,pop rap,8,68.6,15497.4
gangster rap,rap,8,71.66666666666667,4665.0
frauenrap,german hip hop,8,26.75,1496.25
dance pop,reggaeton,7,67.2,5836.0
dance pop,trap latino,7,67.2,5836.0
dance pop,urbano latino,7,67.2,5836.0
brooklyn drill,melodic rap,7,69.0,10769.714285714286
canadian pop,hip hop,7,76.85714285714286,6134.142857142857
canadian trap,rap,7,69.66666666666667,17529.0
atl trap,rap,7,73.8,10256.8
melodic rap,slap house,6,56.0,7947.166666666667
canadian hip hop,pop rap,6,72.0,14101.6
pop rap,toronto rap,6,72.0,14101.6
canadian trap,trap,6,69.66666666666667,17529.0
chicago rap,rap,6,33.4,3345.2
german drill,german hip hop,6,38.8,1950.2
hip hop,pop rap,6,76.25,8051.5
r&b,rap,6,74.0,2166.75
uk dance,uk pop,6,77.4,6965.8
north carolina hip hop,rap,6,79.66666666666667,37936.0
hamburg hip hop,hamburg hip hop,5,42.0,1511.0
atl hip hop,brooklyn drill,5,65.25,15485.75
atl hip hop,canadian hip hop,5,72.8,11695.0
atl hip hop,canadian pop,5,69.8,3169.6
canadian pop,trap,5,78.2,4566.2
atl hip hop,toronto rap,5,72.8,11695.0
atl hip hop,melodic rap,5,65.6,10968.6
melodic rap,melodic rap,5,36.6,10207.6
atl trap,hip hop,5,72.5,12568.25
gangster rap,hip hop,5,68.75,1541.25
pop,uk pop,5,54.4,4215.8
reggaeton,reggaeton,5,80.0,9770.0
trap latino,trap latino,5,80.0,9770.0
urbano latino,urbano latino,5,80.0,9770.0
pop,r&b,5,42.25,2035.5
brooklyn drill,hip hop,5,68.8,15720.8
pop dance,pop dance,5,80.0,22054.333333333332
uk dance,uk dance,5,80.0,22054.333333333332
german hip hop,kosovan pop,5,34.666666666666664,1654.0
german hip hop,romanian pop,5,34.666666666666664,1654.0
pop dance,uk pop,5,78.5,8425.25
pop,urban contemporary,5,33.0,2374.0
hip hop,pop,5,75.6,7547.6
german hip hop,german pop,5,40.666666666666664,2634.3333333333335
deep german hip hop,hamburg hip hop,4,52.5,1516.5
electro house,melodic rap,4,53.0,11129.25
electro house,slap house,4,53.0,11129.25
melodic rap,pop dance,4,53.0,11129.25
pop dance,slap house,4,53.0,11129.25
slap house,slap house,4,53.0,11129.25
pop rap,reggaeton,4,65.25,6056.25
pop rap,trap latino,4,65.25,6056.25
pop rap,urbano latino,4,65.25,6056.25
brostep,chicago rap,4,27.666666666666668,3518.0
chicago rap,edm,4,27.666666666666668,3518.0
chicago rap,progressive electro house,4,27.666666666666668,3518.0
brostep,rap,4,27.666666666666668,3518.0
edm,rap,4,27.666666666666668,3518.0
progressive electro house,rap,4,27.666666666666668,3518.0
rap,southern hip hop,4,70.66666666666667,4627.0
canadian trap,pop rap,4,69.66666666666667,17529.0
rap,slap house,4,67.33333333333333,3980.6666666666665
pop,viral pop,4,66.0,8614.75
german cloud rap,german hip hop,4,12.75,1716.5
pop,reggaeton colombiano,4,75.5,5147.0
contemporary country,pop,4,42.5,5267.5
detroit hip hop,rap,4,69.75,2133.75
kentucky hip hop,rap,4,73.5,3318.0
north carolina hip hop,trap,4,79.66666666666667,37936.0
pop rap,pop rap,4,80.0,3331.0
pop rap,seattle hip hop,4,84.0,1153.0
pop dance,pop house,4,79.0,2992.0
pop house,uk dance,4,79.0,2992.0
dance pop,puerto rican pop,3,62.0,6871.333333333333
pop,puerto rican pop,3,62.0,6871.333333333333
pop rap,puerto rican pop,3,62.0,6871.333333333333
brostep,melodic rap,3,27.666666666666668,3518.0
edm,melodic rap,3,27.666666666666668,3518.0
melodic rap,progressive electro house,3,27.666666666666668,3518.0
albanian hip hop,german hip hop,3,18.333333333333332,1335.3333333333333
adult standards,swing,3,35.333333333333336,2270.0
adult standards,vocal harmony group,3,41.333333333333336,4768.666666666667
adult standards,easy listening,3,35.333333333333336,2270.0
easy listening,vocal harmony group,3,41.333333333333336,4768.666666666667
lounge,swing,3,35.333333333333336,2270.0
atl hip hop,pop rap,3,63.666666666666664,17054.666666666668
australian hip hop,chicago rap,3,35.5,1515.5
australian hip hop,rap,3,35.5,1515.5
chicago rap,melodic rap,3,0.0,1469.0
r&b francais,r&b francais,3,42.666666666666664,6273.666666666667
atl hip hop,slap house,3,62.0,1583.0
slap house,trap,3,62.0,1583.0
canadian pop,canadian pop,3,58.333333333333336,8710.333333333334
canadian pop,pop rap,3,75.0,7839.333333333333
canadian pop,dance pop,3,53.333333333333336,3645.0
rap,reggaeton,3,70.0,5839.666666666667
rap,trap latino,3,70.0,5839.666666666667
rap,urbano latino,3,70.0,5839.666666666667
country,pop,3,43.333333333333336,6496.0
country road,pop,3,43.333333333333336,6496.0
brooklyn drill,pop rap,3,68.33333333333333,9510.333333333334
gangster rap,trap,3,71.33333333333333,8056.666666666667
canadian pop,chicago rap,3,76.33333333333333,5654.333333333333
canadian pop,melodic rap,3,73.66666666666667,2838.6666666666665
nyc rap,rap,3,68.0,11360.0
german dance,scandipop,3,72.0,18448.666666666668
pop dance,scandipop,3,72.0,18448.666666666668
hip hop,kentucky hip hop,3,73.5,3318.0
hip hop,r&b,3,73.5,3318.0
atl hip hop,atl hip hop,3,65.0,2588.3333333333335
atl trap,trap,3,73.33333333333333,16340.0
r&b,trap,3,77.5,3260.0
edm,pop,3,74.0,1388.3333333333333
rap,uk hip hop,3,68.0,2463.5
dancehall,german hip hop,3,26.0,1543.0
german hip hop,jamaican dancehall,3,26.0,1543.0
dancehall,hamburg hip hop,3,26.0,1543.0
hamburg hip hop,jamaican dancehall,3,26.0,1543.0
pop,trap,3,80.33333333333333,6154.333333333333
deep underground hip hop,rap,3,76.0,5509.0
deep underground hip hop,trap,3,76.0,5509.0
kentucky hip hop,trap,3,76.0,5509.0
new orleans rap,rap,3,76.0,5509.0
reggaeton,uk pop,3,75.0,4955.0
trap latino,uk pop,3,75.0,4955.0
uk pop,urbano latino,3,75.0,4955.0
dance pop,rap,3,76.0,5394.333333333333
canadian hip hop,southern hip hop,2,77.5,4736.0
canadian pop,southern hip hop,2,77.5,4736.0
hip hop,southern hip hop,2,77.5,4736.0
southern hip hop,toronto rap,2,77.5,4736.0
adult standards,adult standards,2,37.0,1959.0
adult standards,torch song,2,37.0,1959.0
easy listening,swing,2,37.0,1959.0
easy listening,torch song,2,37.0,1959.0
adult standards,lounge,2,37.0,1959.0
lounge,torch song,2,37.0,1959.0
lounge,vocal harmony group,2,37.0,1959.0
atl hip hop,canadian trap,2,66.5,23539.0
canadian hip hop,melodic rap,2,66.5,23539.0
canadian trap,melodic rap,2,66.5,23539.0
melodic rap,toronto rap,2,66.5,23539.0
australian hip hop,melodic rap,2,35.5,1515.5
chicago rap,trap,2,0.0,1306.0
atl trap,slap house,2,62.0,1583.0
gangster rap,slap house,2,62.0,1583.0
canadian pop,viral pop,2,72.0,12282.5
canadian hip hop,miami hip hop,2,75.5,8960.5
canadian pop,miami hip hop,2,75.5,8960.5
hip hop,miami hip hop,2,75.5,8960.5
miami hip hop,rap,2,75.5,8960.5
miami hip hop,toronto rap,2,75.5,8960.5
dance pop,viral pop,2,60.0,4947.0
latin pop,pop,2,66.5,1868.5
k-pop,pop,2,67.5,1426.5
k-pop girl group,pop,2,67.5,1426.5
