Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,140,62.26470588235294,44882.64705882353
hip hop,rap,137,68.47826086956522,30892.8115942029
rap,rap,135,64.74712643678161,40513.67816091954
latvian pop,latvian pop,112,23.416666666666668,10298.277777777777
russian hip hop,russian trap,87,21.05128205128205,67854.8717948718
russian hip hop,russian hip hop,69,23.244444444444444,63963.333333333336
melodic rap,rap,69,55.29032258064516,58690.096774193546
hip hop,trap,60,67.57142857142857,42290.76190476191
pop rap,rap,59,66.90322580645162,32126.612903225807
classic latvian pop,latvian pop,58,24.866666666666667,4564.266666666666
pop,pop,58,65.94,58743.08
atl hip hop,rap,55,66.29411764705883,63492.029411764706
russian hip hop,russian pop,53,37.2,25146.24
russian drill,russian hip hop,46,30.941176470588236,32079.529411764706
pop,rap,45,59.0,83154.9375
dance pop,pop,43,65.62962962962963,62295.18518518518
hip hop,hip hop,40,72.15789473684211,35208.02631578947
melodic rap,trap,38,51.52173913043478,57812.608695652176
latvian pop,latvian rock,35,9.5,6854.75
russian trap,russian trap,34,12.68,81149.76
canadian hip hop,rap,32,70.875,62191.25
canadian pop,rap,32,66.55555555555556,39086.18518518518
rap,toronto rap,31,71.43478260869566,64832.65217391304
trap,trap,30,57.791666666666664,62319.541666666664
russian drill,russian trap,30,28.625,50402.0
hip hop,pop rap,30,70.82608695652173,18680.391304347828
pop rap,trap,29,63.125,41961.25
latvian hip hop,latvian hip hop,29,20.384615384615383,3410.0
rap,southern hip hop,28,66.23809523809524,33064.76190476191
pop,pop dance,28,65.66666666666667,53886.5
classic latvian pop,classic latvian pop,27,30.0,4410.7
edm,pop,26,64.72222222222223,53748.5
atl hip hop,hip hop,25,72.05555555555556,56143.5
gangster rap,rap,25,68.77777777777777,44130.833333333336
atl hip hop,trap,25,64.76470588235294,92167.5294117647
russian dance,russian hip hop,25,39.857142857142854,76908.57142857143
canadian hip hop,trap,24,73.38888888888889,74061.44444444444
toronto rap,trap,23,74.29411764705883,78333.35294117648
russian pop,russian trap,23,37.416666666666664,26011.0
hip hop,pop,22,47.294117647058826,96174.58823529411
chicago rap,rap,22,56.285714285714285,12502.714285714286
brooklyn drill,rap,22,58.25,32151.1875
canadian pop,trap,21,72.76470588235294,45584.94117647059
canadian hip hop,hip hop,21,70.36842105263158,39533.52631578947
hip hop,toronto rap,21,70.36842105263158,39533.52631578947
r&b,rap,21,67.66666666666667,19091.533333333333
russian dance,russian pop,21,36.57142857142857,59306.0
hip hop,melodic rap,20,62.857142857142854,40236.78571428572
atl trap,rap,20,72.83333333333333,60571.833333333336
atl hip hop,melodic rap,20,62.8235294117647,82342.35294117648
canadian pop,hip hop,19,73.55555555555556,41859.38888888889
russian drill,russian pop,19,27.75,34762.875
