Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,72,64.57575757575758,1166394.6818181819
hip hop,rap,56,74.26923076923077,110490.26923076923
rap,trap,54,72.0,251830.40740740742
rap,rap,52,72.93939393939394,241795.18181818182
pop,rap,39,62.75,1275136.642857143
malay rap,malay rap,31,34.666666666666664,682774.3333333334
hip hop,trap,31,73.52380952380952,100442.23809523809
atl hip hop,rap,26,71.125,216067.0
dance pop,pop,25,67.61111111111111,949055.1111111111
melodic rap,rap,23,69.9090909090909,551442.4545454546
k-pop,pop,21,52.4,781783.5
canadian pop,rap,21,66.36842105263158,360286.05263157893
hip hop,pop,18,41.666666666666664,1685941.0
hip hop,hip hop,18,73.4375,110276.625
pop rap,rap,17,72.88888888888889,112229.11111111111
malay rap,malaysian hip hop,17,36.5,59222.0
canadian hip hop,rap,16,74.61538461538461,184872.0
neo soul,pop,15,12.5,1589491.625
canadian hip hop,trap,15,74.0,153972.45454545456
canadian pop,trap,15,73.16666666666667,266191.5833333333
atl hip hop,hip hop,15,75.0,113772.54545454546
rap,toronto rap,15,76.0,199791.33333333334
malaysian pop,malaysian pop,15,36.666666666666664,359175.3333333333
movie tunes,movie tunes,15,78.0,30985.0
dance pop,neo soul,14,2.857142857142857,1810671.2857142857
toronto rap,trap,14,75.6,168785.7
pop,trap queen,14,63.5,676334.0833333334
edm,pop,14,54.18181818181818,909520.1818181818
north carolina hip hop,rap,13,73.875,123367.375
canadian pop,hip hop,13,73.91666666666667,249107.33333333334
pop,pop dance,13,49.666666666666664,393411.1111111111
c-pop,classic mandopop,13,23.0,6498.0
canadian pop,pop,12,75.45454545454545,2357487.1818181816
atl trap,rap,12,77.42857142857143,155015.85714285713
r&b,rap,12,65.75,211826.5
melodic rap,trap,12,69.125,752657.0
k-pop,k-pop,12,36.166666666666664,225269.91666666666
malay rap,singaporean hip hop,12,36.5,59222.0
k-pop boy group,pop,11,46.09090909090909,838117.0909090909
alt z,pop,11,57.09090909090909,900729.8181818182
canadian hip hop,hip hop,11,74.3,148848.7
rap,southern hip hop,11,69.25,95612.0
hip hop,toronto rap,11,74.3,148848.7
houston rap,pop,11,60.44444444444444,737269.3333333334
pop,trap,11,74.75,1791546.0
melodic rap,pop,10,51.8,720449.9
atl hip hop,trap,10,73.71428571428571,214324.14285714287
trap,trap,10,73.625,270739.0
hip hop,pop rap,10,72.25,43229.25
cantopop,classic mandopop,10,23.0,6498.0
classic cantopop,classic mandopop,10,23.0,6498.0
dance pop,hip hop,9,19.666666666666668,2278050.888888889
hip hop,southern hip hop,9,69.25,95612.0
gangster rap,rap,9,74.33333333333333,120964.83333333333
trap,uk hip hop,9,58.8,140199.2
malay rap,malaysian pop,9,35.0,56191.5
uk hip hop,uk hip hop,9,64.5,187013.5
c-pop,classic cantopop,9,23.0,6498.0
c-pop,cantopop,9,23.0,6498.0
escape room,pop,8,11.375,1612738.0
pop,uk pop,8,73.57142857142857,539700.0
atl hip hop,canadian hip hop,8,76.14285714285714,228711.14285714287
atl hip hop,canadian pop,8,76.14285714285714,399065.4285714286
atl trap,hip hop,8,78.33333333333333,177871.83333333334
gangster rap,hip hop,8,74.8,141581.8
contemporary country,pop,8,65.625,354394.375
electropop,pop,8,70.57142857142857,2009407.857142857
uk drill,uk hip hop,8,71.0,366402.0
dance pop,escape room,7,2.857142857142857,1810671.2857142857
dance pop,indie soul,7,2.857142857142857,1810671.2857142857
indie soul,pop,7,2.857142857142857,1810671.2857142857
escape room,neo soul,7,2.857142857142857,1810671.2857142857
hip hop,neo soul,7,2.857142857142857,1810671.2857142857
indie soul,neo soul,7,2.857142857142857,1810671.2857142857
neo soul,neo soul,7,2.857142857142857,1810671.2857142857
conscious hip hop,rap,7,74.16666666666667,28955.833333333332
pop,singer-songwriter pop,7,70.85714285714286,666223.0
atl hip hop,toronto rap,7,79.16666666666667,265856.3333333333
atl hip hop,melodic rap,7,65.71428571428571,412666.71428571426
dance pop,rap,7,76.16666666666667,2932695.1666666665
rap,uk hip hop,7,55.166666666666664,59019.833333333336
canadian pop,melodic rap,7,52.42857142857143,692763.0
pop,reggaeton,7,62.666666666666664,543015.5
pop,urbano latino,7,62.666666666666664,543015.5
pop rap,trap,7,73.5,213188.25
k-pop,korean r&b,7,30.166666666666668,158865.83333333334
hip hop,melodic rap,7,73.8,275146.6
cantopop,classic cantopop,7,23.0,6498.0
permanent wave,pop,6,72.16666666666667,992325.1666666666
pop,rock,6,72.83333333333333,269139.8333333333
canadian pop,pop rap,6,70.66666666666667,267836.1666666667
pop,pop rap,6,72.8,695172.2
canadian hip hop,gangster rap,6,72.0,118958.16666666667
canadian pop,gangster rap,6,72.0,118958.16666666667
dirty south rap,hip hop,6,72.75,16064.25
dirty south rap,rap,6,72.75,16064.25
canadian contemporary r&b,pop,6,81.16666666666667,3597793.0
north carolina hip hop,trap,6,76.66666666666667,161573.5
pop,trap latino,6,60.6,613446.2
k-pop,rap,6,43.4,538100.2
hip hop,r&b,6,74.2,31190.8
rap,trap queen,6,73.33333333333333,236619.66666666666
london rap,uk hip hop,6,71.0,366402.0
