Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,813,67.73154362416108,274098.5503355705
trap latino,urbano latino,787,67.42483660130719,256684.54248366013
reggaeton,trap latino,695,67.46428571428571,272266.4285714286
urbano latino,urbano latino,467,67.062893081761,255736.98742138364
reggaeton,reggaeton,371,66.93442622950819,290546.9016393443
trap latino,trap latino,338,68.11363636363636,249321.10606060605
reggaeton colombiano,urbano latino,152,63.41509433962264,256982.69811320756
reggaeton flow,urbano latino,134,69.24137931034483,274432.5862068966
reggaeton,reggaeton flow,127,69.39285714285714,283088.64285714284
reggaeton flow,trap latino,117,69.14285714285714,247844.42857142858
reggaeton,reggaeton colombiano,108,63.808510638297875,258205.29787234042
reggaeton colombiano,trap latino,106,64.36170212765957,265227.4893617021
latin hip hop,urbano latino,94,70.70588235294117,202739.58823529413
latin hip hop,reggaeton,85,70.6969696969697,205323.9393939394
latin hip hop,trap latino,79,70.57575757575758,207511.39393939395
puerto rican pop,urbano latino,67,73.22222222222223,181560.77777777778
puerto rican pop,reggaeton,62,71.5,194223.66666666666
trap argentino,urbano latino,61,69.0952380952381,188877.66666666666
puerto rican pop,trap latino,60,72.68,187614.4
trap argentino,trap latino,54,68.77272727272727,180338.68181818182
latin pop,urbano latino,41,67.76666666666667,233827.76666666666
latin pop,reggaeton,38,67.3103448275862,229304.5172413793
reggaeton,trap argentino,36,72.23076923076923,238096.23076923078
reggaeton colombiano,reggaeton colombiano,35,60.84615384615385,170139.3076923077
trap boricua,urbano latino,31,67.04761904761905,75619.19047619047
panamanian pop,urbano latino,30,69.38461538461539,270725.23076923075
trap boricua,trap latino,30,67.04761904761905,75619.19047619047
latin pop,trap latino,29,67.0,230783.73913043478
panamanian pop,trap latino,28,69.38461538461539,270725.23076923075
panamanian pop,reggaeton,27,70.33333333333333,293174.1666666667
r&b en espanol,urbano latino,25,75.5,389724.75
trap latino,trap triste,25,68.11764705882354,58294.470588235294
trap triste,urbano latino,25,68.11764705882354,58294.470588235294
pop,pop,24,63.63636363636363,70831.81818181818
reggaeton,trap boricua,24,65.13333333333334,90242.0
pop,reggaeton,24,65.8,300525.93333333335
pop,urbano latino,24,65.8,300525.93333333335
pop,trap latino,23,65.28571428571429,319377.5714285714
r&b en espanol,trap latino,22,75.5,389724.75
argentine hip hop,trap latino,22,66.78571428571429,160259.14285714287
r&b en espanol,reggaeton,21,75.16666666666667,492123.6666666667
argentine hip hop,urbano latino,21,67.15384615384616,172508.3076923077
latin hip hop,reggaeton colombiano,20,65.77777777777777,222167.88888888888
rap dominicano,urbano latino,19,68.44444444444444,197674.22222222222
colombian pop,urbano latino,18,63.8,241502.33333333334
rap dominicano,reggaeton,17,68.44444444444444,197674.22222222222
colombian pop,reggaeton,17,62.57142857142857,232680.92857142858
musica mexicana,nueva musica mexicana,17,73.6,193082.6
reggaeton flow,reggaeton flow,16,67.4,211043.2
puerto rican pop,reggaeton flow,16,75.18181818181819,206606.0909090909
argentine hip hop,trap argentino,16,63.666666666666664,129094.22222222222
rap latina,urbano latino,16,63.0,222946.66666666666
trap argentino,trap argentino,14,63.666666666666664,129094.22222222222
trap argentino,trap triste,14,72.6,157180.8
rap dominicano,trap latino,14,68.5,190254.375
rap latina,reggaeton,14,69.33333333333333,298952.0
pop,rap,14,66.66666666666667,112268.0
latin hip hop,reggaeton flow,13,73.25,168287.125
latin pop,latin pop,13,67.0909090909091,83272.27272727272
dembow,reggaeton,12,71.25,164252.875
dembow,urbano latino,12,71.25,164252.875
colombian pop,trap latino,12,62.44444444444444,260941.44444444444
nueva musica mexicana,sierreno,12,76.125,151967.375
hip hop,rap,12,66.33333333333333,6622.666666666667
pop reggaeton,trap latino,11,65.88888888888889,266196.8888888889
pop reggaeton,urbano latino,11,65.88888888888889,266196.8888888889
rap,trap latino,11,57.0,127513.85714285714
rap,urbano latino,11,57.0,127513.85714285714
colombian pop,latin pop,11,66.0,64648.5
musica mexicana,norteno,11,73.375,156570.625
electro latino,reggaeton,11,64.75,50400.5
rap latina,trap latino,11,60.166666666666664,294343.3333333333
pop reggaeton,reggaeton,10,65.0,299340.375
reggaeton flow,trap argentino,10,72.2,227601.0
rap,reggaeton,10,57.0,127513.85714285714
musica mexicana,musica mexicana,10,71.9,188677.6
musica mexicana,sierreno,10,75.14285714285714,163117.2857142857
norteno,nueva musica mexicana,10,75.28571428571429,178707.85714285713
dance pop,pop,10,76.42857142857143,114295.42857142857
rap,rap,10,70.75,12467.0
k-pop,pop,9,45.75,47283.75
r&b en espanol,reggaeton flow,9,73.25,141966.5
dembow,trap latino,9,71.71428571428571,150998.57142857142
latin pop,reggaeton colombiano,9,65.0,114006.14285714286
puerto rican pop,reggaeton colombiano,9,72.0,355627.14285714284
pop venezolano,trap latino,9,66.11111111111111,44790.11111111111
pop venezolano,urbano latino,9,66.625,50261.375
pop argentino,urbano latino,9,70.8,231233.8
reggaeton,trap triste,9,65.125,24322.5
electro latino,trap latino,9,64.75,50400.5
electro latino,urbano latino,9,64.75,50400.5
argentine hip hop,trap triste,8,72.25,82214.5
dance pop,reggaeton,8,66.25,246246.25
dance pop,trap latino,8,66.25,246246.25
dance pop,urbano latino,8,66.25,246246.25
pop,reggaeton colombiano,8,69.875,277299.25
pop argentino,trap latino,8,73.5,285593.5
latin viral pop,reggaeton,8,63.857142857142854,135739.0
latin viral pop,urbano latino,8,63.857142857142854,135739.0
banda,musica mexicana,8,73.375,156570.625
nueva musica mexicana,nueva musica mexicana,8,74.875,221878.625
corrido,nueva musica mexicana,8,75.66666666666667,190049.33333333334
argentine hip hop,reggaeton,8,72.2,274285.6
canadian pop,rap,8,68.14285714285714,8231.714285714286
rap,toronto rap,8,66.33333333333333,6622.666666666667
reggaeton colombiano,reggaeton flow,8,72.0,563419.5
colombian pop,reggaeton colombiano,7,65.14285714285714,42068.71428571428
latin pop,musica mexicana,7,68.0,118778.66666666667
latin pop,ranchera,7,64.16666666666667,119352.83333333333
corrido,musica mexicana,7,75.66666666666667,190049.33333333334
banda,nueva musica mexicana,7,75.28571428571429,178707.85714285713
corrido,sierreno,7,78.16666666666667,202197.16666666666
canadian hip hop,rap,7,66.33333333333333,6622.666666666667
rap,trap,7,79.0,1956.25
latin hip hop,puerto rican pop,7,75.83333333333333,233417.66666666666
musica mexicana,ranchera,7,68.0,134069.16666666666
k-pop boy group,pop,6,47.166666666666664,51844.833333333336
edm,reggaeton,6,71.66666666666667,122066.33333333333
pop dance,reggaeton,6,71.66666666666667,122066.33333333333
edm,trap latino,6,71.66666666666667,122066.33333333333
pop dance,trap latino,6,71.66666666666667,122066.33333333333
edm,urbano latino,6,71.66666666666667,122066.33333333333
pop dance,urbano latino,6,71.66666666666667,122066.33333333333
reggaeton,uk pop,6,71.5,466017.0
trap latino,uk pop,6,71.5,466017.0
uk pop,urbano latino,6,71.5,466017.0
pop argentino,reggaeton,6,70.5,263389.75
norteno,sierreno,6,77.5,273553.0
sad sierreno,sierreno,6,78.6,137686.0
pop,puerto rican pop,6,57.0,129064.5
houston rap,pop,6,59.0,26666.2
pop,trap queen,6,59.0,26666.2
latin hip hop,latin pop,6,74.0,172045.0
latin pop,mexican pop,6,58.0,133390.0
latin pop,mexican rock-and-roll,6,39.0,15651.0
panamanian pop,reggaeton colombiano,5,67.0,191675.2
pop reggaeton,reggaeton colombiano,5,55.4,214535.8
latin hip hop,panamanian pop,5,71.6,220527.8
dembow dominicano,reggaeton,5,69.5,145496.25
dembow dominicano,trap latino,5,69.5,145496.25
dembow dominicano,urbano latino,5,69.5,145496.25
brostep,reggaeton,5,70.2,139186.4
brostep,trap latino,5,70.2,139186.4
brostep,urbano latino,5,70.2,139186.4
reggaeton flow,trap boricua,5,63.666666666666664,213214.66666666666
panamanian pop,reggaeton flow,5,69.66666666666667,86859.0
trap argentino,trap boricua,5,75.0,174461.25
musica mexicana,reggaeton,5,69.75,176911.75
musica mexicana,reggaeton colombiano,5,69.75,176911.75
musica mexicana,urbano latino,5,69.75,176911.75
latin pop,rap latina,5,68.66666666666667,80153.33333333333
banda,norteno,5,76.4,219147.4
corrido,norteno,5,77.5,273553.0
nueva musica mexicana,sad sierreno,5,78.6,137686.0
banda,sierreno,5,76.4,219147.4
sierreno,sierreno,5,78.6,137686.0
k-pop,rap,5,37.75,26224.5
canadian contemporary r&b,pop,5,68.0,184375.4
hip hop,trap,5,76.33333333333333,1839.0
atl hip hop,rap,5,79.0,2184.5
pop argentino,trap argentino,5,70.5,89527.5
