Source,Target,Weight,Avg_Popularity,Avg_Streams
dutch hip hop,dutch rap pop,435,35.40909090909091,1382719.0606060605
dutch hip hop,dutch hip hop,390,35.01255230125523,1188555.920502092
dutch rap pop,dutch rap pop,154,35.904761904761905,1260853.1619047618
rap,trap,141,63.8955223880597,746455.6417910447
rap,rap,133,64.36585365853658,692441.1097560975
hip hop,rap,119,67.2,592782.8166666667
melodic rap,rap,66,56.758620689655174,1105060.7931034483
pop,pop,66,66.87931034482759,2795169.9827586208
hip hop,trap,60,69.51282051282051,742776.1025641026
atl hip hop,rap,58,68.05882352941177,939132.9117647059
dutch drill,dutch hip hop,55,27.14814814814815,419726.037037037
dutch hip hop,dutch pop,52,43.45945945945946,5148545.162162162
pop,rap,48,60.628571428571426,1910846.6857142858
pop rap,rap,45,69.8,680681.72
dance pop,pop,45,63.90625,3696517.5625
pop,pop dance,42,63.645161290322584,5022699.580645162
edm,pop dance,42,59.36363636363637,4031711.1818181816
brooklyn drill,rap,41,57.48,809015.52
dutch pop,dutch pop,39,48.0,6475632.964285715
edm,pop,35,62.0,4224018.592592592
canadian pop,rap,34,65.39285714285714,916263.2857142857
melodic rap,trap,34,54.142857142857146,1243004.5238095238
chicago rap,rap,32,54.714285714285715,194315.52380952382
hip hop,hip hop,31,72.37931034482759,579870.3793103448
atl hip hop,hip hop,30,72.0,732791.75
hip hop,pop,29,36.708333333333336,2439440.0416666665
trap,trap,29,66.26086956521739,1262342.956521739
pop dance,pop dance,29,63.04347826086956,5841825.869565218
dance pop,pop dance,28,60.89473684210526,6129549.315789473
christmas product,muziek voor kinderen,27,6.428571428571429,94986.85714285714
pop rap,trap,27,72.42857142857143,1082003.5714285714
dance pop,neo soul,26,7.071428571428571,1594266.9285714286
neo soul,pop,26,7.071428571428571,1594266.9285714286
atl hip hop,trap,26,70.22222222222223,1072415.0555555555
atl trap,rap,26,73.06666666666666,808102.3333333334
canadian hip hop,rap,26,70.35,1191765.9
dutch hip hop,rap belge,26,41.77777777777778,1078018.5
edm,electro house,26,52.86666666666667,1849038.3333333333
rap,toronto rap,25,71.0,1250184.0526315789
brooklyn drill,trap,25,59.05263157894737,860523.8421052631
dutch drill,dutch rap pop,25,24.066666666666666,420814.93333333335
electro house,pop dance,25,52.07142857142857,1826259.642857143
pop dance,uk pop,24,72.125,6814508.9375
dutch pop,dutch rap pop,23,43.285714285714285,4250320.428571428
rap,southern hip hop,23,66.73333333333333,577510.0
pop dance,progressive electro house,23,52.5,1890017.4166666667
edm,progressive electro house,23,51.63636363636363,2058918.0
chicago rap,trap,22,51.333333333333336,138868.16666666666
canadian pop,trap,22,72.5,573077.7777777778
gangster rap,rap,22,69.07142857142857,494086.78571428574
big room,pop dance,22,57.30769230769231,5625241.384615385
pop dance,uk dance,22,75.75,11201477.666666666
r&b,rap,22,66.70588235294117,753838.4705882353
hip hop,pop rap,22,71.70588235294117,398881.0
dance pop,edm,22,58.411764705882355,4000412.529411765
dutch house,pop dance,22,51.09090909090909,2059345.2727272727
canadian hip hop,trap,21,73.4375,1212301.3125
dutch house,edm,21,50.0,2262068.7
toronto rap,trap,20,74.46666666666667,1287666.6666666667
carnaval,carnaval,20,7.833333333333333,100449.5
edm,edm,20,55.5,2464197.375
dutch rap pop,rap belge,19,41.214285714285715,1216574.7857142857
atl trap,hip hop,19,73.38461538461539,910245.4615384615
canadian pop,hip hop,19,72.94117647058823,1031389.0588235294
dance pop,hip hop,18,21.470588235294116,2644946.2352941176
big room,edm,18,52.22222222222222,3744429.888888889
north carolina hip hop,rap,17,65.45454545454545,1218752.0909090908
dance pop,uk pop,17,72.38461538461539,8678913.307692308
antilliaanse rap,dutch hip hop,16,19.181818181818183,704253.3636363636
hip hop,melodic rap,16,59.36363636363637,882789.1818181818
atl hip hop,melodic rap,16,66.6923076923077,1471905.8461538462
canadian hip hop,hip hop,16,69.53333333333333,726681.0666666667
hip hop,toronto rap,16,69.53333333333333,726681.0666666667
big room,electro house,16,47.875,2752404.25
pop,trap,16,65.08333333333333,1947840.9166666667
uk dance,uk pop,16,75.23076923076923,6801510.692307692
canadian pop,pop,15,67.57142857142857,2225856.9285714286
pop,pop rap,15,66.0,1592898.3076923077
dance pop,rap,15,62.833333333333336,3690155.6666666665
big room,dutch house,15,48.285714285714285,3140718.285714286
big room,progressive electro house,15,48.285714285714285,3140718.285714286
dutch house,electro house,15,39.0,1995529.0
dutch house,progressive electro house,15,39.0,1995529.0
electro house,progressive electro house,15,45.5,440379.75
electro house,pop,15,55.0,2204825.909090909
movie tunes,movie tunes,15,78.0,112732.0
indie soul,neo soul,14,1.6666666666666667,1854743.5
atl hip hop,canadian pop,14,70.83333333333333,647439.25
atl hip hop,pop rap,14,72.27272727272727,981350.5454545454
pop,uk dance,14,73.5,5380305.416666667
edm,uk pop,14,72.8,7012660.9
pop,uk pop,14,74.25,6829385.666666667
afrobeats,dutch rap pop,14,34.285714285714285,674837.8571428572
escape room,pop,13,7.0,1739905.923076923
hip hop,neo soul,13,7.615384615384615,1714395.5384615385
dance pop,indie soul,13,1.6666666666666667,1854743.5
indie soul,pop,13,1.6666666666666667,1854743.5
dutch house,dutch pop,13,35.7,4201416.9
gangster rap,hip hop,13,71.77777777777777,641956.2222222222
melodic rap,melodic rap,13,52.53846153846154,1276973.0
brooklyn drill,melodic rap,13,57.6,1252147.7
nyc rap,rap,13,45.4,1039190.1
