Source,Target,Weight,Avg_Popularity,Avg_Streams
norwegian pop,norwegian pop,30,21.933333333333334,569488.0333333333
pop,pop,29,70.8,357947.0
pop,pop dance,27,63.578947368421055,596512.1578947369
rap,trap,26,38.5,151676.33333333334
norwegian pop,norwegian pop rap,24,23.0,324635.7894736842
nordnorsk musikk,norwegian pop,23,13.91304347826087,361894.60869565216
atl hip hop,rap,22,33.44444444444444,133965.88888888888
dance pop,pop,21,70.64285714285714,227923.5
edm,pop,20,60.5,737527.7857142857
atl hip hop,trap,19,14.666666666666666,178061.0
edm,pop dance,19,62.84615384615385,102123.76923076923
rap,rap,17,46.38461538461539,152307.6923076923
hip hop,rap,16,59.3,263497.5
melodic rap,rap,15,24.428571428571427,161995.85714285713
melodic rap,trap,15,17.142857142857142,157417.85714285713
pop,rap,15,58.93333333333333,511307.5333333333
dance pop,pop dance,15,67.4,224963.1
movie tunes,movie tunes,15,78.0,1597111.0
pop dance,pop dance,14,64.07142857142857,95410.5
nordnorsk musikk,norwegian pop rap,13,11.0,228335.83333333334
atl hip hop,melodic rap,13,14.666666666666666,178061.0
gangster rap,rap,13,62.333333333333336,288466.3333333333
pop dance,uk dance,13,72.4,170049.1
hip hop,pop,12,48.833333333333336,470678.1666666667
pop dance,uk pop,12,69.125,153588.375
trap,trap,11,17.142857142857142,157417.85714285713
dance pop,edm,11,64.0,193856.57142857142
gangster rap,hip hop,10,70.125,323070.625
nordnorsk musikk,russelater,9,18.333333333333332,590672.4444444445
norwegian pop,russelater,9,19.11111111111111,640964.2222222222
norwegian hip hop,norwegian pop,9,15.11111111111111,425081.22222222225
atl hip hop,atl hip hop,9,17.6,211502.8
dance pop,hip hop,9,47.125,194087.75
hip hop,trap,9,47.42857142857143,244820.2857142857
dance pop,uk pop,9,78.0,267172.3333333333
pop,uk pop,9,72.75,285223.875
big room,pop dance,9,61.75,214297.125
atl trap,rap,8,36.0,186061.66666666666
norwegian indie,norwegian pop,8,26.125,356218.25
dance pop,neo soul,8,25.25,44390.75
pop,trap,8,65.28571428571429,219194.2857142857
dance pop,rap,8,66.57142857142857,327173.5714285714
pop,uk dance,8,71.42857142857143,152829.85714285713
electropop,norwegian pop,7,32.857142857142854,496750.71428571426
pop,post-teen pop,7,62.166666666666664,216492.5
neo soul,pop,7,25.25,44390.75
hip hop,melodic rap,7,40.6,226575.6
pop,pop rap,7,45.285714285714285,68549.28571428571
norwegian hip hop,norwegian pop rap,7,31.142857142857142,399896.5714285714
pop,progressive electro house,7,45.333333333333336,457801.1666666667
pop dance,r&b,7,50.8,335476.0
swedish hip hop,swedish trap pop,7,63.0,518576.5
pop dance,trance,7,64.6,23602.0
