Source,Target,Weight,Avg_Popularity,Avg_Streams
hip hop,rap,39,72.19047619047619,222421.85714285713
rap,trap,35,71.46666666666667,260697.8
rap,rap,30,72.5,213865.0
gangster rap,rap,24,71.0,241066.5625
gangster rap,hip hop,21,70.46666666666667,255090.0
atl hip hop,rap,18,67.85714285714286,257046.7142857143
hip hop,trap,18,69.45454545454545,266139.0909090909
hip hop,hip hop,17,74.23529411764706,210831.82352941178
pop rap,rap,17,63.27272727272727,184654.72727272726
movie tunes,movie tunes,17,75.33333333333333,850439.3333333334
melodic rap,rap,17,71.14285714285714,290045.14285714284
pop,rap,17,67.5625,357285.75
pop,pop,16,80.9375,327858.1875
hip hop,pop rap,15,61.8,179475.3
atl hip hop,trap,15,62.25,427395.5
hip hop,west coast rap,14,73.8,196285.4
rap,west coast rap,14,73.8,196285.4
hip hop,pop,13,56.666666666666664,371682.75
rap,southern hip hop,13,66.25,268718.25
melodic rap,trap,13,62.75,452523.25
g funk,hip hop,12,70.875,199428.0
g funk,rap,12,70.875,199428.0
trap,trap,12,64.83333333333333,386419.5
pop rap,trap,11,62.166666666666664,147381.83333333334
g funk,gangster rap,9,68.2,262569.8
gangster rap,west coast rap,9,68.2,262569.8
atl hip hop,melodic rap,9,54.666666666666664,377886.3333333333
g funk,west coast rap,8,64.0,241286.5
dance pop,hip hop,8,55.142857142857146,413166.5714285714
hip hop,southern hip hop,8,74.0,208756.0
hollywood,movie tunes,7,75.33333333333333,850439.3333333334
southern hip hop,trap,7,56.5,376536.25
gangster rap,trap,7,65.2,301070.8
uk dance,uk dance,7,70.0,316195.8
pop,pop rap,7,64.33333333333333,84728.0
pop,trap,7,73.85714285714286,296946.14285714284
dance pop,rap,7,79.16666666666667,426388.0
gangster rap,gangster rap,6,70.83333333333333,219882.16666666666
gangster rap,pop rap,6,65.6,155097.2
hip hop,neo soul,6,50.666666666666664,305996.5
dance pop,neo soul,6,23.666666666666668,503197.3333333333
neo soul,pop,6,23.666666666666668,503197.3333333333
atl hip hop,hip hop,6,63.5,373206.0
hip hop,melodic rap,6,63.5,271679.5
atl trap,rap,6,57.25,241816.0
atl hip hop,atl hip hop,6,43.0,448605.0
pop dance,uk dance,6,74.8,353590.0
dancefloor dnb,uk dance,6,60.8,291545.0
drum and bass,uk dance,6,60.8,291545.0
dance pop,pop,6,82.4,390095.8
canadian pop,rap,6,64.16666666666667,235143.5
house,uk dance,6,71.33333333333333,204189.66666666666
pop rap,pop rap,6,57.75,153581.75
atl hip hop,gangster rap,5,57.0,491044.3333333333
conscious hip hop,hip hop,5,75.0,106821.0
conscious hip hop,rap,5,78.33333333333333,133648.33333333334
pop rap,southern hip hop,5,73.75,160289.0
canadian hip hop,trap,5,82.0,277354.3333333333
toronto rap,trap,5,82.0,277354.3333333333
r&b,rap,5,77.6,186504.4
modern salsa,movie tunes,5,78.0,1592165.0
movie tunes,salsa colombiana,5,78.0,1592165.0
g funk,g funk,4,64.0,241286.5
g funk,pop rap,4,61.0,192260.5
pop rap,west coast rap,4,61.0,192260.5
west coast rap,west coast rap,4,64.0,241286.5
gangster rap,southern hip hop,4,60.25,232357.75
melodic rap,melodic rap,4,62.75,452523.25
atl hip hop,southern hip hop,4,43.0,448605.0
melodic rap,southern hip hop,4,43.0,448605.0
atl hip hop,atl trap,4,43.0,448605.0
atl trap,trap,4,43.0,448605.0
detroit hip hop,g funk,4,81.25,238051.0
detroit hip hop,gangster rap,4,81.25,238051.0
detroit hip hop,hip hop,4,81.25,238051.0
detroit hip hop,rap,4,80.5,193753.5
detroit hip hop,west coast rap,4,81.25,238051.0
dancefloor dnb,uk pop,4,58.5,359052.75
drum and bass,uk pop,4,58.5,359052.75
uk dance,uk pop,4,65.75,365805.0
canadian contemporary r&b,pop,4,83.0,573045.5
canadian pop,pop,4,83.25,474894.25
hip hop,memphis hip hop,4,74.5,304719.0
memphis hip hop,rap,4,74.5,304719.0
canadian pop,trap,4,79.33333333333333,218347.0
pop,uk pop,4,76.0,130153.5
canadian hip hop,rap,4,82.0,277354.3333333333
rap,toronto rap,4,82.0,277354.3333333333
edm,pop,4,67.75,447309.25
tech house,uk dance,4,49.0,8093.0
dance pop,pop rap,4,76.66666666666667,145437.66666666666
hip hop,r&b,4,77.25,225451.75
pop,pop dance,4,64.75,438414.75
indie poptimism,pop,3,74.66666666666667,226672.33333333334
indie poptimism,post-teen pop,3,74.66666666666667,226672.33333333334
pop,post-teen pop,3,74.66666666666667,226672.33333333334
dance pop,escape room,3,23.666666666666668,503197.3333333333
escape room,pop,3,23.666666666666668,503197.3333333333
dance pop,indie soul,3,23.666666666666668,503197.3333333333
indie soul,pop,3,23.666666666666668,503197.3333333333
escape room,neo soul,3,23.666666666666668,503197.3333333333
indie soul,neo soul,3,23.666666666666668,503197.3333333333
neo soul,neo soul,3,23.666666666666668,503197.3333333333
aussietronica,solo wave,3,67.66666666666667,911632.3333333334
dancefloor dnb,pop dance,3,63.0,476301.0
drum and bass,pop dance,3,63.0,476301.0
dancefloor dnb,pop house,3,63.0,476301.0
drum and bass,pop house,3,63.0,476301.0
hip hop,modern rock,3,54.666666666666664,550761.0
modern rock,rap,3,54.666666666666664,550761.0
hip hop,rock,3,54.666666666666664,550761.0
rap,rock,3,54.666666666666664,550761.0
conscious hip hop,southern hip hop,3,75.0,197439.5
conscious hip hop,trap,3,75.0,197439.5
canadian pop,hip hop,3,74.33333333333333,234342.0
canadian contemporary r&b,rap,3,72.33333333333333,258762.66666666666
dance pop,uk pop,3,79.0,268541.3333333333
chicago rap,hip hop,3,78.33333333333333,191154.33333333334
chicago rap,rap,3,78.33333333333333,191154.33333333334
atl hip hop,canadian hip hop,3,82.0,277354.3333333333
atl hip hop,toronto rap,3,82.0,277354.3333333333
canadian pop,melodic rap,3,54.0,235945.0
melodic rap,pop,3,55.333333333333336,454859.3333333333
dancefloor dnb,drum and bass,3,64.0,134924.5
dance pop,trap,3,76.66666666666667,373751.0
hip hop,indietronica,3,64.5,292778.5
indietronica,pop rap,3,64.5,292778.5
indietronica,rap,3,64.5,292778.5
r&b,trap,3,73.66666666666667,262768.3333333333
rap,uk pop,3,80.66666666666667,647627.6666666666
neo soul,rap,3,77.66666666666667,108795.66666666667
pop rap,r&b,3,80.5,290471.5
atl trap,hip hop,2,43.0,448605.0
atl trap,southern hip hop,2,43.0,448605.0
atl trap,melodic rap,2,43.0,448605.0
gangster rap,melodic rap,2,43.0,448605.0
pop house,uk dance,2,68.0,484205.0
bedroom pop,hip hop,2,57.5,14779.0
bedroom pop,rap,2,57.5,14779.0
hip hop,pov: indie,2,57.5,14779.0
pov: indie,rap,2,57.5,14779.0
modern rock,underground hip hop,2,45.0,757276.0
pop,underground hip hop,2,45.0,757276.0
rock,underground hip hop,2,45.0,757276.0
modern rock,speedrun,2,45.0,757276.0
modern rock,video game music,2,45.0,757276.0
pop,speedrun,2,45.0,757276.0
pop,video game music,2,45.0,757276.0
rock,speedrun,2,45.0,757276.0
rock,video game music,2,45.0,757276.0
hip hop,speedrun,2,45.0,757276.0
hip hop,video game music,2,45.0,757276.0
rap,speedrun,2,45.0,757276.0
rap,video game music,2,45.0,757276.0
speedrun,underground hip hop,2,45.0,757276.0
underground hip hop,video game music,2,45.0,757276.0
aesthetic rap,east coast hip hop,2,64.0,51212.5
aesthetic rap,hip hop,2,64.0,51212.5
aesthetic rap,rap,2,64.0,51212.5
aesthetic rap,trap,2,64.0,51212.5
cloud rap,east coast hip hop,2,64.0,51212.5
cloud rap,hip hop,2,64.0,51212.5
cloud rap,rap,2,64.0,51212.5
cloud rap,trap,2,64.0,51212.5
east coast hip hop,florida rap,2,64.0,51212.5
florida rap,hip hop,2,64.0,51212.5
florida rap,rap,2,64.0,51212.5
florida rap,trap,2,64.0,51212.5
east coast hip hop,underground hip hop,2,64.0,51212.5
hip hop,underground hip hop,2,64.0,51212.5
rap,underground hip hop,2,64.0,51212.5
trap,underground hip hop,2,64.0,51212.5
canadian pop,dance pop,2,85.0,325833.5
hip hop,north carolina hip hop,2,64.5,29927.0
memphis hip hop,trap,2,74.5,304719.0
hip hop,tennessee hip hop,2,64.0,33515.0
north carolina hip hop,rap,2,64.0,33515.0
north carolina hip hop,southern hip hop,2,64.0,33515.0
north carolina hip hop,trap,2,64.0,33515.0
rap,tennessee hip hop,2,64.0,33515.0
cali rap,rap,2,64.0,33515.0
canadian contemporary r&b,hip hop,2,69.0,63551.5
canadian pop,pop rap,2,78.0,130309.0
southern hip hop,west coast rap,2,78.5,193570.5
trap,west coast rap,2,78.5,193570.5
queens hip hop,rap,2,74.0,22891.5
queens hip hop,trap,2,74.0,22891.5
pop,singer-songwriter pop,2,77.5,147813.5
canadian hip hop,melodic rap,2,80.5,128070.0
melodic rap,toronto rap,2,80.5,128070.0
canadian trap,rap,2,78.0,236449.0
canadian trap,trap,2,78.0,236449.0
melodic rap,pop rap,2,78.0,236449.0
dancefloor dnb,uk dnb,2,55.0,14024.5
drum and bass,uk dnb,2,55.0,14024.5
uk dance,uk dnb,2,55.0,14024.5
brostep,pop,2,84.5,370090.0
pop,progressive electro house,2,49.5,171022.0
house,tech house,2,49.0,8093.0
dancefloor dnb,house,2,49.0,8093.0
drum and bass,house,2,49.0,8093.0
dancefloor dnb,tech house,2,49.0,8093.0
drum and bass,tech house,2,49.0,8093.0
drum and bass,drum and bass,2,64.0,134924.5
indietronica,indietronica,2,74.0,110292.5
indietronica,ohio hip hop,2,74.0,137731.0
pop,r&b,2,84.5,869813.5
dance pop,pop dance,2,77.5,341283.0
dance pop,uk dance,2,77.5,341283.0
