Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,2045,53.44642857142857,443825.16071428574
trap latino,urbano latino,1911,53.17175572519084,454116.9389312977
reggaeton,trap latino,1743,52.71153846153846,450296.98846153845
urbano latino,urbano latino,1121,53.56617647058823,444515.55147058825
reggaeton,reggaeton,939,52.31395348837209,445575.6201550388
trap latino,trap latino,814,52.041666666666664,485373.3703703704
reggaeton flow,urbano latino,294,50.6231884057971,441522.8695652174
reggaeton,reggaeton flow,269,50.94285714285714,435615.3857142857
reggaeton flow,trap latino,261,50.35820895522388,442894.5223880597
latin hip hop,urbano latino,250,54.455555555555556,486213.1666666667
latin hip hop,reggaeton,245,54.455555555555556,486213.1666666667
reggaeton colombiano,urbano latino,226,58.06,519116.66
latin hip hop,trap latino,214,53.792682926829265,506801.6341463415
reggaeton,reggaeton colombiano,213,57.63725490196079,517224.90196078434
trap argentino,urbano latino,206,54.285714285714285,472993.1666666667
reggaeton colombiano,trap latino,177,57.406976744186046,545112.7906976744
trap argentino,trap latino,175,53.475,479160.025
panamanian pop,urbano latino,174,46.83606557377049,760198.8852459016
reggaeton,trap argentino,165,54.921052631578945,520566.5789473684
latin pop,urbano latino,159,59.91836734693877,349077.806122449
latin pop,reggaeton,154,59.362637362637365,346005.7912087912
panamanian pop,reggaeton,150,45.65,733815.2333333333
puerto rican pop,urbano latino,145,53.44776119402985,444794.4776119403
puerto rican pop,reggaeton,142,52.5,450433.734375
panamanian pop,trap latino,135,48.36363636363637,810273.1818181818
colombian pop,urbano latino,134,58.46774193548387,479451.9193548387
r&b en espanol,urbano latino,131,53.108108108108105,583093.7297297297
puerto rican pop,trap latino,128,51.92982456140351,489637.3157894737
colombian pop,reggaeton,121,58.435483870967744,481052.5
latin pop,trap latino,111,59.87323943661972,396525.38028169016
r&b en espanol,reggaeton,107,53.0,599099.6944444445
r&b en espanol,trap latino,103,52.82857142857143,610352.1142857143
rap latina,urbano latino,96,55.65625,405765.90625
colombian pop,trap latino,93,57.333333333333336,549920.3333333334
rap latina,reggaeton,82,53.96551724137931,413257.6206896552
pop reggaeton,urbano latino,80,61.095238095238095,899076.0
rap latina,trap latino,79,53.592592592592595,442429.44444444444
argentine hip hop,urbano latino,72,46.94736842105263,372280.15789473685
pop,reggaeton,70,58.97435897435897,304628.1282051282
pop reggaeton,reggaeton,68,61.095238095238095,899076.0
pop,urbano latino,68,59.0,302612.4871794872
argentine hip hop,trap latino,64,44.1764705882353,374941.82352941175
pop reggaeton,trap latino,62,61.35,940347.4
argentine hip hop,reggaeton,59,48.1764705882353,414875.9411764706
pop,trap latino,58,60.810810810810814,314396.45945945947
pop,pop,57,60.7906976744186,144668.60465116278
trap boricua,urbano latino,56,42.25,234078.4375
reggaeton,trap boricua,54,42.25,234078.4375
trap boricua,trap latino,54,42.25,234078.4375
latin pop,reggaeton colombiano,48,57.25,335904.9772727273
pop,rap,46,52.76470588235294,117819.9705882353
latin hip hop,reggaeton flow,42,60.27272727272727,683764.7727272727
rap,rap,39,52.32258064516129,56123.45161290323
rap,trap,39,55.0,64964.916666666664
latin pop,latin pop,39,59.15384615384615,224032.28205128206
colombian pop,latin pop,39,60.125,338903.5
salsa,tropical,38,21.94736842105263,4759.263157894737
latin hip hop,reggaeton colombiano,32,53.68,533376.16
hip hop,rap,32,53.65217391304348,26065.956521739132
melodic rap,rap,31,47.90909090909091,63981.5
cuatro puertorriqueno,salsa,29,24.066666666666666,5046.133333333333
puerto rican folk,salsa,29,24.066666666666666,5046.133333333333
cuatro puertorriqueno,tropical,29,24.066666666666666,5046.133333333333
puerto rican folk,tropical,29,24.066666666666666,5046.133333333333
bachata,urbano latino,28,65.45454545454545,199478.0
latin hip hop,puerto rican pop,27,57.47826086956522,530584.1304347826
latin hip hop,latin pop,27,62.72727272727273,355187.6818181818
panamanian pop,panamanian pop,27,20.85,133556.7
trap triste,urbano latino,26,48.857142857142854,647693.2857142857
mexican pop,reggaeton,26,54.0,253103.47826086957
colombian pop,reggaeton colombiano,26,57.529411764705884,234179.82352941178
edm,reggaeton,25,56.142857142857146,233346.35714285713
edm,urbano latino,25,56.142857142857146,233346.35714285713
pop dance,reggaeton,25,56.142857142857146,233346.35714285713
pop dance,urbano latino,25,56.142857142857146,233346.35714285713
mexican pop,urbano latino,25,53.72727272727273,264176.6818181818
panamanian pop,reggaeton colombiano,24,55.30434782608695,825276.3913043478
reggaeton flow,reggaeton flow,24,58.35,525030.15
reggaeton,trap triste,24,48.857142857142854,647693.2857142857
edm,pop,24,67.10526315789474,172138.31578947368
dance pop,reggaeton,24,53.5,176565.66666666666
r&b en espanol,trap argentino,23,57.55555555555556,878954.9444444445
salsa,salsa puertorriquena,23,21.94736842105263,4759.263157894737
salsa puertorriquena,tropical,23,21.94736842105263,4759.263157894737
pop,trap,23,49.95,102648.5
trap latino,trap triste,23,48.857142857142854,647693.2857142857
latin viral pop,urbano latino,23,64.6875,269882.1875
panamanian pop,r&b en espanol,22,48.86363636363637,716014.4090909091
reggaeton colombiano,trap argentino,22,53.23529411764706,790720.6470588235
pop,reggaeton colombiano,22,56.4,384132.2
hip hop,pop,22,47.0,51715.65
latin viral pop,reggaeton,22,63.6,241886.4
dance pop,urbano latino,22,53.11764705882353,180147.41176470587
panamanian pop,reggaeton flow,21,45.833333333333336,780128.5
edm,trap latino,21,56.30769230769231,250927.23076923078
pop dance,trap latino,21,56.30769230769231,250927.23076923078
rap,trap latino,21,58.55555555555556,308985.94444444444
reggaeton flow,trap argentino,21,57.15384615384615,825038.6153846154
rap dominicano,urbano latino,21,52.5,314825.75
reggaeton colombiano,reggaeton colombiano,21,62.10526315789474,485425.5789473684
latin pop,pop,21,61.22222222222222,138390.0
panamanian pop,trap argentino,20,54.46666666666667,949435.4666666667
argentine hip hop,trap argentino,20,40.416666666666664,405446.3333333333
rap,urbano latino,20,57.1764705882353,327028.5294117647
rap dominicano,reggaeton,20,52.5,314825.75
rap dominicano,trap latino,20,53.27272727272727,342271.45454545453
salsa,salsa,19,21.94736842105263,4759.263157894737
tropical,tropical,19,21.94736842105263,4759.263157894737
colombian pop,panamanian pop,19,56.89473684210526,816416.0
colombian pop,trap argentino,19,55.5,743863.5714285715
rap,reggaeton,19,56.6875,347025.25
latin arena pop,reggaeton,19,49.1875,305068.875
dance pop,pop,19,67.64285714285714,145480.57142857142
pop reggaeton,trap argentino,18,53.76923076923077,790222.0
pop,puerto rican pop,18,63.333333333333336,263923.8333333333
latin arena pop,urbano latino,18,48.46666666666667,324773.93333333335
dance pop,trap latino,18,56.6875,188383.4375
r&b en espanol,reggaeton colombiano,17,57.35294117647059,885724.5882352941
r&b en espanol,reggaeton flow,17,47.15384615384615,654784.2307692308
latin pop,puerto rican pop,17,57.529411764705884,197221.82352941178
bachata,reggaeton,17,70.18181818181819,393839.54545454547
rap latina,trap argentino,16,43.92857142857143,467411.4285714286
trap argentino,trap argentino,16,40.416666666666664,405446.3333333333
puerto rican pop,reggaeton colombiano,16,60.142857142857146,554409.4285714285
melodic rap,trap,16,44.714285714285715,96230.85714285714
pop,pop dance,16,59.75,176797.08333333334
pop rap,rap,16,63.416666666666664,16168.916666666666
atl hip hop,rap,16,46.1,53425.6
bachata,latin pop,16,62.53333333333333,126125.66666666667
cuatro puertorriqueno,salsa puertorriquena,15,24.066666666666666,5046.133333333333
puerto rican folk,salsa puertorriquena,15,24.066666666666666,5046.133333333333
latin hip hop,panamanian pop,15,56.69230769230769,1301451.3076923077
pop,pop rap,15,55.15384615384615,65303.230769230766
pop rap,reggaeton,15,53.785714285714285,241501.42857142858
pop rap,trap latino,15,54.0,238307.2142857143
pop rap,urbano latino,15,53.785714285714285,241501.42857142858
hip hop,melodic rap,15,47.57142857142857,19091.64285714286
mexican pop,reggaeton colombiano,15,57.285714285714285,360823.28571428574
latin viral pop,trap latino,15,65.9090909090909,320547.63636363635
hip hop,trap,15,66.33333333333333,23860.333333333332
colombian pop,colombian pop,15,62.266666666666666,264925.0
panamanian pop,pop reggaeton,14,59.357142857142854,911369.6428571428
colombian pop,r&b en espanol,14,58.857142857142854,747463.2857142857
electronic trap,reggaeton,14,54.666666666666664,214508.33333333334
electronic trap,urbano latino,14,54.666666666666664,214508.33333333334
dfw rap,rap,14,36.76923076923077,93449.30769230769
bachata,trap latino,14,70.77777777777777,425077.6666666667
dembow,urbano latino,14,49.5,324375.125
mexican pop,trap latino,14,49.07692307692308,198815.92307692306
funk pop,reggaeton,14,64.375,106023.375
pop nacional,reggaeton,14,63.375,107097.625
pop reggaeton,r&b en espanol,13,58.0,802042.6923076923
puerto rican pop,trap argentino,13,39.25,183472.0
electronic trap,trap latino,13,54.666666666666664,214508.33333333334
latin hip hop,latin hip hop,13,66.45454545454545,691925.7272727273
dembow,reggaeton,13,49.5,324375.125
dembow,trap latino,13,50.285714285714285,368868.28571428574
trap,urbano latino,13,47.55555555555556,116015.44444444444
pop,uk pop,13,67.66666666666667,89470.16666666667
electropop,pop,13,46.72727272727273,42241.27272727273
funk pop,urbano latino,13,65.0,104644.42857142857
pop nacional,urbano latino,13,63.857142857142854,105872.14285714286
bachata,latin hip hop,13,62.0,6150.666666666667
trap,trap latino,12,51.0,104640.1
latin pop,rap latina,12,67.55555555555556,366572.22222222225
latin pop,mexican pop,12,56.166666666666664,279399.25
funk rj,reggaeton,12,63.0,120905.42857142857
pagode baiano,reggaeton,12,63.0,120905.42857142857
dfw rap,trap,11,40.0,119527.5
melodic rap,pop,11,53.72727272727273,102568.09090909091
puerto rican pop,reggaeton flow,11,58.55555555555556,438265.6666666667
reggaeton,trap,11,45.375,129632.25
hip hop,trap latino,11,52.9,300404.6
latin arena pop,latin pop,11,51.8,298532.4
latin arena pop,reggaeton colombiano,11,54.5,427183.1
dance pop,latin pop,11,59.81818181818182,95247.18181818182
funk rj,urbano latino,11,63.5,121777.0
pagode baiano,urbano latino,11,63.5,121777.0
bachata,bachata,11,60.72727272727273,5116.454545454545
puerto rican pop,trap boricua,10,28.75,237535.875
reggaeton flow,trap boricua,10,54.25,272430.625
trap argentino,trap boricua,10,13.25,35394.75
latin hip hop,rap latina,10,66.75,456249.375
pop,post-teen pop,10,68.85714285714286,207522.2857142857
reggaeton colombiano,reggaeton flow,10,51.25,1052239.875
rap,slap house,10,55.375,13600.75
electro house,reggaeton,10,56.666666666666664,231849.33333333334
electro house,urbano latino,10,56.666666666666664,231849.33333333334
pop nacional,trap latino,10,65.33333333333333,103376.33333333333
pop venezolano,urbano latino,10,65.5,445669.5
pop rap,trap,10,62.0,14528.888888888889
bachata,bachata dominicana,10,60.5,5475.1
bachata dominicana,latin hip hop,10,60.5,5475.1
bachata dominicana,latin pop,10,60.5,5475.1
bachata dominicana,urbano latino,10,60.5,5475.1
hip hop,reggaeton,9,46.875,366001.75
hip hop,urbano latino,9,46.875,366001.75
latin pop,latin viral pop,9,63.875,254521.0
latin arena pop,trap latino,9,42.375,251474.5
electro latino,reggaeton,9,43.5,161252.25
funk pop,trap latino,9,65.2,121963.0
dance pop,reggaeton colombiano,9,47.125,321503.625
pop venezolano,reggaeton,9,64.42857142857143,507894.71428571426
latin pop,reggaeton flow,9,69.2,554234.6
electro latino,urbano latino,9,52.285714285714285,306856.0
dance pop,edm,9,64.25,138290.75
big room,urbano latino,9,45.2,186703.6
colombian pop,latin hip hop,9,57.25,606696.25
puerto rican pop,rap latina,8,40.5,147107.75
panamanian pop,puerto rican pop,8,52.875,741819.875
edm,reggaeton colombiano,8,48.857142857142854,200939.42857142858
pop dance,reggaeton colombiano,8,48.857142857142854,200939.42857142858
panamanian pop,rap latina,8,56.625,884806.25
electronic trap,pop,8,64.0,290575.5
pop rap,reggaeton colombiano,8,49.0,334232.0
dfw rap,hip hop,8,29.625,19222.0
rap latina,reggaeton colombiano,8,57.375,740206.625
argentine hip hop,reggaeton flow,8,53.0,885130.5
electro house,trap latino,8,57.2,277260.2
funk rj,trap latino,8,65.2,121963.0
pagode baiano,trap latino,8,65.2,121963.0
latin pop,spanish pop,8,62.857142857142854,89019.0
rap,singer-songwriter pop,8,67.6,12347.6
rap,uk pop,8,67.6,12347.6
trap,trap,8,48.833333333333336,25816.833333333332
atl hip hop,pop,8,45.142857142857146,68101.0
big room,reggaeton,8,56.5,230794.75
puerto rican pop,rap,7,57.57142857142857,198618.7142857143
trap argentino,trap triste,7,32.5,996769.75
colombian pop,puerto rican pop,7,60.142857142857146,468221.71428571426
edm,rap,7,52.42857142857143,274297.85714285716
electronic trap,rap,7,52.42857142857143,274297.85714285716
pop dance,rap,7,52.42857142857143,274297.85714285716
rap,reggaeton colombiano,7,58.5,380415.1666666667
pop,pop soul,7,59.285714285714285,27987.285714285714
pop reggaeton,reggaeton flow,7,46.57142857142857,1165326.7142857143
argentine hip hop,colombian pop,7,45.4,938835.4
argentine hip hop,reggaeton colombiano,7,45.4,938835.4
rap latina,reggaeton flow,7,54.5,1154641.6666666667
colombian pop,mexican pop,7,68.71428571428571,458641.28571428574
latin pop,trap argentino,7,61.57142857142857,688502.1428571428
electro house,pop,7,65.57142857142857,172299.2857142857
latin hip hop,rap dominicano,7,50.42857142857143,193205.42857142858
atl trap,rap,7,44.0,69348.2
gangster rap,rap,7,58.833333333333336,71353.16666666667
colombian hip hop,reggaeton,7,63.75,665769.5
canadian pop,pop,7,65.0,247669.83333333334
pop venezolano,trap latino,7,63.333333333333336,512681.5
k-pop,pop,7,49.2,36527.4
atl hip hop,trap,7,38.5,19960.5
rap,southern hip hop,7,50.833333333333336,31516.166666666668
atl hip hop,melodic rap,7,35.0,70531.71428571429
electro latino,trap latino,7,48.833333333333336,196813.0
dance pop,pop dance,7,60.714285714285715,131364.7142857143
belgian edm,reggaeton,7,60.0,112872.5
belgian edm,urbano latino,7,60.0,112872.5
latin hip hop,pop,7,61.0,221438.33333333334
miami hip hop,reggaeton,7,61.5,107519.5
miami hip hop,urbano latino,7,61.5,107519.5
argentine hip hop,puerto rican pop,6,30.333333333333332,170816.0
argentine hip hop,panamanian pop,6,53.0,1355583.25
latin pop,panamanian pop,6,50.333333333333336,772852.6666666666
post-teen pop,reggaeton,6,65.8,286306.0
