Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,888,31.662068965517243,2347091.8137931037
trap latino,urbano latino,776,31.563492063492063,2309256.396825397
reggaeton,trap latino,774,32.46923076923077,2327268.7
urbano latino,urbano latino,445,30.917910447761194,2302271.3731343285
reggaeton,reggaeton,443,31.48175182481752,2352295.883211679
trap latino,trap latino,348,29.545454545454547,1914741.9772727273
latin hip hop,reggaeton,217,31.394736842105264,2390280.236842105
latin hip hop,urbano latino,217,30.726027397260275,2287644.4520547944
reggaeton flow,urbano latino,195,36.51428571428571,1637912.3714285714
reggaeton,reggaeton flow,193,36.51428571428571,1637912.3714285714
reggaeton flow,trap latino,192,36.51428571428571,1637912.3714285714
latin hip hop,trap latino,170,30.228070175438596,2265166.263157895
latin pop,urbano latino,96,37.458333333333336,2810596.6805555555
puerto rican pop,reggaeton,95,31.043478260869566,2873043.6739130435
latin pop,reggaeton,95,36.943661971830984,2769213.591549296
puerto rican pop,urbano latino,93,30.75,2883031.8863636362
reggaeton,reggaeton colombiano,83,29.708333333333332,2317250.4583333335
reggaeton colombiano,urbano latino,83,28.804347826086957,2521455.3913043477
pop,rap,75,22.229166666666668,664514.1041666666
pop,pop,70,36.87096774193548,1285942.2258064516
puerto rican pop,trap latino,67,24.862068965517242,2993659.103448276
reggaeton colombiano,trap latino,60,28.941176470588236,2039591.5588235294
latin pop,trap latino,60,36.680851063829785,2765616.489361702
dance pop,pop,54,41.03030303030303,1199074.0
pop,pop dance,48,29.34285714285714,1037772.0
hip hop,pop,48,28.0,690573.7352941176
edm,pop,45,32.94285714285714,1100048.9142857143
pop,trap,41,30.24137931034483,700686.275862069
colombian pop,latin pop,40,33.86206896551724,2642258.6896551726
pop,urbano latino,40,30.620689655172413,2173445.6551724137
pop,reggaeton,39,30.06896551724138,1979997.1724137932
colombian pop,reggaeton,38,34.827586206896555,2616902.8620689656
latin pop,latin pop,37,38.65714285714286,2589484.342857143
latin hip hop,latin pop,37,37.205882352941174,2476922.0
latin hip hop,reggaeton flow,36,37.55555555555556,2230877.8333333335
hip hop,rap,36,37.76470588235294,680109.3529411765
colombian pop,urbano latino,36,35.7037037037037,2913949.925925926
rap,trap,33,35.1875,651395.4375
dance pop,urbano latino,33,38.958333333333336,2727477.25
pop,pop rap,32,45.59090909090909,979838.3636363636
dance pop,reggaeton,31,37.43478260869565,2596627.4782608696
dance pop,rap,29,36.25,1114860.6666666667
reggaeton flow,reggaeton flow,28,46.357142857142854,2175647.0714285714
pop,trap latino,28,24.68421052631579,2255011.6315789474
pop rap,rap,28,58.666666666666664,1020823.2222222222
latin hip hop,puerto rican pop,27,21.130434782608695,3395940.652173913
atl hip hop,pop,27,21.59090909090909,515346.63636363635
rap,rap,27,33.1764705882353,448221.82352941175
latin pop,reggaeton colombiano,27,38.68181818181818,3345787.409090909
rap,reggaeton,25,19.076923076923077,204207.23076923078
rap,urbano latino,25,20.46153846153846,194826.53846153847
hip hop,trap,25,35.833333333333336,399437.9166666667
rap,trap latino,23,11.363636363636363,171378.0
dance pop,trap latino,23,29.625,2389468.25
latin hip hop,reggaeton colombiano,23,32.388888888888886,1868977.6666666667
latin hip hop,latin hip hop,23,24.352941176470587,1373767.1176470588
puerto rican pop,reggaeton flow,22,32.07142857142857,1560200.5
electro house,pop,21,24.647058823529413,700446.5882352941
dance pop,pop dance,20,27.055555555555557,834097.3333333334
pop rap,trap,20,53.0,495474.71428571426
pop,r&b,19,40.8,862759.6666666666
latin pop,pop,19,35.0,2103301.722222222
colombian pop,reggaeton colombiano,18,37.15384615384615,3496758.5384615385
electro latino,reggaeton,18,4.2,1676456.8
edm,pop dance,18,43.8,667987.2
hip hop,pop rap,18,50.666666666666664,694016.0
dance pop,trap,17,39.54545454545455,1158260.1818181819
dance pop,edm,17,30.375,838736.0625
hip hop,melodic rap,17,27.307692307692307,433284.6923076923
melodic rap,rap,17,27.307692307692307,433284.6923076923
pop,reggaeton colombiano,17,39.357142857142854,2293394.8571428573
colombian pop,trap latino,17,33.714285714285715,1684268.642857143
mexican pop,urbano latino,17,47.411764705882355,2418430.0
electro latino,urbano latino,17,4.666666666666667,1851843.0
reggaeton,trap,16,17.272727272727273,225652.9090909091
trap,urbano latino,16,17.272727272727273,225652.9090909091
melodic rap,pop,16,24.181818181818183,602801.6363636364
dance pop,dance pop,16,33.3125,952289.25
edm,rap,16,29.4,660780.1
electro house,rap,16,29.4,660780.1
trap,trap latino,15,12.5,183966.2
dance pop,hip hop,15,41.22222222222222,1160581.4444444445
atl hip hop,rap,15,24.181818181818183,418729.8181818182
dance pop,latin pop,15,42.57142857142857,2114113.3571428573
mexican pop,reggaeton,15,49.2,2697415.8
pop,southern hip hop,15,36.54545454545455,1003426.3636363636
atl hip hop,dance pop,14,30.77777777777778,525350.1111111111
moombahton,pop,14,15.666666666666666,477645.4166666667
colombian pop,colombian pop,14,31.0,1847369.9285714286
dance pop,reggaeton colombiano,14,38.90909090909091,2827929.0
pop dance,rap,13,8.571428571428571,295293.4285714286
latin pop,mexican pop,13,46.23076923076923,2191313.230769231
atl hip hop,reggaeton,12,8.75,223367.375
atl hip hop,trap latino,12,8.75,223367.375
atl hip hop,urbano latino,12,8.75,223367.375
dance pop,melodic rap,12,17.571428571428573,517223.0
classic peruvian pop,musica afroperuana,12,37.666666666666664,33122.333333333336
classic peruvian pop,musica criolla,12,37.666666666666664,33122.333333333336
musica afroperuana,musica criolla,12,37.666666666666664,33122.333333333336
moombahton,rap,12,9.833333333333334,327066.3333333333
hip hop,reggaeton,12,24.8,177515.0
hip hop,urbano latino,12,26.6,165320.1
colombian pop,latin hip hop,12,39.18181818181818,1817196.6363636365
latin pop,puerto rican pop,12,32.416666666666664,1938930.5833333333
dancehall,reggaeton,12,8.666666666666666,914000.3333333334
dancehall,trap latino,12,8.666666666666666,914000.3333333334
dancehall,urbano latino,12,8.666666666666666,914000.3333333334
pop,uk pop,12,39.25,871798.0833333334
atl hip hop,hip hop,11,19.0,481839.71428571426
electro latino,latin pop,11,38.55555555555556,2209425.777777778
electropop,pop,11,36.875,1600331.375
latin arena pop,urbano latino,11,33.7,1632994.9
dance pop,slap house,10,11.8,264986.4
pop,slap house,10,11.8,264986.4
puerto rican pop,reggaeton colombiano,10,35.9,2735174.6
hip hop,trap latino,10,15.625,125701.75
melodic rap,pop rap,10,48.833333333333336,572370.1666666666
rap latina,urbano latino,10,36.5,3135583.125
electro latino,trap latino,10,5.25,1888609.25
dance pop,pop rap,10,47.0,1290817.2222222222
reggaeton colombiano,reggaeton flow,10,56.6,1873871.2
pop dance,pop dance,10,34.5,822317.0
miami hip hop,pop,10,55.857142857142854,1497379.7142857143
latin arena pop,reggaeton,10,33.625,1959734.5
melodic rap,reggaeton,9,10.428571428571429,196132.85714285713
melodic rap,trap latino,9,10.428571428571429,196132.85714285713
melodic rap,urbano latino,9,10.428571428571429,196132.85714285713
dance pop,electro house,9,21.22222222222222,663518.0
edm,trap,9,32.666666666666664,663370.5555555555
electro house,trap,9,32.666666666666664,663370.5555555555
latin pop,vallenato,9,40.625,2496266.5
trap,trap,9,53.0,495474.71428571426
dance pop,latin hip hop,9,46.666666666666664,2821225.222222222
pop rap,reggaeton,9,38.333333333333336,671098.3333333334
canadian pop,pop,9,18.375,1660426.625
hip hop,hip hop,9,50.666666666666664,694016.0
pop rap,pop rap,9,50.666666666666664,694016.0
pop,uk dance,9,78.66666666666667,1852257.3333333333
bachata,reggaeton,9,66.4,2076155.2
bachata,urbano latino,9,66.4,2076155.2
dance pop,moombahton,8,13.875,317313.125
edm,hip hop,8,36.625,733209.875
electro house,hip hop,8,36.625,733209.875
rap,southern hip hop,8,62.5,999988.5
southern hip hop,trap,8,59.4,284075.4
melodic rap,trap,8,37.0,538471.125
rap latina,trap latino,8,36.5,3135583.125
latin hip hop,pop,8,34.125,3724466.5
pop rap,urbano latino,8,35.875,739108.625
cubaton,reggaeton,8,39.4,4073453.6
reggaeton,vallenato,8,53.857142857142854,2603027.714285714
