Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,67,67.95081967213115,4105923.524590164
pinoy hip hop,tagalog rap,56,48.07142857142857,4099447.714285714
rap,trap,38,71.47058823529412,1820543.705882353
pop,rap,37,63.2962962962963,5770303.222222222
hip hop,rap,37,74.0,1460140.0
rap,rap,33,72.05,808884.35
opm,opm,32,45.5,4525553.0
tagalog rap,tagalog rap,29,44.90909090909091,3956418.6363636362
dance pop,pop,28,71.7,3336723.55
pinoy hip hop,pinoy hip hop,28,52.166666666666664,4214848.166666667
hip hop,trap,22,74.23076923076923,1763913.8461538462
k-pop,pop,20,57.0,4089851.3529411764
pop rap,rap,20,71.22222222222223,2449919.777777778
atl hip hop,rap,18,68.18181818181819,669372.8181818182
hip hop,pop,16,42.61538461538461,8930957.76923077
canadian pop,rap,16,65.4,2294441.2
melodic rap,rap,16,68.28571428571429,1317355.0
opm,pinoy hip hop,15,56.666666666666664,6623770.0
hip hop,pop rap,15,70.375,2627382.875
movie tunes,movie tunes,15,78.0,123989.0
neo soul,pop,14,22.625,8519659.625
pop,trap queen,14,63.5,3069984.4166666665
edm,pop,14,61.45454545454545,1779611.9090909092
pop rap,trap,14,70.0,4354584.8
dance pop,neo soul,13,14.428571428571429,8707594.142857144
hip hop,hip hop,13,73.46153846153847,1845085.076923077
pinoy hip hop,pinoy r&b,12,65.66666666666667,5439355.5
pinoy r&b,tagalog rap,12,65.66666666666667,5439355.5
pop,pop dance,12,57.875,1127835.625
canadian pop,pop,11,76.1,7130608.3
houston rap,pop,11,60.44444444444444,3610116.111111111
canadian hip hop,rap,11,76.66666666666667,542642.3333333334
atl hip hop,hip hop,11,73.375,366159.875
rap,toronto rap,11,76.66666666666667,542642.3333333334
r&b,rap,11,63.75,3760925.0
k-pop boy group,pop,10,55.5,4561986.9
opm,tagalog rap,10,61.857142857142854,8354874.571428572
canadian pop,hip hop,10,74.9,1951057.5
canadian hip hop,trap,10,76.28571428571429,435962.85714285716
canadian pop,trap,10,74.75,1351906.875
rap,southern hip hop,10,70.33333333333333,3620523.1666666665
toronto rap,trap,10,76.28571428571429,435962.85714285716
melodic rap,trap,10,66.5,1047753.5
contemporary country,pop,9,67.44444444444444,2887118.4444444445
pop,trap,9,78.16666666666667,8550208.833333334
atl trap,rap,9,76.6,980923.6
trap,trap,9,73.42857142857143,3257269.1428571427
dance pop,hip hop,8,22.75,11713678.625
pop,uk pop,8,71.57142857142857,1308004.5714285714
melodic rap,pop,8,48.625,4647295.25
canadian hip hop,hip hop,8,75.625,390955.5
hip hop,southern hip hop,8,70.33333333333333,3620523.1666666665
hip hop,toronto rap,8,75.625,390955.5
north carolina hip hop,rap,8,74.6,63798.2
gangster rap,rap,8,72.4,972519.2
escape room,pop,7,13.0,7981929.857142857
pop,singer-songwriter pop,7,70.71428571428571,2452955.285714286
pop,r&b,7,72.6,16111584.8
hip hop,r&b,7,68.8,4149153.6
atl hip hop,trap,7,71.4,608387.2
gangster rap,hip hop,7,70.75,481908.0
dance pop,escape room,6,3.3333333333333335,9169189.0
dance pop,indie soul,6,3.3333333333333335,9169189.0
indie soul,pop,6,3.3333333333333335,9169189.0
escape room,neo soul,6,3.3333333333333335,9169189.0
hip hop,neo soul,6,3.3333333333333335,9169189.0
indie soul,neo soul,6,3.3333333333333335,9169189.0
neo soul,neo soul,6,3.3333333333333335,9169189.0
permanent wave,pop,6,67.83333333333333,4254446.5
k-pop,permanent wave,6,66.0,4374127.8
pop,pop rap,6,72.8,3942396.2
dance pop,rap,6,77.0,12554961.166666666
alt z,pop,6,63.0,5005026.5
canadian contemporary r&b,pop,6,81.16666666666667,14348818.833333334
canadian pop,melodic rap,6,51.5,5463418.333333333
electropop,pop,6,63.0,4363290.6
atl hip hop,canadian hip hop,6,78.2,584968.0
atl hip hop,canadian pop,6,78.2,2115162.2
atl hip hop,toronto rap,6,78.2,584968.0
opm,pinoy pop punk,6,36.0,7746580.5
k-pop,rap,6,43.4,2900901.2
atl trap,hip hop,6,76.0,492413.5
rap,trap queen,6,73.33333333333333,1381076.3333333333
pop rap,pop rap,6,61.5,10251557.5
pop rap,southern hip hop,6,61.5,10251557.5
pop,urban contemporary,6,64.25,3305998.25
k-pop boy group,permanent wave,5,66.0,4374127.8
canadian pop,chicago rap,5,43.8,3369341.0
chicago rap,pop,5,30.4,3677864.4
canadian pop,pop rap,5,71.4,3308706.4
opm,pinoy r&b,5,66.75,5717794.0
country,pop,5,62.8,4124806.4
country road,pop,5,62.8,4124806.4
indie poptimism,pop,5,64.4,4401232.8
dance pop,r&b,5,70.8,8441512.8
brostep,pop,5,74.4,2138783.0
houston rap,rap,5,74.5,1642427.0
atl hip hop,pop rap,5,68.5,508648.75
pop,progressive electro house,5,47.6,2285944.2
dfw rap,rap,5,77.5,1881583.5
gangster rap,trap,5,70.33333333333333,611031.6666666666
hip hop,melodic rap,5,76.0,401040.6666666667
classic opm,opm,5,5.0,59609.0
modern salsa,movie tunes,5,78.0,123989.0
movie tunes,salsa colombiana,5,78.0,123989.0
