Source,Target,Weight,Avg_Popularity,Avg_Streams
polish hip hop,polish trap,1221,30.43831168831169,1561415.237012987
polish hip hop,polish hip hop,1213,30.213333333333335,1506287.0853333334
polish trap,polish trap,332,33.707317073170735,1845544.719512195
polish alternative rap,polish hip hop,150,18.942028985507246,1365231.4057971016
rap,trap,107,70.76470588235294,1047990.3529411765
hip hop,rap,85,71.1304347826087,983550.3913043478
polish drill,polish hip hop,82,21.5609756097561,1803264.024390244
polish hip hop,rap uliczny,79,35.45,863680.05
rap,rap,74,71.92307692307692,1277682.076923077
polish electronica,polish hip hop,68,41.08108108108108,2775370.2702702703
pop rap,rap,67,67.0,935510.1
polish alternative rap,polish trap,65,18.533333333333335,1009123.7111111111
hip hop,trap,60,69.41666666666667,1115658.5
rap,southern hip hop,60,60.0,551837.0
pop rap,trap,57,63.166666666666664,758602.3333333334
pop,pop,50,66.3125,1168484.5833333333
southern hip hop,trap,50,22.0,15622.0
polish hip hop,rap motywacja,49,30.391304347826086,392555.2173913043
polish drill,polish trap,45,26.03030303030303,2106750.5454545454
polish electronica,polish trap,42,41.5,2355121.875
hip hop,southern hip hop,41,59.0,729471.3333333334
trap,trap,40,64.0,1962438.142857143
pop rap,southern hip hop,39,22.0,15622.0
gangster rap,rap,37,58.4,237120.6
hip hop,pop rap,37,66.2,1028895.8
pop,rap,36,62.0,828633.3
dance pop,pop,34,66.44444444444444,935382.8148148148
dirty south rap,rap,33,22.0,15622.0
atl hip hop,rap,29,68.6,609286.4
gangster rap,trap,29,38.0,22279.5
dirty south rap,trap,29,22.0,15622.0
polish pop,polish pop,28,32.666666666666664,1598448.6666666667
polish hip hop,polish pop,27,30.40909090909091,3438611.3636363638
gangster rap,hip hop,26,58.4,237120.6
gangster rap,southern hip hop,25,22.0,15622.0
hip hop,hip hop,24,66.9,738888.3
dirty south rap,pop rap,24,22.0,15622.0
dirty south rap,southern hip hop,24,22.0,15622.0
gangster rap,pop rap,23,50.5,177243.5
dirty south rap,hip hop,23,22.0,15622.0
edm,pop,22,66.61111111111111,681938.4444444445
melodic rap,rap,22,71.75,1521188.1666666667
southern hip hop,southern hip hop,21,22.0,15622.0
pop,pop dance,20,62.38461538461539,730925.5384615385
pop dance,uk dance,18,70.875,3476109.5
atl hip hop,hip hop,18,67.41666666666667,405065.4166666667
