Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,176,51.57608695652174,319152.76086956525
hip hop,rap,160,49.189473684210526,306280.5263157895
pop,pop,142,50.256,483815.672
rap,rap,137,50.785714285714285,303535.4183673469
pop,rap,127,46.32608695652174,368829.5
reggaeton,urbano latino,115,55.08,702751.16
trap latino,urbano latino,89,58.166666666666664,824855.5
hip hop,trap,87,54.67307692307692,289340.8076923077
reggaeton,trap latino,86,60.2,778880.75
edm,pop,81,50.483870967741936,531108.0161290322
pop,pop dance,79,46.35,365498.45
pop rap,rap,76,57.577777777777776,385581.8
atl hip hop,rap,74,49.44,280541.2
dance pop,pop,72,54.5,388384.25
melodic rap,rap,71,51.08163265306123,303457.97959183675
hip hop,pop,69,45.42307692307692,366852.3653846154
pop,trap,68,44.92727272727273,359652.14545454545
melodic rap,trap,59,50.404761904761905,412514.45238095237
urbano latino,urbano latino,59,55.45454545454545,765251.1363636364
reggaeton,reggaeton,56,54.78260869565217,763129.0434782609
trap,trap,55,55.16279069767442,248968.27906976745
east coast hip hop,hardcore hip hop,50,56.0,3280.0
hip hop,hip hop,48,50.42857142857143,154494.62857142856
pop,pop rap,47,54.77142857142857,350783.4285714286
rap,southern hip hop,47,56.03030303030303,250041.45454545456
hip hop,pop rap,45,54.416666666666664,221415.16666666666
pop rap,trap,45,60.51851851851852,349449.6666666667
electro house,pop,43,40.333333333333336,389166.6060606061
hip hop tuga,hip hop tuga,42,31.75862068965517,468740.4827586207
hip hop,melodic rap,42,49.19444444444444,369118.47222222225
latin pop,urbano latino,41,53.96296296296296,297197.55555555556
latin pop,reggaeton,40,53.34615384615385,308245.53846153844
atl hip hop,hip hop,40,51.724137931034484,265658.5172413793
atl hip hop,trap,36,54.74074074074074,232324.8148148148
trap latino,trap latino,35,57.083333333333336,1103618.9166666667
pop,uk pop,35,50.333333333333336,444009.4074074074
atl hip hop,pop,32,44.285714285714285,429115.3214285714
miami hip hop,rap,32,62.21739130434783,350451.4347826087
r&b,rap,31,42.48,368185.0
pop,uk dance,31,56.629629629629626,536185.7037037037
hip hop,southern hip hop,29,51.333333333333336,84380.53333333334
pop,reggaeton,28,54.8,633844.75
southern hip hop,trap,28,58.85,193007.5
east coast hip hop,east coast hip hop,28,56.0,3280.0
pop,urbano latino,27,54.8,633844.75
reggaeton colombiano,urbano latino,27,50.857142857142854,707606.2142857143
pop,r&b,27,49.869565217391305,514841.73913043475
dance pop,rap,27,56.05,391148.95
hip hop tuga,portuguese pop,26,27.1,412752.55
latin pop,trap latino,25,53.294117647058826,321367.1176470588
hip hop,r&b,25,40.166666666666664,318450.44444444444
latin hip hop,reggaeton,25,60.625,1099151.375
reggaeton,reggaeton colombiano,25,47.5,707333.1428571428
latin hip hop,urbano latino,24,57.285714285714285,1255803.857142857
pop,southern hip hop,24,51.666666666666664,389257.55555555556
melodic rap,pop,24,50.958333333333336,384582.2916666667
edm,pop dance,24,50.75,308723.3333333333
puerto rican pop,reggaeton,23,49.4375,527789.6875
emo rap,rap,23,36.0,336921.45
puerto rican pop,urbano latino,22,47.13333333333333,562803.4
canadian pop,rap,22,48.0,432565.0625
atl hip hop,melodic rap,21,48.857142857142854,371365.90476190473
melodic rap,pop rap,21,60.94117647058823,565432.0
miami hip hop,trap,21,60.166666666666664,351697.72222222225
east coast hip hop,hip hop,21,44.8,33136.2
hardcore hip hop,hardcore hip hop,21,56.0,3280.0
reggaeton colombiano,trap latino,20,53.9,920657.4
latin hip hop,trap latino,20,59.0,1463961.0
pop,progressive electro house,20,55.6,908405.2666666667
electropop,pop,20,47.0,381746.23529411765
dance pop,edm,20,60.9375,523052.8125
hip hop tuga,trap tuga,20,25.375,489766.875
pop,trap latino,19,56.666666666666664,772292.8666666667
canadian pop,pop,19,40.75,252994.5625
big room,pop,19,64.42857142857143,468910.5714285714
hip hop,miami hip hop,19,60.25,267078.375
rap,slap house,19,47.38461538461539,237684.92307692306
dance pop,pop dance,19,54.8125,269498.75
dance pop,trap,19,53.357142857142854,389495.21428571426
edm,rap,19,54.4375,425460.0
slap house,trap,18,43.18181818181818,100134.27272727272
atl hip hop,pop rap,18,55.0,360714.76923076925
pop rap,southern hip hop,18,53.583333333333336,44537.666666666664
latin pop,pop,18,46.38461538461539,406838.6153846154
hip pop,pop,17,43.375,161210.6875
conscious hip hop,rap,17,52.36363636363637,394146.36363636365
pop rap,pop rap,17,56.76923076923077,120303.84615384616
canadian pop,hip hop,17,43.92857142857143,305106.0714285714
pop,queens hip hop,16,42.266666666666666,170845.46666666667
moombahton,pop,16,28.166666666666668,243474.83333333334
puerto rican pop,trap latino,16,43.45454545454545,669787.5454545454
pop,pop r&b,16,62.142857142857146,1145614.0714285714
pop dance,uk pop,16,48.642857142857146,301712.5714285714
dance pop,pop rap,16,59.61538461538461,227408.6923076923
funk carioca,funk carioca,16,36.642857142857146,907818.2857142857
pop,uk funky,15,56.15384615384615,482817.46153846156
rap,trap latino,15,50.90909090909091,815602.6363636364
hardcore hip hop,hip hop,15,52.25,91723.25
canadian hip hop,rap,15,48.0,560036.6428571428
rap,toronto rap,15,48.0,493645.35714285716
funk carioca,sertanejo universitario,15,37.69230769230769,579356.7692307692
emo rap,trap,15,39.23076923076923,321424.76923076925
dfw rap,trap,14,39.285714285714285,714821.2142857143
gangster rap,rap,14,42.0,59586.545454545456
electro house,pop dance,14,46.5,270892.6
pop,progressive house,14,68.58333333333333,693901.3333333334
dance pop,reggaeton,14,70.0,299033.5
funk carioca,pop nacional,14,31.5,813627.9
pop dance,rap,14,53.72727272727273,534531.0909090909
funk carioca,funk pop,14,36.7,838035.7
edm,uk pop,14,62.72727272727273,609694.5454545454
dfw rap,rap,13,45.0,595431.8333333334
contemporary country,pop,13,37.75,480107.0833333333
edm,electro house,13,48.111111111111114,371222.1111111111
pop dance,pop dance,13,48.63636363636363,273603.7272727273
canadian pop,trap,13,55.54545454545455,506956.1818181818
dance pop,urbano latino,13,70.0,299033.5
conscious hip hop,hip hop,13,58.22222222222222,174256.66666666666
hip hop,neo soul,13,55.857142857142854,60196.142857142855
dance pop,hip hop,13,60.9,243690.4
chicago rap,rap,13,47.111111111111114,313068.8888888889
funk carioca,funk ostentacao,13,27.5,1226506.1
reggaeton flow,urbano latino,13,76.5,1996415.0
hip hop tuga,rap angolano,12,32.5,343901.6
pop,reggaeton colombiano,12,55.36363636363637,742617.6363636364
australian pop,pop,12,33.0,349334.5
melodic rap,southern hip hop,12,60.083333333333336,534376.6666666666
pop,post-teen pop,12,63.90909090909091,668723.5454545454
dance pop,dance pop,12,58.333333333333336,559155.3333333334
rap latina,urbano latino,12,68.0,402720.3333333333
funk pop,pop nacional,12,30.444444444444443,961732.4444444445
edm,trap,12,46.9,168892.7
electro house,rap,12,55.09090909090909,342466.0909090909
reggaeton,reggaeton flow,12,75.33333333333333,1573487.3333333333
melodic rap,melodic rap,11,50.90909090909091,290565.63636363635
rap,west coast rap,11,44.6,329528.2
hip pop,rap,11,39.875,62394.25
queens hip hop,rap,11,39.875,62394.25
rap,trap soul,11,42.55555555555556,500560.77777777775
melodic rap,slap house,11,43.3,300686.5
hip hop,trap latino,11,46.3,386981.3
gangster rap,hip hop,11,37.44444444444444,69105.66666666667
edm,edm,11,49.333333333333336,401530.6666666667
edm,progressive electro house,11,45.44444444444444,294516.44444444444
pop dance,progressive electro house,11,45.44444444444444,294516.44444444444
canadian hip hop,trap,11,52.6,459855.1
toronto rap,trap,11,52.6,459855.1
rap latina,reggaeton,11,67.6,481274.4
pop nacional,sertanejo universitario,11,30.4,556882.5
neo soul,rap,11,55.857142857142854,60196.142857142855
hip hop,indie soul,11,49.0,83106.2
miami hip hop,pop rap,11,66.7,370115.1
reggaeton flow,trap latino,11,76.5,1996415.0
hollywood,pop,10,55.75,301884.5
mississippi hip hop,trap,10,39.2,130946.2
australian pop,edm,10,28.22222222222222,318770.77777777775
indie poptimism,pop,10,38.375,404762.625
dfw rap,hip hop,10,30.6,751948.8
alt z,pop,10,34.625,109393.875
pop,viral pop,10,32.3,150151.3
florida drill,rap,10,54.142857142857146,232574.57142857142
florida rap,rap,10,54.142857142857146,232574.57142857142
atl hip hop,southern hip hop,10,51.55555555555556,164622.88888888888
hip hop,toronto rap,10,36.0,229592.0
latin pop,latin pop,10,54.4,267178.7
latin pop,reggaeton colombiano,10,61.3,230101.9
funk pop,sertanejo universitario,10,34.625,666184.5
dance pop,southern hip hop,10,67.42857142857143,346292.4285714286
dirty south rap,rap,10,60.625,76844.375
arrocha,sertanejo universitario,10,31.666666666666668,669236.2222222222
edm,pop rap,10,54.625,195198.25
pop dance,pop rap,10,54.125,339982.375
electro house,pop nacional,10,33.666666666666664,154572.0
metropopolis,pop,10,53.375,333753.75
emo rap,melodic rap,10,43.666666666666664,392845.6666666667
r&b,trap,10,54.166666666666664,175439.66666666666
dance pop,uk pop,10,50.142857142857146,744102.2857142857
east coast hip hop,rap,10,51.714285714285715,106192.71428571429
australian pop,pop dance,9,31.75,347823.75
latin hip hop,latin pop,9,40.25,280203.375
conscious hip hop,pop,9,39.77777777777778,526117.0
atl hip hop,atl hip hop,9,54.888888888888886,82398.55555555556
country,pop,9,30.5,325678.25
detroit hip hop,hip hop,9,56.0,255619.66666666666
detroit hip hop,pop,9,47.0,953852.8333333334
rap,uk pop,9,58.125,369942.625
big room,edm,9,55.666666666666664,480958.3333333333
big room,pop dance,9,55.666666666666664,480958.3333333333
dance pop,electro house,9,55.888888888888886,697521.3333333334
atl hip hop,canadian pop,9,60.625,309835.375
dance pop,latin pop,9,58.166666666666664,287411.3333333333
colombian pop,reggaeton,9,55.875,313048.125
colombian pop,urbano latino,9,55.875,313048.125
arrocha,pop nacional,9,28.77777777777778,603827.3333333334
indie soul,rap,9,49.0,83106.2
alt z,pop dance,9,43.375,105514.5
uk dance,uk pop,9,48.666666666666664,770822.4444444445
pop,tropical house,9,38.77777777777778,377253.44444444444
miami hip hop,pop,9,66.875,250888.875
atl hip hop,miami hip hop,9,55.55555555555556,276917.77777777775
funk ostentacao,sertanejo universitario,9,33.333333333333336,768835.4444444445
sertanejo universitario,sertanejo universitario,9,38.55555555555556,648637.7777777778
pop,pop nacional,9,35.57142857142857,711175.8571428572
art pop,hip hop,9,51.8,86717.8
dance pop,r&b,9,52.25,183761.375
electro house,trap,9,51.25,203070.25
pop dance,trap,9,44.42857142857143,137715.7142857143
canadian pop,pop rap,9,48.5,305454.8333333333
conscious hip hop,trap,9,60.166666666666664,279307.3333333333
melodic rap,miami hip hop,9,66.875,551660.625
pop,swedish pop,9,54.0,169404.55555555556
funk carioca,funk paulista,9,20.285714285714285,1194386.4285714286
batida,hip hop tuga,8,30.142857142857142,155310.14285714287
funana,hip hop tuga,8,30.142857142857142,155310.14285714287
funk pop,reggaeton,8,45.142857142857146,734406.8571428572
funk pop,urbano latino,8,45.142857142857146,734406.8571428572
australian dance,pop,8,32.875,496349.5
australian dance,edm,8,26.285714285714285,393039.85714285716
australian dance,pop dance,8,26.285714285714285,393039.85714285716
hip hop,hip pop,8,40.875,69962.625
hip hop,queens hip hop,8,40.875,69962.625
florida drill,hip hop,8,54.142857142857146,232574.57142857142
florida rap,hip hop,8,54.142857142857146,232574.57142857142
hip hop,west coast rap,8,59.142857142857146,95341.28571428571
brostep,pop,8,57.25,1469798.5
art pop,pop,8,61.833333333333336,401161.0
big room,dance pop,8,62.5,247954.0
dutch house,edm,8,46.142857142857146,373772.4285714286
dutch house,pop dance,8,46.142857142857146,373772.4285714286
dutch house,pop,8,62.4,521911.6
canadian hip hop,hip hop,8,45.0,256788.375
emo rap,hip hop,8,48.875,208096.875
latin viral pop,urbano latino,8,67.16666666666667,472661.0
pop,puerto rican pop,8,41.8,1063078.6
conscious hip hop,indie soul,8,49.0,83106.2
conscious hip hop,neo soul,8,49.0,83106.2
dance pop,trap latino,8,72.0,370972.5714285714
dirty south rap,trap,8,60.625,76844.375
trap,trap latino,8,47.375,253877.5
funk ostentacao,pop nacional,8,31.0,1027123.1428571428
funk pop,pop,8,41.333333333333336,798896.1666666666
pop,pop edm,8,52.5,133192.33333333334
art pop,rap,8,52.166666666666664,98204.66666666667
hollywood,show tunes,8,70.33333333333333,16330.0
arrocha,funk carioca,8,27.25,574119.375
house,pop,8,71.85714285714286,1100869.142857143
pop rap,r&b,8,61.333333333333336,354241.8333333333
funk carioca,pop,8,40.0,1184272.5
funk carioca,funk rj,8,51.833333333333336,899477.8333333334
czech hip hop,east coast hip hop,8,56.0,3280.0
czsk hip hop,east coast hip hop,8,56.0,3280.0
funk pop,reggaeton colombiano,7,45.142857142857146,734406.8571428572
latin hip hop,puerto rican pop,7,35.666666666666664,945984.0
atl hip hop,dfw rap,7,35.0,792300.2857142857
atl trap,rap,7,49.666666666666664,173976.66666666666
latin hip hop,reggaeton colombiano,7,51.0,950754.8
pop,trap soul,7,44.5,734523.1666666666
czech hip hop,pop,7,53.666666666666664,325402.1666666667
czsk hip hop,pop,7,53.666666666666664,325402.1666666667
portuguese pop,portuguese pop,7,17.0,201361.0
dutch edm,pop dance,7,46.833333333333336,474978.6666666667
latin viral pop,reggaeton,7,66.6,565203.2
rap latina,trap latino,7,70.5,158291.25
dance pop,melodic rap,7,50.142857142857146,513792.4285714286
canadian pop,pop dance,7,40.42857142857143,85549.0
florida drill,trap,7,54.142857142857146,232574.57142857142
florida rap,trap,7,54.142857142857146,232574.57142857142
trap tuga,trap tuga,7,17.0,253941.66666666666
rap,urban contemporary,7,39.8,148385.2
dance pop,pop nacional,7,25.0,180917.0
pop nacional,progressive electro house,7,41.25,22883.5
hip hop,indietronica,7,43.0,121051.66666666667
hip hop,uk alternative pop,7,43.0,121051.66666666667
hollywood,movie tunes,7,67.66666666666667,171670.66666666666
hollywood,post-teen pop,7,70.33333333333333,109161.66666666667
electro house,electropop,7,19.833333333333332,30725.166666666668
edm,r&b,7,52.857142857142854,289699.0
chicago rap,trap,7,70.66666666666667,421199.8333333333
edm,hip hop,7,68.0,179234.16666666666
new orleans rap,rap,7,65.0,67419.8
hip hop tuga,rap criolo,7,22.4,60355.6
atl hip hop,r&b,7,54.166666666666664,175439.66666666666
rap,reggaeton,7,50.6,1798288.0
rap,urbano latino,7,50.6,1798288.0
mexican pop,reggaeton,7,47.833333333333336,339842.3333333333
mexican pop,urbano latino,7,47.833333333333336,339842.3333333333
czech hip hop,hardcore hip hop,7,56.0,3280.0
czsk hip hop,hardcore hip hop,7,56.0,3280.0
hip hop,slap house,7,49.8,38104.4
indie pop rap,rap,7,68.25,319682.0
art pop,hollywood,6,51.5,348416.1666666667
dance pop,hollywood,6,51.5,348416.1666666667
mississippi hip hop,rap,6,39.2,130946.2
funk rj,reggaeton,6,48.4,776295.8
funk rj,urbano latino,6,48.4,776295.8
pagode baiano,reggaeton,6,48.4,776295.8
pagode baiano,urbano latino,6,48.4,776295.8
pop nacional,reggaeton,6,48.4,776295.8
pop nacional,urbano latino,6,48.4,776295.8
pop,west coast rap,6,24.666666666666668,620457.1666666666
pop,rock,6,52.666666666666664,257806.83333333334
hip pop,trap,6,44.666666666666664,82517.0
queens hip hop,trap,6,44.666666666666664,82517.0
hip hop,south african hip hop,6,31.0,36912.5
rap,south african hip hop,6,31.0,36912.5
southern hip hop,southern hip hop,6,47.833333333333336,82182.16666666667
edm,post-teen pop,6,63.0,800681.3333333334
contemporary country,dance pop,6,54.333333333333336,522112.8333333333
atl hip hop,canadian hip hop,6,60.6,293782.4
atl hip hop,toronto rap,6,60.6,293782.4
dance pop,progressive house,6,70.33333333333333,844274.5
dutch edm,edm,6,44.4,564386.8
dutch edm,pop,6,72.0,745184.5
etherpop,pop,6,76.0,696891.75
colombian pop,latin pop,6,58.8,215722.2
colombian pop,reggaeton colombiano,6,58.8,215722.2
