Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,812,30.602739726027398,418870.90410958906
trap latino,urbano latino,714,31.069767441860463,417950.1782945736
reggaeton,trap latino,711,30.96212121212121,425428.0833333333
urbano latino,urbano latino,407,30.176470588235293,412498.2867647059
reggaeton,reggaeton,405,29.77536231884058,427899.46376811597
trap latino,trap latino,321,28.835164835164836,378627.04395604396
latin hip hop,reggaeton,185,32.053333333333335,439223.0133333333
latin hip hop,urbano latino,185,32.12328767123287,430161.79452054796
reggaeton flow,urbano latino,171,33.0,308402.1176470588
reggaeton,reggaeton flow,169,33.0,308402.1176470588
reggaeton flow,trap latino,168,33.0,308402.1176470588
latin hip hop,trap latino,145,32.101694915254235,407946.8813559322
puerto rican pop,reggaeton,80,31.317073170731707,561220.3414634146
latin pop,reggaeton,79,37.91525423728814,454851.72881355934
puerto rican pop,urbano latino,78,32.425,547134.425
latin pop,urbano latino,78,38.672413793103445,463870.3793103448
pop,rap,71,24.704545454545453,100415.45454545454
reggaeton,reggaeton colombiano,66,29.475,467640.75
reggaeton colombiano,urbano latino,66,28.36842105263158,501546.7368421053
pop,pop,62,36.839285714285715,200410.48214285713
puerto rican pop,trap latino,54,28.0,614634.75
latin pop,trap latino,50,38.60526315789474,492119.7631578947
reggaeton colombiano,trap latino,46,29.88888888888889,462805.7037037037
dance pop,pop,43,39.23076923076923,202053.96153846153
hip hop,pop,42,30.928571428571427,110932.96428571429
pop,urbano latino,42,31.535714285714285,266987.85714285716
pop,reggaeton,41,30.964285714285715,258470.4642857143
pop,trap,40,31.285714285714285,112849.82142857143
edm,pop,39,35.5,154443.4705882353
pop,pop dance,38,28.6875,151359.125
hip hop,rap,38,37.94736842105263,111562.31578947368
rap,trap,37,38.26315789473684,108668.15789473684
dance pop,urbano latino,35,38.333333333333336,322784.625
dance pop,reggaeton,33,36.78260869565217,325492.2173913043
latin hip hop,reggaeton flow,32,32.2,359317.75
colombian pop,latin pop,31,31.428571428571427,380946.09523809527
dance pop,rap,30,39.23076923076923,146460.38461538462
rap,rap,30,36.4,76096.8
pop,trap latino,30,28.25,287984.25
rap,reggaeton,29,25.066666666666666,34460.46666666667
pop rap,rap,29,60.3,165316.0
rap,urbano latino,28,22.714285714285715,35348.857142857145
colombian pop,reggaeton,28,35.22727272727273,439955.6818181818
pop,pop rap,28,45.05555555555556,145000.94444444444
rap,trap latino,27,19.46153846153846,30683.30769230769
atl hip hop,pop,27,25.454545454545453,88413.09090909091
hip hop,trap,26,33.38461538461539,56152.38461538462
latin hip hop,latin pop,26,37.541666666666664,437400.375
colombian pop,urbano latino,26,36.45,453608.85
latin pop,latin pop,24,39.77272727272727,372955.6818181818
dance pop,trap latino,24,30.235294117647058,284142.82352941175
latin pop,reggaeton colombiano,24,39.05,476750.8
reggaeton flow,reggaeton flow,23,40.46153846153846,372700.0
latin hip hop,puerto rican pop,23,22.545454545454547,585860.5454545454
melodic rap,rap,20,29.6,80111.46666666666
pop rap,trap,20,53.0,98117.57142857143
electro house,pop,19,26.705882352941178,73113.64705882352
hip hop,melodic rap,18,25.642857142857142,79120.92857142857
latin hip hop,reggaeton colombiano,18,34.86666666666667,403148.2
hip hop,pop rap,18,50.666666666666664,110127.66666666667
reggaeton,trap,17,22.083333333333332,39567.416666666664
trap,urbano latino,17,22.083333333333332,39567.416666666664
dance pop,trap,17,39.54545454545455,161667.54545454544
melodic rap,pop,17,29.25,88554.25
dance pop,pop dance,17,25.1875,132916.5625
atl hip hop,rap,17,27.307692307692307,71419.92307692308
latin hip hop,latin hip hop,17,26.0,233794.66666666666
trap,trap latino,16,18.181818181818183,34437.09090909091
dance pop,edm,16,32.2,127925.13333333333
edm,rap,16,29.4,66315.7
electro house,rap,16,29.4,66315.7
pop,r&b,16,39.0,144219.83333333334
colombian pop,reggaeton colombiano,16,34.416666666666664,463210.4166666667
dance pop,hip hop,15,41.22222222222222,148636.66666666666
latin pop,pop,15,31.928571428571427,246828.92857142858
atl hip hop,dance pop,14,30.77777777777778,69605.44444444444
pop,reggaeton colombiano,14,40.90909090909091,365608.54545454547
pop dance,rap,13,8.571428571428571,17839.85714285714
puerto rican pop,reggaeton flow,13,27.77777777777778,420444.77777777775
hip hop,reggaeton,13,29.363636363636363,30291.454545454544
