Source,Target,Weight,Avg_Popularity,Avg_Streams
romanian trap,romanian trap,49,32.87179487179487,150759.2564102564
rap,trap,42,42.0,46408.4375
atl hip hop,rap,32,38.785714285714285,49706.5
atl hip hop,trap,27,30.0,59657.63636363636
rap,rap,26,48.0,51750.555555555555
melodic rap,rap,24,34.416666666666664,61187.75
hip hop,rap,21,62.0,82634.41666666667
melodic rap,trap,21,24.5,65373.9
trap,trap,17,30.0,59657.63636363636
atl hip hop,melodic rap,16,27.22222222222222,72249.0
hip hop,trap,15,51.55555555555556,71399.11111111111
movie tunes,movie tunes,15,78.0,132897.0
romanian rap,romanian trap,14,28.636363636363637,71702.63636363637
gangster rap,rap,13,60.875,107973.625
pop,pop,13,74.07692307692308,159478.46153846153
romanian pop,romanian pop,13,49.125,173291.875
atl hip hop,atl hip hop,11,23.857142857142858,85440.14285714286
atl hip hop,hip hop,11,47.857142857142854,85135.42857142857
manele,manele,11,49.714285714285715,91024.85714285714
pop,rap,11,68.0909090909091,149204.72727272726
hip hop,melodic rap,10,47.857142857142854,94951.57142857143
gangster rap,hip hop,10,69.57142857142857,122640.57142857143
atl trap,rap,10,42.142857142857146,87435.57142857143
romanian pop,romanian rap,9,41.625,210399.125
pop dance,uk dance,9,79.6,55230.8
rap,southern hip hop,8,45.6,121446.8
canadian pop,rap,8,78.71428571428571,83242.42857142857
atl hip hop,atl trap,7,33.0,116339.6
atl hip hop,gangster rap,7,50.0,115112.8
atl trap,trap,7,33.0,116339.6
gangster rap,trap,7,50.0,115112.8
romanian pop,romanian trap,7,39.0,190139.42857142858
dance pop,pop,7,79.5,136493.16666666666
canadian hip hop,rap,7,82.4,58419.4
rap,toronto rap,7,82.4,58419.4
canadian hip hop,trap,7,81.25,63966.25
toronto rap,trap,7,81.25,63966.25
moldovan pop,romanian pop,7,49.5,252035.5
atl hip hop,southern hip hop,6,41.25,142928.25
melodic rap,southern hip hop,6,41.25,142928.25
southern hip hop,trap,6,41.25,142928.25
hip hop,pop,6,63.333333333333336,199825.66666666666
canadian pop,trap,6,79.25,71873.5
hip hop,hip hop,6,81.33333333333333,87166.83333333333
melodic rap,melodic rap,5,32.8,85836.0
pop,trap,5,70.4,74896.8
canadian contemporary r&b,pop,5,68.0,148255.0
canadian pop,hip hop,5,77.8,79917.6
dance pop,uk pop,5,81.66666666666667,19305.0
manele,romanian pop,5,49.0,2285.3333333333335
uk dance,uk dance,5,79.6,55230.8
pop rap,rap,5,75.66666666666667,58731.333333333336
atl hip hop,canadian hip hop,5,81.25,63966.25
atl hip hop,toronto rap,5,81.25,63966.25
edm,pop,5,70.4,266931.2
pop dance,uk pop,5,78.33333333333333,14601.333333333334
uk dance,uk pop,5,78.33333333333333,14601.333333333334
pop,pop dance,5,66.75,330918.25
romanian house,romanian pop,5,49.0,114108.66666666667
modern salsa,movie tunes,5,78.0,132897.0
movie tunes,salsa colombiana,5,78.0,132897.0
hollywood,movie tunes,5,78.0,132897.0
atl trap,hip hop,4,55.0,189254.66666666666
atl trap,melodic rap,4,21.5,96412.25
canadian pop,pop,4,63.75,184681.5
pop,uk pop,4,78.0,19465.75
pop dance,pop dance,4,78.75,12174.75
german dance,pop dance,4,76.0,14178.0
german dance,uk dance,4,76.0,14178.0
