Source,Target,Weight,Avg_Popularity,Avg_Streams
russian hip hop,russian trap,397,24.338461538461537,1292199.0358974359
russian hip hop,russian hip hop,232,25.107784431137723,1523276.9041916167
russian drill,russian hip hop,213,24.82857142857143,997276.0952380953
russian drill,russian trap,213,23.225806451612904,1032012.2688172043
russian trap,russian trap,186,23.659420289855074,1592836.7681159421
russian hip hop,russian pop,97,33.18333333333333,1151916.45
russian drill,russian drill,88,23.6,1287657.0363636364
kazakh hip hop,russian hip hop,74,36.21621621621622,998020.0810810811
rap,trap,69,63.78125,218494.125
rap,rap,57,66.51282051282051,228458.35897435897
hip hop,rap,55,70.4074074074074,112192.66666666667
kazakh hip hop,russian trap,51,34.3,993920.2666666667
russian pop,russian trap,48,32.125,1250703.75
russian dance,russian hip hop,44,35.77272727272727,1969261.1818181819
russian alt pop,russian hip hop,43,30.024390243902438,823360.9512195121
russian dance,russian pop,43,33.875,1511186.4166666667
russian emo rap,russian hip hop,39,18.31578947368421,2610297.9210526315
melodic rap,rap,39,58.333333333333336,337022.6666666667
russian pop,russian pop,39,33.21875,1342332.65625
russian drain,russian trap,36,21.892857142857142,932173.9642857143
russian drain,russian hip hop,35,24.903225806451612,844228.3225806452
atl hip hop,rap,34,64.4,293772.9
russian emo rap,russian trap,33,13.272727272727273,2827233.393939394
pop,pop,31,63.44,479602.76
central asian hip hop,russian hip hop,30,42.857142857142854,1384809.142857143
hip hop,trap,29,68.04761904761905,108928.57142857143
russian drill,russian pop,28,28.4,1383754.1333333333
pop rap,rap,25,67.08333333333333,193894.0
melodic rap,trap,25,58.07692307692308,276360.92307692306
russian alt pop,russian trap,24,32.05,774527.2
russian drain,russian drill,23,16.68421052631579,912038.4736842106
atl hip hop,trap,20,64.61538461538461,387453.3076923077
russian dance,russian trap,20,25.1,1325948.3
central asian hip hop,russian trap,19,43.09090909090909,1570155.7272727273
russian hip hop,russian viral rap,19,25.266666666666666,1260362.0
pop,rap,19,63.666666666666664,783778.2
atl trap,rap,18,69.8,118802.4
trap,trap,18,62.92857142857143,239971.85714285713
canadian hip hop,rap,18,74.5,266403.71428571426
dance pop,pop,18,62.416666666666664,430216.4166666667
kazakh pop,russian hip hop,18,38.083333333333336,1192668.0833333333
russian electronic,russian hip hop,17,30.176470588235293,734902.4705882353
pop rap,trap,17,64.375,265625.5
atl hip hop,melodic rap,17,59.15384615384615,406508.46153846156
gangster rap,rap,17,68.81818181818181,87446.18181818182
canadian pop,rap,17,74.57142857142857,150137.57142857142
rap,toronto rap,17,75.76923076923077,278125.07692307694
hip hop,hip hop,16,73.0,93554.875
pop,pop dance,16,48.2,217329.3
russian hip hop,russian rave,16,8.461538461538462,576512.0769230769
russian gangster rap,russian hip hop,16,21.0,2221845.875
russian hip hop,russian underground rap,15,29.333333333333332,683359.5333333333
canadian hip hop,trap,15,74.0909090909091,299252.36363636365
kazakh hip hop,russian pop,15,35.5,1583024.1666666667
melodic rap,pop rap,14,65.71428571428571,301481.85714285716
central asian hip hop,kazakh hip hop,14,40.2,1482045.1
atl hip hop,hip hop,14,74.33333333333333,130234.44444444444
toronto rap,trap,14,75.7,317775.0
russian trap,russian viral rap,14,28.0,1349168.2727272727
canadian pop,trap,13,73.7,133969.0
edm,pop,13,49.111111111111114,221322.55555555556
kazakh hip hop,kazakh hip hop,12,40.2,1482045.1
atl hip hop,canadian hip hop,12,74.4,321987.9
russian dance,russian dance,12,33.4,2399460.0
atl hip hop,pop rap,11,65.71428571428571,301481.85714285716
atl hip hop,canadian pop,11,74.0,140865.88888888888
hip hop,melodic rap,11,62.57142857142857,194585.14285714287
atl hip hop,toronto rap,11,76.22222222222223,345094.77777777775
rap,slap house,11,58.77777777777778,731668.0
russian drain,russian hyperpop,11,35.22222222222222,1464217.7777777778
russian electronic,russian trap,10,37.4,418146.1
russian alt pop,russian alt pop,10,43.6,1157480.9
melodic rap,melodic rap,10,59.5,247615.4
atl trap,melodic rap,10,64.0,40448.0
atl trap,trap,10,65.16666666666667,108978.0
gangster rap,hip hop,10,72.57142857142857,113417.57142857143
rage rap,rap,10,57.857142857142854,356130.0
russian drain,russian drain,10,31.5,1427512.4
rap,southern hip hop,10,69.16666666666667,122152.5
atl hip hop,atl trap,9,67.2,128199.2
rage rap,trap,9,55.666666666666664,393311.5
kazakh indie,russian hip hop,9,43.0,385345.5
canadian hip hop,hip hop,9,74.44444444444444,135812.66666666666
