Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,144,67.05970149253731,122762.6119402985
hip hop,rap,134,70.28787878787878,118337.93939393939
rap,rap,132,68.94047619047619,125286.79761904762
melodic rap,rap,73,66.27777777777777,172984.25
hip hop,trap,67,68.17391304347827,110619.63043478261
atl hip hop,rap,62,69.74358974358974,140365.33333333334
pop rap,rap,58,70.13333333333334,121022.2
pop,pop,52,69.46,196158.6
pop,rap,46,64.06060606060606,238794.0
melodic rap,trap,41,65.24,184183.36
hip hop,hip hop,36,72.08823529411765,90857.20588235294
canadian pop,rap,33,67.88888888888889,93228.96296296296
trap,trap,33,65.68,182593.0
atl hip hop,hip hop,31,72.91304347826087,135104.34782608695
canadian hip hop,rap,31,71.21739130434783,171111.4347826087
pop rap,trap,30,68.11764705882354,150168.70588235295
rap,toronto rap,30,71.81818181818181,178064.13636363635
gangster rap,rap,29,69.77777777777777,74728.88888888889
atl hip hop,trap,29,68.1,163110.85
hip hop,pop rap,29,70.36363636363636,80389.77272727272
atl trap,rap,28,73.77777777777777,132926.27777777778
hip hop,melodic rap,27,69.57894736842105,197513.05263157896
chicago rap,rap,27,60.53333333333333,104120.66666666667
canadian hip hop,trap,24,73.38888888888889,193845.5
toronto rap,trap,23,74.29411764705883,204180.41176470587
hip hop,pop,22,57.470588235294116,265357.0
canadian pop,trap,22,72.38888888888889,98114.66666666667
atl hip hop,melodic rap,22,66.05263157894737,147083.68421052632
gangster rap,hip hop,21,70.6,84747.4
canadian hip hop,hip hop,21,70.36842105263158,112893.63157894737
canadian pop,hip hop,21,73.15789473684211,100197.52631578948
hip hop,toronto rap,21,70.36842105263158,112893.63157894737
melodic rap,pop rap,20,69.33333333333333,230317.58333333334
rap,southern hip hop,19,68.4,85513.33333333333
atl trap,hip hop,18,74.57142857142857,165129.0
north carolina hip hop,rap,18,71.45454545454545,234714.0909090909
r&b,rap,18,67.53846153846153,84057.30769230769
uk drill,uk hip hop,17,68.33333333333333,280756.6666666667
chicago rap,trap,16,52.7,14702.3
uk hip hop,uk hip hop,16,60.0,145979.0
pop,trap,16,73.16666666666667,271146.3333333333
melodic rap,melodic rap,15,61.86666666666667,154131.86666666667
trap,uk hip hop,15,59.42857142857143,97626.0
atl hip hop,pop rap,14,70.72727272727273,204431.63636363635
dance pop,pop,14,77.83333333333333,344929.0833333333
brooklyn drill,rap,14,65.55555555555556,170588.55555555556
rap,slap house,13,73.1,280125.5
atl hip hop,canadian hip hop,13,74.54545454545455,259783.0
atl hip hop,canadian pop,13,73.45454545454545,125220.63636363637
canadian pop,pop,13,74.75,213197.5
chicago drill,rap,13,57.5,49848.875
drill,rap,13,57.5,49848.875
edm,pop,13,69.33333333333333,62197.333333333336
atl hip hop,toronto rap,12,76.2,283946.1
hip hop,southern hip hop,12,66.63636363636364,86198.54545454546
k-pop,pop,12,50.2,95227.8
pop,trap queen,12,63.09090909090909,92910.81818181818
canadian hip hop,pop rap,12,72.18181818181819,171800.36363636365
london rap,uk hip hop,12,69.0,284307.0
melodic rap,pop,12,55.666666666666664,81491.25
pop,pop dance,12,67.8,58799.9
conscious hip hop,rap,11,69.8,33538.3
rage rap,rap,11,62.75,39492.125
khaliji,khaliji,11,18.454545454545453,251808.81818181818
pop rap,toronto rap,11,71.8,188596.1
brooklyn drill,trap,11,63.75,186712.625
chicago rap,hip hop,11,64.44444444444444,160869.33333333334
atl trap,trap,10,71.8,129565.3
gangster rap,trap,10,66.9,58329.5
canadian pop,pop rap,10,70.6,15748.2
rap,trap queen,10,64.4,60406.2
dfw rap,rap,10,77.0,59120.5
gangster rap,pop rap,9,67.75,78265.875
canadian pop,melodic rap,9,54.875,87589.875
rage rap,trap,9,58.666666666666664,49643.0
melodic drill,uk hip hop,9,68.33333333333333,280756.6666666667
london rap,uk drill,9,68.33333333333333,280756.6666666667
houston rap,pop,9,59.5,103090.5
brooklyn drill,uk hip hop,9,64.33333333333333,191698.33333333334
north carolina hip hop,trap,9,73.25,319599.375
pop,pop rap,9,71.625,65511.125
hip hop,r&b,9,70.42857142857143,46550.42857142857
slap house,trap,8,69.66666666666667,110313.5
dance pop,neo soul,8,4.25,210529.25
neo soul,pop,8,4.25,210529.25
canadian hip hop,gangster rap,8,72.25,75651.25
canadian pop,gangster rap,8,72.25,75651.25
atl trap,melodic rap,8,70.0,20843.5
chicago rap,melodic rap,8,45.2,17216.0
khaliji,sheilat,8,2.8,484722.0
rap,uk hip hop,8,56.0,22695.666666666668
chicago drill,trap,8,48.4,8768.8
drill,trap,8,48.4,8768.8
new york drill,uk hip hop,8,69.0,284307.0
dance pop,rap,8,76.85714285714286,807821.2857142857
dfw rap,trap,8,77.5,110389.0
dance pop,hip hop,7,37.0,520977.0
atl trap,pop rap,7,69.0,93587.42857142857
gangster rap,toronto rap,7,74.28571428571429,83865.42857142857
melodic rap,rage rap,7,55.4,58483.2
conscious hip hop,hip hop,7,69.42857142857143,34334.0
new orleans rap,rap,7,68.33333333333333,90864.33333333333
dirty south rap,rap,7,69.5,46225.75
grime,uk hip hop,7,60.666666666666664,190494.33333333334
manchester hip hop,uk hip hop,7,60.666666666666664,190494.33333333334
chicago rap,pop,7,43.142857142857146,66062.28571428571
miami hip hop,rap,7,70.5,28889.25
pop,reggaeton,7,58.666666666666664,48723.666666666664
pop,trap latino,7,58.666666666666664,48723.666666666664
pop,urbano latino,7,58.666666666666664,48723.666666666664
kentucky hip hop,rap,7,71.25,75004.5
atl hip hop,slap house,6,70.2,130784.8
melodic rap,slap house,6,70.2,243917.4
atl trap,canadian hip hop,6,74.33333333333333,114449.33333333333
canadian hip hop,melodic rap,6,72.2,379320.6
atl trap,canadian pop,6,74.33333333333333,114449.33333333333
atl hip hop,atl hip hop,6,70.0,66314.0
gangster rap,melodic rap,6,67.5,20277.833333333332
canadian hip hop,southern hip hop,6,72.5,152287.83333333334
canadian pop,southern hip hop,6,72.5,152287.83333333334
southern hip hop,toronto rap,6,72.5,152287.83333333334
k-pop boy group,pop,6,47.166666666666664,117389.66666666667
queens hip hop,rap,6,67.25,9394.0
rap,underground hip hop,6,67.25,13660.5
hip hop,slap house,6,75.66666666666667,359765.5
sheilat,sheilat,6,0.0,410323.1666666667
conscious hip hop,pop rap,6,63.166666666666664,18212.833333333332
dirty south rap,hip hop,6,69.5,46225.75
hip hop,uk hip hop,6,55.6,22953.6
trap,trap queen,6,56.666666666666664,22703.0
canadian pop,chicago rap,6,50.0,70569.66666666667
chicago drill,hip hop,6,73.25,86396.5
drill,hip hop,6,73.25,86396.5
afrobeats,uk hip hop,6,69.0,284307.0
afroswing,uk hip hop,6,69.0,284307.0
detroit hip hop,rap,6,73.8,222406.2
dfw rap,hip hop,6,75.6,88551.4
atl hip hop,pop,6,70.4,28902.6
canadian trap,rap,6,68.66666666666667,589761.3333333334
north carolina hip hop,pop rap,6,68.8,74273.6
pop,uk pop,6,75.66666666666667,131708.5
deep underground hip hop,rap,6,68.66666666666667,94765.0
atl trap,slap house,5,70.2,130784.8
escape room,pop,5,17.6,168840.2
atl trap,toronto rap,5,77.6,133708.8
melodic rap,toronto rap,5,75.75,469612.75
atl hip hop,atl trap,5,74.2,76501.6
atl hip hop,gangster rap,5,73.8,105686.4
hip hop,queens hip hop,5,67.25,9394.0
pluggnb,rap,5,59.4,57656.8
london rap,melodic drill,5,68.33333333333333,280756.6666666667
australian dance,pop,5,74.8,140093.8
brooklyn drill,melodic rap,5,64.8,137008.0
atl hip hop,north carolina hip hop,5,75.8,209294.4
pop,r&b,5,80.0,857982.0
k-pop,rap,5,37.75,65408.0
brostep,pop,5,74.4,38903.0
philly rap,rap,5,67.75,10362.5
electropop,pop,5,57.4,364807.6
pop,uk dance,5,75.5,22576.25
houston rap,rap,5,74.5,134980.5
east coast hip hop,rap,5,62.5,16160.0
canadian trap,trap,5,68.66666666666667,589761.3333333334
khaleeji iraqi,khaliji,5,21.5,80745.25
brooklyn drill,hip hop,5,66.5,212564.25
pop,post-teen pop,5,65.4,37068.2
deep underground hip hop,hip hop,5,68.66666666666667,94765.0
hip hop,kentucky hip hop,5,68.66666666666667,94765.0
deep underground hip hop,trap,5,68.66666666666667,94765.0
kentucky hip hop,trap,5,68.66666666666667,94765.0
