Source,Target,Weight,Avg_Popularity,Avg_Streams
swedish hip hop,swedish trap pop,500,32.84023668639053,1395878.5207100592
swedish gangsta rap,swedish trap pop,341,33.00694444444444,1455323.4652777778
swedish gangsta rap,swedish hip hop,334,32.957142857142856,1454848.2428571428
swedish trap,swedish trap pop,284,34.984375,1516964.203125
swedish hip hop,swedish trap,278,35.41463414634146,1558322.6016260162
swedish trap pop,swedish trap pop,260,32.90184049079755,1396792.9938650306
swedish hip hop,swedish hip hop,250,32.91925465838509,1407163.1552795032
swedish gangsta rap,swedish trap,205,33.842696629213485,1674558.0
rap,trap,167,62.48936170212766,1719245.085106383
hip hop,rap,126,66.08333333333333,1556406.5208333333
rap,rap,125,66.31147540983606,1915722.7049180327
swedish gangsta rap,swedish gangsta rap,121,33.43181818181818,1608889.2727272727
swedish drill,swedish trap pop,118,28.93421052631579,1578444.6710526317
swedish drill,swedish hip hop,112,29.842105263157894,1682396.605263158
swedish trap,swedish trap,90,32.77777777777778,1595044.4126984128
pop rap,rap,87,59.75,1387074.8333333333
hip hop,trap,78,64.8,2240901.96
swedish drill,swedish gangsta rap,77,28.586206896551722,1785011.8448275863
pop,pop,75,58.31506849315068,1222705.8356164384
rap,southern hip hop,73,57.93333333333333,769502.0
melodic rap,rap,70,63.5,1808047.1666666667
pop rap,trap,66,65.07692307692308,1756370.1538461538
swedish drill,swedish trap,63,27.652173913043477,1606214.847826087
pop,rap,59,57.68,1339796.26
southern hip hop,trap,56,61.57142857142857,591001.8571428572
trap,trap,55,66.9,2611640.3
atl hip hop,rap,54,65.82142857142857,1132578.642857143
swedish pop,swedish pop,46,32.875,2674411.275
gangster rap,rap,45,57.81818181818182,824881.7272727273
hip hop,southern hip hop,44,51.333333333333336,1211580.0
dance pop,pop,44,59.628571428571426,851954.7714285714
hip hop,pop rap,42,57.4,1280650.0
pop rap,southern hip hop,40,45.0,25394.5
melodic rap,trap,39,61.357142857142854,1706897.1785714286
edm,pop,39,49.794117647058826,1010387.1764705882
pop,pop dance,37,45.43333333333333,1063535.6
swedish idol pop,swedish pop,37,35.2962962962963,2998337.6296296297
hip hop,hip hop,35,62.714285714285715,1192990.1904761905
swedish hip hop,swedish pop,35,32.82608695652174,1986820.8695652173
