Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,123,51.862385321100916,1340172.8440366972
pop,rap,96,52.07462686567164,656706.9402985075
rap,rap,63,51.93333333333333,497502.26666666666
rap,trap,57,55.25,604354.78125
hip hop,rap,56,54.76315789473684,218119.68421052632
edm,pop,53,54.11363636363637,886186.0454545454
pop,pop dance,52,48.26190476190476,657403.2380952381
hip hop,pop,48,47.205128205128204,188573.53846153847
pop,trap,45,49.6578947368421,700413.7105263158
melodic rap,rap,44,49.310344827586206,623928.1034482758
singaporean pop,singaporean pop,34,23.0,38507.333333333336
electro house,pop,30,48.291666666666664,726353.9583333334
pop,uk pop,30,57.111111111111114,1281469.851851852
pop,pop rap,30,49.73076923076923,245361.23076923078
electropop,pop,29,38.888888888888886,1378833.7777777778
dance pop,pop,29,61.57692307692308,1409560.7692307692
pop rap,rap,28,59.85,173606.2
pop,reggaeton,25,62.92857142857143,814157.3571428572
singaporean hip hop,singaporean pop,25,34.5,29504.0
atl hip hop,rap,24,50.42857142857143,453868.71428571426
pop,urbano latino,24,63.0,801481.2857142857
singaporean mandopop,singaporean pop,24,32.0,26451.0
dfw rap,rap,23,42.578947368421055,811395.4210526316
melodic rap,trap,23,50.1578947368421,813000.947368421
hip hop,melodic rap,23,52.6,197723.8
pop,trap latino,23,63.0,801481.2857142857
melodic rap,pop,22,55.31818181818182,1118320.5909090908
pop dance,uk pop,22,50.05263157894737,1026929.6315789474
pop,r&b,22,51.55,595449.6
rap,southern hip hop,20,54.2,200188.53333333333
reggaeton,urbano latino,20,74.8,332813.6
hip hop,trap,19,63.8,276146.5333333333
atl hip hop,pop,19,44.8235294117647,534229.9411764706
reggaeton,trap latino,19,74.8,332813.6
trap latino,urbano latino,19,74.8,332813.6
alt z,pop,18,46.4,558524.8666666667
canadian pop,pop,18,49.86666666666667,1441669.6
pop,southern hip hop,18,42.0,95676.78571428571
r&b,rap,18,55.9375,157749.0625
pop,uk dance,17,63.294117647058826,780557.5882352941
dfw rap,trap,16,48.714285714285715,1036181.5
edm,uk pop,16,51.4375,1098661.3125
rap,reggaeton,16,59.27272727272727,402843.54545454547
rap,trap latino,16,59.90909090909091,393312.0
rap,urbano latino,16,59.27272727272727,402843.54545454547
rap,uk pop,16,65.16666666666667,1012051.9166666666
rock kapak,singaporean pop,16,39.0,49682.0
rap,slap house,15,51.54545454545455,202869.0909090909
mandopop,singaporean pop,15,52.0,1370733.5
classic mandopop,singaporean pop,15,39.0,49682.0
classic malaysian pop,singaporean pop,15,39.0,49682.0
moombahton,pop,14,39.125,846925.75
dfw rap,hip hop,14,44.46153846153846,156548.84615384616
pop,slap house,14,37.18181818181818,305910.0
contemporary country,pop,14,68.9090909090909,1264142.1818181819
k-pop,pop,13,45.18181818181818,1460103.4545454546
rap,singer-songwriter pop,13,63.55555555555556,663925.0
indie poptimism,pop,12,46.18181818181818,1657770.9090909092
atl trap,rap,12,51.375,671880.625
hip hop,r&b,12,56.36363636363637,176013.45454545456
canadian pop,rap,12,46.5,395474.6
movie tunes,show tunes,12,69.0,335076.25
atl hip hop,hip hop,11,60.22222222222222,143013.44444444444
trap,trap,11,51.55555555555556,146614.77777777778
pop,pop r&b,11,71.3,1708655.4
pop,post-teen pop,11,70.66666666666667,1738557.111111111
pop,swedish pop,11,58.666666666666664,664992.6666666666
gangster rap,rap,10,59.625,811784.5
alt z,pop dance,10,45.55555555555556,754568.6666666666
atl hip hop,trap,10,45.0,129483.66666666667
pop rap,trap,10,59.888888888888886,188409.88888888888
atl hip hop,melodic rap,10,42.111111111111114,622229.0
melodic rap,pop rap,10,60.0,197814.7
reggaeton,reggaeton,10,74.8,332813.6
urbano latino,urbano latino,10,74.8,332813.6
uk dance,uk pop,10,65.55555555555556,355243.0
pop,progressive electro house,10,59.9,1267887.7
pop dance,pop dance,10,67.375,258427.625
dance pop,edm,10,64.0,323084.1
dance pop,pop dance,10,61.22222222222222,352276.55555555556
edm,pop dance,10,63.5,330549.5
singaporean hip hop,singaporean mandopop,10,34.5,29504.0
melodic rap,slap house,9,53.75,210215.875
alt z,electropop,9,38.77777777777778,477212.22222222225
edm,reggaeton,9,56.666666666666664,536833.5
edm,urbano latino,9,56.666666666666664,536833.5
pop dance,reggaeton,9,56.666666666666664,536833.5
pop dance,urbano latino,9,56.666666666666664,536833.5
edm,rap,9,57.625,1035787.625
pop,pop soul,9,60.0,568040.4444444445
pop,singer-songwriter pop,9,71.75,1529077.375
reggaeton,reggaeton colombiano,9,77.0,412583.75
reggaeton colombiano,trap latino,9,77.0,412583.75
trap latino,trap latino,9,77.0,412583.75
reggaeton colombiano,urbano latino,9,77.0,412583.75
pop dance,uk dance,9,75.66666666666667,397088.0
hollywood,movie tunes,9,69.66666666666667,336455.6666666667
movie tunes,movie tunes,9,67.25,338636.0
country,pop,9,68.75,1318994.0
hip hop,hip hop,9,67.22222222222223,278551.8888888889
boy band,pop,8,17.875,822915.25
australian pop,pop,8,35.125,1269338.5
atl trap,hip hop,8,58.142857142857146,125493.28571428571
pop,reggaeton colombiano,8,60.142857142857146,387781.5714285714
pop rap,reggaeton,8,55.857142857142854,304383.14285714284
reggaeton,trap,8,52.666666666666664,276400.3333333333
hip hop,trap latino,8,49.142857142857146,262993.14285714284
pop rap,urbano latino,8,55.857142857142854,304383.14285714284
trap,urbano latino,8,52.666666666666664,276400.3333333333
pop,rock,8,45.57142857142857,529159.0
mandopop,taiwan pop,8,55.75,1548939.625
house,pop,8,70.0,883943.4285714285
art pop,pop,8,56.833333333333336,1317810.3333333333
brostep,pop,8,73.57142857142857,1617542.7142857143
miami hip hop,rap,8,69.0,230795.5
hip hop,pop rap,8,67.42857142857143,153877.0
malay rap,singaporean pop,8,39.0,49682.0
singaporean pop,tamil pop,8,39.0,49682.0
boy band,electropop,7,10.428571428571429,727696.4285714285
gangster rap,hip hop,7,69.66666666666667,293518.3333333333
slap house,trap,7,72.0,180967.8
alt z,edm,7,45.666666666666664,839535.3333333334
edm,trap latino,7,56.666666666666664,536833.5
pop dance,trap latino,7,56.666666666666664,536833.5
pop dance,pop rap,7,54.714285714285715,441772.85714285716
pop dance,rap,7,57.42857142857143,1169712.7142857143
hip hop,reggaeton,7,44.166666666666664,247468.33333333334
