Source,Target,Weight,Avg_Popularity,Avg_Streams
czech hip hop,czsk hip hop,459,32.89473684210526,103908.38345864661
czsk hip hop,czsk hip hop,391,31.73224043715847,144596.56284153005
czsk hip hop,slovak hip hop,199,29.023809523809526,198790.04761904763
czech hip hop,czech hip hop,169,33.785714285714285,81589.2
czsk hip hop,slovak trap,144,29.28813559322034,100629.79661016949
rap,trap,123,65.11290322580645,69587.35483870968
hip hop,rap,122,70.12903225806451,68679.58064516129
rap,rap,119,67.15584415584415,77202.66233766233
czech hip hop,slovak hip hop,78,30.22222222222222,132685.95555555556
czech drill,czsk hip hop,77,37.1764705882353,145022.35294117648
melodic rap,rap,66,61.87096774193548,119342.41935483871
czech drill,czech hip hop,61,36.1,127843.2
atl hip hop,rap,59,65.10526315789474,77765.13157894737
czech pop,czsk hip hop,57,29.7,141018.4
hip hop,trap,57,69.97435897435898,62415.92307692308
czech hip hop,slovak trap,56,29.0,68460.18518518518
pop,pop,55,67.85714285714286,188340.6530612245
slovak hip hop,slovak hip hop,48,24.0,156511.9393939394
pop rap,rap,48,72.07692307692308,73141.03846153847
pop,rap,46,60.93939393939394,164073.54545454544
czsk emo rap,czsk hip hop,45,36.22222222222222,152076.94444444444
czech hip hop,czsk emo rap,38,35.8,177771.46666666667
dance pop,pop,36,69.41666666666667,229386.83333333334
hip hop,hip hop,35,73.6969696969697,66680.15151515152
melodic rap,trap,34,60.63636363636363,115393.22727272728
atl trap,rap,34,70.38888888888889,57199.72222222222
slovak hip hop,slovak trap,34,28.294117647058822,148616.76470588235
slovak trap,slovak trap,33,27.333333333333332,73211.52380952382
canadian pop,rap,33,67.57142857142857,68002.53571428571
czech pop,slovak hip hop,32,25.90909090909091,62567.09090909091
gangster rap,rap,32,67.9090909090909,61509.22727272727
canadian hip hop,rap,29,74.0,113880.36363636363
atl hip hop,hip hop,29,72.76190476190476,67951.57142857143
rap,toronto rap,28,74.76190476190476,118621.19047619047
pop,pop dance,28,66.57894736842105,270666.94736842107
pop rap,trap,27,70.35714285714286,95022.28571428571
hip hop,pop,24,53.05,161579.4
hip hop,melodic rap,24,67.23529411764706,107769.4705882353
hip hop,pop rap,24,73.45,42615.05
atl hip hop,trap,23,65.625,126447.1875
trap,trap,23,65.63157894736842,132186.0
canadian hip hop,trap,23,73.70588235294117,120797.82352941176
canadian pop,hip hop,23,72.47619047619048,71649.85714285714
edm,pop,23,66.22222222222223,264452.8888888889
canadian pop,trap,22,71.66666666666667,57081.0
toronto rap,trap,22,74.6875,127452.5
rap,southern hip hop,22,68.0,45193.3125
gangster rap,hip hop,21,72.33333333333333,86569.66666666667
chicago rap,rap,21,60.15384615384615,70956.84615384616
atl hip hop,melodic rap,20,60.0,116559.125
canadian hip hop,hip hop,20,73.72222222222223,72248.5
hip hop,toronto rap,20,73.72222222222223,72248.5
pop dance,uk dance,20,77.2,726308.1
brooklyn drill,rap,20,59.2,47953.46666666667
pop,trap,19,68.5,137721.5
melodic rap,pop rap,18,68.81818181818181,119053.45454545454
atl trap,hip hop,18,73.92307692307692,75776.84615384616
r&b,rap,18,67.08333333333333,27035.083333333332
czech hip hop,czech pop,17,33.54545454545455,162987.63636363635
north carolina hip hop,rap,17,71.3,99922.7
czech pop,slovak pop,16,26.916666666666668,75409.91666666667
brooklyn drill,trap,16,58.5,58888.333333333336
pop dance,uk pop,16,74.0,534033.8
atl hip hop,pop rap,15,69.45454545454545,118585.45454545454
atl trap,trap,15,67.81818181818181,55611.27272727273
czsk hip hop,polish hip hop,15,23.22222222222222,382571.8888888889
pop,pop rap,15,68.92307692307692,68695.92307692308
atl trap,melodic rap,14,63.4,12246.7
melodic rap,melodic rap,14,59.142857142857146,107319.57142857143
atl hip hop,canadian pop,14,71.91666666666667,76303.08333333333
dance pop,pop dance,14,70.5,396354.375
atl hip hop,canadian hip hop,13,74.54545454545455,175930.54545454544
hip hop,southern hip hop,13,69.5,58184.833333333336
uk dance,uk pop,13,76.4,533889.4
slovak pop,slovak pop,12,24.416666666666668,12120.083333333334
atl hip hop,toronto rap,12,76.2,192091.3
pop dance,pop dance,12,74.4,576435.0
melodic rap,pop,12,51.72727272727273,67353.27272727272
czech pop,czech pop,12,32.833333333333336,145364.33333333334
rap,slap house,11,70.77777777777777,187052.33333333334
miami hip hop,rap,11,73.85714285714286,38482.57142857143
canadian hip hop,pop rap,11,72.1,129348.5
canadian pop,pop rap,11,71.18181818181819,42923.09090909091
pop rap,toronto rap,11,72.1,129348.5
canadian pop,pop,11,68.6,194538.2
chicago rap,trap,11,49.625,12068.875
pop,trap queen,11,62.9,167009.6
dance pop,rap,11,68.33333333333333,331275.6666666667
dance pop,dance pop,11,69.66666666666667,247434.33333333334
dance pop,uk pop,11,73.0,498708.85714285716
czsk hip hop,czsk viral pop,11,35.833333333333336,302707.0
dance pop,neo soul,10,4.0,128385.4
neo soul,pop,10,4.0,128385.4
atl trap,pop rap,10,67.375,30960.25
atl hip hop,atl trap,10,64.66666666666667,54539.833333333336
gangster rap,trap,10,67.0,52720.3
conscious hip hop,rap,10,72.77777777777777,26454.444444444445
czsk hip hop,rap uliczny,10,18.285714285714285,481019.28571428574
uk dance,uk dance,10,78.125,789092.625
uk drill,uk hip hop,10,55.666666666666664,75401.66666666667
pop,uk pop,10,72.55555555555556,319283.3333333333
dance pop,edm,10,68.125,227121.5
dance pop,hip hop,9,32.666666666666664,263697.0
czsk hip hop,urbano latino,9,32.2,37240.8
czech drill,czsk emo rap,9,39.714285714285715,309418.5714285714
dirty south rap,rap,9,69.0,40737.8
chicago rap,hip hop,9,63.55555555555556,93180.0
north carolina hip hop,trap,9,72.75,124386.875
pop rap,pop rap,9,80.0,16670.2
atl hip hop,pop,9,59.57142857142857,12006.57142857143
pop,uk dance,9,74.71428571428571,240998.85714285713
hip hop,r&b,9,70.71428571428571,9451.285714285714
gangster rap,pop rap,8,67.75,25107.125
gangster rap,melodic rap,8,64.25,8708.125
czech hip hop,urbano latino,8,32.2,37240.8
canadian hip hop,gangster rap,8,72.25,69934.25
canadian pop,gangster rap,8,72.25,69934.25
canadian pop,melodic rap,8,52.285714285714285,79255.42857142857
brooklyn drill,hip hop,8,60.714285714285715,41710.857142857145
big room,pop,8,69.83333333333333,262268.1666666667
pop rap,seattle hip hop,8,85.0,28722.5
dfw rap,rap,8,76.0,58900.5
gangster rap,toronto rap,7,74.28571428571429,77878.71428571429
hip hop,miami hip hop,7,73.85714285714286,38482.57142857143
chicago rap,melodic rap,7,33.75,12938.75
dirty south rap,hip hop,7,69.0,40737.8
czech drill,slovak hip hop,7,38.2,248113.8
atl hip hop,brooklyn drill,7,57.142857142857146,69787.14285714286
houston rap,pop,7,55.0,150261.0
edm,pop dance,7,69.33333333333333,333944.6666666667
pop,r&b,7,81.42857142857143,399140.0
edm,uk pop,7,71.5,355626.5
dfw rap,trap,7,75.6,47992.6
escape room,pop,6,15.166666666666666,115099.83333333333
atl hip hop,atl hip hop,6,65.0,54593.333333333336
atl hip hop,gangster rap,6,70.16666666666667,85227.0
atl trap,canadian hip hop,6,74.33333333333333,84582.5
canadian hip hop,melodic rap,6,72.2,274730.8
atl trap,canadian pop,6,74.33333333333333,84582.5
melodic rap,slap house,6,65.2,200181.8
slap house,trap,6,64.8,46291.8
canadian hip hop,southern hip hop,6,72.5,85025.83333333333
canadian pop,southern hip hop,6,72.5,85025.83333333333
southern hip hop,toronto rap,6,72.5,85025.83333333333
australian dance,pop,6,62.0,316919.8
canadian pop,chicago rap,6,50.166666666666664,58642.166666666664
chicago rap,pop,6,38.666666666666664,91031.16666666667
classic czech pop,czech pop,6,36.666666666666664,10562.333333333334
german dance,scandipop,6,71.6,661055.2
german dance,uk dance,6,75.0,531077.0
brooklyn drill,melodic rap,6,55.5,103104.0
nyc rap,rap,6,43.2,54081.6
chicago drill,rap,6,58.25,24661.0
drill,rap,6,58.25,24661.0
australian pop,pop,6,58.6,194097.6
rage rap,rap,6,50.25,48276.0
atl hip hop,north carolina hip hop,6,71.83333333333333,56926.5
czsk hip hop,slovak pop,6,34.333333333333336,152804.0
miami hip hop,trap,6,74.5,14641.25
electro house,pop,6,51.666666666666664,14176.0
big room,dance pop,6,65.2,276398.2
detroit hip hop,rap,6,75.0,178727.25
rap,trap queen,6,73.33333333333333,108003.66666666667
new orleans rap,rap,6,69.33333333333333,8372.666666666666
rap,trap soul,6,68.25,6203.0
canadian trap,rap,6,68.66666666666667,352599.6666666667
dance pop,pop rap,6,63.25,125194.75
pop,progressive electro house,6,64.8,192886.6
czech hip hop,polish hip hop,6,27.0,176084.33333333334
trap,uk hip hop,6,68.66666666666667,116170.0
uk hip hop,uk hip hop,6,71.0,191182.0
london rap,uk hip hop,6,71.0,191182.0
russian hip hop,russian pop,6,1.0,88784.0
dance pop,escape room,5,4.0,128385.4
dance pop,indie soul,5,4.0,128385.4
indie soul,pop,5,4.0,128385.4
escape room,neo soul,5,4.0,128385.4
hip hop,neo soul,5,4.0,128385.4
indie soul,neo soul,5,4.0,128385.4
neo soul,neo soul,5,4.0,128385.4
slovak trap,urbano latino,5,33.0,45330.25
atl trap,toronto rap,5,77.6,98634.4
melodic rap,toronto rap,5,75.75,339832.75
atl hip hop,slap house,5,64.25,52465.75
rap,underground hip hop,5,65.5,2158.75
hip hop,slap house,5,77.0,295130.2
czsk hip hop,slovak rock,5,38.0,312757.6
australian dance,dance pop,5,62.0,316919.8
cloud rap,emo rap,5,22.75,18782.75
cloud rap,cloud rap,5,3.0,14860.333333333334
dance pop,trap queen,5,73.75,183604.5
cali rap,pop,5,75.25,238310.75
classic czech pop,slovak pop,5,36.666666666666664,10562.333333333334
german dance,pop dance,5,77.0,703752.0
pop dance,scandipop,5,71.6,661055.2
brooklyn drill,southern hip hop,5,55.75,10526.75
czsk emo rap,slovak trap,5,24.666666666666668,38008.0
melodic rap,rage rap,5,43.333333333333336,61211.666666666664
rage rap,trap,5,43.333333333333336,61211.666666666664
melodic drill,uk hip hop,5,69.0,106861.5
london rap,uk drill,5,69.0,106861.5
conscious hip hop,hip hop,5,76.6,40817.6
atl trap,north carolina hip hop,5,70.0,77040.0
dance pop,r&b,5,83.75,306136.25
atl hip hop,chicago rap,5,65.2,10832.0
pop,reggaeton,5,52.0,86586.4
pop,trap latino,5,52.0,86586.4
pop,urbano latino,5,52.0,86586.4
canadian contemporary r&b,pop,5,68.0,533745.8
edm,rap,5,56.6,78674.6
pop dance,rap,5,50.75,30081.5
brostep,pop,5,74.4,176335.6
dance pop,trap,5,71.5,413518.5
dance pop,electro house,5,64.66666666666667,7498.333333333333
pop,slap house,5,68.0,142426.33333333334
houston rap,rap,5,74.5,137669.5
dfw rap,hip hop,5,72.75,18822.0
conscious hip hop,trap,5,72.2,38685.6
southern hip hop,trap,5,63.5,78204.25
czech hip hop,czsk viral pop,5,43.0,435575.5
canadian trap,trap,5,68.66666666666667,352599.6666666667
miami hip hop,pop,5,74.0,16467.0
melodic rap,north carolina hip hop,5,68.2,141720.0
reggaeton,trap latino,5,79.0,31184.666666666668
reggaeton,urbano latino,5,79.0,31184.666666666668
pop dance,pop house,5,75.5,291265.5
pop house,uk dance,5,75.5,291265.5
deep house,uk contemporary r&b,4,37.25,69157.0
house,uk contemporary r&b,4,37.25,69157.0
alternative dance,uk contemporary r&b,4,37.25,69157.0
indie poptimism,uk contemporary r&b,4,37.25,69157.0
nu disco,uk contemporary r&b,4,37.25,69157.0
alternative dance,deep house,4,37.25,69157.0
deep house,indie poptimism,4,37.25,69157.0
deep house,nu disco,4,37.25,69157.0
alternative dance,house,4,37.25,69157.0
house,indie poptimism,4,37.25,69157.0
house,nu disco,4,37.25,69157.0
hip hop,underground hip hop,4,65.5,2158.75
queens hip hop,rap,4,67.0,2131.3333333333335
rap,sudanese hip hop,4,67.0,2131.3333333333335
rap,sudanese pop,4,67.0,2131.3333333333335
australian hip hop,pop,4,66.5,531019.0
canadian pop,miami hip hop,4,71.25,53214.75
piano rock,pop,4,64.0,298712.25
pop,rock,4,69.0,243867.75
k-pop,pop,4,43.0,99696.5
cloud rap,lgbtq+ hip hop,4,3.0,14860.333333333334
cali rap,dance pop,4,76.0,239952.66666666666
pop edm,uk dance,4,75.0,531077.0
brooklyn drill,r&b,4,53.5,61444.25
melodic rap,r&b,4,59.5,63630.25
edm,electro house,4,60.5,54458.5
australian pop,pop dance,4,56.0,241812.0
czsk hyperpop,slovak trap,4,38.5,53429.5
hip hop,west coast rap,4,82.75,144666.5
rap,west coast rap,4,82.75,144666.5
colombian pop,ghanaian alternative,4,40.5,60627.5
art pop,pop,4,74.0,80989.0
electropop,pop,4,74.0,90224.75
pop,talent show,4,64.0,195862.0
rap,uk pop,4,68.75,420758.0
east coast hip hop,rap,4,70.66666666666667,7618.0
detroit hip hop,gangster rap,4,77.5,205599.0
detroit hip hop,hip hop,4,77.5,205599.0
hip hop,new orleans rap,4,69.33333333333333,8372.666666666666
atl trap,pop,4,66.33333333333333,23078.333333333332
gangster rap,pop,4,72.5,5830.25
atl hip hop,conscious hip hop,4,70.25,16180.5
dirty south rap,trap,4,68.66666666666667,65404.666666666664
slovak hip hop,slovak pop,4,34.0,63066.75
north carolina hip hop,pop rap,4,73.0,33962.666666666664
dance pop,miami hip hop,4,82.0,5565.0
atl trap,atl trap,4,52.0,1783.5
r&b,trap,4,65.0,14452.333333333334
dance pop,uk dance,4,80.0,865552.6666666666
pop dance,uk contemporary r&b,4,77.33333333333333,751728.3333333334
brooklyn drill,uk hip hop,4,71.0,191182.0
new york drill,uk hip hop,4,71.0,191182.0
czech pop,slovak trap,4,31.333333333333332,51296.0
czech hip hop,uk drill,4,29.0,12482.0
czsk hip hop,uk drill,4,29.0,12482.0
russian hip hop,russian hip hop,4,0.5,51388.0
russian dance,russian hip hop,4,1.0,88784.0
russian dance,russian pop,4,1.0,88784.0
trap latino,urbano latino,4,76.5,45627.0
atl trap,slap house,3,70.66666666666667,67132.66666666667
gangster rap,slap house,3,70.66666666666667,67132.66666666667
conscious hip hop,queens hip hop,3,67.0,2131.3333333333335
hip hop,queens hip hop,3,67.0,2131.3333333333335
north carolina hip hop,queens hip hop,3,67.0,2131.3333333333335
conscious hip hop,sudanese hip hop,3,67.0,2131.3333333333335
hip hop,sudanese hip hop,3,67.0,2131.3333333333335
north carolina hip hop,sudanese hip hop,3,67.0,2131.3333333333335
conscious hip hop,sudanese pop,3,67.0,2131.3333333333335
hip hop,sudanese pop,3,67.0,2131.3333333333335
north carolina hip hop,sudanese pop,3,67.0,2131.3333333333335
conscious hip hop,underground hip hop,3,67.0,2131.3333333333335
north carolina hip hop,underground hip hop,3,67.0,2131.3333333333335
australian hip hop,canadian pop,3,64.0,688559.3333333334
canadian hip hop,miami hip hop,3,73.0,70271.0
miami hip hop,toronto rap,3,73.0,70271.0
polish hip hop,slovak hip hop,3,30.666666666666668,761478.6666666666
rap uliczny,slovak hip hop,3,30.666666666666668,761478.6666666666
brostep,reggaeton,3,75.66666666666667,233575.66666666666
edm,reggaeton,3,75.66666666666667,233575.66666666666
pop dance,reggaeton,3,75.66666666666667,233575.66666666666
brostep,reggaeton colombiano,3,75.66666666666667,233575.66666666666
edm,reggaeton colombiano,3,75.66666666666667,233575.66666666666
pop dance,reggaeton colombiano,3,75.66666666666667,233575.66666666666
brostep,trap latino,3,75.66666666666667,233575.66666666666
edm,trap latino,3,75.66666666666667,233575.66666666666
pop dance,trap latino,3,75.66666666666667,233575.66666666666
brostep,urbano latino,3,75.66666666666667,233575.66666666666
edm,urbano latino,3,75.66666666666667,233575.66666666666
pop dance,urbano latino,3,75.66666666666667,233575.66666666666
czsk hip hop,slovak punk,3,40.0,299743.6666666667
slovak hip hop,slovak punk,3,40.0,299743.6666666667
slovak hip hop,slovak rock,3,40.0,299743.6666666667
pop,pop r&b,3,73.66666666666667,115840.0
glam rock,pop,3,60.666666666666664,322427.6666666667
mellow gold,pop,3,60.666666666666664,322427.6666666667
glam rock,uk pop,3,60.666666666666664,322427.6666666667
mellow gold,uk pop,3,60.666666666666664,322427.6666666667
piano rock,uk pop,3,60.666666666666664,322427.6666666667
rock,uk pop,3,60.666666666666664,322427.6666666667
aussietronica,dance pop,3,81.0,370810.6666666667
aussietronica,pop,3,81.0,370810.6666666667
k-pop boy group,pop,3,56.0,129166.66666666667
permanent wave,pop,3,81.33333333333333,139893.33333333334
slovak pop,slovak punk,3,30.333333333333332,10763.666666666666
classic czech pop,slovak punk,3,35.0,14902.0
pop dance,pop edm,3,77.0,703752.0
canadian hip hop,dirty south rap,3,74.33333333333333,64123.666666666664
canadian pop,dirty south rap,3,74.33333333333333,64123.666666666664
dirty south rap,toronto rap,3,74.33333333333333,64123.666666666664
czech drill,czech drill,3,38.0,57677.0
melodic rap,nyc rap,3,47.666666666666664,79528.0
nyc rap,trap,3,47.666666666666664,79528.0
brooklyn drill,gangster rap,3,56.0,13293.0
rap,virginia hip hop,3,57.0,15994.0
chicago drill,hip hop,3,77.66666666666667,30648.333333333332
drill,hip hop,3,77.66666666666667,30648.333333333332
edm,edm,3,71.0,251916.0
pop dance,tech house,3,67.0,325675.0
australian pop,dance pop,3,49.666666666666664,262757.0
australian dance,edm,3,49.666666666666664,262757.0
australian pop,edm,3,49.666666666666664,262757.0
australian dance,pop dance,3,49.666666666666664,262757.0
canadian pop,trap soul,3,61.0,9199.0
pop,trap soul,3,61.666666666666664,9942.333333333334
czsk hip hop,czsk hyperpop,3,38.5,53429.5
london rap,melodic drill,3,69.0,106861.5
czech pop,slovak rock,3,28.0,224528.0
atl trap,chicago rap,3,69.66666666666667,13675.666666666666
chicago rap,gangster rap,3,64.66666666666667,22932.666666666668
pop,puerto rican pop,3,42.666666666666664,69296.33333333333
post-teen pop,reggaeton,3,42.333333333333336,60449.666666666664
post-teen pop,trap latino,3,42.333333333333336,60449.666666666664
post-teen pop,urbano latino,3,42.333333333333336,60449.666666666664
lgbtq+ hip hop,rap,3,75.33333333333333,570541.0
atl hip hop,miami hip hop,3,71.33333333333333,18280.666666666668
pop,r&b en espanol,3,45.333333333333336,20662.0
edm,scandipop,3,66.33333333333333,473020.0
scandipop,tropical house,3,66.33333333333333,473020.0
pop dance,trap,3,54.5,10930.0
girl group,pop,3,74.0,280774.0
dance pop,melodic rap,3,58.0,8967.0
atl hip hop,pop dance,3,64.5,157819.5
melodic rap,pop dance,3,57.0,399755.5
big room,pop dance,3,67.0,455921.0
dance pop,slap house,3,54.0,5902.5
electro house,pop dance,3,63.666666666666664,121710.0
pop dance,slap house,3,61.333333333333336,313424.0
big room,uk pop,3,67.0,455921.0
slap house,uk pop,3,53.666666666666664,213770.0
cali rap,uk dance,3,77.0,331630.5
cali rap,uk pop,3,77.0,331630.5
conscious hip hop,pop rap,3,73.33333333333333,54519.333333333336
classic czech pop,czech folk,3,36.0,3699.0
czech folk,slovak pop,3,36.0,3699.0
czech folk,czech pop,3,36.0,3699.0
czech pop,slovak punk,3,22.333333333333332,5676.333333333333
indie r&b,rap,3,72.5,4123.0
detroit hip hop,hardcore hip hop,3,77.5,205599.0
pop rap,slap house,3,72.66666666666667,114988.33333333333
