Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,1526,56.233333333333334,366139.23333333334
trap latino,urbano latino,1399,55.829896907216494,369630.28350515466
reggaeton,trap latino,1277,55.5,370493.0315789474
urbano latino,urbano latino,836,56.22549019607843,363586.70588235295
reggaeton,reggaeton,702,54.915789473684214,368891.77368421055
trap latino,trap latino,587,54.615894039735096,384466.4039735099
reggaeton flow,urbano latino,230,53.869565217391305,346623.0869565217
reggaeton,reggaeton flow,210,54.276595744680854,342147.7659574468
reggaeton flow,trap latino,201,53.61363636363637,347957.1818181818
trap argentino,urbano latino,197,54.25,298282.80555555556
latin hip hop,urbano latino,195,54.720588235294116,419041.4705882353
latin hip hop,reggaeton,192,54.720588235294116,419041.4705882353
reggaeton colombiano,urbano latino,180,60.13414634146341,443330.65853658534
reggaeton,reggaeton colombiano,171,59.57142857142857,429100.25
trap argentino,trap latino,167,53.294117647058826,287595.0588235294
latin hip hop,trap latino,162,54.91525423728814,450598.406779661
reggaeton,trap argentino,154,55.15151515151515,321778.6060606061
latin pop,urbano latino,143,60.406976744186046,352153.0930232558
latin pop,reggaeton,137,59.848101265822784,336680.2658227848
reggaeton colombiano,trap latino,136,59.73529411764706,441269.8676470588
panamanian pop,urbano latino,111,54.45454545454545,431632.8181818182
colombian pop,urbano latino,111,61.294117647058826,394618.07843137253
colombian pop,reggaeton,101,61.254901960784316,372831.862745098
puerto rican pop,reggaeton,98,54.15217391304348,404373.39130434784
puerto rican pop,urbano latino,98,55.145833333333336,393839.5416666667
latin pop,trap latino,98,60.3968253968254,382540.2698412698
panamanian pop,reggaeton,92,53.645161290322584,454844.0967741936
r&b en espanol,urbano latino,88,60.5,487812.0
puerto rican pop,trap latino,86,53.12820512820513,448365.1538461539
panamanian pop,trap latino,85,54.58064516129032,454453.5483870968
argentine hip hop,urbano latino,81,49.0,282428.55
rap latina,urbano latino,81,56.266666666666666,288898.8
colombian pop,trap latino,73,60.73529411764706,433166.4411764706
argentine hip hop,trap latino,73,46.611111111111114,260479.0
argentine hip hop,trap argentino,71,40.92857142857143,264500.0714285714
r&b en espanol,reggaeton,69,60.0,512437.7368421053
rap latina,reggaeton,68,54.0,287329.46153846156
r&b en espanol,trap latino,67,60.0,499352.2105263158
rap latina,trap latino,65,54.16,306066.24
pop reggaeton,urbano latino,63,61.0,565303.0625
argentine hip hop,reggaeton,62,50.388888888888886,307809.05555555556
pop,pop,62,60.74,164653.44
pop reggaeton,reggaeton,54,61.0,565303.0625
pop,reggaeton,54,60.0,306192.70967741933
trap argentino,trap argentino,53,40.92857142857143,264500.0714285714
pop,urbano latino,52,60.03225806451613,305426.06451612903
pop reggaeton,trap latino,48,61.333333333333336,602606.7333333333
pop,trap latino,44,62.41379310344828,328859.7931034483
latin pop,reggaeton colombiano,44,58.38461538461539,375013.0512820513
pop,rap,40,54.666666666666664,170775.5
latin hip hop,reggaeton flow,38,59.73684210526316,488629.5789473684
colombian pop,latin pop,35,63.41379310344828,366380.8620689655
latin pop,latin pop,33,61.24242424242424,256038.0606060606
rap,trap,30,55.0,159760.61111111112
reggaeton,trap boricua,28,35.22222222222222,115682.88888888889
trap boricua,urbano latino,28,35.22222222222222,115682.88888888889
trap boricua,trap latino,27,35.22222222222222,115682.88888888889
colombian pop,reggaeton colombiano,26,63.88235294117647,235795.9411764706
edm,pop,25,69.6,203603.15
mexican pop,reggaeton,25,50.68181818181818,307813.3181818182
mexican pop,urbano latino,25,50.68181818181818,307813.3181818182
rap,rap,24,48.9,136063.4
melodic rap,rap,24,43.875,167166.9375
latin viral pop,urbano latino,24,60.88235294117647,291801.35294117645
rap latina,trap argentino,23,45.42857142857143,308854.64285714284
trap triste,urbano latino,23,50.714285714285715,378359.71428571426
trap argentino,trap triste,22,43.6,511157.0
r&b en espanol,trap argentino,21,57.1875,445032.1875
argentine hip hop,argentine hip hop,21,41.57142857142857,380541.85714285716
reggaeton,trap triste,20,50.714285714285715,378359.71428571426
trap latino,trap triste,20,50.714285714285715,378359.71428571426
pop,trap,20,54.27777777777778,189558.0
latin hip hop,latin pop,20,61.588235294117645,303633.23529411765
