Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,129,50.294642857142854,244757.0
pop,rap,101,47.05,188652.325
pop,pop dance,79,46.0,162194.79032258064
edm,pop,78,48.91803278688525,224838.68852459016
hip hop,rap,76,53.644444444444446,142751.95555555556
rap,trap,64,55.86842105263158,168927.5
dance pop,pop,63,56.42857142857143,170803.2380952381
rap,rap,59,56.54761904761905,150389.04761904763
pop,trap,54,47.666666666666664,177356.82222222222
thai hip hop,thai trap,53,26.65,364934.25
hip hop,pop,52,46.31707317073171,150492.31707317074
electro house,pop,42,41.64705882352941,165272.4705882353
pop rap,rap,42,59.8,184398.88
pop,uk pop,41,50.875,193149.5
pop,pop rap,40,51.125,133450.46875
thai hip hop,thai pop,39,28.26923076923077,523042.0
hip hop,trap,35,65.95454545454545,129618.72727272728
thai hip hop,thai hip hop,34,22.80952380952381,347406.2380952381
thai pop,thai pop,32,24.0,424978.43333333335
edm,pop dance,32,40.5,98520.75
atl hip hop,rap,28,58.45,131801.8
melodic rap,rap,28,56.89473684210526,180901.84210526315
pop,uk dance,28,58.416666666666664,224396.66666666666
dance pop,rap,28,50.04761904761905,161193.09523809524
pop,r&b,25,46.59090909090909,178128.0909090909
thai pop,thai trap,24,30.75,621059.3125
pop rap,trap,24,64.2,157368.66666666666
melodic rap,pop,23,52.43478260869565,231705.47826086957
hip hop,pop rap,23,61.5,118780.25
pop,southern hip hop,22,51.94117647058823,153073.70588235295
dance pop,trap,22,47.375,157289.625
hip hop,hip hop,22,61.0,81649.875
atl hip hop,pop,21,49.35,213789.75
melodic rap,trap,21,52.23809523809524,215903.2857142857
electro house,pop dance,21,35.86666666666667,61258.4
miami hip hop,rap,21,68.92307692307692,143437.3076923077
hip hop,melodic rap,20,49.94117647058823,206453.4705882353
thai trap,thai trap,20,22.125,283256.875
rap,southern hip hop,20,55.86666666666667,151277.0
pop,progressive electro house,20,50.88235294117647,326040.8823529412
edm,electro house,20,36.142857142857146,87475.14285714286
electropop,pop,20,46.64705882352941,231825.76470588235
dance pop,edm,19,66.6,154623.06666666668
hip pop,pop,18,42.4375,109618.3125
big room,pop,18,59.92307692307692,148796.0
edm,rap,18,52.733333333333334,142034.73333333334
atl hip hop,hip hop,18,64.3076923076923,149649.6923076923
r&b,rap,17,36.0,219997.4
dance pop,pop dance,17,63.285714285714285,105022.42857142857
pop dance,pop dance,17,38.266666666666666,82323.13333333333
edm,progressive electro house,17,33.23076923076923,67935.92307692308
pop dance,progressive electro house,17,33.23076923076923,67935.92307692308
contemporary country,pop,16,40.0,264555.78571428574
canadian pop,rap,16,49.36363636363637,159840.18181818182
pop dance,uk pop,16,53.642857142857146,153945.2857142857
dance pop,pop rap,16,51.25,52678.583333333336
edm,uk pop,16,64.3076923076923,211894.6923076923
pop,queens hip hop,15,38.92307692307692,133683.61538461538
k-pop,k-pop,15,54.84615384615385,65026.61538461538
dutch house,edm,15,30.833333333333332,73197.5
dutch house,pop dance,15,30.833333333333332,73197.5
edm,edm,15,37.15384615384615,117714.69230769231
canadian pop,pop,15,41.75,124172.41666666667
dance pop,hip hop,15,51.0,52846.36363636364
trap,trap,15,66.66666666666667,136550.33333333334
pop dance,rap,15,48.916666666666664,167639.5
k-pop,k-pop boy group,14,56.0,97916.0
conscious hip hop,rap,14,53.75,262075.125
canadian pop,hip hop,14,51.90909090909091,140271.0909090909
melodic rap,pop rap,14,61.27272727272727,279286.54545454547
miami hip hop,trap,14,67.45454545454545,151087.36363636365
moombahton,pop,13,30.0,145722.11111111112
hip hop,r&b,13,41.81818181818182,180177.72727272726
big room,edm,13,38.1,111848.5
big room,pop dance,13,38.1,111848.5
pop,pop r&b,13,62.54545454545455,296943.45454545453
edm,trap,13,48.09090909090909,77809.36363636363
australian pop,pop,12,28.833333333333332,155107.25
country,pop,12,35.1,179042.6
pop,post-teen pop,12,62.54545454545455,244820.0
pop,progressive house,12,65.72727272727273,261402.9090909091
dance pop,southern hip hop,12,60.375,71567.375
atl hip hop,trap,12,64.36363636363636,150574.72727272726
hip hop,miami hip hop,12,66.2,148669.9
hip hop,southern hip hop,12,62.666666666666664,43301.333333333336
dance pop,uk pop,12,51.5,250098.0
dfw rap,trap,11,37.63636363636363,281523.1818181818
conscious hip hop,pop,11,43.45454545454545,235047.72727272726
dutch house,pop,11,42.5,85713.0
alt z,pop dance,11,35.333333333333336,109114.66666666667
pop,trap latino,11,64.57142857142857,254210.57142857142
rap,trap latino,11,63.25,251506.25
southern hip hop,trap,11,69.625,103685.375
rap,uk pop,11,50.0,186221.55555555556
electro house,rap,11,53.0,119118.1
pop dance,trap,11,41.22222222222222,82093.11111111111
atl hip hop,pop rap,11,63.42857142857143,224182.14285714287
pop,reggaeton,11,59.333333333333336,244540.5
pop,urbano latino,11,59.333333333333336,244540.5
australian pop,edm,10,22.666666666666668,139865.11111111112
indie poptimism,pop,10,31.0,300910.625
atl hip hop,melodic rap,10,48.6,115822.8
thai pop,thai rock,10,27.8,288032.0
dance pop,dance pop,10,64.9,145134.3
alt z,pop,10,31.0,165288.125
pop,tropical house,10,46.6,180816.9
pop,viral pop,10,26.8,125498.8
conscious hip hop,hip hop,10,65.33333333333333,140810.83333333334
electro house,progressive electro house,10,8.666666666666666,41222.833333333336
edm,pop rap,10,48.125,47414.375
pop dance,pop rap,10,47.625,94971.375
australian pop,pop dance,9,25.5,155598.75
dfw rap,rap,9,44.888888888888886,200447.55555555556
pop,west coast rap,9,29.77777777777778,203236.88888888888
big room,electro house,9,38.125,95608.75
dutch edm,pop dance,9,35.875,130194.125
uk dance,uk pop,9,52.875,232614.0
miami hip hop,pop rap,9,69.25,179675.875
pop,uk funky,9,58.75,222019.375
pop,talent show,9,48.0,121616.44444444444
electropop,pop dance,9,30.428571428571427,33455.857142857145
electro house,trap,9,51.25,99568.75
pop rap,pop rap,9,52.0,117995.0
canadian pop,pop rap,9,55.833333333333336,148328.16666666666
dutch house,electro house,9,8.666666666666666,41222.833333333336
metropopolis,pop,9,57.714285714285715,272088.14285714284
pop,swedish pop,8,52.375,156816.625
