Source,Target,Weight,Avg_Popularity,Avg_Streams
turkish hip hop,turkish trap,101,38.92857142857143,4337257.25
turkish hip hop,turkish hip hop,87,34.074074074074076,2574151.703703704
turkce drill,turkish trap,30,39.473684210526315,5049496.105263158
turkish trap,turkish trap,30,39.904761904761905,5209625.523809524
turkce drill,turkish hip hop,25,39.05555555555556,5062345.388888889
german hip hop,turkish trap,24,33.11764705882353,2862857.117647059
turkish pop,turkish pop,22,19.333333333333332,7231082.611111111
turkish hip hop,turkish trap pop,19,31.5,2948011.8333333335
hip hop,rap,18,68.875,95968.625
rap,trap,18,67.14285714285714,142599.85714285713
rap,rap,16,71.0,211379.1
german hip hop,turkish hip hop,15,28.5,1872630.5
turkish hip hop,turkish pop,14,35.76923076923077,3549043.6923076925
pop,pop,13,67.92307692307692,1866156.3846153845
turkish hip hop,turkish rock,12,43.166666666666664,2245530.0833333335
german hip hop,turkce drill,10,27.5,3920777.625
uk drill,uk hip hop,10,62.666666666666664,301665.6666666667
hip hop,trap,10,65.33333333333333,58143.0
atl hip hop,rap,10,67.5,160869.16666666666
turkish alt pop,turkish hip hop,10,35.3,2475862.6
turkish alt pop,turkish rock,10,51.875,4230440.75
canadian hip hop,rap,9,80.57142857142857,185350.57142857142
rap,toronto rap,9,80.57142857142857,185350.57142857142
turkish edm,turkish pop,9,32.75,10845075.5
cologne hip hop,turkish trap,8,33.666666666666664,2535853.6666666665
canadian hip hop,trap,8,81.0,175712.6
canadian pop,rap,8,80.71428571428571,103222.14285714286
toronto rap,trap,8,81.0,175712.6
new school turkce rap,turkce drill,8,8.0,2290283.3333333335
turkce drill,turkce drill,8,23.25,7538462.0
pop,rap,8,70.85714285714286,3976823.5714285714
new school turkce rap,turkish trap,8,33.666666666666664,4065073.5
atl hip hop,hip hop,7,65.4,63174.8
turkce kadin rap,turkish hip hop,7,35.0,4809090.0
turkish trap,turkish trap pop,7,32.4,3530941.2
karadeniz pop,turkish pop,7,13.5,6493945.5
gangster rap,rap,7,75.25,44890.5
cologne hip hop,turkish hip hop,6,28.4,2974115.8
melodic drill,uk hip hop,6,62.666666666666664,301665.6666666667
london rap,uk drill,6,62.666666666666664,301665.6666666667
atl hip hop,canadian hip hop,6,81.0,175712.6
atl hip hop,toronto rap,6,81.0,175712.6
canadian pop,trap,6,81.75,57305.5
turkish edm,turkish hip hop,6,37.666666666666664,5149332.333333333
new school turkce rap,turkish hip hop,6,52.25,3550421.25
turkish alt pop,turkish alt pop,6,53.333333333333336,5299506.666666667
turkish rock,turkish rock,6,59.0,5557522.666666667
melodic rap,rap,6,78.5,364708.5
hip hop,hip hop,6,64.66666666666667,108532.16666666667
gangster rap,hip hop,6,75.25,44890.5
