Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,pop,63,64.87719298245614,688024.5438596491
pop,rap,42,56.392857142857146,748816.25
mandopop,mandopop,35,45.516129032258064,459665.77419354836
mandopop,taiwan pop,31,43.08695652173913,651416.0434782609
dance pop,pop,31,65.65,540119.15
rap,rap,29,70.35714285714286,176826.42857142858
rap,trap,29,68.75,162552.08333333334
edm,pop,26,60.10526315789474,391243.15789473685
mandopop,taiwan hip hop,25,40.0,679275.3529411765
pop,pop dance,25,60.0,168932.44444444444
hip hop,rap,24,74.55555555555556,154158.22222222222
hip hop,pop,22,43.2,971860.4666666667
atl hip hop,rap,20,67.8,188764.2
taiwan hip hop,taiwan hip hop,19,33.8,676035.7
melodic rap,rap,18,67.625,201953.625
pop,trap,17,64.33333333333333,721269.6666666666
canadian pop,rap,15,60.833333333333336,369802.25
k-pop,pop,14,50.15384615384615,544986.0
pop,pop rap,14,63.333333333333336,238584.66666666666
pop rap,rap,14,70.2,127334.4
pop,uk pop,13,72.0909090909091,163769.72727272726
dance pop,hip hop,12,25.555555555555557,1291340.888888889
dance pop,neo soul,12,3.3333333333333335,1027287.6666666666
neo soul,pop,12,3.3333333333333335,1027287.6666666666
canadian pop,pop,12,74.45454545454545,1196209.0
mandopop,taiwan singer-songwriter,12,42.875,686391.125
melodic rap,trap,12,66.5,205845.125
melodic rap,pop,12,46.2,212006.6
dance pop,rap,12,69.57142857142857,1497576.7142857143
taiwan hip hop,taiwan pop,12,37.333333333333336,366747.44444444444
edm,uk pop,12,63.0,228405.44444444444
pop dance,uk pop,12,63.55555555555556,277140.0
taiwan pop,taiwan pop,12,37.666666666666664,574294.0
pop,progressive electro house,12,57.333333333333336,637076.6666666666
pop,trap queen,11,61.3,552877.3
taiwan pop,taiwan singer-songwriter,11,40.333333333333336,637904.0
pop,r&b,11,58.77777777777778,1508191.7777777778
hip hop,trap,11,73.14285714285714,121789.57142857143
alt z,pop,10,54.5,358217.5
atl hip hop,hip hop,10,73.0,157908.8
dance pop,pop dance,10,69.33333333333333,153033.5
dance pop,uk pop,10,70.42857142857143,134556.14285714287
taiwan hip hop,taiwan singer-songwriter,9,41.0,515801.6
atl hip hop,pop,9,61.4,126876.4
k-pop,korean r&b,9,36.625,65524.5
r&b,rap,8,46.5,131677.16666666666
chinese r&b,mandopop,8,37.375,461560.5
houston rap,pop,8,56.42857142857143,723795.2857142857
mandopop,taiwan indie,8,42.125,468381.25
brostep,pop,8,72.85714285714286,784999.7142857143
k-pop,k-pop,8,44.0,423556.0
atl trap,rap,8,74.5,192335.75
mainland chinese pop,mandopop,8,42.714285714285715,190922.2857142857
dance pop,trap,8,63.75,1369851.75
electro house,pop,8,42.166666666666664,27148.0
pop rap,trap,8,70.2,127334.4
escape room,pop,7,13.0,920959.8571428572
atl hip hop,melodic rap,7,65.71428571428571,227163.14285714287
canadian pop,trap,7,69.33333333333333,242248.33333333334
canadian hip hop,rap,7,76.2,249392.4
canadian hip hop,trap,7,70.0,198807.6
atl hip hop,canadian pop,7,70.4,206843.6
taiwan indie,taiwan pop,7,35.0,36277.666666666664
edm,pop dance,7,58.166666666666664,153431.0
dance pop,dance pop,7,60.857142857142854,137625.7142857143
dance pop,edm,7,67.33333333333333,159445.0
atl hip hop,trap,7,71.6,185867.2
trap,trap,7,74.4,188520.6
chinese r&b,taiwan pop,7,37.166666666666664,321906.0
dance pop,escape room,6,3.3333333333333335,1027287.6666666666
dance pop,indie soul,6,3.3333333333333335,1027287.6666666666
indie soul,pop,6,3.3333333333333335,1027287.6666666666
escape room,neo soul,6,3.3333333333333335,1027287.6666666666
hip hop,neo soul,6,3.3333333333333335,1027287.6666666666
indie soul,neo soul,6,3.3333333333333335,1027287.6666666666
neo soul,neo soul,6,3.3333333333333335,1027287.6666666666
pop dance,viral pop,6,53.833333333333336,387594.0
pop,rock,6,54.166666666666664,285597.6666666667
k-pop boy group,pop,6,41.0,611034.3333333334
canadian pop,hip hop,6,73.6,434425.2
canadian contemporary r&b,pop,6,81.16666666666667,2344213.3333333335
canadian pop,melodic rap,6,49.666666666666664,323047.8333333333
dance pop,r&b,6,64.2,983777.2
pop dance,rap,6,63.0,199349.4
rap,toronto rap,6,80.75,310306.75
big room,pop,6,67.4,168435.6
electro house,uk pop,6,52.666666666666664,37680.5
atl hip hop,pop rap,6,71.25,149794.0
electropop,pop,6,64.6,1328692.4
north carolina hip hop,rap,6,76.66666666666667,64578.333333333336
hip hop,melodic rap,6,73.5,138756.75
edm,mandopop,5,42.4,856518.8
electro house,mandopop,5,42.4,856518.8
mandopop,pop dance,5,42.4,856518.8
edm,viral pop,5,49.6,367722.4
chinese indie,taiwan pop,5,30.8,116952.6
glam rock,pop,5,48.2,340764.0
mellow gold,pop,5,48.2,340764.0
piano rock,pop,5,48.2,340764.0
chicago rap,pop,5,30.4,415636.0
contemporary country,pop,5,66.4,532340.8
pop,singer-songwriter pop,5,74.6,296511.6
pop,reggaeton,5,58.5,329076.75
pop,trap latino,5,58.5,329076.75
pop,urbano latino,5,58.5,329076.75
k-pop,rap,5,37.75,216189.0
edm,rap,5,63.0,199349.4
edm,trap,5,57.75,125154.0
pop dance,trap,5,58.333333333333336,159277.66666666666
atl hip hop,canadian hip hop,5,73.5,242813.75
atl trap,hip hop,5,75.33333333333333,244995.66666666666
toronto rap,trap,5,78.66666666666667,321840.0
pop,slap house,5,68.0,176249.66666666666
k-pop,k-rap,5,36.75,50641.75
chinese hip hop,taiwan hip hop,5,40.0,429621.5
pop,uk dance,5,75.25,158851.5
chinese r&b,taiwan hip hop,5,34.25,471937.25
pop,southern hip hop,5,60.0,34543.666666666664
hip hop,hip hop,5,74.6,164461.6
hip hop,pop rap,5,69.0,70533.33333333333
pop,post-teen pop,5,67.4,272321.6
rap,southern hip hop,5,67.66666666666667,138616.33333333334
dance pop,pop rap,5,62.0,40424.0
gangster rap,rap,5,69.66666666666667,137569.66666666666
rap,trap queen,5,69.5,220018.0
australian hip hop,pop,4,66.5,2071763.75
electro house,viral pop,4,43.0,152265.25
chinese singer-songwriter,mandopop,4,31.25,315978.5
pop,pop r&b,4,68.0,331060.0
glam rock,uk pop,4,46.5,419523.5
mellow gold,uk pop,4,46.5,419523.5
piano rock,uk pop,4,46.5,419523.5
rock,uk pop,4,46.5,419523.5
permanent wave,pop,4,83.0,1358771.5
canadian pop,chicago rap,4,37.0,452652.5
canadian pop,pop rap,4,67.33333333333333,520472.6666666667
melodic rap,melodic rap,4,59.5,272933.5
chinese electropop,mandopop,4,40.25,694671.25
malaysian mandopop,mandopop,4,51.25,754955.0
taiwan indie,taiwan singer-songwriter,4,35.0,622644.75
pop,puerto rican pop,4,51.333333333333336,219887.66666666666
canadian pop,dance pop,4,75.0,1309662.3333333333
atl hip hop,toronto rap,4,78.66666666666667,321840.0
mandopop,singaporean mandopop,4,44.0,950898.75
mandopop,singaporean pop,4,40.75,197099.5
pop,talent show,4,64.0,280394.3333333333
atl hip hop,dance pop,4,51.5,32208.5
dance pop,melodic rap,4,55.5,29280.5
big room,pop dance,4,70.25,215855.5
pop dance,pop dance,4,70.25,215855.5
big room,dance pop,4,66.75,223838.0
big room,uk pop,4,70.25,215855.5
chinese hip hop,mandopop,4,46.5,350892.0
melodic rap,pop rap,4,70.66666666666667,194038.33333333334
pop,trap soul,4,61.0,29342.666666666668
uk dance,uk pop,4,75.25,153951.25
pop,urban contemporary,4,45.0,25372.5
chinese r&b,chinese r&b,4,36.5,32296.75
pop,viral pop,4,73.25,1422982.75
miami hip hop,rap,4,68.0,157043.0
houston rap,rap,4,68.0,157043.0
dfw rap,rap,4,68.0,157043.0
australian hip hop,canadian pop,3,64.0,2709291.0
alt z,alt z,3,44.333333333333336,472652.6666666667
alt z,electropop,3,44.333333333333336,472652.6666666667
mandopop,viral pop,3,36.666666666666664,162059.66666666666
chinese indie,mandopop,3,31.0,167050.66666666666
chinese indie,taiwan indie,3,37.0,168009.66666666666
dance pop,rock,3,81.66666666666667,475283.3333333333
australian dance,dance pop,3,74.66666666666667,489261.0
australian dance,pop,3,74.66666666666667,489261.0
