Source,Target,Weight,Avg_Popularity,Avg_Streams
russian hip hop,russian trap,334,24.28481012658228,320525.2594936709
russian hip hop,russian hip hop,207,25.381944444444443,360115.875
russian drill,russian hip hop,201,25.1875,209686.82291666666
russian drill,russian trap,200,23.6046511627907,213833.02325581395
russian trap,russian trap,155,22.991150442477878,399109.06194690266
russian hip hop,russian pop,91,34.72222222222222,211648.4814814815
russian drill,russian drill,84,24.215686274509803,294165.3725490196
rap,trap,72,68.61290322580645,97425.6129032258
rap,rap,63,70.56756756756756,92420.51351351352
kazakh hip hop,russian hip hop,62,37.5,234010.7857142857
hip hop,rap,61,74.55555555555556,54741.11111111111
russian pop,russian trap,46,31.5,227385.73333333334
russian dance,russian hip hop,43,36.38095238095238,318403.61904761905
kazakh hip hop,russian trap,39,34.476190476190474,233085.7619047619
melodic rap,rap,37,64.70588235294117,159912.29411764705
russian emo rap,russian hip hop,36,17.742857142857144,654696.4285714285
atl hip hop,rap,36,67.9047619047619,118583.19047619047
pop,pop,34,67.53333333333333,133232.26666666666
hip hop,trap,33,73.18181818181819,57304.09090909091
russian dance,russian pop,33,36.375,288761.375
russian emo rap,russian trap,30,12.4,732156.3666666667
russian pop,russian pop,29,37.54545454545455,268074.8181818182
central asian hip hop,russian hip hop,28,42.38461538461539,263374.3846153846
pop rap,rap,28,72.63636363636364,122270.45454545454
pop,rap,28,57.35294117647059,218320.82352941178
russian drill,russian pop,27,28.357142857142858,342729.85714285716
russian alt pop,russian hip hop,27,31.28,139119.16
russian drain,russian hip hop,26,25.652173913043477,208347.47826086957
russian drain,russian trap,26,21.818181818181817,179022.72727272726
melodic rap,trap,21,66.5,138975.33333333334
pop,pop dance,21,65.92857142857143,101248.42857142857
russian drain,russian drill,19,16.3125,160449.8125
canadian hip hop,rap,19,74.85714285714286,93828.78571428571
russian dance,russian trap,19,21.444444444444443,228134.44444444444
rap,toronto rap,18,76.15384615384616,99614.92307692308
dance pop,pop,18,71.33333333333333,209704.66666666666
ukrainian pop,ukrainian pop,17,46.88235294117647,131310.58823529413
central asian hip hop,russian trap,17,42.5,302391.1
pop rap,trap,17,71.42857142857143,173172.42857142858
atl hip hop,trap,17,67.75,154224.25
atl trap,rap,17,74.8,73320.9
canadian hip hop,trap,17,74.08333333333333,100684.25
atl hip hop,hip hop,17,75.16666666666667,60948.416666666664
russian hip hop,russian viral rap,17,30.384615384615383,257436.3076923077
russian gangster rap,russian hip hop,17,18.666666666666668,418275.8888888889
kazakh pop,russian hip hop,17,38.18181818181818,287423.0
