Source,Target,Weight,Avg_Popularity,Avg_Streams
rap,trap,788,46.103857566765576,16636236.305637982
rap,rap,469,46.14792899408284,16480842.497041421
hip hop,rap,404,47.68103448275862,19992614.375
atl hip hop,rap,386,45.96568627450981,14531372.05392157
melodic rap,rap,361,45.35885167464115,14045937.971291866
trap,trap,336,44.81132075471698,12146018.466981132
melodic rap,trap,335,44.061797752808985,15595760.325842697
atl hip hop,trap,322,46.08441558441559,11569337.66883117
hip hop,trap,302,48.21875,19241122.01875
pop rap,rap,250,49.08108108108108,16383441.608108109
rap,southern hip hop,216,48.160583941605836,12786184.197080292
pop rap,trap,202,47.892857142857146,14422808.57142857
southern hip hop,trap,176,46.14705882352941,11138734.25490196
pop,rap,170,47.62992125984252,22570974.228346456
atl hip hop,melodic rap,161,46.5,12738271.80357143
atl hip hop,hip hop,152,48.04255319148936,18902819.36170213
hip hop,pop rap,137,49.458333333333336,15199588.069444444
hip hop,melodic rap,124,47.32631578947368,20077495.05263158
hip hop,southern hip hop,117,47.0,11332222.088235294
hip hop,hip hop,114,48.5632183908046,15650144.045977011
reggaeton,urbano latino,114,55.89473684210526,25537351.789473683
pop,pop,110,50.810526315789474,24366292.136842106
pop,trap,106,45.1566265060241,24899624.51807229
atl hip hop,pop rap,100,48.17910447761194,13876696.865671642
r&b,rap,98,41.82432432432432,15606384.77027027
atl hip hop,atl hip hop,97,46.583333333333336,8910301.527777778
trap latino,urbano latino,93,54.0,27402402.529411763
reggaeton,trap latino,90,54.11764705882353,27569794.76470588
hip hop,pop,87,49.44117647058823,28025622.20588235
atl trap,rap,82,49.054545454545455,11136412.763636364
pop rap,southern hip hop,82,49.76744186046512,9549559.697674418
melodic rap,melodic rap,81,42.22784810126582,12312701.746835442
melodic rap,pop rap,80,47.41538461538462,21649278.43076923
atl hip hop,southern hip hop,78,43.05769230769231,13899854.75
atl trap,trap,74,49.208333333333336,7978898.916666667
melodic rap,southern hip hop,70,46.517857142857146,16918938.14285714
gangster rap,rap,63,46.5,7210696.666666667
hip hop,r&b,62,45.583333333333336,15970289.270833334
r&b,trap,61,39.285714285714285,8870327.92857143
miami hip hop,rap,60,55.955555555555556,22956015.755555555
urbano latino,urbano latino,58,54.94444444444444,26739646.888888888
atl hip hop,pop,57,45.204081632653065,25528768.612244897
edm,pop,57,54.24444444444445,22515750.466666665
reggaeton,reggaeton,56,55.05555555555556,26897739.555555556
atl hip hop,atl trap,55,52.525,8816794.3
chicago rap,rap,54,51.833333333333336,16372594.38095238
pop,pop rap,54,54.46341463414634,26323973.19512195
emo rap,rap,52,39.88095238095238,20677918.714285713
pop rap,pop rap,52,52.5,10683940.05263158
pop,pop dance,50,51.56410256410256,15574659.128205128
canadian hip hop,rap,50,32.69767441860465,29371262.441860463
east coast hip hop,hardcore hip hop,50,56.0,2883039.0
chicago rap,trap,48,55.611111111111114,17121787.527777776
miami hip hop,trap,48,54.973684210526315,23481441.86842105
dance pop,pop,48,57.0,15550814.61764706
emo rap,trap,47,41.189189189189186,15958571.72972973
canadian hip hop,trap,47,30.57894736842105,25325083.52631579
gangster rap,trap,46,44.51428571428571,6186802.228571429
atl trap,melodic rap,45,47.972972972972975,8831263.945945946
slap house,trap,44,53.0,16200633.16
dirty south rap,rap,44,49.84848484848485,11456501.575757576
rap,toronto rap,43,33.44736842105263,29638879.39473684
melodic rap,pop,41,49.5,25290632.710526317
rap,slap house,40,55.6551724137931,19140899.75862069
dirty south rap,trap,39,49.55172413793103,11984277.24137931
plugg,rap,38,36.06666666666667,6375539.233333333
canadian pop,rap,37,46.107142857142854,37890501.75
trap latino,trap latino,37,52.81818181818182,40383684.81818182
pop rap,r&b,37,47.642857142857146,14537587.642857144
toronto rap,trap,36,34.83870967741935,30612682.48387097
hip pop,rap,35,46.03703703703704,15014248.814814815
queens hip hop,rap,35,42.888888888888886,14828967.703703703
mississippi hip hop,trap,34,33.470588235294116,9686808.294117646
conscious hip hop,rap,34,44.16,24267423.52
southern hip hop,southern hip hop,34,46.46153846153846,14442520.807692308
rap,trap latino,34,46.80952380952381,36118368.28571428
pop,southern hip hop,34,52.22222222222222,28322408.48148148
philly rap,rap,34,49.724137931034484,14725465.206896551
gangster rap,hip hop,33,48.30769230769231,7333368.730769231
plugg,trap,33,34.91304347826087,4759990.173913044
pop,r&b,32,48.58064516129032,27313969.322580647
melodic rap,slap house,31,52.22727272727273,19547819.772727273
canadian trap,rap,31,25.59259259259259,14860228.555555556
electro house,pop,30,42.6,17543874.0
dance pop,rap,30,51.130434782608695,18574706.0
r&b,southern hip hop,30,43.714285714285715,14277188.80952381
hip hop,miami hip hop,29,61.12,21840885.92
canadian trap,trap,29,21.782608695652176,4614803.391304348
rap,trap soul,29,47.5,22699187.227272727
atl hip hop,r&b,28,37.34782608695652,13123575.304347826
east coast hip hop,hip hop,28,44.2,5748600.3
east coast hip hop,east coast hip hop,28,56.0,2883039.0
chicago rap,hip hop,27,58.4,15756446.72
canadian pop,trap,27,46.85,47319553.0
latin hip hop,reggaeton,27,51.75,22416909.375
latin hip hop,urbano latino,27,51.75,22416909.375
latin pop,reggaeton,27,60.53333333333333,6252605.333333333
latin pop,urbano latino,27,60.53333333333333,6252605.333333333
canadian hip hop,melodic rap,26,32.125,12545030.75
atl hip hop,canadian hip hop,26,29.5,24697867.35
philly rap,trap,26,44.476190476190474,7778871.476190476
rage rap,rap,26,56.5,16067126.5
atl hip hop,chicago rap,25,57.095238095238095,9322026.333333334
gangster rap,pop rap,25,47.69565217391305,7588670.260869565
hip pop,trap,25,45.333333333333336,13269340.142857144
queens hip hop,trap,25,42.61904761904762,12987264.761904761
pop,uk pop,25,55.421052631578945,13632975.52631579
atl trap,pop rap,24,48.0,4277488.666666667
emo rap,melodic rap,24,38.142857142857146,22994324.714285713
atl trap,hip hop,24,51.10526315789474,17531505.89473684
dirty south rap,hip hop,24,47.95,10074322.1
melodic rap,r&b,24,31.347826086956523,20198643.173913043
dance pop,trap,24,47.833333333333336,16355425.944444444
miami hip hop,pop rap,23,61.38095238095238,18648609.80952381
hip hop,hip pop,23,39.73684210526316,13729903.421052631
pop,reggaeton,23,49.214285714285715,27461266.0
