Source,Target,Weight,Avg_Popularity,Avg_Streams
v-pop,vietnamese hip hop,152,26.107692307692307,631477.5538461539
vietnamese hip hop,vietnamese melodic rap,92,28.513513513513512,270589.0540540541
vietnamese hip hop,vietnamese hip hop,87,26.53488372093023,285781.0930232558
pop,pop,85,56.69879518072289,414861.1084337349
v-pop,v-pop,83,24.05263157894737,750474.2105263158
v-pop,vietnamese melodic rap,63,29.933333333333334,464562.9
v-pop,vietnamese trap,36,23.555555555555557,562604.1851851852
pop,rap,33,59.62068965517241,377022.275862069
vietnamese hip hop,vietnamese trap,32,28.952380952380953,316461.4761904762
indie viet,v-pop,25,18.31578947368421,977372.2105263158
k-pop,pop,23,52.36842105263158,758021.3684210526
dance pop,pop,22,66.35,454404.8
vietnamese melodic rap,vietnamese melodic rap,21,35.333333333333336,468060.26666666666
vietnamese melodic rap,vietnamese trap,20,32.625,336419.0
edm,pop,19,68.5,209400.66666666666
indie viet,vietnamese hip hop,17,22.714285714285715,730571.1428571428
pop,uk pop,17,64.0,223587.0
canadian pop,pop,16,72.71428571428571,571169.0
rap,rap,16,71.92857142857143,226136.2857142857
pop,trap,15,63.857142857142854,362464.35714285716
hip hop,rap,15,75.7,102399.0
rap,trap,14,68.5,195327.875
pop,viral pop,13,38.61538461538461,448030.46153846156
electropop,pop,13,62.583333333333336,642467.75
v-pop,vietnamese singer-songwriter,13,27.11111111111111,741522.1111111111
melodic rap,pop,13,51.69230769230769,382096.3076923077
k-pop girl group,pop,13,68.4,596307.3
pop,pop dance,11,62.3,157769.3
hip hop,pop,11,62.4,181389.2
melodic rap,rap,11,67.5,243835.5
indie viet,vietnamese melodic rap,10,30.22222222222222,652544.5555555555
canadian pop,rap,10,74.5,496241.0
australian pop,pop,9,27.11111111111111,261684.88888888888
k-pop boy group,pop,9,35.333333333333336,755570.4444444445
k-pop girl group,speedrun,8,69.4,136004.2
k-pop girl group,video game music,8,69.4,136004.2
dance pop,rap,8,66.375,207728.125
k-pop,k-rap,8,21.166666666666668,14735.666666666666
pop dance,uk dance,8,79.0,48492.5
atl hip hop,pop,7,62.57142857142857,545699.1428571428
atl hip hop,rap,7,63.0,81102.0
melodic rap,trap,7,62.5,322979.5
pop,pop rap,7,65.16666666666667,204811.5
alt z,pop,7,71.71428571428571,137501.57142857142
la pop,pop,6,11.666666666666666,27197.5
indie viet,vietnamese singer-songwriter,6,17.2,911958.0
dance pop,k-pop,6,61.666666666666664,494356.5
art pop,pop,6,74.16666666666667,609820.5
pop,post-teen pop,6,69.0,569896.6666666666
pop,tropical house,6,65.33333333333333,90835.33333333333
k-pop,k-pop,6,54.666666666666664,325882.0
pop,uk dance,6,72.66666666666667,141863.0
pop,r&b,6,58.833333333333336,175762.16666666666
k-pop,korean r&b,6,24.8,17108.0
canadian hip hop,rap,6,79.0,96680.0
rap,toronto rap,6,79.0,96680.0
pop,swedish pop,6,68.2,135245.2
nz pop,pop,5,64.33333333333333,662905.0
etherpop,pop,5,59.0,932026.2
indie poptimism,pop,5,59.0,932026.2
electropop,k-pop,5,43.666666666666664,1070394.0
etherpop,k-pop,5,43.666666666666664,1070394.0
indie poptimism,k-pop,5,43.666666666666664,1070394.0
canadian pop,melodic rap,5,72.6,786841.0
canadian contemporary r&b,pop,5,68.6,45669.0
dance pop,trap,5,64.4,234901.0
indietronica,pop,5,65.4,89977.0
pop,speedrun,5,70.0,168969.0
pop,video game music,5,70.0,168969.0
brostep,pop,5,78.8,376468.0
pop,progressive electro house,5,78.8,376468.0
electro house,pop,5,52.4,427822.0
pop dance,pop dance,5,74.0,46541.0
pop rap,rap,5,77.33333333333333,126789.66666666667
hip hop,hip hop,5,74.8,80332.4
vietnamese hip hop,vietnamese singer-songwriter,5,20.25,851614.0
alt z,k-pop girl group,5,72.33333333333333,224048.66666666666
hip hop,trap,5,75.8,135502.0
canadian pop,hip hop,5,74.2,209373.2
electropop,uk pop,4,54.25,406870.75
modern rock,pop,4,72.75,199017.25
atl hip hop,canadian pop,4,77.5,820282.75
canadian pop,trap,4,78.0,830381.75
dance pop,k-pop girl group,4,66.5,482038.75
australian dance,pop,4,57.5,442787.5
dance pop,hip hop,4,59.75,232387.5
pop,singer-songwriter pop,4,78.33333333333333,294492.3333333333
chicago rap,pop,4,37.5,227919.75
uk dance,uk dance,4,79.0,48492.5
metropopolis,pop,4,67.25,95786.0
trap,trap,4,79.5,308905.0
canadian hip hop,trap,4,79.66666666666667,146861.33333333334
toronto rap,trap,4,79.66666666666667,146861.33333333334
rap,slap house,4,68.5,44842.5
atl hip hop,hip hop,4,74.0,57577.25
pop dance,uk pop,4,76.33333333333333,195086.66666666666
contemporary country,pop,4,70.0,258149.75
indie viet,vietnamese trap,4,17.666666666666668,801969.0
indie viet,indie viet,4,0.0,1096779.5
edm,swedish pop,4,63.333333333333336,45907.0
pop dance,swedish pop,4,63.333333333333336,45907.0
pop dance,pop house,4,79.0,77291.0
pop house,uk dance,4,79.0,77291.0
dance pop,nz pop,3,64.33333333333333,662905.0
vietnamese singer-songwriter,vietnamese singer-songwriter,3,28.666666666666668,743157.6666666666
electropop,k-pop boy group,3,43.666666666666664,1070394.0
etherpop,k-pop boy group,3,43.666666666666664,1070394.0
indie poptimism,k-pop boy group,3,43.666666666666664,1070394.0
chamber pop,pop,3,68.66666666666667,195042.0
indie folk,pop,3,68.66666666666667,195042.0
art pop,k-pop,3,67.33333333333333,609737.6666666666
k-pop,k-pop girl group,3,68.33333333333333,221564.0
k-pop girl group,k-pop girl group,3,68.33333333333333,221564.0
k-pop,speedrun,3,68.33333333333333,221564.0
k-pop,video game music,3,68.33333333333333,221564.0
k-pop girl group,trap queen,3,68.5,203308.0
piano rock,pop,3,66.33333333333333,151078.66666666666
dance pop,north carolina hip hop,3,54.333333333333336,179368.0
north carolina hip hop,pop,3,54.333333333333336,179368.0
rap,uk pop,3,54.666666666666664,62719.0
house,pop,3,72.0,103059.66666666667
canadian pop,viral pop,3,70.66666666666667,197807.33333333334
hip pop,pop,3,61.0,182756.0
pop,trap queen,3,73.66666666666667,595123.0
edm,post-teen pop,3,75.33333333333333,98513.0
edm,electropop,3,71.66666666666667,485355.0
k-rap,korean pop,3,21.0,145329.0
canadian pop,chicago rap,3,76.33333333333333,299977.6666666667
cali rap,pop,3,71.0,19064.0
uk dance,uk pop,3,76.0,43890.5
k-pop,uk pop,3,59.0,36261.666666666664
canadian pop,dance pop,3,73.66666666666667,1220255.6666666667
canadian hip hop,pop rap,3,76.66666666666667,101209.66666666667
chicago rap,hip hop,3,75.33333333333333,72504.0
hip hop,melodic rap,3,78.66666666666667,192633.33333333334
chicago rap,rap,3,75.33333333333333,72504.0
atl hip hop,canadian hip hop,3,79.0,133396.0
atl hip hop,toronto rap,3,79.0,133396.0
melodic rap,melodic rap,3,56.333333333333336,295037.6666666667
pop rap,trap,3,78.0,211005.0
edm,viral pop,3,69.66666666666667,93206.33333333333
pop dance,viral pop,3,69.66666666666667,93206.33333333333
rock viet,vietnamese hip hop,3,30.333333333333332,1083348.6666666667
alt z,speedrun,3,72.33333333333333,224048.66666666666
alt z,video game music,3,72.33333333333333,224048.66666666666
country,pop,3,66.0,338294.3333333333
country road,pop,3,66.0,338294.3333333333
atl trap,rap,3,47.0,28808.0
canadian hip hop,hip hop,3,79.0,87806.0
hip hop,toronto rap,3,79.0,87806.0
atl trap,pop,3,51.333333333333336,108568.0
canadian pop,pop rap,3,69.0,268606.3333333333
canadian pop,edm,3,78.0,190427.33333333334
swedish pop,tropical house,3,63.333333333333336,45907.0
alt z,edm,3,69.0,171892.66666666666
alt z,pop dance,3,69.0,171892.66666666666
eau claire indie,pop,2,72.5,274401.5
melancholia,pop,2,72.5,274401.5
dance pop,k-pop boy group,2,57.5,516612.5
k-pop,nz pop,2,57.5,516612.5
k-pop boy group,nz pop,2,57.5,516612.5
art pop,k-pop girl group,2,70.0,913335.5
cali rap,melodic rap,2,38.0,272975.0
k-pop,post-teen pop,2,69.5,1060985.0
k-pop girl group,post-teen pop,2,69.5,1060985.0
australian dance,uk pop,2,80.5,341052.0
australian pop,uk pop,2,80.5,341052.0
chamber folk,v-pop,2,28.5,112086.5
chamber folk,vietnamese hip hop,2,28.5,112086.5
chamber folk,vietnamese melodic rap,2,28.5,112086.5
polish alternative,v-pop,2,28.5,112086.5
polish alternative,vietnamese hip hop,2,28.5,112086.5
polish alternative,vietnamese melodic rap,2,28.5,112086.5
speedrun,trap queen,2,68.5,203308.0
trap queen,video game music,2,68.5,203308.0
edm,piano rock,2,71.0,216281.0
piano rock,pop dance,2,71.0,216281.0
piano rock,tropical house,2,71.0,216281.0
electro house,nordic house,2,73.0,791980.5
hip hop,uk pop,2,43.0,49863.0
north carolina hip hop,uk pop,2,43.0,49863.0
trap,uk pop,2,43.0,49863.0
k-pop,viral pop,2,64.5,158827.0
k-pop,k-pop boy group,2,63.0,133606.0
edm,pop r&b,2,72.0,121951.5
house,pop r&b,2,72.0,121951.5
indietronica,pop r&b,2,72.0,121951.5
pop r&b,uk dance,2,72.0,121951.5
canadian pop,canadian pop,2,72.0,263490.5
melodic rap,post-teen pop,2,29.0,12725.0
post-teen pop,rap,2,54.5,7980.5
pop,queens hip hop,2,61.0,182756.0
houston rap,pop,2,75.5,691449.0
brostep,post-teen pop,2,76.0,145637.0
post-teen pop,progressive electro house,2,76.0,145637.0
electropop,pop dance,2,69.0,258323.5
k-rap,korean r&b,2,0.0,2855.0
dembow,reggaeton,2,21.0,11975.0
rap dominicano,reggaeton,2,21.0,11975.0
dembow,reggaeton flow,2,21.0,11975.0
rap dominicano,reggaeton flow,2,21.0,11975.0
dembow,urbano latino,2,21.0,11975.0
rap dominicano,urbano latino,2,21.0,11975.0
dembow,rap dominicano,2,21.0,11975.0
pop,pop r&b,2,84.0,798462.5
pop,uk funky,2,76.0,269912.0
german dance,pop dance,2,71.5,33484.5
pop dance,scandipop,2,70.5,33751.0
scandipop,uk dance,2,79.0,274514.0
canadian contemporary r&b,dance pop,2,69.0,44894.0
alt z,electro house,2,72.5,7376.0
k-rap,k-rap,2,0.0,34418.5
atl hip hop,melodic rap,2,41.0,128151.5
pop rap,toronto rap,2,77.0,122422.0
atl hip hop,trap,2,78.0,211005.0
canadian trap,rap,2,78.0,211005.0
canadian trap,trap,2,78.0,211005.0
melodic rap,pop rap,2,78.0,211005.0
pop,reggaeton,2,57.0,659165.0
pop,trap latino,2,57.0,659165.0
pop,urbano latino,2,57.0,659165.0
hip hop,slap house,2,68.5,69122.0
dfw rap,melodic rap,2,45.5,337054.0
dfw rap,rap,2,45.5,337054.0
dfw rap,trap,2,45.5,337054.0
edm,k-pop,2,0.0,272989.5
electro house,k-pop,2,0.0,272989.5
k-pop,pop dance,2,0.0,272989.5
k-pop girl group,la pop,2,63.0,3730.0
rock viet,v-pop,2,23.0,1600647.0
pop,southern hip hop,2,73.0,201958.0
christlicher rap,german hip hop,2,0.0,14426.5
german hip hop,german hip hop,2,0.0,14426.5
edm,uk pop,2,75.0,253984.5
alt z,k-pop,2,71.0,330481.0
k-pop girl group,talent show,2,70.0,402471.0
vietnamese singer-songwriter,vietnamese trap,2,0.0,1165158.5
atl trap,hip hop,2,68.5,20563.0
gangster rap,rap,2,37.0,25486.5
atl hip hop,slap house,2,68.5,20563.0
atl trap,slap house,2,68.5,20563.0
slap house,trap,2,68.5,20563.0
escape room,rap,2,70.0,5675.0
indietronica,rap,2,70.0,5675.0
new rave,rap,2,70.0,5675.0
pop,slap house,2,63.5,27534.5
electro house,norwegian pop,2,69.0,869610.5
gangster rap,pop,2,43.5,145126.5
swedish pop,uk dance,2,73.5,265754.5
atl hip hop,dance pop,2,79.5,318200.5
chinese electropop,k-pop girl group,2,72.0,258491.0
alabama rap,pop,2,70.0,727889.0
edm,rap,2,32.5,51382.0
pop,scandipop,2,70.5,288571.0
pop,swedish electropop,2,70.5,288571.0
pop,transpop,2,68.5,10122.5
canadian pop,pop dance,2,81.0,253003.0
hip hop,pop rap,2,77.0,84682.0
indie viet,rock viet,2,0.0,2191172.0
classic swedish pop,german dance,2,64.0,47275.0
german dance,swedish pop,2,64.0,47275.0
v-pop,viet lo-fi,2,0.0,253885.0
viet lo-fi,viet lo-fi,2,0.0,253885.0
edm,pop dance,2,64.0,42638.0
r&b en espanol,rap,2,67.0,35451.0
christian dance,v-pop,2,0.0,94989.0
k-pop,korean electronic,2,69.0,32104.0
hip hop,viral rap,2,78.0,135525.0
rap,viral rap,2,78.0,135525.0
atl hip hop,post-teen pop,1,57.0,10796.0
post-teen pop,r&b,1,57.0,10796.0
post-teen pop,trap,1,57.0,10796.0
hip pop,hip pop,1,57.0,2204.0
hip pop,queens hip hop,1,57.0,2204.0
hip pop,rap,1,57.0,2204.0
k-pop,rap,1,66.0,1241217.0
k-pop girl group,rap,1,66.0,1241217.0
houston rap,r&b,1,70.0,126093.0
r&b,rap,1,70.0,126093.0
r&b,trap queen,1,70.0,126093.0
electropop,tropical house,1,62.0,12943.0
reggaeton,trap dominicano,1,21.0,11975.0
reggaeton flow,trap dominicano,1,21.0,11975.0
trap dominicano,urbano latino,1,21.0,11975.0
dembow,dembow,1,21.0,11975.0
rap dominicano,rap dominicano,1,21.0,11975.0
dembow,trap dominicano,1,21.0,11975.0
rap dominicano,trap dominicano,1,21.0,11975.0
korean pop,korean r&b,1,0.0,2751.0
korean r&b,korean r&b,1,0.0,2751.0
pop r&b,singer-songwriter pop,1,77.0,684329.0
pop r&b,uk pop,1,77.0,684329.0
canadian contemporary r&b,chicago rap,1,73.0,86730.0
canadian contemporary r&b,melodic rap,1,73.0,86730.0
canadian contemporary r&b,rap,1,73.0,86730.0
art pop,pop r&b,1,91.0,912596.0
electropop,pop r&b,1,91.0,912596.0
cali rap,uk dance,1,73.0,10490.0
cali rap,uk funky,1,73.0,10490.0
cali rap,uk pop,1,73.0,10490.0
uk funky,uk pop,1,73.0,10490.0
bedroom pop,pop,1,5.0,87277.0
pop,pov: indie,1,5.0,87277.0
sad lo-fi,spanish indie pop,1,78.0,2366952.0
pop dance,pop edm,1,79.0,19694.0
german dance,scandipop,1,79.0,19694.0
pop edm,scandipop,1,79.0,19694.0
german dance,uk dance,1,79.0,19694.0
pop edm,uk dance,1,79.0,19694.0
r&b,uk pop,1,77.0,831744.0
candy pop,k-pop,1,62.0,2542.0
k-pop,metropopolis,1,62.0,2542.0
art pop,k-pop boy group,1,62.0,2542.0
candy pop,k-pop boy group,1,62.0,2542.0
k-pop boy group,metropopolis,1,62.0,2542.0
k-pop boy group,uk pop,1,62.0,2542.0
candy pop,pop,1,62.0,2542.0
channel pop,channel pop,1,57.0,228383.0
channel pop,viral pop,1,57.0,228383.0
dark trap,pop rap,1,76.0,58785.0
meme rap,pop rap,1,76.0,58785.0
canadian hip hop,viral rap,1,76.0,58785.0
dark trap,viral rap,1,76.0,58785.0
meme rap,viral rap,1,76.0,58785.0
chicago rap,detroit hip hop,1,85.0,165420.0
detroit hip hop,melodic rap,1,85.0,165420.0
detroit hip hop,rap,1,85.0,165420.0
houston rap,rap,1,81.0,1256805.0
rap,trap queen,1,81.0,1256805.0
dance pop,dance pop,1,64.0,72564.0
deep pop edm,electro house,1,77.0,12577.0
chicago rap,electropop,1,0.0,6163.0
electropop,melodic rap,1,0.0,6163.0
electropop,rap,1,0.0,6163.0
chicago rap,etherpop,1,0.0,6163.0
etherpop,melodic rap,1,0.0,6163.0
etherpop,rap,1,0.0,6163.0
chicago rap,indie poptimism,1,0.0,6163.0
indie poptimism,melodic rap,1,0.0,6163.0
indie poptimism,rap,1,0.0,6163.0
atl hip hop,pop rap,1,78.0,211005.0
atl hip hop,canadian trap,1,78.0,211005.0
canadian hip hop,melodic rap,1,78.0,211005.0
canadian trap,melodic rap,1,78.0,211005.0
melodic rap,toronto rap,1,78.0,211005.0
canadian trap,pop rap,1,78.0,211005.0
electro house,viral pop,1,71.0,18200.0
moombahton,viral pop,1,71.0,18200.0
electropop,electropop,1,87.0,509531.0
electropop,etherpop,1,87.0,509531.0
electropop,indie poptimism,1,87.0,509531.0
australian dance,big room,1,69.0,2953.0
australian pop,big room,1,69.0,2953.0
big room,pop,1,69.0,2953.0
australian dance,dance pop,1,69.0,2953.0
australian pop,dance pop,1,69.0,2953.0
australian dance,edm,1,69.0,2953.0
australian pop,edm,1,69.0,2953.0
australian dance,pop dance,1,69.0,2953.0
australian pop,pop dance,1,69.0,2953.0
cali rap,reggaeton,1,69.0,27638.0
cali rap,reggaeton colombiano,1,69.0,27638.0
cali rap,trap latino,1,69.0,27638.0
cali rap,urbano latino,1,69.0,27638.0
cali rap,canadian pop,1,69.0,27638.0
canadian pop,reggaeton,1,69.0,27638.0
canadian pop,reggaeton colombiano,1,69.0,27638.0
pop,reggaeton colombiano,1,69.0,27638.0
canadian pop,trap latino,1,69.0,27638.0
canadian pop,urbano latino,1,69.0,27638.0
melodic rap,reggaeton,1,69.0,27638.0
melodic rap,reggaeton colombiano,1,69.0,27638.0
melodic rap,trap latino,1,69.0,27638.0
melodic rap,urbano latino,1,69.0,27638.0
chicago rap,slap house,1,59.0,2719.0
k-pop,latin pop,1,0.0,74460.0
k-rap,latin pop,1,0.0,74460.0
k-pop,latin viral pop,1,0.0,74460.0
k-rap,latin viral pop,1,0.0,74460.0
k-pop,rap latina,1,0.0,74460.0
k-rap,rap latina,1,0.0,74460.0
k-pop,reggaeton,1,0.0,74460.0
k-rap,reggaeton,1,0.0,74460.0
k-pop,urbano latino,1,0.0,74460.0
k-rap,urbano latino,1,0.0,74460.0
canadian hip hop,plugg,1,80.0,8977.0
canadian hip hop,pluggnb,1,80.0,8977.0
canadian hip hop,rage rap,1,80.0,8977.0
canadian pop,plugg,1,80.0,8977.0
canadian pop,pluggnb,1,80.0,8977.0
canadian pop,rage rap,1,80.0,8977.0
hip hop,plugg,1,80.0,8977.0
hip hop,pluggnb,1,80.0,8977.0
hip hop,rage rap,1,80.0,8977.0
plugg,rap,1,80.0,8977.0
pluggnb,rap,1,80.0,8977.0
rage rap,rap,1,80.0,8977.0
plugg,toronto rap,1,80.0,8977.0
pluggnb,toronto rap,1,80.0,8977.0
rage rap,toronto rap,1,80.0,8977.0
hip hop,post-teen pop,1,52.0,5165.0
ohio hip hop,pop,1,52.0,5165.0
ohio hip hop,post-teen pop,1,52.0,5165.0
pop rap,post-teen pop,1,52.0,5165.0
edm,k-pop boy group,1,0.0,523722.0
electro house,k-pop boy group,1,0.0,523722.0
k-pop boy group,pop dance,1,0.0,523722.0
art pop,hollywood,1,87.0,243590.0
dance pop,hollywood,1,87.0,243590.0
hollywood,pop,1,87.0,243590.0
post-teen pop,uk pop,1,63.0,149385.0
la pop,speedrun,1,63.0,3730.0
la pop,video game music,1,63.0,3730.0
k-pop,la pop,1,63.0,3730.0
pop,trap soul,1,70.0,12470.0
pop dance,post-teen pop,1,74.0,4265.0
post-teen pop,tropical house,1,74.0,4265.0
tropical house,uk pop,1,74.0,4265.0
tropical house,viral pop,1,74.0,4265.0
k-pop,talent show,1,70.0,402471.0
k-pop,trap queen,1,70.0,402471.0
speedrun,talent show,1,70.0,402471.0
talent show,video game music,1,70.0,402471.0
alt z,trap queen,1,70.0,402471.0
talent show,trap queen,1,70.0,402471.0
dance pop,r&b,1,66.0,35581.0
canadian pop,contemporary country,1,79.0,982881.0
canadian pop,country,1,79.0,982881.0
canadian pop,country road,1,79.0,982881.0
dance pop,korean talent show,1,56.0,8904.0
korean talent show,pop,1,56.0,8904.0
korean talent show,uk pop,1,56.0,8904.0
dance pop,singer-songwriter pop,1,78.0,88431.0
dance pop,uk pop,1,78.0,88431.0
rap,singer-songwriter pop,1,78.0,88431.0
escape room,hip hop,1,70.0,5675.0
escape room,slap house,1,70.0,5675.0
hip hop,indietronica,1,70.0,5675.0
indietronica,slap house,1,70.0,5675.0
hip hop,new rave,1,70.0,5675.0
new rave,slap house,1,70.0,5675.0
atl hip hop,escape room,1,70.0,5675.0
atl trap,escape room,1,70.0,5675.0
escape room,gangster rap,1,70.0,5675.0
escape room,melodic rap,1,70.0,5675.0
escape room,trap,1,70.0,5675.0
atl hip hop,indietronica,1,70.0,5675.0
atl trap,indietronica,1,70.0,5675.0
gangster rap,indietronica,1,70.0,5675.0
indietronica,melodic rap,1,70.0,5675.0
indietronica,trap,1,70.0,5675.0
atl hip hop,new rave,1,70.0,5675.0
atl trap,new rave,1,70.0,5675.0
gangster rap,new rave,1,70.0,5675.0
melodic rap,new rave,1,70.0,5675.0
new rave,trap,1,70.0,5675.0
gangster rap,hip hop,1,70.0,5675.0
gangster rap,slap house,1,70.0,5675.0
melodic rap,slap house,1,70.0,5675.0
g funk,v-pop,1,59.0,3145166.0
g funk,vietnamese melodic rap,1,59.0,3145166.0
gangster rap,v-pop,1,59.0,3145166.0
gangster rap,vietnamese melodic rap,1,59.0,3145166.0
hip hop,v-pop,1,59.0,3145166.0
hip hop,vietnamese melodic rap,1,59.0,3145166.0
pop rap,v-pop,1,59.0,3145166.0
pop rap,vietnamese melodic rap,1,59.0,3145166.0
rap,v-pop,1,59.0,3145166.0
rap,vietnamese melodic rap,1,59.0,3145166.0
v-pop,west coast rap,1,59.0,3145166.0
vietnamese melodic rap,west coast rap,1,59.0,3145166.0
electro house,reggaeton,1,45.0,1290692.0
electro house,trap latino,1,45.0,1290692.0
electro house,urbano latino,1,45.0,1290692.0
canadian pop,slap house,1,60.0,19618.0
canadian hip hop,chicago drill,1,82.0,49373.0
canadian hip hop,chicago rap,1,82.0,49373.0
canadian hip hop,drill,1,82.0,49373.0
canadian pop,chicago drill,1,82.0,49373.0
canadian pop,drill,1,82.0,49373.0
chicago drill,hip hop,1,82.0,49373.0
drill,hip hop,1,82.0,49373.0
chicago drill,rap,1,82.0,49373.0
drill,rap,1,82.0,49373.0
chicago drill,toronto rap,1,82.0,49373.0
chicago rap,toronto rap,1,82.0,49373.0
drill,toronto rap,1,82.0,49373.0
k-rap,viral pop,1,0.0,55061.0
nordic house,norwegian pop,1,77.0,1564116.0
electropop,permanent wave,1,88.0,505055.0
permanent wave,pop,1,88.0,505055.0
atl hip hop,dfw rap,1,4.0,45298.0
atl trap,dfw rap,1,4.0,45298.0
dfw rap,gangster rap,1,4.0,45298.0
atl trap,melodic rap,1,4.0,45298.0
gangster rap,melodic rap,1,4.0,45298.0
electro house,uk dance,1,68.0,2175.0
electro house,swedish pop,1,68.0,2175.0
alt z,uk dance,1,68.0,2175.0
alt z,swedish pop,1,68.0,2175.0
brostep,electropop,1,77.0,939418.0
electropop,progressive electro house,1,77.0,939418.0
brostep,etherpop,1,77.0,939418.0
edm,etherpop,1,77.0,939418.0
etherpop,progressive electro house,1,77.0,939418.0
brostep,indie poptimism,1,77.0,939418.0
edm,indie poptimism,1,77.0,939418.0
indie poptimism,progressive electro house,1,77.0,939418.0
dance pop,dirty south rap,1,76.0,391446.0
dance pop,pop rap,1,76.0,391446.0
dance pop,southern hip hop,1,76.0,391446.0
dirty south rap,pop,1,76.0,391446.0
post-teen pop,viral pop,1,60.0,856751.0
k-pop girl group,uk pop,1,59.0,97339.0
finnish hip hop,v-pop,1,19.0,11607.0
finnish hip hop,vietnamese hip hop,1,19.0,11607.0
finnish hip hop,vietnamese melodic rap,1,19.0,11607.0
finnish pop,v-pop,1,19.0,11607.0
finnish pop,vietnamese hip hop,1,19.0,11607.0
finnish pop,vietnamese melodic rap,1,19.0,11607.0
canadian hip hop,southern hip hop,1,79.0,180206.0
canadian pop,southern hip hop,1,79.0,180206.0
hip hop,southern hip hop,1,79.0,180206.0
rap,southern hip hop,1,79.0,180206.0
southern hip hop,toronto rap,1,79.0,180206.0
country rock,lgbtq+ hip hop,1,80.0,111709.0
brostep,metropopolis,1,85.0,210943.0
edm,metropopolis,1,85.0,210943.0
metropopolis,progressive electro house,1,85.0,210943.0
brostep,modern rock,1,85.0,210943.0
edm,modern rock,1,85.0,210943.0
modern rock,progressive electro house,1,85.0,210943.0
bedroom pop,sad lo-fi,1,84.0,3388838.0
bubblegrunge,sad lo-fi,1,84.0,3388838.0
indie pop,sad lo-fi,1,84.0,3388838.0
pov: indie,sad lo-fi,1,84.0,3388838.0
bedroom pop,sad rap,1,84.0,3388838.0
bubblegrunge,sad rap,1,84.0,3388838.0
indie pop,sad rap,1,84.0,3388838.0
pov: indie,sad rap,1,84.0,3388838.0
art pop,glam rock,1,57.0,20674.0
dance pop,glam rock,1,57.0,20674.0
glam rock,pop,1,57.0,20674.0
art pop,mellow gold,1,57.0,20674.0
dance pop,mellow gold,1,57.0,20674.0
mellow gold,pop,1,57.0,20674.0
art pop,piano rock,1,57.0,20674.0
dance pop,piano rock,1,57.0,20674.0
art pop,rock,1,57.0,20674.0
dance pop,rock,1,57.0,20674.0
pop,rock,1,57.0,20674.0
chinese electropop,k-pop,1,72.0,258491.0
alt z,chinese electropop,1,72.0,258491.0
chinese electropop,speedrun,1,72.0,258491.0
chinese electropop,video game music,1,72.0,258491.0
chinese electropop,pop,1,72.0,258491.0
k-rap,korean ost,1,0.0,59484.0
german dance,modern indie pop,1,63.0,273577.0
alabama rap,canadian pop,1,70.0,727889.0
alabama rap,dfw rap,1,70.0,727889.0
alabama rap,melodic rap,1,70.0,727889.0
alabama rap,rap,1,70.0,727889.0
canadian pop,dfw rap,1,70.0,727889.0
dfw rap,pop,1,70.0,727889.0
bedroom soul,glam rock,1,58.0,11888.0
bedroom soul,mellow gold,1,58.0,11888.0
bedroom soul,piano rock,1,58.0,11888.0
bedroom soul,rock,1,58.0,11888.0
electropop,swedish pop,1,68.0,54271.0
canadian pop,comedy rap,1,57.0,8150.0
canadian pop,indie pop rap,1,57.0,8150.0
comedy rap,pop,1,57.0,8150.0
indie pop rap,pop,1,57.0,8150.0
dance pop,electropop,1,74.0,495109.0
canadian contemporary r&b,edm,1,72.0,65276.0
canadian contemporary r&b,electro house,1,72.0,65276.0
canadian pop,electro house,1,72.0,65276.0
canadian contemporary r&b,house,1,72.0,65276.0
canadian pop,house,1,72.0,65276.0
canadian contemporary r&b,progressive house,1,72.0,65276.0
canadian pop,progressive house,1,72.0,65276.0
pop,progressive house,1,72.0,65276.0
canadian contemporary r&b,uk dance,1,72.0,65276.0
canadian pop,uk dance,1,72.0,65276.0
edm,hip hop,1,62.0,47808.0
edm,pop rap,1,62.0,47808.0
edm,trap,1,62.0,47808.0
hip hop,pop dance,1,62.0,47808.0
pop dance,pop rap,1,62.0,47808.0
pop dance,rap,1,62.0,47808.0
pop dance,trap,1,62.0,47808.0
hip hop,tropical house,1,62.0,47808.0
pop rap,tropical house,1,62.0,47808.0
rap,tropical house,1,62.0,47808.0
trap,tropical house,1,62.0,47808.0
edm,scandipop,1,62.0,47808.0
edm,swedish electropop,1,62.0,47808.0
pop dance,swedish electropop,1,62.0,47808.0
scandipop,tropical house,1,62.0,47808.0
swedish electropop,tropical house,1,62.0,47808.0
hip hop,scandipop,1,62.0,47808.0
hip hop,swedish electropop,1,62.0,47808.0
hip hop,swedish pop,1,62.0,47808.0
pop rap,scandipop,1,62.0,47808.0
pop rap,swedish electropop,1,62.0,47808.0
pop rap,swedish pop,1,62.0,47808.0
rap,scandipop,1,62.0,47808.0
rap,swedish electropop,1,62.0,47808.0
rap,swedish pop,1,62.0,47808.0
scandipop,trap,1,62.0,47808.0
swedish electropop,trap,1,62.0,47808.0
swedish pop,trap,1,62.0,47808.0
alt z,tropical house,1,62.0,9061.0
edm,transpop,1,62.0,9061.0
pop dance,transpop,1,62.0,9061.0
transpop,tropical house,1,62.0,9061.0
afrobeats,pop,1,66.0,56052.0
afrobeats,uk pop,1,66.0,56052.0
dancehall,pop,1,66.0,56052.0
