Source,Target,Weight,Avg_Popularity,Avg_Streams
amapiano,amapiano,444,26.35323383084577,346722.9054726368
rap,trap,340,59.65030674846626,181458.6380368098
rap,rap,290,61.767195767195766,203932.25925925927
hip hop,rap,273,63.06944444444444,195953.10416666666
melodic rap,rap,155,57.06024096385542,194569.10843373495
hip hop,trap,152,61.82828282828283,199606.30303030304
atl hip hop,rap,146,62.13333333333333,215222.06666666668
pop rap,rap,144,60.87179487179487,140233.62820512822
trap,trap,95,58.38028169014085,161262.338028169
melodic rap,trap,93,54.333333333333336,203376.45614035087
atl trap,rap,90,62.166666666666664,178512.90740740742
pop rap,trap,89,59.770833333333336,145122.97916666666
atl hip hop,trap,86,60.94230769230769,172573.8076923077
amapiano,south african pop,85,25.431818181818183,186333.43181818182
r&b,rap,80,62.82692307692308,210799.98076923078
pop,rap,77,58.559322033898304,247459.06779661018
rap,southern hip hop,73,59.354166666666664,115757.41666666667
pop,pop,73,69.38095238095238,304378.1746031746
chicago rap,rap,68,59.08510638297872,76275.02127659574
atl hip hop,hip hop,67,65.6078431372549,246223.6862745098
hip hop,hip hop,66,66.59322033898304,268778.71186440677
hip hop,pop rap,66,63.26190476190476,159808.35714285713
amapiano,sgija,60,20.071428571428573,333487.61904761905
atl trap,trap,59,59.125,109141.45
gangster rap,rap,58,61.78048780487805,172725.92682926828
amapiano,south african hip hop,57,20.814814814814813,185515.03703703705
south african hip hop,south african hip hop,55,29.193548387096776,37644.48387096774
hip hop,melodic rap,55,58.523809523809526,155326.90476190476
atl hip hop,melodic rap,54,58.666666666666664,208620.46153846153
south african hip hop,south african trap,52,30.61764705882353,38650.32352941176
amapiano,south african trap,52,22.48,111212.68
atl trap,hip hop,50,64.64864864864865,219850.1081081081
chicago rap,trap,48,56.026315789473685,35934.92105263158
amapiano,underground amapiano,48,22.384615384615383,201994.34615384616
hip hop,pop,46,43.82051282051282,209565.61538461538
amapiano,kasi rap,46,21.761904761904763,160592.38095238095
hip hop,r&b,46,62.46875,203422.53125
melodic rap,pop rap,45,58.36666666666667,166333.03333333333
amapiano,south african house,45,25.59259259259259,104939.5925925926
canadian pop,rap,44,68.02631578947368,490748.9736842105
brooklyn drill,rap,41,57.56,227210.72
hip hop,southern hip hop,39,58.87096774193548,151487.4193548387
afro soul,amapiano,39,30.304347826086957,301962.6956521739
dance pop,pop,39,70.72,318547.2
afro soul,south african pop,39,28.9375,73074.0625
canadian hip hop,rap,38,70.9,623125.7666666667
rap,toronto rap,37,71.34482758620689,643698.6896551724
southern hip hop,trap,37,57.03703703703704,98614.22222222222
pop,trap,36,62.22222222222222,200890.55555555556
atl hip hop,pop rap,35,62.73076923076923,190815.88461538462
atl trap,pop rap,34,58.875,70878.375
ccm,worship,34,61.125,69319.75
worship,worship,34,61.125,69319.75
gangster rap,hip hop,34,63.69230769230769,200082.92307692306
chicago drill,rap,33,60.63636363636363,108530.86363636363
drill,rap,33,60.63636363636363,108530.86363636363
atl trap,melodic rap,33,56.28,62015.92
miami hip hop,rap,32,53.5,102280.55555555556
atl hip hop,atl trap,31,55.5,140152.77777777778
melodic rap,melodic rap,31,54.45161290322581,225976.0
amapiano,south african r&b,30,35.89473684210526,469729.2105263158
edm,pop,29,70.4090909090909,317464.86363636365
gangster rap,trap,28,58.125,181032.08333333334
canadian hip hop,trap,28,69.63636363636364,640466.4090909091
canadian pop,trap,28,68.625,530687.125
pop,r&b,28,60.17391304347826,284050.26086956525
pop,pop dance,28,69.05263157894737,307845.05263157893
north carolina hip hop,rap,27,65.61111111111111,358531.77777777775
canadian pop,hip hop,27,72.04,527884.52
r&b,trap,27,54.19047619047619,180936.0
amapiano,south african pop dance,26,24.285714285714285,24419.785714285714
toronto rap,trap,26,70.9,703034.45
chicago drill,trap,25,60.05555555555556,32581.222222222223
drill,trap,25,60.05555555555556,32581.222222222223
dance pop,neo soul,25,7.769230769230769,223816.76923076922
neo soul,pop,25,7.769230769230769,223816.76923076922
canadian hip hop,hip hop,25,70.3913043478261,523514.26086956525
chicago rap,hip hop,25,63.63636363636363,137520.5
atl hip hop,chicago rap,24,62.90909090909091,38861.0
hip hop,toronto rap,24,71.04545454545455,547171.2272727273
brooklyn drill,trap,24,58.5,250594.72222222222
pop,pop rap,23,60.25,95179.35
south african pop,south african pop,23,31.875,56036.625
dance pop,hip hop,22,24.526315789473685,301074.4736842105
philly rap,rap,22,55.266666666666666,40603.666666666664
pop rap,r&b,22,52.06666666666667,157859.4
dance pop,rap,22,63.8125,346504.9375
melodic rap,pop,22,57.85,198450.25
afrikaans,afrikaans,22,29.75,51178.0
gangster rap,pop rap,21,56.588235294117645,84686.4705882353
atl hip hop,atl hip hop,21,56.705882352941174,155863.82352941178
christian music,worship,21,61.125,69319.75
dirty south rap,rap,21,59.916666666666664,174426.08333333334
hip pop,rap,20,52.38461538461539,36223.153846153844
atl trap,chicago rap,19,63.0,35665.444444444445
rap,slap house,19,69.0,272078.93333333335
conscious hip hop,rap,19,63.5,249241.75
miami hip hop,trap,19,48.083333333333336,34322.916666666664
afro soul,afro soul,19,25.333333333333332,89153.58333333333
pop rap,southern hip hop,19,52.666666666666664,68283.5
pop dance,uk dance,18,79.125,1071177.125
pop dance,uk pop,18,73.0,624160.9166666666
pop rap,pop rap,18,54.583333333333336,105664.83333333333
atl hip hop,chicago drill,17,64.0,35256.86666666667
atl hip hop,drill,17,64.0,35256.86666666667
atl hip hop,gangster rap,17,58.93333333333333,237705.33333333334
queens hip hop,rap,17,52.61538461538461,115729.84615384616
gangster rap,melodic rap,16,59.0,108748.4375
rage rap,rap,16,47.333333333333336,87843.75
melodic rap,southern hip hop,16,60.13333333333333,138188.6
philly rap,trap,16,53.54545454545455,41451.72727272727
r&b,r&b,16,53.375,55869.4375
dance pop,r&b,16,60.92307692307692,214681.3076923077
amapiano,bolobedu house,16,27.545454545454547,74969.09090909091
atl hip hop,pop,16,58.785714285714285,38681.5
atl trap,chicago drill,15,63.5,30590.214285714286
atl trap,drill,15,63.5,30590.214285714286
rap,underground hip hop,15,50.09090909090909,73901.81818181818
hip hop,miami hip hop,15,62.15384615384615,136898.3076923077
canadian hip hop,pop rap,15,69.0,459114.28571428574
atl hip hop,canadian pop,15,72.38461538461539,627916.7692307692
dirty south rap,hip hop,15,61.63636363636363,189918.18181818182
hip hop,hip pop,15,52.36363636363637,40884.181818181816
chicago rap,melodic rap,15,43.333333333333336,43734.916666666664
south african house,south african pop,15,37.0,161860.14285714287
south african pop,south african pop dance,15,37.18181818181818,74578.18181818182
dance pop,pop dance,15,72.22222222222223,571614.3333333334
indie soul,neo soul,14,1.6666666666666667,242057.5
